screen_name,created_at,text,id
Official_JR_1,2015-10-07T10:40:00,"@InterConHotels Hi, Can I bring my dog to your hotels?",651708650680123393
MillaTwitta,2015-10-07T15:59:00,@InterConHotels Dubai Festival City http://t.co/ObGQto1FIG http://t.co/aXuw6s89Pa,651788933618077696
chutki83,2015-10-07T16:35:00,@InterConHotels dirty rooms in 5 star jeddah hotel and intercontinental customers services don't care http://t.co/gJA7GfSHxP,651798004245073920
MeenaStar111,2015-10-07T16:38:00,@InterConHotels Is wifi free for all hotel guests?,651798701971795968
chutki83,2015-10-07T18:45:00,@InterConHotels dirty rooms in a 5 star hotel. http://t.co/Re9qJsNK9I,651830745787428864
LogoedPackage,2015-10-08T00:15:00,@InterConHotels would love to work with your #hotel on your #promotional item needs. DM us the email of your Director of Marketing .,651913756302286848
dU_DMCs,2015-10-08T10:32:00,@InterConHotels Estoril opens! For unique ideas only MICE clients can do in Portugal please contact XPTO Marketing http://t.co/P52sV28ZwV,652069160755822592
ABennettWriter,2015-10-08T11:00:00,"@InterConHotels Darlene at Times Square is truly the best! Thanks for the strawberries and champs. Xoxo, Austin from Kimpton. #DarleneRocks",652076163104436224
ABennettWriter,2015-10-08T13:15:00,@InterConHotels I am! 100% love this place.,652110104439951360
IndieAuthorUK,2015-10-08T14:57:00,@InterConHotels I'm hoping to book sth for a luxurious weekend to celebrate my 1 year wedding anniversary. Any suggestions?,652135852580016128
kenwoodsupplies,2015-10-08T21:19:00,@InterConHotels would look even better with our Serengeti Daybeds by the pool... http://t.co/vuBu3LpbHK,652231923327176704
SnapEventsLtd,2015-10-09T01:18:00,"@InterConHotels @FourSeasons &amp; @AccorhotelsAPAC leaders on the #TOTHETABLE panel discussion, with @HVS_Consulting http://t.co/m1AH0HCCQ6",652291930785583104
Eastsunnet_,2015-10-09T05:17:00,@InterConHotels Launches 3 New Initiatives at Conference #HolidayInn http://t.co/AYq7zBmB8n http://t.co/zoF95Cv8BK,652352171653001216
Grill_PiraOvens,2015-10-09T07:48:00,"@InterConHotels best #grilling flavour https://t.co/XFPPsh3Rty
See you at @HostMilano #CharcoalOvens #Host2015 #Pira http://t.co/YvIw3ifgPE",652390275810242560
Nomadibility,2015-10-09T09:47:00,@InterConHotels Do all your hotels have airport shuttle ?,652420016713912320
DailyTravelTips,2015-10-09T13:16:00,@InterConHotels trying to get the email of a PR marketing contact at Lhasa Paradise property but no one at hotel seems to to respond #help?,652472748703354880
calos1465241,2015-10-09T14:15:00,@InterConHotels Hi! Are you looking for a Spanish property? See my profile. Thx! http://t.co/NgpFN0K3TB,652487661974851584
UKTheatreShows,2015-10-09T14:19:00,@InterConHotels  Are you looking for a top quality #BeeGeesTributeShow to entertain your guests if so check out https://t.co/LjiGMPKAMB,652488446393626624
ferventfinance,2015-10-09T14:34:00,"@InterConHotels 
Me: Hi can I get a bottle of water? 
Front desk: You're going to have to call room service for that.
#wtf???",652492355770163200
2late4regrets,2015-10-09T15:37:00,@InterConHotels What time do your hotel restaurants close?,652508282851082240
artistinaspen,2015-10-09T16:39:00,@InterConHotels Totally agree! Pop Up #Occupy Art @ Intercontinental Berlin Room 286 #AfterShabbat-Noon Tomorrow http://t.co/ThyXK7gMLp,652523689288826880
quetal28,2015-10-09T17:22:00,@InterConHotels #IntercontinentalHotel #AbuDhabi was awesome! Really beautiful hotel http://t.co/AoIK1LJUXY,652534660505858048
willysurf,2015-10-09T17:51:00,@InterConHotels 1407 IC Hua Hin😉,652541933043228672
kmillholen,2015-10-09T17:57:00,@InterConHotels Kudos to the Concierge at the Porto location for helping me with my plans before I arrive! Can't wait to get there!,652543357474836480
Jeffcop68,2015-10-09T22:07:00,@InterConHotels enjoying being back at the IC Buckhead once again. Service at its best.,652606423168360449
hill_hotmail,2015-10-10T11:07:00,@InterConHotels thank you for supporting the use of licensed taxis at park lane we are happy to serve your customers,652802606025285632
bhermans,2015-10-10T11:40:00,@InterConHotels at checkout IC DUS I was told that parking was free cause they lost ticket. But there's still a separate charge on my cc.,652810829184794624
loren_sofya,2015-10-10T13:48:00,@InterConHotels can I get a group discount?,652843181017563136
_CiaraTweets,2015-10-10T16:30:00,@InterConHotels 💖 http://t.co/pDEVmfGTch,652883921512890368
OwensRayna,2015-10-11T03:19:00,@InterConHotels #wellington @wellingtonista great view from the Club Lounge #lovethesea http://t.co/jfeEIMMlkD,653047158191452160
Merlina_6,2015-10-11T12:32:00,@InterConHotels Can my 4yo stay for free in my room?,653186533575532545
Larz_and_Isabel,2015-10-11T13:54:00,@InterConHotels Read about a famous guest at The Barclay NY in 1943! http://t.co/F1Lwmxymrm Check out our trailer! http://t.co/MzFwqA08Gq,653207065951911937
888pestcntrlceo,2015-10-12T05:49:00,@InterConHotels RE:BED BUGS THENEWS  MEDIA&amp;PUBLIC WERE BEING MISINFORMED BY SEVERAL IN THE PEST CONTROL INDUSTRY! FOR PERSONAL GAIN. NOT US!,653447387151642625
kmillholen,2015-10-12T12:45:00,@InterConHotels We'll be there Nov 1-3. Not soon enough!,653552039155232768
Lisa_Leung,2015-10-12T12:58:00,"@InterConHotels definitely did - we hit up Kobe and Osaka IC hotels this time! Can't wait to do more, so impressed. http://t.co/EOjFqwrzCH",653555230785716225
freqflyer,2015-10-12T13:36:00,@InterConHotels how can I get the email for the concierge at the Managua intercon?,653565020287160320
S1R1USme,2015-10-12T15:45:00,@interconhotels Are your hotels open Christmas day?,653597321263976448
teejaygonzales,2015-10-12T16:41:00,@InterConHotels sad that Manila is closing :(,653611566454063104
tris2506,2015-10-12T16:49:00,@InterConHotels Just Danang to go for me this year then! Have done IC DFC &amp; IC BKK twice this year already! Not bad for a leisure traveller!,653613383799844864
mjdazzler,2015-10-12T19:52:00,@InterConHotels Have you got a rewards scheme?,653659532514709504
tris2506,2015-10-12T20:58:00,"@InterConHotels This week has been IC LAX, IC (Aff) Palazzo Vegas, and in 5 weeks IC Abu Dhabi for F1. With a scattering of Hol Inn &amp; CP 😎",653676198602477568
fivestar_kids,2015-10-13T05:57:00,@InterConHotels Hello! Do you have an email address specifically for media enquiries?,653811712848621568
GreenLivingGB,2015-10-13T15:54:00,@InterConHotels Hi! We have a project that we believe you may be interested in.Would you kindly direct us to the correct person to speak to?,653961991095209984
richardstreet77,2015-10-14T04:45:00,@InterConHotels Wellington team well played brilliant custservice. A Rtn trip found in my room a hand written get well note for mel &amp; gift,654156127546937344
Appointment_Grp,2015-10-14T08:30:00,"@InterConHotels #Paris: Chef Christophe Raoux wins prestigious culinary award
http://t.co/D6GoBUEW6y #travelnews http://t.co/hUiRh30fUL",654212560695111682
TAGG_Private,2015-10-14T08:30:00,"@InterConHotels #Paris: Chef Christophe Raoux wins prestigious culinary award
http://t.co/AQDcgtZg5C #travelnews http://t.co/GiW8X8QthO",654212560686727168
mikepenrod,2015-10-14T13:06:00,"@InterConHotels Nice post, I shared it on http://t.co/h5Xlrn5qJu http://t.co/fPmLH8BnFa",654282020168814593
DailyTravelTips,2015-10-14T14:11:00,@InterConHotels @IHGCare thanks for the welcome goodies! http://t.co/nXS8xigWax,654298581319450624
superfind1972,2015-10-14T15:30:00,@InterConHotels Hi! Can a family of 3 stay in  double room and add a bed at no extra charge? Thanks!,654318353222356992
Kibet_88,2015-10-14T19:50:00,"@InterConHotels I'm enjoying your wonderful facilities and excellent
 services",654383787019780096
helenihwang,2015-10-14T23:02:00,"@InterConHotels - Yes we loved it at your new hotel in #Estoril, #Portugal. Still smells like new carpet!",654432067212722176
