screen_name,created_at,text,id
IBM,2015-10-06T20:53:00,"#DidYouKnow Until now, 80% of the world’s data has been invisible to computers. Enter @IBMWatson. http://t.co/RKqtzG0eEO #CognitiveEra",651500523535904768
IBM,2015-10-06T22:15:00,Recap of CEO Ginni Rometty's keynote at this morning's #GartnerSYM http://t.co/PFy5mAHpKz #CognitiveEra http://t.co/DEJKjt2s5M,651521133083295744
IBM,2015-10-07T14:32:00,@DaisyWareJarret Information on how to share can be found on the website http://t.co/Ue5CIb2U1v,651766979355918337
IBM,2015-10-07T15:05:00,RT @KenJennings: So embarrassing when you run into someone you used to go out with &amp; they are clearly still into you. http://t.co/JA0XRZdjma,651775484095807488
IBM,2015-10-07T16:28:00,RT @IBMWatson: Learn how to enable cognition in your apps with #IBMWatson Developer Cloud. Watch the demo: http://t.co/1AcXuHA8bt http://t.…,651796339228065792
IBM,2015-10-07T17:54:00,RT @IBMpolicy: Just launched #THINKPolicy– a new series w/ #IBM's view of a 21st century data policy agenda. http://t.co/Y35XIjQCSg http://…,651817999226302465
IBM,2015-10-07T19:19:00,.@IBMWatson in advertising's oddest pairing http://t.co/a83BChyb8J #CognitiveEra @adweek ad of the day http://t.co/squPQz2bCr,651839378503954432
IBM,2015-10-07T20:01:00,"With the advent of cognitive computing, new tech isn’t programmed, it learns. http://t.co/RKqtzG0eEO #CognitiveEra http://t.co/O02JF5GFb3",651849791014588416
IBM,2015-10-07T22:10:00,IBM's @PathwaysInTech named one of the most innovative schools in the world by @techinsider http://t.co/WQnl1Q0YFU,651882407130480640
IBM,2015-10-08T00:40:00,Find out how 3 #womenatIBM are hacking their hair dryers. http://t.co/rrEFwjiBXD #WomenInTech http://t.co/8aVg6A1wz6,651920111843082244
IBM,2015-10-08T14:55:00,"Watch @IBMWatson and Bob Dylan discuss music, lyrics and language. http://t.co/2FZXMdHIU7 #CognitiveEra",652135242409467904
IBM,2015-10-08T16:36:00,RT @IBMWatson: Sun co-founder Scott McNealy weighs in on Wayin’s mission w/ Watson's help. http://t.co/hkeN4OjZz4 -@FortuneMagazine http://…,652160527603359745
IBM,2015-10-08T17:16:00,@AndrewGrill Congratulations on two years!,652170676682424320
IBM,2015-10-08T18:15:00,Read what happened when @buzzfeednews writer @stephaniemlee let #ChefWatson create the menu http://t.co/Ipyt2MWLo3 http://t.co/XaygrPONzT,652185527228235776
IBM,2015-10-08T20:25:00,"Almost 5 years later, competitors @IBMWatson and @KenJennings catch up http://t.co/61YNQ9hivt #CognitiveEra",652218288773156867
IBM,2015-10-08T22:45:00,"Help us blast away this untruth, once and for all. http://t.co/rrEFwjiBXD #womenintech #HackAHairDryer http://t.co/c6EnYwpGHL",652253432703750144
IBM,2015-10-09T15:40:00,Annabelle wants to be a doctor when she grows up. @IBMWatson can help with that. http://t.co/dVwldS6yjL #CognitiveEra,652508875594297344
IBM,2015-10-09T16:05:00,"Cognitive computing: what it means, why it's important and what will change  http://t.co/EjAiMHEPns #CognitiveEra http://t.co/UR8VTDLLLN",652515335900409857
IBM,2015-10-09T17:29:00,"Check out IBM's new ""LC"" line of Linux servers, announced yesterday. http://t.co/apvsYFtDaG http://t.co/rOjCzdFeGe",652536292060729344
IBM,2015-10-09T20:10:00,.@IBMWatson is open for business on the cloud w/ 28 APIs. What will you build? http://t.co/2Hrjl8McMb #CognitiveEra http://t.co/oLMFwH5tNn,652577004454285312
IBM,2015-10-10T18:15:00,"In the #CognitiveEra, we can build into every digital application a kind of thinking ability http://t.co/RKqtzG0eEO http://t.co/uUv2mXSbBz",652910396559519744
IBM,2015-10-10T21:25:00,#ICYMI: Recap of CEO Ginni Rometty's keynote at the #GartnerSYM http://t.co/PFy5mAHpKz #CognitiveEra http://t.co/OKYp37MW2C,652958111687426048
IBM,2015-10-11T17:02:00,Find out how 3 #womenatIBM are hacking their hair dryers. http://t.co/rrEFwjiBXD  #WomenInTech http://t.co/SiWDiWJEhX,653254309006737408
IBM,2015-10-12T15:58:00,Explore the relationship between technology and humanity at #TEDatIBM 2015. Join us: http://t.co/qzn2KPuCZM http://t.co/bjL4bemCZR,653600639877054464
IBM,2015-10-12T18:10:00,"The #CognitiveEra, a new era of technology, business and thinking. Learn more: http://t.co/695yEORN34 http://t.co/NxNsFUiP5j",653633829886918660
IBM,2015-10-12T20:15:00,How IBM is helping start-ups in India http://t.co/jDaDB77o5o via @bi_india #IBMCloud http://t.co/7xAGZHtOUf,653665288953720832
IBM,2015-10-13T15:28:00,RT @IBMWatson: How Watson can work with you: learn how #cognitivecomputing is improving our everyday lives. http://t.co/IykJ2zDjpJ http://t…,653955417521979392
IBM,2015-10-13T17:56:00,RT @_workingmother_: #Workmom Lindsay-Rae McIntyre shares real-life side of @IBM 's 30 years on #WM100Best http://t.co/gz5TLCuRTz http://t.…,653992652719849472
IBM,2015-10-13T19:10:00,"#ICYMI, watch IBM CEO Ginni Rometty explain the #CognitiveEra on @CNBC http://t.co/2wWyLdssEl http://t.co/jae9nVUCzb",654011348850970625
IBM,2015-10-13T21:01:00,Prepare your fall menus with #ChefWatson. Check out what others have made: http://t.co/IjNonPcdcn http://t.co/Hhm0VtRfso,654039272161460228
IBM,2015-10-13T23:55:00,Help us blast away this untruth about women. http://t.co/rrEFwjiBXD #womenintech #HackAHairDryer #IBMTechTalent http://t.co/pv9txg45wg,654083067527741444
IBM,2015-10-14T15:31:00,CEO Ginni Rometty speaks to @FortuneMagazine editor about most disruptive trend in tech http://t.co/9YPA1ZTxCI #FortuneMPW #CognitiveEra,654318567630966785
