screen_name,created_at,text,id
chaulpurch,2015-10-07T18:58:00,@IBM @IBMWatson good commercial,651834073464348672
bikramnehra,2015-10-08T00:40:00,@IBM at @SFU #IBMonCampus http://t.co/AcUC7liH4A,651920138841657344
havaughn42,2015-10-08T04:04:00,"@IBM Analytics can identify&amp; predict problems 
http://t.co/CDDcVEA1LI @havaughn42 http://t.co/IzqdfRKpA8 @IBMECM http://t.co/W5iT03YB8Q",651971384390905856
Jen_Lew6,2015-10-08T04:55:00,@IBM Watson makes me so happy 😊😊,651984244810620929
comedianbeaty,2015-10-08T06:54:00,@IBM @CNBC Is that Larry Cudlow in a Wig..,652014287121072128
RandyCFord,2015-10-08T09:04:00,"@IBM @KenJennings Yes, but can  @IBMWatson beat itself in tic-tac-toe?",652046798832447488
BeszteriZs,2015-10-08T09:33:00,"@IBM launches #THINKPolicy series with focus on #cybersecurity, call for Congressional action. http://t.co/Om2RFHijbp",652054235178254336
IBMJobsGlobal,2015-10-08T10:43:00,@IBM: Find out how 3 #womenatIBM are hacking their hair dryers. #IBMTechTalent  https://t.co/J1CRy0QhWd,652071870074875904
MorganHalgand,2015-10-08T11:15:00,"@IBM just launched a new 2,000-employee consulting business to dominate #BigData   http://t.co/PBftLNKehs via @BIUK_Tech",652079936589721601
sunshine23511,2015-10-08T13:09:00,@IBM @IBMWatson Creepy!!!!,652108451376668673
HarryJFriel,2015-10-08T13:24:00,@ibm My cousin worked with IBM in New York.,652112255748841472
frugalfortune,2015-10-08T13:27:00,@IBM greatest lyricist ever.,652113017375748096
SPITFYATHEFLAME,2015-10-08T15:30:00,@IBM Do you need a jingle for your company? https://t.co/hfRqVGQ6NX # https://t.co/pc5bjTLPuV NOT GIVING UP http://t.co/SKqwpv0srH,652144136678576129
malcolmscurse,2015-10-08T19:07:00,@IBM @IBMWatson idk why this made me cry so hard?,652198618221408257
Diamandbacks,2015-10-08T19:08:00,"@IBM @IBMWatson Oh, so it IS Dark already, not just getting there. https://t.co/DUopgsfRxZ",652198934127996928
MikeTactical,2015-10-08T19:09:00,@IBM @IBMWatson @KenJennings Yes it changed its own name to skynet and no longer answers to Watson and wants to play a game...............,652199178836254720
Yungmcboo,2015-10-08T19:15:00,@IBM @Yungmcboo: Go check it out King Boo Make Em Mad http://t.co/zoMwwsNpkN,652200780527763457
TechReact,2015-10-08T22:06:00,@IBM New Carbon Nanotubes Could Move Chips Beyond Silicon http://t.co/PN1kYpXaqv,652243611845816320
social_Kry,2015-10-09T08:53:00,@IBM https://t.co/NEMw4UUrSI,652406639748747264
ivanleoncz,2015-10-09T12:20:00,@IBM YOUR SUPPORT HERE IN BRAZIL FOR SystemX x3630 IS HORRIBLE! THOUSANDS OF MOTHERBOARDS AND THE SERVER STILL NOT WORKING PROPERLY. #AWSOME,652458719733747712
social_Kry,2015-10-09T12:52:00,@IBM  https://t.co/cYhr311psZ,652466789402705920
HeiressMommy,2015-10-09T15:43:00,@IBM As feminist business owner appreciate this however you employ documented misogynistic cyberstalker in MI #Fact  https://t.co/zJL60TxKT5,652509622981496833
DrLinfinity,2015-10-09T16:25:00,@IBM Agree with you my friends. 《The success of any company depends on the success of their people》(:):(:),652520281622319104
JKMorg,2015-10-09T18:17:00,@IBM Dylan checkmates in &lt;24 seconds. Lol.,652548531924799488
ExecRank,2015-10-09T19:05:00,"@IBM just appointed its 4th female board member, #executive Hutham Olayan, reports @FortuneMagazine. http://t.co/OqYC6K9EZQ",652560540930338816
APCNETSHELTER,2015-10-09T19:37:00,@IBM #researchtrianglepark first time! Not a first for @APCbySchneider #NetShelter though! #jawdropping experience! http://t.co/QGXsOlf7bB,652568475341336576
BenkeDenise,2015-10-09T20:33:00,"@IBM 
Please help our little city
We need playground equipment.",652582775824908288
tuttyptr39,2015-10-10T12:01:00,@IBM Connect with customers where &amp; when they want with #WebRTC and #IoT on #WASLiberty http://t.co/DgFcV2S6tW http://t.co/fCHdeHwbf4,652816160933715968
ShoutsofSarah,2015-10-10T12:02:00,@IBM claims #carbon #nanotube-based chips will blow #silicon-based chips away: http://t.co/dFmnksvClq #Mooreslaw http://t.co/9cfdZNYtIL,652816404685680640
taramariekelsey,2015-10-10T17:25:00,@IBM Data Ingestion and Access Using Object Storage http://t.co/hHLFvxd8Dg,652897773034041344
ChamberTwnty,2015-10-11T17:47:00,@IBM Adore the new Bob Dylan commercial! Entertaining and informative. @bobdylan,653265676014981120
TechReact,2015-10-11T23:52:00,@IBM Buys Cleversafe to Boost @SoftLayer #Cloud's Object #Storage Chops http://t.co/Ez00Dqe4Wi,653357416621469696
BlueSuitSales,2015-10-12T12:40:00,"@IBM
 https://t.co/V7LSfJwcOG",653550841492828160
BlueSuitSales,2015-10-12T12:47:00,@IBM  https://t.co/tCbrWL7qtP,653552528743751682
tuttyptr39,2015-10-12T13:50:00,@IBM News room - 2015-10-08 MEDIA ALERT: New IBM Bluemix Feature Enables Node.js Apps to Be Debugged  http://t.co/FN3TGrcGkt,653568496408915968
bfitz914,2015-10-12T15:22:00,"@IBM @google @surface @NASA @DisneyPixar @Princeton 🎯@NobelPrize🎯Congratulations*Angus Deaton*🔬Economic Sciences~Consumption, great &amp; small🔭",653591632424632323
nataliafarfanp,2015-10-12T23:27:00,"@IBM se encuentra entre Las mejores compañias para las madres trabajadoras

https://t.co/OiL2WEgJlm",653713593813237760
nataliafarfanp,2015-10-12T23:27:00,"@IBM se encuentra entre Las mejores compañias para las madres trabajadoras

http://t.co/lYl8246o3c",653713687283408896
WordplayDopeAF,2015-10-13T03:41:00,@IBM @IBMWatson @Internetgod_,653777576167497728
h_thoreson,2015-10-13T04:09:00,@IBM @tobeabletodare Bob Dylan talks to a computer,653784675350134784
benteagueNZ,2015-10-13T05:56:00,@IBM banking future of banking with robots at DBS Bank #ibmsibos15 https://t.co/exTODrNoW4,653811449463242752
Michael_Corey,2015-10-13T09:32:00,@IBM will invest 1b in software-defined storage over next 5 years @VMworld #cloud,653865851146256384
NaniMontemayorB,2015-10-13T10:49:00,@IBM’s Etay Maor &amp; @CalebBarlow talk to @FoxNews about threat sharing and collaboration http://t.co/DDbtZBverC @IBMSecurity,653885182752256001
epilkington,2015-10-13T13:38:00,@IBM Breaks New Ground w/ #CognitiveComputing Unit #Watson #CognitiveEra #AI #Transformation #Analytics #Automation http://t.co/UGQLcCXFtH,653927784897581056
HackSphereLabs,2015-10-13T14:27:00,@IBM now open source the code.,653940139056566272
tuttyptr39,2015-10-13T16:20:00,@ibm http://t.co/D75mjI1KpW #Software #Renewals #ROI ensure your success http://t.co/nQZtsXHpEi,653968633501229056
TechReact,2015-10-13T22:06:00,@IBM CEO Says #Automation Won’t Decimate Job Market http://t.co/ZBmXE1c5eO,654055511025954816
FabioBarillari,2015-10-13T23:01:00,@IBM Acquires #Cleversafe To Accelerate #Hybrid #Cloud #Storage #Strategy http://t.co/EEl4NAybAC http://t.co/5SBuf22bm3,654069533192294400
alwayswithyoumw,2015-10-14T10:26:00,"@IBM session in progress
Zomba #Chanco http://t.co/mY569x3T2B",654241842326827008
layuso,2015-10-14T12:56:00,"@IBM announced VVol coming to Mid-range storage like the V7000 in Late November. Look for the update on fix central, also name change",654279525380030464
