screen_name,created_at,text,id
DaveFormosa,2015-10-11T18:18:00,@ITV sorry but I don't feel this radio dj deserves his seat on the judging panel,653273380720934912
HarrisKieghly,2015-10-11T18:24:00,@ITV love this lad proper did it for us Leeds ppl gone on lad u smashed it xxxxx,653274920751890436
DavidRazzle,2015-10-11T18:44:00,"@ITV I REALLY DON'T NO HOW SIMON COWELL AND ITV GET OFF WITH IT, AND THESE FUCKING JUDGES! I HOPE THEY ALL GO TO HELL!",653279981330669568
DavidRazzle,2015-10-11T18:49:00,@ITV @TheXFactor THESE TYPES OF PEOPLE BRING MUSIC DOWN TO THE VERY ROCK BOTTOM OF THE SHIT PILE WHILE HUMILIATING PEOPLE! I FUCKING HATE IT,653281368135323648
jasonparry27,2015-10-11T18:51:00,@ITV @TheXFactor What a knobhead he is...,653281907661213696
STrimnell,2015-10-11T18:52:00,@ITV @grimmers what a load of rubbish turning over for antiques roadshow,653282087341006848
Jamie4711,2015-10-11T18:53:00,@ITV @TheXFactor Bye Felicia.  #SixChairChallenge,653282362747392000
DavidRazzle,2015-10-11T18:59:00,@ITV THAT IS ABSOLUTELY TERRIBLE! WHAT HUMILIATION! IT REALLY HAS TO BE THE WORST PROGRAMME ON TELEVISION! THE GUYS NOT IN HIS RIGHT MIND!,653283847103213568
TayaYoungQueen,2015-10-11T19:03:00,"@ITV @TheXFactor 
@SimonCowell looks lost 😂😂",653284753261596673
juliericketts2,2015-10-11T19:06:00,@ITV bring him back,653285527765037056
KERRYBOYZONEFAN,2015-10-11T19:24:00,@ITV @ITV hi just wandering is this link genuine http://t.co/s37TGP056a,653290197103312896
thefunkystudio,2015-10-11T20:00:00,@ITV | awesome sight.. Image: http://t.co/g2nx8xynWY | John Potts http://t.co/MlAmFyo6bv,653299238735060992
Pelvis_Parkin,2015-10-11T21:21:00,@ITV why does it take an age for the latest programmes to get loaded onto itvplayer?  Missed downton abbey 😂😂 hurry up please!,653319478932033537
AmySian1993,2015-10-12T15:02:00,"@ITV player is right gritting my shit! playing up big time, pause it to do something, it starts playing again, pause again it restarts! -.-!",653586428765569024
Malcmoore52,2015-10-12T16:46:00,@ITV @GranadaReports @EmmaJessonTV prediction worst winter in 1/2century with advanced weather models now predicting4MONTHS of heavy snow?.,653612594452930561
Lyndahayes,2015-10-12T17:32:00,@ITV I sure wish you hadn't replaced tonight's #DocMartin episode with football. Grrrrr. #SadButTrue,653624385920757760
Taggertee,2015-10-12T18:58:00,@ITV #emmerdale what I'd like to know you makes the chocolate and sweets at the shamma factory who are the mixer men,653645990927450112
KimNiceBUTDim29,2015-10-12T19:48:00,"@ITV Getting so fed up of Corrie being messed with - I feel like it's hardly ever on anymore, I'll have to google who everyone is! 😤",653658634916884480
joeyzas,2015-10-12T20:30:00,@ITV Hey guys. Great channel. You know that 'Unforgotten'? It's 'Remembered'. #Unforgotten,653668985913888768
georgiathresh,2015-10-12T21:14:00,@ITV I don't understand how you can prioritise the footy over @itvcorrie #youruinmynighteverytime #nocorriesucks #mondayisbadenough!!!,653680277148049408
MandaliaKavita,2015-10-12T21:19:00,@ITV #disppointed no @itvcorrie tonight. Who cares about football. #corrie,653681513280741376
Jonatha94435682,2015-10-13T19:06:00,@itv why are itv not showing the wales football game tonight? Why Italy?,654010261888741376
elainecasebury,2015-10-13T19:54:00,@ITV loving #eternalglory. Really entertaining!,654022309267812352
Jen_Pharo,2015-10-13T20:04:00,@itv just warned about dead animals in Lewis (murder in a taxidermy shop). What about the DEAD HUMANS?#lewis #itv,654024840861589504
Bonkers_Britain,2015-10-13T22:00:00,"@ITV 
Time to change channel.. THAT ARSE..KEITH LEMON IS COMING ON.
ITV.."" SPEND SOME MONEY &amp; STOP USING "" Z ""LISTERS ..",654054020131201024
mrsdonnaallen,2015-10-14T19:39:00,@ITV why do I watch this before bed!?  #series4 #whitechapel,654381142074871809
tara_daykin,2015-10-14T20:18:00,"@ITV Already loving the new series with Alexander Armstrong, love it when celebrities travel and discover our wonderful world. 😊",654390874382704640
jockney,2015-10-14T20:21:00,@ITV why isn't @XanderArmstrong wearing a hat? Great show despite the frosty ears,654391489439641600
