screen_name,created_at,text,id
JDhelpteam,2015-10-06T18:45:00,"@Carabaecon__ Yes that is correct. Kind Regards, ^UJ.",651468348249796608
JDhelpteam,2015-10-06T20:36:00,"@_MarkkM Hi Mark, please could you DM me with your order number so that I can assist you further?
Thanks ^LC",651496332423774208
JDsportsfashion,2015-10-07T06:30:00,"RT, follow and click below to enter to #win #RWC2015 Quarter Final Tickets. All courtesy of @CanterburyNZ.
https://t.co/bKMOkbueOG",651645662438670336
JDsportsfashion,2015-10-07T08:24:00,@HelenaMoss Hi Helena please tweet your order number to our customer service team @JDhelpteam so they can see where this is ^ OS,651674506206007296
JDsportsfashion,2015-10-07T08:25:00,@LeohLondon Hi please tweet our help team @JDhelpteam and they can advise you ^ OS,651674696807747584
JDsportsfashion,2015-10-07T08:59:00,@Bertie_vwcamper Hi have you tried tweeting our help team @JDhelpteam thanks ^ OS,651683277632348160
JDhelpteam,2015-10-07T09:50:00,@ChrisChrisBell  Could you please follow and DM me with your full name and address please?,651696213671198721
JDhelpteam,2015-10-07T13:29:00,@gbpg064 Is this for the mens bottoms? Thanks ^UJ.,651751148735602688
JDsportsfashion,2015-10-07T14:00:00,The @ASICSTigerUK #Kayano EVO 'Ink/Grey' #JDExclusive is the evolution of an icon.→http://t.co/gMUuZ6htIU http://t.co/1KaogzsASI,651758997523947520
JDhelpteam,2015-10-07T14:04:00,@nazcallmedaddy Hello so I can look into this for you and advise. Do you have an order number? Thanks ^UJ.,651760112793686016
JDhelpteam,2015-10-07T14:06:00,@shayletta We are sorry to hear that. Please can you DM us your order number? Thanks ^UJ.,651760596329832448
JDhelpteam,2015-10-07T14:25:00,"@kxthryn_  Hi Kathryn, How can we help? Thanks ^UJ.",651765395838377984
JDhelpteam,2015-10-07T14:33:00,"@wendyprgenie Hi Wendy, Thank you for the positive feedback. *DE",651767330339442688
JDhelpteam,2015-10-07T14:52:00,"@lestereverton80 Hello, Yes it is available now. Hope this helps. *DE",651772207539073024
JDhelpteam,2015-10-07T19:01:00,"@LindaCaires Hi, can you follow up so that we can DM you details regarding this order? Thanks ~DB",651834710474231808
JDhelpteam,2015-10-07T20:42:00,"@skoshea Hi, Please can you DM us your order number so I can assist you with this? ~DB",651860109245710337
JDhelpteam,2015-10-08T08:32:00,"@Official_JR_1 Hi James, no, sorry we do not offer a loyalty card scheme. Thanks",652038755575009280
JDsportsfashion,2015-10-08T10:43:00,@Barrel12 Hi Phillip have you spoken to our customer service team? Tweet them at @JDhelpteam and they can look into this for you ^ OS,652071736595365888
JDsportsfashion,2015-10-08T11:31:00,@louelli Hi Louise if you tweet your order number to @JDhelpteam they can track it for you ^ OS,652083774042279936
JDsportsfashion,2015-10-08T11:41:00,RT @JDFootball: .@nikefootball X has landed at #JDOxfordSt. Shop the full range including #MagistaX in store today. http://t.co/iaiFUNtjAl,652086477908799488
JDsportsfashion,2015-10-08T11:42:00,RT @JDFootball: Celebrate the launch of @nikefootball X at #JDOxfordSt with the #MagistaX arcade game. In store until Saturday 10/10! http:…,652086649908801536
JDhelpteam,2015-10-08T14:15:00,@Barrel12 please complete and return so we can investigate further. Thanks ^UJ.,652125180920233984
JDsportsfashion,2015-10-08T15:29:00,@rossgazzard Hi Ross your can contact our customer service team via twitter @JDhelpteam thanks ^ OS,652143744653750272
JDhelpteam,2015-10-08T15:33:00,"@louelli Hi Louise, Could you please DM us regarding this. Regards *DE",652144745666342912
JDsportsfashion,2015-10-08T16:26:00,"@IrisManu1 Hi, Please could you tweet @JDhelpteam with more info. and they will look into this further, thank you ^ OS",652158120819462144
JDsportsfashion,2015-10-08T16:49:00,RT @JDFootball: Over the next few days you'll have the chance to try out the new @NikeFootball Magista X in store at #JDOxfordSt! http://t.…,652164000021549056
JDsportsfashion,2015-10-08T18:30:00,We welcome the @Vans #OldSkool to JD for the first time in two classic colourways. Now live→http://t.co/fa2GTOSENE. http://t.co/rbX6M7zkLI,652189264180965376
JDhelpteam,2015-10-09T02:16:00,"@jonhayes97 Hi Jon, I've managed to cancel one of your orders. Your refund will show in your account within 24 hours. Thanks, Lewis.",652306495867080704
JDhelpteam,2015-10-09T09:26:00,@julian301270 How can I help?,652414869845766144
JDsportsfashion,2015-10-09T11:53:00,@CarolynDeverson Hi Carolyn have you spoken to our help team @JDhelpteam ^ OS,652451848809500672
JDsportsfashion,2015-10-09T19:30:00,Coming soon. Watch this space... http://t.co/AFx4sDKuum,652566746222583808
JDhelpteam,2015-10-09T21:40:00,"@rachelnearney 
JD
Newcastle, Silverlink Retail Park
Unit G2 Silverlink Retail Park
Newcastle
NE28 9NP",652599612990201856
JDhelpteam,2015-10-10T01:14:00,@Louise21xo Hi I'm very sorry to hear this. Can you DM me the time and date so I can have a manager look into this for you please? - Lewis,652653418503385088
JDsportsfashion,2015-10-10T09:00:00,"The New ZX Flux 'Metallic Pack' from @adidasOriginals.
→http://t.co/xvaQxljlE1
→http://t.co/IsUsrcF7Ua http://t.co/Lvnc0tAEGD",652770592714715136
JDhelpteam,2015-10-10T10:46:00,"@Muratkucuuuk Hi, please follow and DM us your order number so we can have a look into this for you. Thanks, YR",652797235445518336
