screen_name,created_at,text,id
jpmorgan,2015-10-06T22:06:00,When should Millennials start preparing for retirement? $JPM insights via @Forbes: http://t.co/DdJKYPJUAj,651519046526050304
jpmorgan,2015-10-07T13:47:00,Are you at the 2015 @OutandEqual Summit? Don't miss the  $JPM workshop today.,651755774109184002
jpmorgan,2015-10-07T14:41:00,@garvitMad Thank you for your interest. We encourage you to check with your school's placement center for our career opportunities.,651769276165189633
jpmorgan,2015-10-07T16:07:00,A warm welcome to @dhmeyer joining us at $JPM HQ today in #NYC. http://t.co/sP1etlRnDx,651790994707509248
jpmorgan,2015-10-07T16:16:00,"RT @Chase: My formula for success is humility, teamwork, and luck: @dhmeyer #WhatItTakes http://t.co/YpggrdniTn",651793167621201920
jpmorgan,2015-10-07T16:22:00,"""Triumphs feel great, but ultimately we learn more from our falls."" - @shakeshack's @dhmeyer on #whatittakes http://t.co/zhsyrsreEz",651794791898972160
jpmorgan,2015-10-07T16:58:00,"How @dhmeyer chooses talent for his business: Times are not always good, I ask: who do I want on my team when we aren't on a winning streak?",651803746553462784
jpmorgan,2015-10-07T17:27:00,"RT @Chase: Thanks @dhmeyer for sharing #WhatItTakes to be a successful leader, business owner, and pioneer. We're inspired. http://t.co/ipS…",651811203329691648
jpmorgan,2015-10-07T20:20:00,Tune in to @CNBC for an airlines update from @IIMAG top-ranked equity analyst Jamie Baker at 4:40 EST,651854510944583681
jpmorgan,2015-10-07T21:17:00,Proud to attend the @OutandEqual 2015 Summit this week to support #LGBT rights in the workplace. http://t.co/Vg4Mktpect,651868858215702528
jpmorgan,2015-10-07T22:44:00,"RT @NYCMayorsFund: More on our $19.8 M program with @LISC_NYC, @RobinHoodNYC, @jpmorgan and @RedCross to fix 501 #Sandy-damaged homes: http…",651890909685092352
jpmorgan,2015-10-08T11:27:00,Today's our final day at the @OutandEqual Summit in #Dallas. Thanks to all who joined us in supporting #workplaceequality.,652082763198238720
jpmorgan,2015-10-08T13:33:00,RT @LJFamFoundation: We call them our partner for a reason. Thank you @JPMorgan @Chase &amp; all of the #Code4Good participants! #IPROMISE http…,652114563765248000
jpmorgan,2015-10-08T14:15:00,Vis Raghavan: $JPM is honoured to support this celebrated piece of British culture and history. http://t.co/foinEOYVs3,652125044307554304
jpmorgan,2015-10-08T14:37:00,"With gas prices down, where are those savings going? Diana Farrell, head of #JPMCInstitute, tells @CNBC http://t.co/vVWcp4SucZ",652130583204655105
jpmorgan,2015-10-08T16:34:00,#TBT The 1st US Air Mail flight from NY to CA took 33 hrs in 1924. Our $JPM predecessors used air mail for its speed. http://t.co/VmUcDtww1F,652160223403114496
jpmorgan,2015-10-08T18:58:00,RT @CNNMoneyInvest: .@jpmorgan says Americans are spending their gas savings. http://t.co/8DXh6RQ9Yj http://t.co/dCRve6WDHU,652196380803510272
jpmorgan,2015-10-08T19:16:00,"@name_is_JAH Hi, the @MorganLibrary might be a good place to start.",652200792552816640
jpmorgan,2015-10-08T21:25:00,"Congrats to all the women being honored tonight by @AmerBanker, especially our female leaders at $JPM #mpwib
https://t.co/0rpBf1raJP",652233328221777920
jpmorgan,2015-10-09T01:09:00,"RT @AmerBanker: ""Women must support women."" - Marianne Lake #mpwib http://t.co/asZDWyOpko",652289849010061312
jpmorgan,2015-10-09T12:47:00,Seen in  #Delaware: The stages of the recent lunar eclipse were captured over a period of 4 hours by a $JPM employee. http://t.co/vACdGq55d1,652465285379805186
jpmorgan,2015-10-09T13:20:00,RT @eFinancialNews: .@jpmorgan has university challenge for future tech stars http://t.co/mAy6glRN2j,652473672805031936
jpmorgan,2015-10-09T17:28:00,How can Millennials be prepared for retirement? $JPM insights via @Forbes: http://t.co/uHBVjXbctT,652536002960060416
jpmorgan,2015-10-09T19:27:00,RT @UDelaware: Ribbon was cut yesterday on our newly expanded @JPMorgan Innovation Center. http://t.co/QXg6PO2gFj via @6abc http://t.co/Xfr…,652566135553003520
jpmorgan,2015-10-09T20:00:00,"What’s our culture like at $JPM? Hear from Ryland, a VP. http://t.co/5C71geGgpB
https://t.co/Sly93wHRWh",652574384339599360
jpmorgan,2015-10-09T20:04:00,"TUNE IN: Head of #JPMCInstitute, Diana Farrell, will be on @FoxBusiness at 4:20 pm ET to discuss the Institute's latest report.",652575259519021056
jpmorgan,2015-10-09T20:50:00,Honored to be recognized by @blackenterprise as one of the Best Companies for Diversity.  http://t.co/txPrpz9UOL http://t.co/v2Y5JqLrgk,652586840629882880
jpmorgan,2015-10-09T20:57:00,RT @ForbesDiversity: The Quest for Top Talent: How #Diversity Initiatives are Improving Our Business http://t.co/WPxhwjIQpK @jpmorgan Brand…,652588747788288000
jpmorgan,2015-10-09T21:02:00,RT @crainsdetroit: J.P. Morgan Chase teams to help #Detroit nonprofits launch new programs http://t.co/12BDZ1kyaS,652589914433978368
jpmorgan,2015-10-09T21:45:00,RT @mexico: .@jpmorgan apuesta por #Mexico al unirse a inversionistas de bonos para financiar el nvo. aeropuerto de #CDMX (ing) http://t.co…,652600879829385216
jpmorgan,2015-10-09T21:45:00,RT @mexico: .@jpmorgan is betting on #Mexico as joins bond team for US$13 billion #Mexico City airport. http://t.co/AqgDvVfOJC http://t.co/…,652600897437081600
jpmorgan,2015-10-12T12:06:00,"Our commitment to #InvestInDetroit continues as $JPM employees head to the Motor City, via @delawareonline http://t.co/rjneNdIny2",653542128958767104
jpmorgan,2015-10-12T14:45:00,Future #tech star? $JPM is investing in top talent. #techjobs http://t.co/EIGqNWRzji,653582142740500481
jpmorgan,2015-10-12T15:02:00,"RT @RepDavid: Great news for #Phoenix exports! @JPmorgan announces $100,000 grant going to @MetroPhxExport for regional export plan.",653586571933937664
jpmorgan,2015-10-12T16:46:00,RT @jpmorganfunds: What are the consequences of inadequate savings in advance of adverse events for millennials? http://t.co/Dx4n8ix5mt htt…,653612774162059268
jpmorgan,2015-10-12T17:10:00,$JPM insights on solving the #SkillsGap: how higher education can help. https://t.co/oSm1GPU0mw http://t.co/adM7EecJYE,653618638323326976
