screen_name,created_at,text,id
ginnyweizhen,2015-10-06T21:11:00,@jpmorgan smoothie bar is coming to Beit Quad on Thu. Come along to collect your FREE smoothie and chat with JP M reps. @imperialcareers,651505107067121664
AmChamHK,2015-10-07T04:00:00,@jpmorgan Jing Ulrich will share her outlook on #economic trends in #China on Oct 14 #AmChamEvents http://t.co/e6LkD3m0od,651607982048980992
metaljunkee,2015-10-07T05:22:00,"@jpmorgan buys more mortgages from other lenders as market shrinks #toobigtofail just got bigger. 
http://t.co/p6l0zKEBgX",651628587510992896
ArvindBhunjun,2015-10-07T08:55:00,@jpmorgan Downgrades Rating On @marksandspencer To #Underweight From #Neutral #stocks #FTSE #finance #retail #invest http://t.co/b4nbqPyvgu,651682246462730240
GMRMarketingUK,2015-10-07T10:47:00,"@jpmorgan on sponsorship - getting the deal done is the easy part, getting the activation right is now the focus #Leaders15",651710418226909185
robertoah,2015-10-07T16:14:00,@jpmorgan Baja recomendación de $LALAB.MX a NEUTRAL desde Aumentar en Cartera @SomosLALA,651792829581258752
robertoah,2015-10-07T16:16:00,@jpmorgan Rebaja recomendación de $BACHOCOB.MX a NEUTRAL desde Aumentar en Cartera y PO baja a 86 pesos desde 89 pesos @bachoco,651793322932047872
MirAnwarAli3,2015-10-07T17:55:00,@jpmorgan @dhmeyer  You need only Luck !,651818086614630400
christywongx,2015-10-07T18:15:00,"@jpmorgan Our app is looking for influencers :) If you're interested, here's your invite http://t.co/yvaaq8sogZ",651823136430792706
LaynaLynx,2015-10-07T20:16:00,"@jpmorgan @Chase @ChaseSupport Was told after Chase ATM deposit that my funds were not found and nothing can be done, even having a receipt",651853696674975744
granbridgecom,2015-10-08T06:37:00,@jpmorgan http://t.co/FcVRtraQwX #funding #investors #startup #realestate #venturecapital Startup investors #Funds http://t.co/Uep6grqUT5,652009907932278784
hsearch01,2015-10-08T08:34:00,"@JPMorgan #BMV #Property. Discounted 1 Bed Off Plan Apt, W10. Completing late Nov 2015. More info http://t.co/G58eztAQJX",652039426802085888
JOELOVESSNACKS,2015-10-08T10:19:00,@jpmorgan #REALU #PROMOTEAM,652065733048799232
robo_inside_me,2015-10-08T12:15:00,@jpmorgan We are the small team with great revolution idea regarding homeless animals.We are looking for investments.Where we need to write?,652094916659691520
mcalderaro,2015-10-08T13:29:00,"@jpmorgan I am a former Jersey boy who loves Houston!  Great people, decent government.  If only they can fix the potholes &amp; pension issues",652113475217395713
name_is_JAH,2015-10-08T16:56:00,@jpmorgan I have been doing research on JP Morgan  his story line on his road to success. Where can i find more information on him ?,652165654246625280
BlueHenKris,2015-10-08T18:29:00,"@jpmorgan is the largest bank in the US, and is also a huge global company",652189049478860800
jillieclements,2015-10-08T19:30:00,"@JPMorgan Trader, ICAP Broker Helped Hayes Rig Libor, SFO Says http://t.co/zoraADn1J8 via @business",652204474199486464
jillieclements,2015-10-08T19:32:00,@JPMorgan Jamie has fallen out of favor with the Greek Orthodox version of God.,652205056637272065
jillieclements,2015-10-08T19:44:00,@JPMorgan Ἰάσων,652208052234391552
jillieclements,2015-10-08T19:54:00,@JPMorgan John Pierpont Morgan was NOT Moses but it would be nice to dig up his carcass and float him backwards down the Nile.,652210361995689985
millenniumweb,2015-10-08T20:19:00,@jpmorgan @chase Congrats to our friends at JPMorgan Chase &amp; Co. on the release of the second #JPMCInstitute report http://t.co/Ol1HxIOye8,652216721848279040
name_is_JAH,2015-10-08T20:29:00,@jpmorgan @MorganLibrary thank you !!,652219161087754244
jillieclements,2015-10-08T20:47:00,@JPMorgan Women's Contribution to Classical Islamic Civilisation #Dodgers #Win,652223796145860608
hamid30654145,2015-10-09T06:47:00,@jpmorgan @hamid30654145,652374790758600704
ElvinAdil,2015-10-09T13:06:00,@jpmorgan good!!!,652470282733662208
menoufholdings,2015-10-09T13:43:00,"@jpmorgan #ReadWhatMatters
http://t.co/KodKkMlX8R
http://t.co/WuO2OEbdeL
http://t.co/cWoJzAdHo5 http://t.co/PGO909AdxN",652479410789085184
menoufholdings,2015-10-09T13:43:00,"@jpmorgan @AmerBanker #ReadWhatMatters
http://t.co/KodKkMlX8R
http://t.co/WuO2OEbdeL
http://t.co/cWoJzAdHo5 http://t.co/0ge6BWqXn6",652479615651442688
Sproncko29,2015-10-09T13:46:00,Congrats to all the powerful women of @jpmorgan  @AmerBanker,652480159333904385
heykiera_,2015-10-09T14:29:00,@jpmorgan Would you guys hire this? http://t.co/hzu2Vsib8g,652491113031430144
ComOdity_Man,2015-10-10T15:03:00,@jpmorgan  #JusticeOrElse you can try to escape http://t.co/DeZ7tFfNBW,652862059781058561
garvitMad,2015-10-10T22:21:00,@jpmorgan thank you so much.,652972207270940672
JesseMillette,2015-10-11T14:17:00,@jpmorgan I would really appreciate a follow back from you!,653212890804154368
imtamer,2015-10-11T20:59:00,@jpmorgan is coming to @EdinburghUni Kings buildings campus tomorrow from 10-4. Come along for a free smoothie! http://t.co/L8GxuthOcE,653313885852839937
ISQT1,2015-10-12T08:10:00,@jpmorgan Learn #Bigdata and #Hadoop on 28 -30 Oct. Register Before 21 Oct and avail 10% Discount http://t.co/rGrOAORHAG,653482791972286464
OnCampusPromo,2015-10-12T09:38:00,@jpmorgan smoothie bar at the King's Buildings in Edinburgh @EdinburghUni http://t.co/Vlz4AFUKnn,653504935309537280
Heir_2D_Throne,2015-10-12T11:54:00,"@jpmorgan dropped NIG from its listings, @Barclays about to.

APC will rather trend #Alamieyeseigha than cry for this SCAM govt.|@Osekita",653539344121249792
