screen_name,created_at,text,id
Twist_OP,2015-10-07T12:19:00,"So true! RT @GreenMtnCoffee: No matter how you slice it, a piece of chocolate cake goes best with #coffee. #dessert http://t.co/CVnlDXjfJ4",651733575155511298
JesseMillette,2015-10-11T07:47:00,@GreenMtnCoffee I would really appreciate a follow back from you!,653114728160624640
kenzie967,2015-10-15T22:28:00,@GreenMtnCoffee do you know where in Upstate SC would be a participating location?? 😬,654785860450185221
tunafer,2015-10-16T00:11:00,@GreenMtnCoffee Excuse me while I shed a tear in memory of my beloved Three Continent Blend k cups 😢,654811969040465920
DreamTeamFilm,2015-10-19T22:17:00,@GreenMtnCoffee how are you? We're a film company in LA &amp; we'd love to talk to you about working together to make a promotion video for you!,656232608158748673
DreamTeamFilm,2015-10-19T22:24:00,@GreenMtnCoffee thanks so much! We'll be sure to do that! :),656234451014303744
uncommongenius,2015-10-20T13:27:00,@GreenMtnCoffee how about buy 5 and get 5 free... That is a good deal. Your current deal is quite lame... Hence no favorites,656461807792603138
Dougherty_NC,2015-10-21T14:10:00,@GreenMtnCoffee Fantastic! My office went with a classic Hazelnut today.,656834976613322753
donnamb005,2015-10-21T18:28:00,@GreenMtnCoffee can't wait 4 the Spicy Egg Nog 2 come out I am Dow 2 my last boxHELP SOS!!!  Come Out Soon PLEASE!,656899901222162432
smartlid,2015-10-24T03:41:00,@GreenMtnCoffee and with a @smartlid on top?,657763927997091840
SecondChanceVT,2015-10-25T02:09:00,@GreenMtnCoffee can you help change a homeless VT family's life? https://t.co/wzDsvZDSj2 take the #cans4home challenge,658103075396263936
merriday_brandy,2015-10-25T16:58:00,@GreenMtnCoffee I just bought (&amp; registered) my new Keurig 2.0 and ordered Autumn Harvest to try as one of my freebies. :),658326881884872704
merriday_brandy,2015-10-25T18:05:00,"@GreenMtnCoffee Well, it's not here yet.",658343721600200704
Lindaquackenbus,2015-10-26T14:37:00,@GreenMtnCoffee Obama's regs of Commodities &amp; Progressive deregulation ofGlass-Steagall led to US Corp inversion 2 cheaper labor/energy Mkts,658653729567211520
SchroedBoss,2015-10-26T14:47:00,@GreenMtnCoffee I would love some coffee right now,658656274091917312
SchroedBoss,2015-10-26T16:06:00,@GreenMtnCoffee a Dark Magic IV would be preferable.,658676147920637952
