screen_name,created_at,text,id
zizi4201,2015-10-10T02:50:00,"@kingfisherplc Illegal oil distribution block, the building offers an interlayer resolve patent deal of noise.
http://t.co/uF0etRXcCa",652677560808009728
JesseMillette,2015-10-11T07:54:00,@BandQ I would really appreciate a follow back from you!,653116486375067648
fredss33,2015-10-11T10:10:00,RT @BandQ: Giveaway! RT to win 6 rolls of this @GrahamandBrown wallpaper. #wallpaperweek T&amp;Cs: http://t.co/BfFmxdlqlw http://t.co/yefvwEk1kh,653150751573733376
StevieHickman3,2015-10-11T11:22:00,@BandQ @GrahamandBrown this would be perfect to redecorate my room :) fingers crossed x,653168832668938240
fredss33,2015-10-11T11:47:00,RT @BandQ: Giveaway! RT to win 6 rolls of this @GrahamandBrown wallpaper. #wallpaperweek T&amp;Cs: http://t.co/BfFmxdlqlw http://t.co/yefvwEk1kh,653175001881796608
dizzymermaid100,2015-10-11T12:00:00,@BandQ RT to win a Yale lock of your choice to help secure your home! #homsecuritymonth T&amp;Cs: http://t.co/8B25C1eY32,653178285006974976
Magzcrib,2015-10-11T12:31:00,@BandQ @GrahamandBrown How handy would this be! Decorating bedroom in the next fortnight!,653186168880791552
tamalyn1,2015-10-11T14:37:00,RT @BandQ: Giveaway! RT to win 6 rolls of this @GrahamandBrown wallpaper. #wallpaperweek T&amp;Cs: http://t.co/YfmJdH9ewy http://t.co/lS43lu3g5j,653217906533134336
EnglishUnique,2015-10-11T15:07:00,RT @BandQ: Like this? RT to win 6 rolls of this gorgeous @GrahamandBrown wallpaper! #wallpaperweek T&amp;Cs: http://t.co/ZtS1utX9ye :),653225407857184768
jimhamilton22,2015-10-11T16:01:00,@BandQ @GrahamandBrown #wallpaperweek yes please,653239046806859777
gdavidson88,2015-10-11T16:27:00,@BandQ should this straight edge not be straight? #NotStraight #BandQ http://t.co/L8ELgQ26i3,653245438267629569
xxxelliebellyxx,2015-10-11T16:33:00,@BandQ @GrahamandBrown Giveaway! RT to win 6 rolls of this gorgeous @GrahamandBrown wallpaper. #wallpaperweek T&amp;Cs: http://t.co/ewv2fB9F8p,653247023014150148
StevieHickman3,2015-10-11T17:27:00,@BandQ definitely need one of these x,653260540530323457
candycakie,2015-10-11T17:40:00,@BandQ 🏡🔐,653263889434546176
leanna_yates,2015-10-11T18:10:00,RT @BandQ: Giveaway! RT to win 6 rolls of this @GrahamandBrown wallpaper. #wallpaperweek T&amp;Cs: http://t.co/ElKJG5ERM8 http://t.co/4lZ72b5Sxp,653271554000752640
xxxelliebellyxx,2015-10-11T19:37:00,@BandQ RT to win a Yale lock of your choice to help secure your home! #homsecuritymonth T&amp;Cs: http://t.co/YVp9RAdn1a,653293367498047489
rbolton_88,2015-10-11T19:51:00,RT @BandQ: Giveaway! RT to win 6 rolls of this @GrahamandBrown wallpaper. #wallpaperweek T&amp;Cs: http://t.co/y99bdVCCpi http://t.co/WbX07ZTIxA,653296792616898560
BethBowdler,2015-10-11T19:52:00,@BandQ Fingers crossed,653297123908288512
clairemu1,2015-10-11T20:15:00,@BandQ @GrahamandBrown 💛fingers crossed ! 💛,653302996135227394
HelenMDunne,2015-10-11T20:30:00,@BandQ #Homesecuritymonth Could really use a new lock #prize,653306710304653312
nicolajames15,2015-10-11T20:47:00,@BandQ @GrahamandBrown lovely,653310907725029377
cupcake_lover57,2015-10-11T21:04:00,"@BandQ @GrahamandBrown #wallpaperweek Thank you, fingers crossed",653315324662685696
kitaaa93,2015-10-11T21:08:00,@BandQ #homsecuritymonth,653316381098819584
kitaaa93,2015-10-11T21:08:00,@BandQ @GrahamandBrown #wallpaperweek,653316276153155584
Keeley_x_Louise,2015-10-11T21:14:00,RT @BandQ: Giveaway! RT to win 6 rolls of this @GrahamandBrown wallpaper. #wallpaperweek T&amp;Cs: http://t.co/usCi1PvLTG http://t.co/IUMvDs8QcL,653317705966075904
domsgran,2015-10-11T21:44:00,@BandQ RT to win a Yale lock of your choice to help secure your home! #homsecuritymonth T&amp;Cs: http://t.co/Q4arX9T9xC,653325341382025216
Leyanpark,2015-10-11T22:30:00,"@BandQ #homsecuritymonth 💜Super #prize, fingers crossed to #win,RT and Followed #competition 🎃👻💀",653336816142188544
Keeley_x_Louise,2015-10-11T22:49:00,RT @BandQ: Giveaway! RT to win 6 rolls of this @GrahamandBrown wallpaper. #wallpaperweek T&amp;Cs: http://t.co/usCi1PvLTG http://t.co/IUMvDs8QcL,653341770185506816
gid1975,2015-10-12T06:06:00,@BandQ #homsecuritymonth new home new baby on way #securitysense,653451627727355904
VickyandSi_Dunn,2015-10-12T07:41:00,@BandQ @GrahamandBrown wouldn't it be great to have a freshen up of the living room before Christmas!,653475643196317696
crazymum777,2015-10-12T09:58:00,@BandQ #homsecuritymonth Followed and rt'd Many thanks x,653510162150490112
Gerbera4U,2015-10-12T11:47:00,@bandq @grahamandbrown Super Duper - I am a follower and have Retweeted this message. Thank you. #wallpaperweek,653537531095580672
putneypup,2015-10-12T14:49:00,@BandQ @GrahamandBrown yay!,653583187118063617
027caz,2015-10-12T15:04:00,@BandQ you charge me wrong for item on my card and that processed immediately but the refund for your error takes up to 5 days to process?!?,653586936637075456
greigo_uk,2015-10-12T15:39:00,@BandQ can you follow me so i czn dm about prize? thanks,653595892746985472
baberooo,2015-10-12T16:14:00,@BandQ LOCKING it up with style #homesecuritymonth,653604784633716737
bev_metallica,2015-10-12T16:38:00,RT @BandQ: RT to win a Yale lock of choice to help secure your home! #homsecuritymonth T&amp;Cs: http://t.co/f0VMhvlRHK http://t.co/CiZFllZXDD,653610742550171648
LittleMaxwell14,2015-10-12T16:54:00,@BandQ we'll be sure to post a picture of the final piece! Thank you so much. We are extremely grateful for your generosity #b&amp;q #kitchen,653614671954608129
jimhamilton22,2015-10-12T17:30:00,@BandQ #homesecuritymonth yes please,653623729591840768
gavinj1999,2015-10-12T19:30:00,"@BandQ Pretty sure I told you guys about this over a month ago but, your paint calculator still doesn' t work. http://t.co/K7b5x1rAhF",653653890815148032
scooterman101,2015-10-13T01:46:00,"""@BandQ: It's #homsecuritymonth! RT to WIN a Yale lock of your choice to help secure your home. T&amp;Cs: http://t.co/WCRcCgQWnJ",653748697050796033
PaulWillers1,2015-10-13T11:19:00,"@BandQ Hey guys, big thanks for cancelling my next day delivery without telling me. Not gonna bother telling customers when you mess up?",653892840892821504
AdamTassle,2015-10-13T15:05:00,@BandQ @bandq_help @kingfisherplc Where can I find info on your 2015 #OnePlanetHome sustainability achievements &amp; progress made this year?,653949724035317760
Becballen,2015-10-13T17:45:00,@BandQ hi I brought some end panels earlier that don't seem to be the right width can i return to store if I have lost my receipt? Thanks,653989914955132929
reddza61,2015-10-14T10:08:00,@BandQ huge thanks to Toni in Chiswick branch .. so helpful .. look this lady up . BRILLIANT .. COMING BACK HERE http://t.co/I6wwg4OFfe,654237215401320448
dubslondon,2015-10-14T18:58:00,@BandQ no response to my email complaint almost two weeks later,654370747150921729
dpp1975,2015-10-15T12:38:00,@bandq when will bags of rock salt come into stock please? I would like to be prepared as its getting colder.,654637365579939840
legallyblondej,2015-10-15T17:58:00,A must have. #carbonmonoxide 🔔 @BandQ,654718116098801665
Retractalarm,2015-10-15T18:10:00,"@kingfisherplc why should saving your life be simply out of reach #retractalarm http://t.co/XdFglvdEun, fit one today",654720922482413568
Kayley6688,2015-10-15T19:16:00,"@BandQ Fantastic giveaway, fingers crossed xxxxxx 💖",654737712096800768
PaulShi59042542,2015-10-15T19:18:00,@BandQ @jhill1103 what a great prize safety first I would consider it A pleasure to win this one,654738135385923584
BethBowdler,2015-10-16T13:42:00,@BandQ Fingers very tightly crossed,655015963822305284
tricia1982,2015-10-16T15:17:00,@BandQ so want one of these!! Brilliant idea,655039950308687872
Workshopshed,2015-10-16T16:40:00,"@BandQ one in the kitchen, one next to the welder",655060718593667072
mjen30,2015-10-16T17:34:00,@BandQ nope! Need to buy one for my new (first) house. Where do you install them?,655074381027233792
icequeenie,2015-10-16T18:13:00,@BandQ yes please life saver #carbonmonoxide,655084106791915520
lkenno,2015-10-16T18:26:00,@BandQ @Kent_and_Stowe #WinwithBandQ,655087460154785792
JamieLMDJs,2015-10-16T18:36:00,RT @BandQ It's #carbonmonoxide week! RT to WIN this carbon monoxide alarm to stay safe TCs: http://t.co/5cPHr7jx0E  http://t.co/UvBI0yeJnD,655089843068907520
loucoghlan,2015-10-16T19:25:00,@BandQ @Kent_and_Stowe #WinwithBandQ,655102172590448640
lydfp,2015-10-16T19:49:00,@BandQ @Kent_and_Stowe #WinwithBandQ,655108446455484416
mangomorango,2015-10-16T19:56:00,@BandQ fantastic!,655109974213984258
Rypod87,2015-10-16T22:21:00,@BandQ #carbonmonoxide,655146535248900096
trainsniffer,2015-10-16T23:25:00,@BandQ We've got 25 of these FireAngel CO alarms to giveaway! RT to WIN one. #carbonmonoxide T&amp;Cs: http://t.co/e7vg0elCcw,655162790945103872
0Mather,2015-10-17T06:26:00,"@BandQ Great prize, would love to win! 😀👌🙏",655268575792492544
0Mather,2015-10-17T06:26:00,"@BandQ @Kent_and_Stowe Great prize, would love to win! 😀👌🙏",655268624500957184
EvpowCorry,2015-10-17T10:01:00,@BandQ Please count me in :),655322709023457280
LindsayK_23,2015-10-17T10:09:00,@BandQ Such an important thing to have in the home. Could be a life saver.,655324823955075072
Gerbera4U,2015-10-17T10:34:00,@bandq Wonderful competition - super! Count me in! Good Luck everyone! #carbonmonoxide,655331158159396864
PhilHannah2,2015-10-17T10:46:00,@BandQ #brightandbold,655334069442641920
FionaWupwoo,2015-10-17T11:49:00,@BandQ #Stylishanddemure x,655349950985949185
saffronscooby,2015-10-17T12:05:00,@BandQ  r/t even home needs one,655354040843390977
colleenlg81,2015-10-17T12:57:00,@BandQ Crawley! I've never experienced such poor customer service!,655367149050023936
livingstone9594,2015-10-17T15:51:00,@BandQ interesting choice.... http://t.co/SgYmwEr1YT,655410738991878144
JOHNMILLS72,2015-10-18T08:29:00,RT @BandQ: #carbonmonoxide! RT to WIN this carbon monoxide alarm to help you stay safe. T&amp;Cs: http://t.co/X3YTtcZwY3 http://t.co/x2rR2GOXN4,655661878144700416
mslovestodance,2015-10-18T08:54:00,@BandQ We've got 25 FireAngel CO alarms to giveaway! RT to WIN one. #carbonmonoxide T&amp;Cs: http://t.co/PBeCEYwFyD https://t.co/kJgU5kTYhN,655668355769192448
Jammy_Cow,2015-10-18T09:36:00,@BandQ @Kent_and_Stowe #WinWithBandQ,655678762596573184
Welsh34,2015-10-18T09:55:00,@BandQ @Kent_and_Stowe #WinwithBandQ Fabulous for my gardener partner. Perhaps I will even start gardening myself.,655683535962030080
KateOwen17,2015-10-18T09:57:00,@BandQ 1 @Kent_and_Stowe would love  these for when I move! Would come in handy!!! 👌🏼,655684003010363392
VickyandSi_Dunn,2015-10-18T10:17:00,@BandQ @Kent_and_Stowe lovely  🌱🌰,655689141041106944
paultart,2015-10-18T10:28:00,@BandQ @Kent_and_Stowe #WinwithBandQ,655691847663296512
Charlieleighj,2015-10-18T10:59:00,@BandQ  RT to win this @Kent_and_Stowe spade and fork! #WinwithBandQ T&amp;Cs: http://t.co/UDv0cFrTmh  http://t.co/HgCDTSynTG,655699599550738432
Heffie33,2015-10-18T11:23:00,@BandQ @Kent_and_Stowe #WinwithBandQ Fantastic bit of kit. Follow and RT @wotawoman xx,655705846060613632
avelte2000,2015-10-18T12:07:00,RT @BandQ: #carbonmonoxide! RT to WIN this carbon monoxide alarm to help you stay safe. T&amp;Cs: http://t.co/OsnBqlKBfI http://t.co/qOgmpnEH4T,655716880745787392
pamelak64,2015-10-18T12:43:00,@BandQ hi do you do a heat resistant paint please suitable for fire surrounds and fireplaces thanks,655725836901990401
blueecho28,2015-10-18T13:24:00,@BandQ @Kent_and_Stowe just starting doing back garden... mammoth task,655736085914497025
sparky61,2015-10-18T13:33:00,@BandQ @Kent_and_Stowe   #WinWithBandQ,655738371671728128
Charlieleighj,2015-10-18T16:10:00,@BandQ Last chance! RT to WIN 1 of these #carbonmonoxide alarms to help you stay safe. T&amp;Cs http://t.co/IAYNryH17E  http://t.co/ksecHV1Zlz,655778026530189312
daisyduck123,2015-10-18T16:45:00,@BandQ Like to win a portable #carbonmonoxide detector that you can take anywhere? RT to WIN. T&amp;Cs: http://t.co/A83JPKwhrr,655786720298991616
SouthernFairy16,2015-10-18T16:48:00,@BandQ we sure do,655787535889776640
Gerbera4U,2015-10-18T17:38:00,@bandq Fab competition!! Would love to win! Thank you very much for the chance :-) #carbonmonoxide,655800130420015104
molpol40,2015-10-18T20:58:00,@BandQ  fabulous xx,655850387623292928
LucieAiston,2015-10-18T21:12:00,@BandQ @Kent_and_Stowe #WinWithBandQ Fabulous!! Thanks for the chance! Fingers crossed!,655854055303024640
fletcher_lou,2015-10-19T07:11:00,@BandQ TunWells - Best customer service ever from Fred. So helpful &amp; saved my home improvement from disaster. Efficient &amp; polite. Thank you!,656004668414365696
LadyLBully,2015-10-19T07:24:00,@BandQ have a whole roll of unopened wallpaper and no receipt. Are we able to return it without please?,656008028249071616
CatSmithMP,2015-10-19T07:44:00,"@BandQ I was assured you'd be here at 8am and I'm waiting. Things to do, places to be... Any ETA?",656012971274059776
josrowley1,2015-10-19T09:32:00,@BandQ @Kent_and_Stowe Brill ..so need x,656040315397275648
