screen_name,created_at,text,id
NerdtoriousBIG,2015-10-06T20:07:00,@kraftfoods Are there any plans to make a no/low carb version of A-1 Sauce? Or at least one without HFCS? Keto dieters would love that.,651488896610492416
BahrainOfficial,2015-10-06T21:08:00,@kraftfoods follow plz,651504415489323008
mizzzsmitty,2015-10-06T21:47:00,@kraftfoods major props for BBQ sauce with NO high fructose corn syrup! The only brand on the shelf without it. 👏🏻 http://t.co/XcWn5jqcpi,651514201169465344
wisemanswife,2015-10-07T00:27:00,"@kraftfoods Thanks for making it the ""good stuff"". #dyefree http://t.co/Opt2fdLiAe",651554409181220864
AndersonCarter1,2015-10-07T00:51:00,"@kraftfoods only reason I'm eating your fake, unhealthy Mac n' Cheese is because it's Starwars themed. You win this time you evil temptress",651560422949044224
jremy_s,2015-10-07T02:32:00,@kraftfoods I am highly disappointed http://t.co/a9HObZ2NRO,651585792863805440
Enterprisefoods,2015-10-07T09:41:00,@kraftfoods Perfection #bacon,651693900319621120
saxaphoon,2015-10-07T10:19:00,"@kraftfoods I bought a bag of finely shredded sharp cheddar and before even opening it, noticed there was moldy cheese in it. What do I do?",651703285334671360
eli_sting,2015-10-07T13:29:00,@kraftfoods Please don't advertise on any upcoming Duggar TV show. I can't support a company that supports frauds and criminals.,651751147263426560
eli_sting,2015-10-07T14:25:00,@kraftfoods thanks. Hopefully this will extend to any spinoff programs or specials with this family.,651765318164054016
DavidKaufman23,2015-10-07T15:36:00,"@kraftfoods Appreciate the response, but really. Tried to use chopsticks, forks. Awful. You can't throw 5 caramel apple sticks in the bag?",651783070907957248
jcardiff03,2015-10-07T16:03:00,"@kraftfoods awesome, thank you. Have a wonderful day as well. I'll eat my pizza lunchable now.",651789996970668033
jackofspadesman,2015-10-07T16:04:00,"@kraftfoods @ZubatVGC if cat cannot cheese, then I do not cheese",651790271198457856
giovanni1585,2015-10-07T17:01:00,@kraftfoods where the hell the rest of this http://t.co/uXAnGITnDb,651804625776046080
HoseClamp44,2015-10-07T22:02:00,@kraftfoods I'll get ya the UPC tomorrow.  Surely y'all can make a bottle where the insert won't come out.,651880298653683712
_ErinMcGrath,2015-10-07T22:05:00,@kraftfoods wtf my Mac was green&amp;brown straight in the box! I deserve a free t-shirt &amp; money back😑 http://t.co/6bKDSpua5i,651881031243550720
jackiinch,2015-10-07T23:53:00,@kraftfoods needs to invest in some quicker cooking noodles..,651908132466225152
alex_gomez0,2015-10-08T02:19:00,"@kraftfoods THANKS FOR MACARONI AND CHEESE, I LOVE YOU !",651945096305246208
CheezyLemon,2015-10-08T02:31:00,@kraftfoods what the fuck is this. please fix this immediately. http://t.co/AW1EJzzvFp,651947891737645056
DrunkenCripple,2015-10-08T02:46:00,"@kraftfoods Not gonna lie, that looks pretty damn disgusting.",651951796290621440
codybilben,2015-10-08T03:26:00,@kraftfoods Where did my Mango Chipotle dressing go!? It has mysteriously disappeared from my grocery store shelf! http://t.co/quZb4Lo3ry,651961836527448064
marshallx26,2015-10-08T06:54:00,@kraftfoods Can i buy Kraft Honey Mustard BBQ Sauce anywhere anymore? I'm highly upset this is not sold anymore its the only sauce i love.,652014170548908032
xkellyneo,2015-10-08T10:03:00,@kraftfoods should just send me a whole lot of these because I miss them so much ugh. http://t.co/UYIok8C3Cj,652061773550346240
timberted,2015-10-08T14:53:00,"@kraftfoods would like to thank @KrankyKanuck and our ""Charlie"" for increasing internet sales of KD https://t.co/tgXJExUpfZ",652134707753148416
CYABICO,2015-10-08T15:09:00,"@kraftfoods Projeto ajuda MEIO AMBIENTE, usando material RECICLADO ( TAMPINHAS DE GARRAFAS PETS )
http://t.co/y36HAKWFtt",652138719109971968
totallychristi,2015-10-08T15:44:00,@kraftfoods thank you! Will do,652147558714748928
chuy_delao,2015-10-08T15:58:00,@kraftfoods WE NEED ADULT SIZED LUNCHABLES,652151140344172546
Busch__Latte,2015-10-08T17:48:00,"@kraftfoods package was tossed out, today was the last few slices of American locked in #FortKnox",652178696711860225
RocketMayhem,2015-10-08T18:28:00,@kraftfoods WHY WON'T YOU BRING BACK THE OREO O'S!!!! THOSE WERE EVERYTHING!!!!!!,652188714043580417
jamesgoldmill,2015-10-08T19:32:00,"@kraftfoods BEHOLD! Your next CEO:
https://t.co/xlwOSGS8r6",652204974437351424
thomassuzanne43,2015-10-08T23:23:00,@kraftfoods Are you planning to sponsor Duggar specials on @TLC? They abuse their children with Blanket Training and deny education to girls,652263042797993984
HoseClamp44,2015-10-09T04:22:00,@kraftfoods sent ya a DM with the UPC.... Just making sure you received.,652338377186938885
svinx_,2015-10-09T16:56:00,@kraftfoods i just tweeted at my favorite comedian @bigjayoakerson and when i got your reply i thought it was him and now im saddened.,652528095040249856
thomassuzanne43,2015-10-09T17:28:00,@kraftfoods What about the upcoming Duggar/Dillard/Seawald specials? Thank you.,652536136850669568
