screen_name,created_at,text,id
mintcake666,2015-10-09T13:08:00,"@landg_group Thank you, no. I got through in the end and the gentleman was most helpful.",652470704928124929
Muttley98,2015-10-10T10:25:00,@landg_group why have no e-mail address or help available on a weekend. Only way to contact you is via letter of phone 9-5 mon-fri #darkages,652792039944400896
Shelter,2015-10-13T14:42:00,"@landg_group Thanks - we really appreciate it, and we know people looking for formal wear at lower prices will, too. Great work! 👚👗",653944007286984704
Apolloguy2016,2015-10-13T16:00:00,@landg_group @Investec @TruePotential_ @Assurant @SwintonGroup CHECK OUT @graemepark for your Christmas events he is an awesome DJ 😀👌🏻🇬🇧,653963541028978688
ISMA_UK,2015-10-13T17:30:00,@landg_group Employee Wellbeing on your Agenda? Please support @ISMA_UK by sharing Stress Awareness Day - 4th Nov  #NSAD15,653986197480587264
SchoolGovNet,2015-10-15T09:10:00,@landg_group That's fantastic news! Thank you for having us and helping inspire #professionals to #volunteer in #schools.,654585036163911680
seanbuttersCWM,2015-10-15T13:58:00,@landg_group LGIM unveils income trio for @nukki20's Multi-Index team: http://t.co/rZ55eASzi3,654657597862121472
thesignwriter,2015-10-16T14:42:00,@landg_group  disgusted my 85 year old mam  paid for home cover for a year left her in the cold cos the boiler apparently to old disgusted!,655030966763847680
tier6,2015-10-19T08:08:00,@landg_group A link that requires you to give details in advance.  No thanks,656019164793040896
tier6,2015-10-19T09:31:00,@landg_group Do you pass on the e-mail info ?,656040083758424064
kurtosys,2015-10-21T10:19:00,"@landg_group well done, you climbed 12 places on The Asset Managers Power 100. https://t.co/BdC3t2OQgn #AMPower100",656776743622189056
morrell10,2015-10-21T15:11:00,@landg_group Dear me just ring L&amp;G only to be told there's a 30 minute queue to get through. 😡,656850212980396032
MEIRNews,2015-10-22T06:32:00,@landg_group selling 50% stake in Gulf biz to JV partner Ahli United Bank for undisclosed sum https://t.co/UW4BsXE3SO #insurance #Bahrain,657081974935318528
SueWinterburn,2015-10-22T08:09:00,@landg_group @RoughGuides  great tool get to know a bit more about finances...# everyday matters #lifestylematters,657106377341562880
SchoolGovNet,2015-10-28T10:16:00,@landg_group Thank you for having us! Adam &amp; George are on their way and are looking forward to meeting you all. #Becomeagovernor #education,659312864700866560
simonstevens74,2015-10-28T18:44:00,@landg_group I would be honoured if you would follow me back,659440672445997056
