screen_name,created_at,text,id
LGUS,2015-10-07T13:45:00,"@SurvivorNVL Noct, hopefully that eventuality isn't too far off, thank you for the support, it's greatly appreciated, #LifesGood!^IV",651755162558722049
LGUS,2015-10-07T21:32:00,@Engsultan911 We're happy to look into this. Please send a direct message with the model number so that we can look into this for you. ^RW,651872729243746306
LGUS,2015-10-08T13:52:00,"@jaxbl30  Awesome Jacqueline! That's a lot of washing, not enough day offs! Lifespan for washers is around 12 yrs, past that, #LifesGood!^IV",652119441845669888
LGUK,2015-10-09T10:07:00,"@martyc1991 Hi! Have you tried an update? If so, please contact http://t.co/Gz70U3kLT5 to further troubleshoot",652425079469555712
LGUK,2015-10-09T10:08:00,Yes please! #LGUltraHDTV https://t.co/Nz1oOVvlbo,652425358768238592
LGUK,2015-10-09T10:16:00,"@l7mpi hi! This doesn't appear to be a UK model TV, can you please contact your local LG office to help you with the download.",652427398974185472
LGUK,2015-10-09T10:26:00,@SelwynRose @knowhowtohelp sorry we missed these! Since private messaged an update!,652429802880806912
LGUK,2015-10-09T10:42:00,@simon090176 Sorry to hear this! Can do so at http://t.co/hyVGIXWxR4,652434044991500288
LGUK,2015-10-09T13:23:00,@syphonuk hi! You can try and source a plinth here: http://t.co/RFMXksyjX5,652474359412584448
LGUS,2015-10-09T14:00:00,@pitchedhalo13  RT daily 4 chances to win an OLED #OLEDisHere: I want it now! Ends 10/21 Rules: http://t.co/QA6F2p9J9w  #sweepstakes ^IV,652483666363478017
LGUS,2015-10-09T15:27:00,@srRy_MS_jacks0n Our Mobile Support team will be happy to assist you. Please call 800-793-8896 or see our Mobile page @LGUSAMobile ^RW,652505690955730946
LGUS,2015-10-09T17:48:00,RT @Dealerscope: @LGUS rolls out new #OLED TVs and slashes prices. Here's a look at the new lineup: http://t.co/xWWtica4Qs,652541133634015232
LGUS,2015-10-09T19:32:00,"@textiff  Good Luck Sheryl! If you're speechless now, we bet you'll be screaming #LifesGood after you win! What would you watch first?^IV",652567261740445696
