screen_name,created_at,text,id
AskLloydsBank,2015-10-12T17:32:00,@mickthefox Thanks. Could you also please DM your postcode? You may want to remove your last tweet as it includes your contact number. ^DA,653624298339438592
AskLloydsBank,2015-10-12T19:30:00,"@nongdarko … pass your details to our Customer Services (complaints) team to be looked into fully. Alternatively, you … (2/3) ^SH",653653888067891201
AskLloydsBank,2015-10-12T20:09:00,"@SamiRistimaki Hi, I'm SC. As long as the account is open, you'll be able to deposit fund straight away. I hope this helps.",653663798956572672
AskLloydsBank,2015-10-12T20:51:00,"@Shoestringevent Hi, I'm JP. Sorry to read your tweet. Could I get some more info on what's happened? DM if you'd prefer. Thanks.",653674378241155072
AskLloydsBank,2015-10-12T21:08:00,"@Bails_505 Hi, I'm SH. I have replied to your DM now.",653678528144220160
AskLloydsBank,2015-10-12T22:27:00,@EmilyWilden PhoneBank (01733 347 007) between 8am &amp; 9pm &amp; they'd be happy to discuss this with you. I hope this helps. (2/2) ^JP,653698542482100224
AskLloydsBank,2015-10-12T23:23:00,"@SamiRistimaki That's great &amp; you're welcome. If you need anything further, tweet us anytime. Take care &amp; enjoy your week. ^SH",653712501524307968
AskLloydsBank,2015-10-12T23:26:00,"@surajsanchari You're welcome, I'm glad your issue has been resolved now. If you need anything further, tweet us anytime. Take care. ^SH",653713256763289600
AskLloydsBank,2015-10-13T04:42:00,"@Shoestringevent I see. You can log your dissatisfaction via our online form, by clicking here: http://t.co/3uHd0ML92w (1/2) ^AR",653792892973154304
AskLloydsBank,2015-10-13T05:40:00,"@paigecoult98 Hi, I'm AR. I've just spotted this. Best of luck today! Fingers crossed &amp; don't worry; I'm sure you'll do well. Take care.",653807598366519296
AskLloydsBank,2015-10-13T09:30:00,"@Acacia1993 Hi, I'm GR. Thanks for getting touch. Our Preston Circus branch should be open until 5pm today.",653865410752839680
AskLloydsBank,2015-10-13T12:35:00,"@Setup_88 Hi, I'm DA. Oh dear, that's not good. Just to clarify, did you raise this with the Colchester branch?",653911940381716481
AskLloydsBank,2015-10-13T13:30:00,@ellentmarsh Hi I'm PM.  Can you follow us so we can DM you with more info?,653925661749415937
AskLloydsBank,2015-10-13T13:38:00,@bobdibest ...passed to the branch for feedback. Apologies again for any inconvenience caused. 2/2 ^SG,653927670535876608
AskLloydsBank,2015-10-13T14:50:00,"@tedwinder Hi I'm PM. Oh dear! If you plan to visit again, you can check for any closures via our branch locator: http://t.co/rwwq8QEGpg",653945789765582848
AskLloydsBank,2015-10-13T15:54:00,@FoweyAquarium You can also register to deposit and withdraw funds in your local post office. Info here: http://t.co/dqADevYauU 2/2 ^AH,653962026096705536
AskLloydsBank,2015-10-14T00:15:00,@PoultenDavid I can certainly escalate your dissatisfaction to our Customer Service (Complaints) team. (1/2) ^JP,654088093721608193
AskLloydsBank,2015-10-14T02:31:00,"@PNMotorsport66 If you receive any in the future, please forward them to us at: emailscams@lloydsbanking.com Thanks. (2/2) ^SH",654122201562632192
AskLloydsBank,2015-10-14T03:22:00,"@whatwhyhuh Hi, I'm JP. I've just read your tweet. You can redeem your code here: http://t.co/Og5gE26MAS . I hope this helps.",654135258254831616
AskLloydsBank,2015-10-14T06:16:00,"@carlyge1980 Hi, I'm IM. Unfortunately, we can't access your account via Twitter to look into this. Please call: 01733 347 007 for help.",654178824385601536
AskLloydsBank,2015-10-14T07:38:00,"@Grace_Wyld Hi, I'm IM. The renewal codes for your 2nd and 3rd NUS cards are emailed to you directly by NUS, usually in September. 1/2",654199572756045824
