screen_name,created_at,text,id
Fd4x4,2015-10-12T08:35:00,@AskLloydsBank a week on Saturday and I checked online last night,653489107197370368
airadam13,2015-10-12T10:21:00,@AskLloydsBank Hi - why don't your credit card accounts on Internet banking show a per-line balance like normal accounts do?,653515799517380608
shikkasan,2015-10-12T12:29:00,@AskLloydsBank Thanks. As for closing an account of yours from Japan. Got a notice from you. I did contact by complain form.,653547972869812224
handmchallenge,2015-10-12T12:32:00,@AskLloydsBank We're hosting a celebrity football match &amp; would love you to be part of it! Who's the best person to speak to about this?,653548713500147713
EmilyWilden,2015-10-12T13:08:00,"@AskLloydsBank Hello, is this one of your numbers 0808 145 0360?",653557793094549505
Adamwhatwhat,2015-10-12T16:16:00,@AskLloydsBank correct...i activated it so i could partake but....nothing ever showed...not even under expired offers,653605065513680896
beestyboi,2015-10-12T17:54:00,@AskLloydsBank  Can I make an appointment at my local branch here,653629709079678976
beestyboi,2015-10-12T18:04:00,@AskLloydsBank can I make an appointment at my local branch in here,653632263998074880
EmilyWilden,2015-10-12T20:23:00,@AskLloydsBank They called asking for personal information and wouldn't tell me the reason for the call.,653667324394868737
msiese,2015-10-12T21:15:00,@AskLloydsBank All good now. Thanks,653680449680711680
JuicySugarTits,2015-10-12T22:00:00,"@AskLloydsBank and just wanted to say, I had money going into my account rather than out, lets close it down because its unusual, fuck you",653691794530652165
SamiRistimaki,2015-10-12T22:04:00,@AskLloydsBank Thank you! Your answer did help :),653692796377952256
jayerelovinbrit,2015-10-13T01:27:00,@AskLloydsBank thank you for your help,653743786540056576
ellentmarsh,2015-10-13T12:39:00,@AskLloydsBank Can we light up your Bristol Head Office purple for PancreaticCancer Awareness month on 1 Nov? #purplelights @pancreaticcanuk,653912983630938112
FelixBahret,2015-10-13T15:37:00,@AskLloydsBank embarrasses itself with hypocritical advert: shame on the bank that not so long ago had to be rescued http://t.co/xlzNDtQ3B1,653957788750757888
billington1983,2015-10-13T17:00:00,@AskLloydsBank just because I'm a student I've been refused a personal loan? It's too difficult to get educated as it is. @Conservatives,653978598228033536
janestweeting,2015-10-13T17:57:00,"@AskLloydsBank Katie who I just spoke to has been really really helpful, I'd love to give more details on the call so she can be praised!!",653993051547934720
janestweeting,2015-10-13T17:57:00,@AskLloydsBank perhaps some of your telephone advisors need more training . . . I was hung up on instead of transferred!!! However (1/2),653992884513939456
Demonic_Dxziqn,2015-10-13T17:57:00,@AskLloydsBank can I cash a lloyds bank cheque at one of your branches without an account? Im with a different bank.,653993016466743296
Demonic_Dxziqn,2015-10-13T20:00:00,@AskLloydsBank how come I was able to do it to another bank I dont have an account with before then but not this bank?,654023957826420737
markpda,2015-10-13T20:45:00,@AskLloydsBank Do you support hardware based 2 factor authentication on your internet banking? Any plans to support the U2F spec?,654035325254242305
marek_boi,2015-10-14T11:16:00,@AskLloydsBank When we can expect and update of your iOS app for mobile banking so it will be compatible with iPhone 6 screen resolution?,654254371799203840
ChrisBalding,2015-10-14T14:51:00,@AskLloydsBank more of a complaint at having lots of people telling you where to go rather than all the cash desks staffed to reduce queues,654308539863801856
rayslater,2015-10-14T16:03:00,@AskLloydsBank Robbing my Granddad for years with insurance that don't apply to him - trying to close the accounts and you just charge more!,654326572472791040
Sam__Hutchinson,2015-10-14T18:45:00,@AskLloydsBank I didn't receive the letter but i went into a branch today and they gave me my code.,654367442442022912
andreapugh86,2015-10-14T19:42:00,@AskLloydsBank I have been on hold to your fraud team trying to cancel my card for an hour. What's going on? #unacceptable,654381738588770304
kateprewett,2015-10-14T20:38:00,@AskLloydsBank no just thought it was odd. Never had problem before. Will try alternative when I get home,654395863230509056
RichmanAdam,2015-10-15T01:07:00,@AskLloydsBank just emailed it to you. Thanks,654463670475444224
micasignorelli,2015-10-15T12:11:00,"I'd rather make it public @AskLloydsBank. Because of you failing to open my account, I have lost several days of my life and pbl loose 100BP",654630755784638465
Kyletay60,2015-10-15T12:13:00,"@AskLloydsBank I have spoke to someone, however can you provide the details to where I can complain in writing by post or email?",654631259117907968
djskylight,2015-10-15T14:47:00,@AskLloydsBank Apple Pay and AMEX at @McDonaldsUK STILL not working! Getting frustrated now!,654669980370243584
Montybrerbeario,2015-10-15T17:35:00,@AskLloydsBank may you burn in hellfire along with your equine familiar.,654712220849340416
leepetrolhead1,2015-10-15T17:55:00,"@AskLloydsBank my wife already had internet banking on joint acc,just registered my separate acc,can she view my acc online too?",654717173105995776
CuriousGFP,2015-10-15T18:23:00,@AskLloydsBank Am I able to get a contactless card with an under 19s account?,654724307705204737
imkimfinch,2015-10-15T20:34:00,@AskLloydsBank why is it that you're the only bank that makes people wait a weekend until they get paid....,654757193028231168
imkimfinch,2015-10-15T20:35:00,@AskLloydsBank with Lloyds. Is this something you can change or will I have to change banks,654757431872892928
kailashreddyc,2015-10-15T21:40:00,@AskLloydsBank Spent 4 hours on call for various frauds on the account. absolutely disgusting service and extremely poor security.,654773765587398657
BeViviJB,2015-10-15T21:49:00,".@AskLloydsBank yes eventually, but I've spent over an hour &amp; a half on hold this week, with no clue of how long I would have to wait. (1/2)",654776129811673088
Louise_Patmore,2015-10-15T21:53:00,"@AskLloydsBank why are you following me, Are you scientologists? I'm simply remarking on the situation you put your poorer customers in, 》》",654777122016247809
Louise_Patmore,2015-10-15T21:56:00,"@AskLloydsBank 》》 an advert appeared on my timeline asking me if you could do anything, lending more to small businesses would also help ☺",654777840794136576
