screen_name,created_at,text,id
LSEGplc,2015-10-08T08:46:00,BayernLB joins MTS BondVision as dealer - http://t.co/v4EqVB4ZIx,652042408402661376
LSEGplc,2015-10-08T17:49:00,".@LSEGplc agrees proposed sale of @Russell_News to TA Associates for US$1,150 million. Full announcement available at http://t.co/G8KTzotSmr",652179141874180096
LSEGplc,2015-10-16T06:04:00,London Stock Exchange Group launches new derivatives venture - CurveGlobal - http://t.co/2Q3kOraHCl,654900779879280640
LSEGplc,2015-10-16T11:24:00,RT @LCH_Clearnet: $1.9 trillion in notional eliminated in #SwapClear’s 1st blended-rate compression run for FRAs http://t.co/guvtlvRIlo,654981301964021760
LSEGplc,2015-10-20T08:11:00,Turquoise Block Discovery™ celebrates first anniversary - https://t.co/qO6TpYoL8d For further info: https://t.co/94MgvKaPuy,656382215161384960
LSEGplc,2015-10-22T06:08:00,.@LSEG plc publishes Q3 Interim Management Statement - https://t.co/kGlXTNA27B,657076027718418432
LSEGplc,2015-10-22T06:09:00,"LSEG headline Q3 total income up 85% to £589.3 million; 9 months y-t-d up 83% to £1,798.1 million",657076175001399297
LSEGplc,2015-10-22T06:09:00,LSEG Q3 total income from continuing operations up 11%; rose 8% y-t-d,657076310691344384
LSEGplc,2015-10-22T06:10:00,"All LSEG business divisions delivering growth on an underlying, organic and constant currency basis",657076421613895680
LSEGplc,2015-10-22T08:25:00,Congratulations to @tradeturquoise winning Most Innovative Trading Product at last night's @eFinancialNews awards https://t.co/JhivOP3q7b,657110401184694272
LSEGplc,2015-10-22T08:37:00,Congratulations also to @LCH_Clearnet: Most Innovative Compliance/Risk Management Product at @efinancialnews awards https://t.co/xRaPVwa3u8,657113463886491648
LSEGplc,2015-10-22T13:32:00,RT @xrolet: Honored to witness signature of PPS agreement bet @Bank of China and @LCH_Clearnet @LSEGplc with Exec VP Gao Yingxin https://t.…,657187740979695617
LSEGplc,2015-10-27T11:02:00,.@LSEGplc Technology division event in St. Petersburg - Trading Technology Trends and Quality Assurance-https://t.co/JmiYpA8viv #extent2015,658961839712157696
