screen_name,created_at,text,id
sartorialscout,2015-10-18T12:00:00,@LVMH-owned L Capital has acquired a 49% stake in @elgansospain: http://t.co/FVacQCOsMC http://t.co/LGftrw6RMV,655715085390848002
sartorialscout,2015-10-19T10:00:00,@LVMH-owned L Capital has acquired a 49% stake in @elgansospain: http://t.co/FVacQCOsMC #Menswear #Business #Spain http://t.co/xTaKpA3Qz5,656047244081262592
yourbarsteward,2015-10-19T14:26:00,@LVMH  I bet the postage from Aus back to France is expensive...@yourmaitreD,656114226730168320
Antony_ASI,2015-10-20T08:01:00,"@LVMH https://t.co/NClwZVlVxw … Notre option Facebook plait à de nombreux professionnels (Tourisme, Hôtels, restaurants...) contact en MP",656379649379946497
hamzakikiout2,2015-10-21T02:40:00,@LVMH انا احب الخير لكامل الناس و مانديرش العيب..نولي و ماسمحتش .كيف كيف انا و محي الدين..و..https://t.co/yAdCl3EVMx .NIGRO,656661377629749252
MaximeBsn,2015-10-21T11:30:00,@LVMH @SrtAntoine c quoi cette merde ?,656794696396709893
BrettBucaille27,2015-10-21T11:36:00,@LVMH j'ai pensé direct à @booba  mais c'est pa ça mdr ( La Vengeance du Marabout a la Hache ! @babafoolek @TomyZundikai ),656796229792309248
Diantre75,2015-10-21T20:54:00,@LVMH  https://t.co/hAqCmCsRtw,656936721771339776
sartorialscout,2015-10-24T11:00:00,@LVMH-owned L Capital has acquired a 49% stake in @elgansospain: https://t.co/FVacQCOsMC https://t.co/Z0FtE3snqI,657874383499862016
Patrick_Yee_1,2015-10-25T02:58:00,@LVMH jadore Dior https://t.co/q6EN0b2hav,658115457614917632
Patrick_Yee_1,2015-10-25T23:44:00,"@LVMH CIA extortion, assault, fraud, corporate sabotage against LVMH group, see report with DGSE https://t.co/I7lDBUMrYa",658429053381185536
Patrick_Yee_1,2015-10-25T23:52:00,"@LVMH see DGSE report; CIA extortion, fraud, grand larceny, corporate sabotage against LVMH group. https://t.co/h08PH39DCP",658430883574120448
Patrick_Yee_1,2015-10-26T02:13:00,"@LVMH command chief Dan to continue sending fraudulent messages, impersonating myself and other agencies. https://t.co/ZmnFaXx5up",658466456456200192
Patrick_Yee_1,2015-10-26T02:17:00,"@LVMH CIA sending spam fax's impersonating myself and others, please be aware of fraudulent correspondence https://t.co/BHwRqsdcGz",658467385679085568
LuxurySociety,2015-10-26T13:00:00,@LVMH’s Fondation Louis Vuitton Clocks 1.2M Guests In First Year. #luxury #fashion #art https://t.co/Po5yj8vNHB https://t.co/tEA7gax0bd,658629264976146432
LuxuryDaily,2015-10-26T13:53:00,@LVMH ’s Fondation Louis Vuitton sees 1.2M guests in first year https://t.co/oagmmQLdVQ,658642493509128192
Durandson,2015-10-26T18:32:00,@LVMH &gt;&gt;,658712717293932544
LuxurySociety,2015-10-26T21:30:00,@LVMH’s Fondation Louis Vuitton Clocks 1.2M Guests In First Year. #luxury #fashion #art https://t.co/01R3cWt1Xf https://t.co/VXMeudK0ks,658757569960353792
Patrick_Yee_1,2015-10-26T22:28:00,"@LVMH CIA spamming LVMH website with fraudulent messages, harassment and slander from Langley HQ https://t.co/uRfHYBfVRx",658772122110590976
Patrick_Yee_1,2015-10-27T01:46:00,@LVMH Commander Chief Dan Tanner to defraud LVMH group in fraudulent impersonations via phone messages and calls,658822120919592960
poitevin_e,2015-10-27T13:53:00,@LVMH https://t.co/pIQcgAqReW,659005100946497536
Antony_ASI,2015-10-27T16:04:00,"@LVMH Grâce à notre outil CMX (Connected Mobile eXperiences), vous pourrez accéder à une expérience client https://t.co/377lHnHvNb",659037911799746560
ReichellMarilys,2015-10-27T16:25:00,@LVMH https://t.co/yUciTHrxfb,659043204172529664
BB39LL,2015-10-27T18:50:00,"@LVMH @FondationLV Je confirme la montre.
Gardez le privilège de l'alphabet sur RT",659079668780421120
LuxurySociety,2015-10-28T09:57:00,"@LVMH Appoints Anish Melwani As New Chairman &amp; CEO, As Pauline Brown Exits #luxury #fashion https://t.co/vjdYUZ38H8 https://t.co/GrwzmS1E9q",659307952201953280
BB39LL,2015-10-28T10:36:00,@LVMH @MoetHennessy https://t.co/4WQ9liD5BS,659317755108282368
yuandawei,2015-10-28T11:39:00,@LVMH @MoetHennessy always a reason to celebrate with Moët Hennessy,659333775935959040
piliperezalbizu,2015-10-28T17:04:00,@LVMH @TAGHeuer Tu y yo,659415513165090816
DanielMalinsWP,2015-10-28T17:29:00,@LVMH North American chairman resigns https://t.co/ewwMtDIhcc https://t.co/XxYOr99fTs,659421666846576640
WatchPro,2015-10-28T17:29:00,@LVMH North American chairman resigns https://t.co/kIQyCFOuYY https://t.co/erfrP4MGY8,659421666850811904
LuxurySociety,2015-10-28T17:30:00,"@LVMH Appoints Anish Melwani As New Chairman &amp; CEO, As Pauline Brown Exits #luxury #fashion https://t.co/NbmlyI5who https://t.co/Wb8LqwzZY9",659422024545255425
mgill80,2015-10-28T18:26:00,@LVMH @TAGHeuer is there a UK release date? Thank you,659436078361944065
wheelieabarrow,2015-10-28T18:54:00,@LVMH @TAGHeuer price for the uk?,659443020719345664
lubashivaya,2015-10-29T01:08:00,"@LVMH #vision, #engagement and #recognition are key ingredients to continued #success ! #congrats ! https://t.co/bO36AB6L1Q",659537248837332992
Anybrate,2015-10-29T02:34:00,@LVMH @TAGHeuer Peek.,659558967064944640
Kevin_In,2015-10-29T03:25:00,@LVMH @HODINKEE @TAGHeuer Will be interested in seeing the pricing for this. Smart watches don't exactly have the same longevity as trad.,659571725571522561
ZOEmagazine1,2015-10-29T18:08:00,@LVMH @FondationLV wonderful initiative !!,659793872348925952
L13299448,2015-10-29T18:49:00,@LVMH @FondationLV sexy,659804338882265088
