screen_name,created_at,text,id
JoannePlumpton,2015-10-13T22:53:00,@marksandspencer when does your Christmas food ordering start for turkeys etc?,654067515539255296
JeffPrattUK,2015-10-14T11:18:00,@marksandspencer One phone call &amp; car ins renewal drops 20%? Why not give me best price instead of trying one on! #PoorCustomerRetention,654254924243574784
AthensInsta,2015-10-14T11:44:00,@marksandspencer winter 🍂🍁2016 ! Με διάθεση 70's 👌🏻.....#fashion #mystyle #instagood #inst… http://t.co/8nk0bDJDOQ http://t.co/bAIWWGwitx,654261515646840832
AthensInsta,2015-10-14T11:45:00,@marksandspencer winter 🍂🍁2016 ! Με διάθεση 70's 👌🏻.....#fashion #mystyle #instagood #inst… http://t.co/8nk0bDJDOQ http://t.co/tCXNdtOYVz,654261771356741632
Jacksutcliffe88,2015-10-14T12:43:00,"@marksandspencer online trousers were way too short, waited ten minutes at collections to be told to go somewhere else, no trousers left...",654276291110268928
shepltfc,2015-10-14T12:43:00,@marksandspencer Why have you stopped making the Piri Piri Chicken Pasta Salad?,654276310672539648
ITGTI,2015-10-14T13:59:00,"@marksandspencer a great Mexican wrap with beans, yogourt with timperley rhubarb &amp; custard and an apple &amp;mango juice (beverage was free)!",654295528860200961
AddingtonFund,2015-10-14T14:23:00,"Thanks for your prompt response @marksandspencer, Rob is on the case!",654301415037382657
MrBillMaynard,2015-10-14T14:39:00,@marksandspencer it was purchased from the Hatfield outlet store on Monday 12th October. Thanks.,654305490474807296
Emily_Church,2015-10-14T14:50:00,@marksandspencer thanks!,654308384229982208
Jacksutcliffe88,2015-10-14T15:34:00,@marksandspencer T176361M are reasonable but is there no where I can get a pair of 34/31 pink?,654319440197193729
RyanMarkParsons,2015-10-14T16:27:00,@marksandspencer I couldn't resist http://t.co/6kbWI2hdga,654332791505727488
shell_2075,2015-10-14T16:53:00,@marksandspencer They are paper gift vouchers. I will send a pic when I get home.,654339372444205056
dawn_hamill,2015-10-14T17:57:00,@marksandspencer My latest blog post: the #breastcancer campaign #ShowYourStrap #ShowYourScar #Braintumour http://t.co/YQob0K4EJB,654355383247613952
TheSortingKat,2015-10-14T18:20:00,"@marksandspencer this is gross. Took this picture on the 10th, well within date. Your staff didn't seem concerned http://t.co/06lKJCU4j8",654361068509220864
jcicrichton,2015-10-15T07:58:00,@marksandspencer @MusgrovePark hospital have started doing fish and chips. This can't end well for me,654566999402639360
