screen_name,created_at,text,id
AZbuckeye10,2015-10-06T18:08:00,"@MarriottIntl great, thanks for your help!",651459046336131073
AnonyChange,2015-10-06T19:59:00,@MarriottIntl 3 White Lion Cubs born http://t.co/SccfUBAE93   What conservation plans can there be for hand reared cubs?! #WatchBloodLions,651486871340589056
AnonyChange,2015-10-06T20:00:00,"@MarriottIntl don’t the guests staying at your Hotel, the Ranch Resort, ever ask why it’s ok to walk with Lions??#WatchBloodLions",651487225742536704
cdorr084,2015-10-06T20:34:00,@MarriottIntl,651495818084679680
travelprnewscom,2015-10-06T20:36:00,"@MarriottIntl announces the opening of new 154-room Courtyard by Marriott Hotel in Lima, Peru http://t.co/1qOSo5S9Jm http://t.co/qX3qwRl4FV",651496213422952452
AZbuckeye10,2015-10-06T21:03:00,@MarriottIntl I look forward to your contact info. Thx,651503116517400576
BreezeCyclone,2015-10-06T21:26:00,@MarriottIntl 3 White Lion Cubs born http://t.co/M1azdJqxTC  What conservation plans can there be for hand reared cubs?! #WatchBloodLions,651508907018469376
GaryMarshall8,2015-10-07T00:55:00,@MarriottIntl targets #Arab #youth -  http://t.co/IZr9W3hIfd,651561376889073664
thepointsjock,2015-10-07T03:56:00,"@MarriottIntl DM sent for some help, thanks team",651607014544510979
DazjetAPAC,2015-10-07T04:54:00,@MarriottIntl targets #Arab #youth -  http://t.co/K3e7mS6zK7,651621514610130944
ThePBR1000,2015-10-07T06:01:00,@MarriottIntl(PBR211) plans to open 60 new hotels in the Caribbean &amp; Latin America by 2018. http://t.co/bcVN7vWjV5  $MAR #hotels #tourism,651638491655204864
RomeoNY1,2015-10-07T15:02:00,@MarriottIntl IF EVER I'M BLESSED TO AFFORD A TRIP WITH MY WIFE AND DAUGHTER I WOULD WANT TO STAY ON ONE OF YOUR POSTED HOTELS. AMAZING!,651774512858595329
ZiaTravels,2015-10-07T20:43:00,@MarriottIntl YAY! 😊👌🏻 #JustMissedItTho #VacaInOctober https://t.co/422wgjfS8N,651860333817040896
1000hugsorg,2015-10-07T21:50:00,@MarriottIntl joins the 1000 hugs conversation #1000hugsorg #1000hugsTH #MarriottThailand @hotelintel http://t.co/sCKozg9ZJ1,651877358656454656
SavvyScene,2015-10-07T22:46:00,@MarriottIntl Enters #Taiwan with Opening of the 320-key #Taipei Marriott #Dazhi @taipei_marriott #Hotel #travel http://t.co/jKzStbMBH8,651891440063111168
eg45600171,2015-10-08T01:22:00,"@MarriottIntl  @Marriott Amazing job today by Matt Biskie Courtyard Marriott Elmhurst, Il. It's your staff like him that I choose Marriott!",651930676434980864
Destiny_Man,2015-10-08T09:00:00,@MarriottIntl settles into Africa with two hotels to be built in Johannesburg: http://t.co/R8hvjzvJ2R @SawubonaSAA http://t.co/1oBRv7NRRt,652045831957118976
drkadoya,2015-10-08T16:13:00,"@MarriottIntl getting lifetime elite 1.4m points for gold, does it mean I have to get them all together or an account activity with 1.4",652154790525321216
DwaneClifford,2015-10-08T19:16:00,@MarriottIntl @andrewzimmern my favorite show and my favorite Hotels!!,652200997633167360
Meeting_Encore,2015-10-08T22:10:00,@MarriottIntl opening new resort in #Florida Keys http://t.co/6PblEzTivW Contact your #MeetingEncore rep to consider for your next #meeting,652244680990658560
seven_questions,2015-10-09T01:20:00,"@MarriottIntl thanks for sharing Marriott Internat'l, have a great Friday :) (insight by http://t.co/TWvZjJcVD6)",652292562607296512
TheHusbandInTow,2015-10-09T09:28:00,@MarriottIntl can you tell me who will be attending the ITBAsia event from the Marketing or PR departments?,652415325682556928
MCIDublin,2015-10-09T10:05:00,@MarriottIntl Celebrates progress on diversity and inclusion; support for youth employment http://t.co/jVd6H5r9IC,652424522398875648
cnd_eng,2015-10-09T13:00:00,@MarriottIntl is embarking on a major expansion push in Latin America and the #Caribbean http://t.co/sqdleZCxoU http://t.co/B9gh2Mp8Ja,652468601702617088
YoannaZeee,2015-10-09T18:17:00,@MarriottIntl @Marriott using my mil time share @ Aruba&amp;booked extra night . wanna b sure we wont have problem checking in &amp; res are linked,652548371354402816
ASantangelo1021,2015-10-09T22:35:00,@MarriottIntl I was overcharged by grand hotel flora Roma. Please help. Too expensive to call them directly. I can DM the reservation number,652613376158355457
padmaym,2015-10-10T02:55:00,"@MarriottIntl  don’t the guests staying at your Hotel, the Ranch Resort, ever ask why it’s ok to walk with Lions??#WatchBloodLions",652678783648948224
sjwadi,2015-10-10T22:08:00,@MarriottIntl Doha Marriott gr8 hotel&amp; very knowledgeable personal. Wish tho smoking isn't alowed in loby esp on way 2gym,652968965950586880
1Two3xo,2015-10-11T02:51:00,@MarriottIntl thank you!  I'm sure we will!,653040113853698048
smbdevries,2015-10-11T09:46:00,@MarriottIntl Tjeerd jan Theunis de vries Ericka rajaonarivelo on the telly i want your brother back. Look to affeurth,653144637822124032
smbdevries,2015-10-11T09:47:00,@MarriottIntl no she is a project my foto neuh love to Some dice whit ericka,653144989002805248
FutureTrendsUSA,2015-10-11T10:00:00,"@MarriottIntl 
Please see special invitation to China Reception http://t.co/khzkDCjGDt",653148062764953600
benmarks,2015-10-11T14:28:00,"@MarriottIntl Not available to US residents, so why was I targeted? http://t.co/YeEEgL5wxQ",653215709967843332
benmarks,2015-10-11T18:41:00,@MarriottIntl Negative. Happy to help your team debug.,653279217472421888
benmarks,2015-10-11T19:43:00,"@MarriottIntl Good stuff. FYI, my profile is US-based, but I'm pulling up the email &amp; offer in GR.",653294904068677633
888pestcntrlceo,2015-10-12T06:00:00,@MarriottIntl  RE:BED BUGS THENEWS  MEDIA&amp; PUBLIC WERE BEING MISINFORMED BY SEVERAL IN THE PEST CONTROL INDUSTRY! FOR PERSONAL GAIN. NOT US!,653450236325572608
Real1Nai,2015-10-12T10:55:00,@MarriottIntl @resinnirmosc @Marriott  I sent you a message Janice.,653524427418636293
