screen_name,created_at,text,id
ChaskaBlake,2015-10-06T18:24:00,@MasterCard #pricelessbaseball  Bret (Saberhagen) jumping into (George) Brett's arms after WS win 1985.  #Royals,651463100260941824
ddbuyserie,2015-10-06T19:00:00,@MasterCard Tried this already but the number for Belgium isn't correct...,651472063069335552
karenhbromberg,2015-10-06T22:16:00,@MasterCard to add #biometric security to online transactions in 2016 - http://t.co/7PQ4nBXD2D http://t.co/OQOelaPwVi,651521338646003713
tavocolindres,2015-10-07T02:03:00,@MasterCard promueve jerigonzas en #Panamá! Se lee así: chin chon ping pong! https://t.co/WGfMrDqs5R,651578512407576577
ShoeRepairLady,2015-10-07T03:19:00,@MasterCard in #StCharlesMOcounty #Congratulations  https://t.co/kjBRlJygKk,651597744314806272
kat_budd,2015-10-07T05:58:00,"@MasterCard using the #netherlands to trial #biometrics as login tools 
http://t.co/6fOzMHscy6
#fintech #logins #passwords #innovation",651637614307581952
Dillon_Budd,2015-10-07T05:58:00,"@MasterCard using the #netherlands to trial #biometrics as login tools 
http://t.co/SQI47GCYz6
#fintech #logins #passwords #innovation",651637614399881216
paymentsjournal,2015-10-07T13:39:00,"@MasterCard Embraces #Tokenization, #Biometric Authentication 
http://t.co/dEzL980Ibu",651753689493864448
dutch_courage81,2015-10-07T13:47:00,@MasterCard just insulted all of Japan in the bus at the Stratford fanzone I'm sorry #44DaysOfCrazy,651755781570826240
danileith23,2015-10-07T14:11:00,@MasterCard #PricelessSurprises #pleasegivemetickets #cheeky #rugbyfan #passion http://t.co/4gUwxwXupH,651761732248059904
khaayrenee,2015-10-07T15:13:00,"@MasterCard my grandpa has a ""lucky"" cross necklace that he gave me. EVERY game I've worn it to, the Cards have won. #PricelessBaseball",651777393967796224
Heftybagboy1975,2015-10-07T15:42:00,"@MasterCard I got call from # 713-385-1622 stating they were Visa/MC card services rep, to lower my int. rate on card &amp; wanted my CC#. FYI",651784614298583040
