screen_name,created_at,text,id
mariaredondo,2015-10-07T07:57:00,@Mattel y @Google acercan la #realidadvirtual a los más pequeños con el nuevo View-Master VR  - http://t.co/hW5q0OUosq,651667615836991489
Mum2MyBoys,2015-10-07T21:16:00,@Mattel thanks for getting back to me looks like we r moving on to take &amp; play then,651868762069725184
MayhewZak,2015-10-08T01:38:00,@Mattel @RingsideC @WWEshop @CarmellaWWE needs an action figure! ASAP! http://t.co/IQaMjTbGLX,651934737607475200
HeManReboot,2015-10-08T05:03:00,@Mattel @SonyPictures The #MastersOfTheUniverse Fans are waiting for News for the New HeMan Movie 😉 #NYCC #NYCC2015 http://t.co/12dpdq26fs,651986320299044864
ShangTs,2015-10-08T08:20:00,@Mattel @SonyPictures You know what'd be even more cool? MOTU movie announcement!!! http://t.co/glBiwHOjYt,652035738058530816
toyworldmag,2015-10-08T09:10:00,"@Mattel launches Fireman Sam Special Safety Month: http://t.co/X7SGzSoWfl
@FiremanSamUK #FiremanSamSpecialSafetyMonth",652048295423004672
EmSeJo,2015-10-08T14:47:00,@Mattel can you please make a Katana doll aswell ! #DCSuperHeroGirls #whereskatana http://t.co/NJgMzoURB2,652133203537334273
swapmeetmodels,2015-10-08T14:54:00,@Mattel @HotwheelsElite X5531 GMC THE A TEAM @ATeamPH_ CLASSiC VAN 1983 TV Series 1:18th http://t.co/9hmVGqZuNu http://t.co/rzWp4T9vlL,652134917875232768
SteveJRogersJR,2015-10-08T15:50:00,@Mattel Wish you guys had more presence at #NYCC2015 Especially the DC Super Hero Girls World toys,652148959771627520
touchdown_vc,2015-10-08T18:32:00,@Mattel partners with @Google to create a kid-friendly #vr experience http://t.co/tZ78uqKJD0,652189717396647936
riannadavis1,2015-10-08T19:03:00,@Mattel will the @Zendaya doll be for sale😫😫I need this doll,652197724641755136
r_u_ashley,2015-10-08T19:27:00,@Mattel got a bone to pick with you guys 😡,652203592451952641
jrsartorialist,2015-10-08T22:42:00,@Mattel @Barbie is on my Christmas List! http://t.co/pAYXR0k4xx,652252728127815680
BanjoHfuhruhur,2015-10-09T02:03:00,@Mattel Unveils 2016 Kids Slate : @FiremanSamUK @Roblee159Rob @StevenKynman : http://t.co/7x1940GfkH,652303350940233729
MonsteHighRo,2015-10-09T05:24:00,@Mattel ok...😓😓😓.but you coming soon ???,652353930245054464
sarahclegg2,2015-10-09T14:49:00,@Mattel plz plz tell me this is real and they are for UK too my daughter is bouncing after seeing these!! http://t.co/3MCurrntS4,652496055586713600
gogosportsgirls,2015-10-09T14:49:00,"@Mattel The Go! Go! Sports Girl team LOVES your new Superhero dolls! We r empowering girls 2 be strong, smart &amp; adventurous. Great job!",652496194237808640
Workatlboro,2015-10-09T15:52:00,"@Mattel are recruiting for their Global Procurement #placement 2016 in the Netherlands!

http://t.co/3OsVhEaR4V http://t.co/URHZU1LJh7",652511869802905600
BearcatEd27,2015-10-09T19:38:00,@Mattel Im a sm business owner &amp; try to buy $10-15k in Mattel product monthly. Orders are not fulfilled &amp; we are left in the dark w/no help,652568729230950400
forgotthebottom,2015-10-09T21:06:00,@Mattel please tell me you are developing 18inch EAH dolls.,652590913928097792
nadyabliss,2015-10-09T21:14:00,@Mattel - this campaign is actually kind of awesome. I particularly like the professor and the business woman. https://t.co/nnP10S4LDJ,652593008295088129
genfailcast,2015-10-10T00:47:00,@Mattel and @DCComics are doing something great here! http://t.co/9sNbeR5DE6 #girls #comics #superheroes,652646590830800896
HeManReboot,2015-10-10T07:09:00,@Mattel @SonyPictures @DeVonFranklin Does SonyPictures own the rights for an Animated #MastersOfTheUniverse Movie or NewCartoonTvSeries too?,652742657744179200
Kthornbury,2015-10-10T13:16:00,"@Mattel What if a child reports sexual abuse to #talkingbarbie
Does the artificial intelligence know what to do with that? 
Honest question.",652835148430503936
MrsCommand,2015-10-10T17:19:00,@Mattel Y'all should have a girls camp using Barbie and Monster High to help girls with confidence and self esteem.,652896234802421761
JesseMillette,2015-10-11T13:59:00,@Mattel I would really appreciate a follow back from you!,653208288683773952
DominicLehman85,2015-10-11T16:04:00,"@Mattel #ExclusivitySucks 
I hope to see a re-release.
Thomas &amp; Friends DC Super Friends MINIS Mash Ups Origin Story https://t.co/zkSp1aIEew",653239879019679744
BermyUnicorn,2015-10-11T18:23:00,@Mattel. You'd have shown that you meant it if you had #Venus and #SerenaWilliams instead of #Zendaya.,653274730443620352
BermyUnicorn,2015-10-11T18:27:00,@Mattel when are we getting an @fatbellybella doll? or @JanelleMonae? or #LaurynHill? do you see where i am going with this?,653275724829208576
BearcatEd27,2015-10-12T15:57:00,@Mattel thanks for the response. I don't think I can send a DM without you following me. Thanks,653600453335367680
forgotthebottom,2015-10-12T16:08:00,"@Mattel I figured as much. But I'll buy them if you make them. (Also, thanks for spelling my name right)",653603278207348736
