screen_name,created_at,text,id
jarman_jayson,2015-10-10T03:06:00,@McDonaldsCorp is mad cause @kfc breakfast is better lol,652681701089390592
itbedave,2015-10-10T14:47:00,"@McDonaldsCorp Disappointed #breakfastallday doesn't include ANYTHING with a biscuit, even though commercials show them. #fail",652857975036624896
Xarias,2015-10-10T17:59:00,@McDonaldsCorp All excited to get a steak/egg/cheese meal at 1PM. I get told no Bagels this late. #disappointed Why is that so difficult?,652906222052614144
EJCII,2015-10-10T18:56:00,"@McDonaldsCorp The problem with McDonald's is that it's not fast food anymore,the counter service is considerably slower than the drive-thru",652920727314792448
LadyJ5569,2015-10-10T20:13:00,"@McDonaldsCorp my sister is working for #McDonalds in #Cartersville #Georgia and my niece, her daughter is also. Going to a brand new 🍔🍳🍗🍟🌹🌹",652940065920958464
drdunc1220,2015-10-10T21:10:00,"@McDonaldsCorp ALL DAY BREAKFAST is GREATEST! I can order an Egg McMuffin, hash browns AND a vanilla shake at dinner time-YES I CAN! Thanks.",652954441428148224
parkerr_bryann,2015-10-10T21:45:00,@McDonaldsCorp brought it to their attention and they didn't care. McDonald's on legacy and Lebanon in frisco Texas. it was TERRIBLE,652963277039767552
BrilliantMind68,2015-10-10T22:43:00,@McDonaldsCorp    Sick of hearing about all day breakfast.  No real person really fucking cares.,652977860513300480
sportobarry,2015-10-11T02:13:00,@McDonaldsCorp why do you guys not deliver to  me and the homie @_dough_boyy,653030645061390336
Melyssa_lyn,2015-10-11T03:30:00,@McDonaldsCorp @McDonaldsCorp when're you going to start delivering breakfast #AllDayBreakfast 😛,653050117453414400
BorehamDan,2015-10-11T09:43:00,"@McDonaldsCorp your Dagenham branch are an absolute shower of shit, thanks for a crying 5 yo cos they ballsed my order up, useless mugs",653143813020643333
6468Godoy,2015-10-11T14:22:00,@McDonaldsCorp we want the whole breakfast menu not just this http://t.co/of8yK6LneP,653214066698289152
Boyitalia,2015-10-11T19:00:00,@McDonaldsCorp no McGriddles for all-day b fast. #McFail @MrSegan @meechum33 #tomsulafacts  @TomsulaFacts stuffs McGriddles in his armpits,653283971585863680
MarsUller,2015-10-11T23:14:00,@McDonaldsCorp  #BreakfastAllDay is a joke. More like a very limited breakfast menu all day. Other places seem to do their whole menu...,653347876752396290
JRob_86,2015-10-11T23:49:00,@McDonaldsCorp #AllDayBreakfast  that shit is real,653356769972895744
RFKidman,2015-10-12T02:38:00,@McDonaldsCorp I really hate you tweeter commercials. Those are the most annoying types of people ever.,653399191738273792
WesFloyd,2015-10-12T03:33:00,@McDonaldsCorp Just saw the #AllDayBreakfast why not #AllDayLunch? Would rather have a Cheeseburger at 0900 than an EggMcMuffin at 1600,653413104492134400
NicoleBlue_Bell,2015-10-12T15:45:00,@McDonaldsCorp Si por que no? Estaría muy bueno!,653597439778287616
SpadeOG,2015-10-12T17:02:00,@McDonaldsCorp I did enjoy it and I have my favourite chocolate milkshake to sit down and relax with now 😘,653616694091476993
HEADRUSHHH,2015-10-12T17:09:00,@McDonaldsCorp @HEADRUSHHH Yes!! Honeymoon now? A short fling with a strawberry sundae?,653618584044879872
SpadeOG,2015-10-12T17:19:00,"Follow back?
Ignore for cancer!
@McDonaldsCorp",653620940606193664
Wrexinator,2015-10-12T17:20:00,"@McDonaldsCorp I ordered a big mac and the guy's name is corran McKenzie,he told me that my dad left me before the big bang please help me",653621204780191744
vFluids,2015-10-12T17:36:00,@McDonaldsCorp how many RTs for free big mac,653625351734730752
jaden0308,2015-10-12T18:47:00,@McDonaldsCorp @McD_Canada MAYBE U SHOULD OF PROVIDED US WITH ALL DAY BREAKFAST LIKE U DID FOR AMERICA #NowImMad,653643230383341568
Kris10isaballer,2015-10-12T18:48:00,"@McDonaldsCorp what idiot decided to exclude BISCUITS from the All Day ""Breakfast"" menu? Terrible Horrible decision. #McMuffinsaregross",653643439452524544
RoyallBrooks,2015-10-12T18:54:00,@McDonaldsCorp I was really looking forward to #AllDayBreakfast until I ordered and found there were no folded eggs #fail,653644931672596480
jen_blackmore,2015-10-12T20:14:00,@McDonaldsCorp hahahaha nb soj,653665153737691138
Elen_Jenkins,2015-10-12T20:50:00,@McDonaldsCorp to be fair we visited you 2x yesterday and Had a leftover veggie burger &amp; fries for lunch today. I know how perfect you are,653674039349768192
joshmatta,2015-10-12T21:03:00,@McDonaldsCorp best tweet I've ever received🍟,653677509112930304
McMania_,2015-10-12T21:10:00,@McDonaldsCorp Hello! we would like to talk with you via message! follow me please! a kiss,653679278706573314
onionraji,2015-10-12T21:38:00,@McDonaldsCorp can you McDeliver to me 😂😏,653686283265556480
AnnaPearson100,2015-10-12T21:43:00,@McDonaldsCorp @MaddieAlvear it's my smile but aight,653687508622938114
SpecialAgentG,2015-10-12T21:52:00,"@McDonaldsCorp yes they would. ! :D. 
My breakfast was delicious 🍔🍳🍟",653689753066344448
nichoro2,2015-10-12T22:26:00,@McDonaldsCorp @ErinClemans1 #BringBack the 5 tastes again soon,653698171533660160
I_Am_Kev1n,2015-10-13T02:16:00,@McDonaldsCorp Why say all day breakfast when it's not a full breakfast menu only offering muffin sandwiches and pancakes,653756073149661184
ayvah103,2015-10-13T02:19:00,@McDonaldsCorp baup ba ba baaa I'm loving it!!!,653756802052567040
GammaEpsilon587,2015-10-13T05:31:00,@McDonaldsCorp where the cheese at?? http://t.co/Nwgkc3KBQy,653805156560039937
SatisJackson305,2015-10-13T08:42:00,"@McDonaldsCorp everyday this location in Washington, DC never opens on time",653853312782073856
willshirola,2015-10-13T13:04:00,@McDonaldsCorp yes...,653919186024947712
uscoptic,2015-10-13T14:21:00,@McDonaldsCorp is spending a fortune on menu development.  The answer is fairly simple:  Build a better burger.,653938494448889856
MilanotsoKunis,2015-10-13T14:29:00,@McDonaldsCorp Right? Now since I've got your attention. Please may I have a large Big Mac please 🙋🏽😂,653940616066371584
_Tara_Lizzie_97,2015-10-13T15:53:00,@McDonaldsCorp haha 😂👍🏻,653961888464830464
dcjackso94,2015-10-13T18:04:00,"@McDonaldsCorp was excited about all day breakfast, but not anymore cuz no McGriddles. -_- so then I went to Wendy's for a burger XD",653994700161073153
ndresmarino,2015-10-13T21:31:00,"@McDonaldsCorp @MillerBeers @pepsi y'all seem to be shakin' in your @RadioShack .
Let the kale chips fall where they may",654046886920351744
MrsOfficialKels,2015-10-13T22:14:00,@McDonaldsCorp when did the double cheeseburger leave the Dollar menu?! And why is a sweet&amp;sour sauce $.27! #Crazy #Brokenhearted,654057765229359104
JadeEnriqueta,2015-10-13T23:10:00,@McDonaldsCorp get one in Bournemouth 😭,654071777837117440
theembellisher,2015-10-14T00:16:00,@McDonaldsCorp #mighty wings  loved them. Don't like burgers,654088414870962176
Sophie_Brough,2015-10-14T14:49:00,@McDonaldsCorp no as someone went and got the meal for me. It was in Chilwell. I would like to know what you are going to do about this,654307949695889408
KirbyJo_14,2015-10-14T15:45:00,@McDonaldsCorp McDonald's is my life,654322203320823808
c0untless_flaws,2015-10-14T15:46:00,"@McDonaldsCorp it was incredible, apart from the fact that the branch didn't sell mozzarella dippers 💔💔💔",654322494300647424
redpillontop,2015-10-14T19:00:00,@McDonaldsCorp best partner❤️❤️❤️❤️,654371334454124545
The_Firkins,2015-10-14T19:14:00,@McDonaldsCorp you know what pisses me off? When I order nuggets and fries and both of them are stale. Thanks for ruining my lunch.,654374721497108480
Chuck_In_Yuma,2015-10-15T04:00:00,@McDonaldsCorp I don't know if anyone monitors this but your TV spots with the Twitter themes are horrific and unwatchable. Please rethink.,654506996687699968
EmmaLorraine0,2015-10-15T15:09:00,@McDonaldsCorp tell her again then. @sophieleanne__ 👍🏻,654675502968410112
QueenOfGames125,2015-10-15T15:39:00,@McDonaldsCorp all day breakfast comes at a price.. Higher prices on everything and no dollar menu.. At least in my area #disappointed,654683024504717312
clonewar2,2015-10-15T15:43:00,@McDonaldsCorp yes! yes! yes! Diet Coke has a terrible taste imo. So I hope you pass the Coke Zero suggestion along,654683985788858368
Jwatz11,2015-10-15T15:47:00,@McDonaldsCorp Big Breakfast ain't all day?...smh,654685017596014593
dyleffler12,2015-10-15T16:27:00,@McDonaldsCorp why don't ALL of McDonald's carry mild picante?I don't care if hot isn't really hot. I like consistency and I love mild!,654695091328516096
AmericasUncle,2015-10-15T20:20:00,"@McDonaldsCorp I was just going to say to offer some McSteaks for a nigga over here bruh, but I gotchu fam. It is what it is",654753656290476036
_dalepotter,2015-10-15T21:26:00,"@McDonaldsCorp fuckin right son, hank marvin btw lut",654770337121366016
rodrigus007,2015-10-15T21:48:00,"@McDonaldsCorp Hi, is ir normal that @McDonalds_Ar treat so bad to customers? Is it normal to find hair in my salad or on my girl's burguer?",654775810323148800
callmeTanyababy,2015-10-15T23:00:00,@McDonaldsCorp I visited the Webster MA McDonald's today and I had the best experience they are so nice and all my food is fresh 😋 thank you,654793970409537537
talaya_fox,2015-10-15T23:46:00,@McDonaldsCorp the shake machine is always broken I swear😒😔💔,654805516422516740
seanpar0820,2015-10-16T02:47:00,@McDonaldsCorp how can you possibly call this all day breakfast and not have the bacon egg and cheese biscuit?  Seriously?,654851015171248128
RetailSAwards,2015-10-16T15:00:00,@McDonaldsCorp Congratulations on last night's success #RetailSystemsAwards View the full list of winners http://t.co/uBxutAhrH3,655035507655749632
rossmacleod_,2015-10-16T15:20:00,@McDonaldsCorp the McDonald's in Inverness is being refurbished 😕😕😕😕,655040660404326401
Gabria90,2015-10-16T15:47:00,@McDonaldsCorp Glad to join you everytime it's possible😊,655047328768765953
AGAPETUS,2015-10-16T16:24:00,@McDonaldsCorp  Can't we get the burgers all day? #jackinthebox does it #burgerking does it.  Your breakfast kind of sucks.#alldaybreakfast,655056634176274432
TeleTobiTweets,2015-10-16T17:02:00,@McDonaldsCorp NO THAT'S DANGEROUS!,655066286548979712
xTweetsByMoi,2015-10-16T17:35:00,@McDonaldsCorp @McDonalds Is there an age limit for happy meals?,655074481900232704
Hancock_Meg_,2015-10-16T18:31:00,"@McDonaldsCorp but that's not in England my dear, Friday night on my own &amp; I wanna order a McDonalds but I can't, it makes me sad😔",655088754718306304
rossmacleod_,2015-10-16T18:37:00,@McDonaldsCorp does that mean Elgin for a Maccy D's?,655090168181952512
JimKoski1701,2015-10-16T19:59:00,@McDonaldsCorp You guys perfected McRib technology but the R&amp;D guys can't figure out a non-styrofoam McDLT box? C'mon! Let's get on this!,655110748759199744
pinkity,2015-10-16T22:37:00,@McDonaldsCorp oh yes and the Nanoblock toys are adorable roo!,655150497557405696
May25Adam,2015-10-17T03:08:00,@McDonaldsCorp  its not what u sell or when its the ten fifteen min wait n receiving old food is the problem,655218807661719552
logankbailey,2015-10-17T06:03:00,"@McDonaldsCorp you will be hearing from a lawyer about your ""24hr, breakfast""",655262789787918336
LanceTruPatriot,2015-10-17T06:19:00,"@McDonaldsCorp Needs To Invent The CONSTITUTIONAL PATRIOT BURGER! 1 That Thrives on Liberty, Freedom &amp; Free Market #MakeAFilmPrimAndProper",655266964202508288
adparker7,2015-10-17T13:43:00,@McDonaldsCorp @ceparker1 Hi Catt's younger brother here. Attended Balwyn maccas too and this was the result #hangry http://t.co/a5d5320fxf,655378493115502592
Dabighatred,2015-10-17T14:50:00,@McDonaldsCorp what's this about http://t.co/Z8d8yiaxKB,655395432579866625
SHELBERT,2015-10-17T19:04:00,@McDonaldsCorp @ Florissant Mo McDonalds. Please clarify your commercials. No sausage bisuits all day just muffins. Not #AllDayBreakfast,655459446936702976
MartinJJacobs,2015-10-17T20:42:00,"@McDonaldsCorp PLEASE! Save yourselves! Get back to burgers, fries, and shakes. It's what we've loved you for. It's your niche. DO IT!",655484046756204545
patrycjawitt,2015-10-18T04:18:00,@McDonaldsCorp supports struggling @UN effort to feed #SyrianRefugees @CNN http://t.co/cqZJWTTnG9,655598812094791680
syvrud_erik,2015-10-18T15:08:00,@McDonaldsCorp doesn't sell their egg mcmuffin on the all day breakfast menu? that seems dumb considering I want one so bad.,655762497337737217
dunleavy138,2015-10-18T15:45:00,@McDonaldsCorp your store in Old Town Kissimee sux. 25 mins for a sausage mcmuffin #slowfood,655771751457136641
LivMonteleone,2015-10-18T23:00:00,@McDonaldsCorp @McDonalds dont adv. all day breakfast if yre only serving 3 breakfast items (none of which involve a biscuit) during dinner,655881113047560192
Mygirlscanhoop,2015-10-19T00:43:00,@McDonaldsCorp IMO the breakfast menu makes drivethru slow during the non breakfast hours.,655907128549470208
DBoson,2015-10-19T12:56:00,@McDonaldsCorp @McDonalds Store#11020 Apple iPay not working in drive thru and worker was so RUDE I will rethink patronizing,656091532261507072
iSoZander,2015-10-19T16:18:00,@McDonaldsCorp is it true that if I order a lemonade with no ice that I will get half my drink and it will not be fill but halfway?,656142291602530304
LaurenWeaverX,2015-10-19T16:45:00,@McDonaldsCorp i will do just the smarty is the best,656149283738157057
MoAboutTown1977,2015-10-19T17:03:00,"@McDonaldsCorp still infuriated that I havent seen an aggressive focus on more paleo, holistic food selections for loyal patrons.",656153696078839808
urbana_critica,2015-10-19T17:23:00,@McDonaldsCorp @McDonaldsCol I always go to Mc. Donald's #Pereira and It saddens me that they refuse 2 serve breakfast on their menu. Help.,656158743776927744
ca_whiten,2015-10-19T17:59:00,@McDonaldsCorp @WhiteHouse Never mind the packaging!The meat/dairy industry is the biggest cause of climate change!Wake the fuck up people!!,656167877612056576
A_W_Qureshi,2015-10-19T18:57:00,"@McDonaldsCorp @WhiteHouse Open more mcdonalds in india, people really love the beef burgers there.",656182510318166016
SpottsKonnor,2015-10-19T19:11:00,@McDonaldsCorp while at lunch  today me and my friends  were trying to use a discount card and the manager did not accept it and then took,656185842235514880
SpottsKonnor,2015-10-19T19:12:00,@McDonaldsCorp a picture  of us and we asked  what it was for and she said it's not are business since it wasn't are phone,656186083294756865
kjvanprooyen,2015-10-19T19:12:00,"@McDonaldsCorp Crown Point, IN, Main Street.They had 6 cars parked waiting for food so they were busy BUT no napkins in a drive-thru?",656186135501262848
mike_dawoud,2015-10-19T19:32:00,@McDonaldsCorp @WhiteHouse,656191328141889537
paulchelsea81,2015-10-19T19:44:00,"@McDonaldsCorp @WhiteHouse we all moan about your crap food,but we still eat it!!  😕",656194179354247172
FrootyPrince,2015-10-19T19:48:00,@McDonaldsCorp 25669 HWY 59 kingwood Texas,656195216076963840
IlseLujanHayes,2015-10-19T19:52:00,@McDonaldsCorp can you direct me to an official statement from your company  on @MercyForAnimals allegations of animal cruelty? Thank you.,656196164770004992
ITSZACK7,2015-10-19T19:58:00,@McDonaldsCorp your food today was nice 👌,656197721876013056
maryscorcoran,2015-10-19T20:28:00,@McDonaldsCorp @WhiteHouse your company  is forcing your presence in my community Bristol UK. We don't want your drive in restaurant.,656205265860231168
martynrolly,2015-10-19T20:45:00,@McDonaldsCorp @WhiteHouse how about paying the Living Wage in the UK?,656209637205803012
ValleryDornIns,2015-10-20T01:28:00,@McDonaldsCorp How about not politicizing your meals and dividing your customer base?,656280842533253120
brentsbooger,2015-10-20T01:57:00,@McDonaldsCorp should be easy enough. There's no food served at Mickey ds. Ronald McDonald has killed more than any other clown in history,656288122607685632
curviebirdie,2015-10-20T01:59:00,@McDonaldsCorp really? https://t.co/FAYYR1NS5E,656288579791003653
miZzBr0wNeYeZ,2015-10-20T02:02:00,@McDonaldsCorp why can't you deliver lol I am just too lazy right now 😒😒😒 #deliverymeacheeseburger,656289472762413057
dollybird1963,2015-10-20T02:38:00,@McDonaldsCorp @WhiteHouse You should put recycling bins in your restaurants too. In Australia please!,656298319916851200
BrettLeeRetired,2015-10-20T02:47:00,@McDonaldsCorp @WhiteHouse why don't you do something nice and help Ralph. Anything helps! @BFRescue have all the details @BarkingMadGC,656300597457457152
deathvirus114,2015-10-20T02:59:00,@McDonaldsCorp all lies,656303706401472512
olarryy,2015-10-20T03:32:00,@McDonaldsCorp @WhiteHouse ew McDonald's,656312121555329024
riobradli,2015-10-20T03:39:00,@McDonaldsCorp @WhiteHouse the only sustainable meat is no meat. #meatismurder,656313786241040384
mileynotmily,2015-10-20T03:46:00,"@McDonaldsCorp ok all-day breakfast is cool, but when will the large fry be on the dollar menu? 👀",656315474964299776
nickh1877,2015-10-20T04:08:00,"@McDonaldsCorp I wouldn't give a McD burger to a dog, never mind actually eat one.  Pay yr staff a living wage $15ph min.  @JohnBryant123",656320985830981632
skedone,2015-10-20T04:31:00,@McDonaldsCorp @WhiteHouse why is it not already.... Oh yeah your more worried about money,656326824948056064
Trevorhees,2015-10-20T04:36:00,@McDonaldsCorp can you cater my wedding?,656328226889990144
Dave_Blogger,2015-10-20T04:55:00,.@McDonaldsCorp @WhiteHouse [insert lame comment about how your food tastes like recycled cardboard here],656332878662541312
_UchennaJ,2015-10-20T05:29:00,@McDonaldsCorp has fooled us. You can't get biscuits during the all day breakfast. I hate you McDonald's.,656341572687015936
ErikaPierce,2015-10-20T05:39:00,@McDonaldsCorp I'm boycotting you until you bring all day breakfast to Canada. #mcdonaldshatescanada,656343885065682944
Velocifapptor,2015-10-20T06:30:00,@McDonaldsCorp @WhiteHouse Do you need beef? I would figure your target demographic would prefer either soybean or McRibs. Maybe humus.,656356915698663428
AyeeYoTEV,2015-10-20T06:44:00,"@McDonaldsCorp I luv how you can serve breakfast all damn day and night,but that ice cream machine stay down! F*** breakfast I want iceCream",656360303702085632
Scampleton,2015-10-20T11:54:00,@McDonaldsCorp @WhiteHouse How does the increase in the number of trees from this compare to those felled to make space for feed farms?,656438453681463296
JhbLaurent,2015-10-20T12:37:00,@McDonaldsCorp @McDonalds_SA ..One of your staff members ' a floor supervisor' was tarnishing ur companies image with her Arrogance...,656449141057454080
