screen_name,created_at,text,id
Merck,2015-10-07T16:53:00,Why is active #antibacterial discovery important? Learn more: http://t.co/5iDiB8MllD #IDWeek2015 #InfectiousDisease,651802602959675397
Merck,2015-10-07T16:54:00,"RT @IDWeek2015: This week in #SanDiego, the top research in infectious diseases will be presented! #IDWeek2015",651802702788362240
Merck,2015-10-08T16:56:00,"Dr William Campbell, retired Merck scientist, jointly awarded #NobelPrize for his work to help combat river blindness http://t.co/zYQTp5OImN",652165702535680000
Merck,2015-10-09T00:17:00,"RT @elcinfo: ""You cannot have innovation without #diversity"" @carlaannharris #ELCGala",652276681336619008
Merck,2015-10-09T00:17:00,"Congrats to our CEO, Ken Frazier, for being honored by the Executive Leadership Foundation at #ELCGala tonight. https://t.co/KzaJnxJLmj",652276574113427456
Merck,2015-10-09T00:53:00,RT @elcinfo: We are proud to honor @Merck Chairman &amp; CEO Kenneth C. Frazier with the #AchievementAward #ELCGala,652285845806927872
Merck,2015-10-09T00:59:00,"“One of humanity’s big risks is discounting someone’s ideas because of their ethnicity, gender or educational background” -Frazier #ELCGala",652287251733479424
Merck,2015-10-09T11:03:00,Have you seen our latest #oncology news from the UK? See more here: http://t.co/1oykwwmu4q,652439218459951104
Merck,2015-10-09T15:28:00,Kicking off another day at #IDWeek2015. Looking forward to hearing the latest in #InfectiousDisease research. http://t.co/gamm2GuJg0,652505880441786368
Merck,2015-10-09T17:03:00,Packed room for our C. difficile symposium last night at #IDWeek2015. Do you know the impact of #Cdiff? http://t.co/bDdoO0czDc,652529730730725380
Merck,2015-10-09T19:12:00,Our infectious disease team is focusing on new ways to attack infections. See how: http://t.co/6LiryZPCJj #IDWeek2015,652562323937345536
Merck,2015-10-12T15:33:00,#ICYMI: Our CEO joined President @billclinton at the 2015 @ClintonGlobal Initiative Meeting: http://t.co/3UB7Hc8bDi http://t.co/O5DebUcPZL,653594244666511361
Merck,2015-10-13T11:33:00,We're expanding our #oncology collaboration with Incyte. See what's new: http://t.co/Lm5vQbzIaO,653896325944188928
Merck,2015-10-13T15:05:00,Get to know some of the employees who were chosen for Merck's Fellowship for Global Health. Read their stories here: http://t.co/W9kohyOJ3K,653949768998211585
Merck,2015-10-13T15:15:00,RT @wickedwright: I work as an #rtcfellow w/@Jhpiego to ensure THIS picture always happens. @MerckforMothers #EndMaternalMortality http://t…,653952313929957376
Merck,2015-10-13T15:16:00,RT @wickedwright: Serving as an #rtcfellow w/@Jhpiego has benefits. I met this special mom&amp;son @MerckforMothers #EndMaternalMortality http:…,653952386189393921
Merck,2015-10-14T18:09:00,Have you seen the Merck Childhood Asthma Network's 10-year Impact Report? Check it out: http://t.co/5AB6GEFghC #MCAN,654358500919898112
Merck,2015-10-14T18:57:00,The Merck Childhood Asthma Network released its 10-year Impact Report. Find the report and more at http://t.co/QiRSjVs5fR #MCAN,654370431248527360
Merck,2015-10-14T19:47:00,Interested in the work of the Merck Childhood Asthma Network? Learn more here: http://t.co/WFcwR3znXe #MCAN,654383159145054208
Merck,2015-10-15T16:50:00,"Curiosity, inventiveness, and a passion for excellence. Get to know the people behind our company: http://t.co/GTjWpotyHt #Humans4Health",654700855036280832
Merck,2015-10-15T18:03:00,Growing crystals in space is our scientist Paul Reichert's specialty. Follow #Humans4Health to learn more. http://t.co/crFjEqh3eq,654719151173341185
Merck,2015-10-15T20:40:00,"Paul Reichert worked with @NASA and @ISS_CASIS to conduct zero gravity experiments. Watch his story. #Humans4Health
https://t.co/MLwRNzAQiG",654758799186616320
Merck,2015-10-16T17:00:00,"Only our ""Rocket Man"" Paul can discuss zero gravity &amp; surf fishing in one sentence. Follow #Humans4Health for more http://t.co/mPV5aW5G5X",655065787615551488
Merck,2015-10-19T20:49:00,Proud of our @MerckforMothers’ partnerships for this step toward helping to #EndMaternalMortality.  https://t.co/uwlG7wHKMV,656210671936344065
Merck,2015-10-19T20:50:00,"RT @MerckforMothers: Four years into our 10-year initiative, our partnerships have made impressive strides to help #EndMaternalMortality wo…",656210724491014145
Merck,2015-10-19T20:50:00,"RT @MerckforMothers: Read more about our progress in the 2015 Program Report, out today: https://t.co/afvKCpUQPZ #EndMaternalMortality",656210748029444100
Merck,2015-10-20T14:40:00,We will be presenting new #HepC data at #Liver15. Learn more: https://t.co/XqadnFyK5m,656480115120078849
Merck,2015-10-20T18:54:00,Our employees around the world are wearing white today to support #WorldOsteoporosisDay. RT if you #LoveYourBones. https://t.co/6oAo8M5MhB,656544081955430401
