screen_name,created_at,text,id
JohnNaghshineh,2015-10-06T21:40:00,@Merck we need more gifts 2 humanity like this &amp; perhaps more big #Pharma will join https://t.co/Ne6euL3z5p,651512383895015424
brian_riback,2015-10-07T00:13:00,@Merck What happened to Nasonex that it is completely backordered?,651550857163620352
ZenopaLtd,2015-10-07T10:50:00,@Merck and Dohme publishes positive hepatitis C trial data: http://t.co/pVXkpRQn1b #pharmanews http://t.co/RqaIrbVkDs,651711134790238208
BlebNet,2015-10-07T13:45:00,@Merck ̶r̵e̵s̴tru̶ct̵u̴r̶i̷n̴g̶,651755118551961600
Ayogo,2015-10-07T14:31:00,@Merck #techinnovationsummit today? Don't miss @Ayogo CPO Paul Prescod speak at 2:30 at the Somerset Center 1st floor!,651766905431322624
PlexusVentures,2015-10-07T15:02:00,@Merck drug could offer #HepC cure to #kidneydisease patients http://t.co/wHkvGsmfuM @PharmaTimes #pharma #hepatitisC,651774719931367424
ZenopaLtd,2015-10-07T15:55:00,@Merck and Dohme publishes positive hepatitis C trial data: http://t.co/YcoG9F4HTu #pharmanews http://t.co/1F0yy8PqX3,651787936510410752
sivakum69249404,2015-10-07T17:45:00,@Merck Excellent,651815646091546624
TheCorporateBar,2015-10-07T22:11:00,@Merck HC restrains Glenmark from business of anti-diabetes drugs http://t.co/JhGDY1JEpE http://t.co/bMkv9izHZk,651882469986205696
Antono1318,2015-10-08T02:57:00,@Merck livro todas as noites laboratório Merck para pedir para desligar o barulho pra mim poder dormir e nada foi feito até agora,651954661948289024
Antono1318,2015-10-08T02:57:00,@Merck moro perto laboratório Merck acontece que a noite eu não consigo dormir um barulho à noite toda Socorro,651954567840690177
Antono1318,2015-10-08T02:58:00,@Merck tenho dois filho de menor reclama a noite toda que a gente não consegue dormir já procurei laboratório comprar meu apartamento pra,651954897261318144
Antono1318,2015-10-08T02:58:00,@Merck Gostaria muito que o laboratório tommasi com as Providência Já liguei para testar o seu Valdir ele nada é a mesma coisa,651954787332816897
Antono1318,2015-10-08T02:59:00,@Merck Já cheguei pedir pro laboratório comprar meu imóvel para me mudar porque eu já não aguento mais Socorro,651954987166208000
Antono1318,2015-10-08T03:10:00,@Merck Socorro não consigo dormir laboratório Merck não permitido barulho à noite toda Eu EA minha criança passa a noite toda acordada,651957929973805057
Antono1318,2015-10-08T03:11:00,@Merck legal medicine primeiro lugar só que eu não consigo dormir com laboratorio não permite que eu durma barulho à noite toda,651958142021029888
Antono1318,2015-10-08T03:11:00,@Merck Quando peço para desligar as pessoas te ligo o telefone na minha cara com quem eu falo,651958018108719104
Antono1318,2015-10-08T03:12:00,@Merck toda noite eu ligo laboratório para desligar o barulho pra mim poder dormir já porque eu já pedi pra ele comprar o meu imóvel,651958252549328896
Bionomics1,2015-10-08T05:59:00,@Merck @MSD_Aus extends strategic collaboration with US$9 million investment,652000337323167744
pierceforgov,2015-10-08T10:57:00,@Merck @crownbioscience Well Stated Dr. Perelmutter! Great Work Merck. I look forward to Global growth @njchamber thru the PEP.16 Countries!,652075448197861376
dbv154,2015-10-08T14:31:00,@Merck NYT thank you to Dr. Campbell very impressive.,652129104167211008
curtchow,2015-10-08T17:03:00,@Merck That's great! I wish Dr. Hilleman was eligible for this distinguished prize. If anyone has made a contribution to humanity it's him.,652167562407469056
adinjk,2015-10-08T18:11:00,@Merck I need my Nasonex I can't breathe please help,652184664275218434
pinksky4U,2015-10-08T18:21:00,@Merck @RobinRoberts CEO Ken Frazier I'm asking U 2 review my medical portfolio⁉️U know Ttruth ❗️#Merck2BAccountable http://t.co/DG6BlUCKS9,652187032966561792
HeidrunZenker,2015-10-08T19:28:00,@Merck,652203854377943040
pinksky4U,2015-10-08T21:16:00,@Merck @pahowho @CarterCenter @RTIfightsNTDs @RobinRoberts @billclinton SINGULAIR ! CEO Ken Frazier refuses 2 review http://t.co/fHyxeSQyTT,652231070268702720
EducationistK,2015-10-09T01:23:00,@Merck Merck is a great company that values basic scientific work. The history of d company shows many Noble Laureates from the company.,652293267267174400
talktotuffy,2015-10-09T03:31:00,"@Merck CervicalCancer
HappyBirthday/URLovednMissed!
TUFFY TALkS CANCER/KTEN NEWS:Gardasil
http://t.co/ADmo0peDih http://t.co/M1v7P6Xw32",652325591140569088
ShamrockTTMR,2015-10-09T12:13:00,@Merck @Gardasil in the UK: Should I let my little girl have the cervical cancer jab? She decides NO http://t.co/ZBtwXVL0Nu via @Femail,652456740567519232
PlexusVentures,2015-10-09T14:03:00,@Merck / @Pfizer #avelumab fast-tracked for rare #skincancer http://t.co/rprRddHL1k @PharmaTimes #pharma,652484435342983169
pinksky4U,2015-10-09T17:39:00,@Merck ATTENTION CEO Ken Frazier ❗️❗️Plz review my medical portfolio ❗️SINGULAIR,652538875827605505
pinksky4U,2015-10-09T19:38:00,@merck http://t.co/JomGIioGXW,652568752924528640
idpharmd,2015-10-09T22:03:00,@Merck @IDWeek2015 So important to educate about #cdiff Rapid Dx tests @CepheidNews + #antbioticstewardship makes a difference,652605416724000768
rnneogi25,2015-10-10T09:35:00,@Merck Bravo,652779521603731456
manuelcapella,2015-10-10T17:01:00,@Merck Bnas tardes busco Daivobet para paciente complicado por psoariasis #Venezuela #ServicioPublico,652891812953239554
Kate_Melchior,2015-10-10T20:46:00,@Merck  Do you know the impact of #Neuroborreliosis #Babesiosis #Ehrlichiosis #Borrelia Burgdorferi #IDWeek2015  https://t.co/OaQwrMJ3xu,652948443434913792
Kate_Melchior,2015-10-10T20:50:00,@Merck @Lymenews   Do yo know the number of reported cases of #Cdiff in 2014?  #IDWeek2015 #GetItRightThisTime  https://t.co/OaQwrMJ3xu,652949432346914816
AuntieDawn58,2015-10-10T21:21:00,"@Merck Hi, you are a member of PhMRA.  I will no longer be purchasing your elective consumer products.Via PhMRA, you pushed SB 277 in CA.",652957092651757568
sjimene4,2015-10-11T00:31:00,@Merck que orgullo trabajar para esta gran empresa!,653004950491004928
bbbrieger,2015-10-11T18:39:00,@Merck @washingtonpost #NTDs #Onchocerciasis http://t.co/FsuC5ttfkZ,653278763023790080
USJobsForAll,2015-10-12T03:24:00,@Merck  join @esrjobsforall http://t.co/jwDsfIk30H,653410809557573633
argfibromialgia,2015-10-12T17:37:00,@Merck http://t.co/TgJ0VS4FjP VENI A LA FUND HOMENAJEMOS  A MAMA ENTRADA GRATUITA SHOW INTERNAC EN VIVO- RESERVAS AL 4503-4254 RT,653625578579488769
aliboo719,2015-10-12T19:04:00,@Merck do the right thing and acknowledge these girls and take care of their health. They shouldn't be ignored http://t.co/iTFk0SW3Na,653647445868576768
