screen_name,created_at,text,id
MicrosoftHelps,2015-10-13T19:13:00,@GTA_Sammm How'd that work out? We’re always trying to improve our Twitter support. Any advice? Go here: http://t.co/oqNJM0QuCw. Thanks!,654012151368151040
MicrosoftHelps,2015-10-14T00:25:00,@c_meldrum How’d that work? We want to show you a survey that’ll help Twitter support better assist you! Visit: http://t.co/kkQJN1HvC8.,654090493534597120
hood_lc,2015-10-14T00:52:00,@MicrosoftHelps So some help would be appreciated since I updated to #Windows10 http://t.co/LP2CWIsgMq,654097522818859008
alexgerak,2015-10-14T02:42:00,"@MicrosoftHelps my Xbox one said, ""click!"" Now it doesn't want to wake up and play with me :( what happened to my friend, Xbox?",654124992683212800
hood_lc,2015-10-14T03:14:00,@MicrosoftHelps Can you guys send me a Windows 7 cd? I never had one when I bought this. What am I suppose to do about my school work now?,654133078449754112
SLVRDotA,2015-10-14T04:22:00,@MicrosoftHelps you guys are so cute,654150187565363202
LumiaHelp,2015-10-14T07:29:00,@MicrosoftHelps Thank you for looping us in. @aswinrajeev's case is still under investigation. ^EA,654197443899162624
oliconner,2015-10-14T09:59:00,@MicrosoftHelps Dude - it's just happened again... I open stuff from my OneDrive and it seems to freeze and I have to restart,654235022573088769
NickHogan01,2015-10-14T11:06:00,"@MicrosoftHelps employee by the name Bryan, using your London office address on the number 0208 133 9254,wants access to my computer! Fraud?",654251875563401216
OCDTrudy,2015-10-14T13:16:00,@MicrosoftHelps Live tile works but when you try opening it all you get is blue screen with the icon &amp; circle of dots showing trying to load,654284591746953216
Thomas__kane,2015-10-14T13:23:00,@MicrosoftHelps my laptop updates are failing I've a Dell windows 7,654286384837062660
owsters,2015-10-14T13:31:00,@MicrosoftHelps thanks but only a new mac version will solve this issue - the preview released in Jan 2015 not compatible with el capitan,654288446790467584
AdamBomb7869,2015-10-14T17:15:00,"@MicrosoftHelps Yes I've done all that. I'm pretty computer literate. I want a refund, a patch or a device without an ARM processor",654344703215804416
