screen_name,created_at,text,id
Ribhuribhu,2015-10-06T18:43:00,"@MDLZ hi Andy , I have already emailed you the details. Appreciate your response on Twitter",651467907021475840
Urbe_redaccion,2015-10-07T00:27:00,"@MDLZ Testifica @SMDIFPue #alianza de #alcance #mundial a favor de la #niñez
http://t.co/MjfZLyouuO",651554471051436032
nemecrad,2015-10-07T05:27:00,@MDLZ přesunul výrobu piškotů Opavia do Polska a změnil složení. Tohle kupovat nebudu. zdroj ADOST,651629863481266176
virreus,2015-10-07T07:58:00,@MDLZ You have destroyed Bassets Winegum bring back the old recipe!,651667962852720640
foodbevnews,2015-10-07T09:44:00,@MDLZ Wants to Use Behavioural Science to Nudge People to Snack ‘Mindfully’ https://t.co/F8wG5f5hcO via @MarketingUK,651694582799933440
MButterworth67,2015-10-07T10:51:00,@MDLZ @Oreo  why not cut CEO pay and leave the jobs here?,651711461744594944
proxster,2015-10-07T13:46:00,@MDLZ WHAT HAVE YOU DONE?! Most horrible wine gums I have ever tasted. Bring old recipe back! #bassetts #winegums http://t.co/NRt3pStGrR,651755377432895488
oliverjnieburg,2015-10-07T14:10:00,@MDLZ signs deal with Mumsnet. Find out more in sister publication @TheGrocer http://t.co/7WInVl6BlC,651761477423136768
ConfectioneryNw,2015-10-07T14:10:00,@MDLZ signs deal with Mumsnet. Find out more in sister publication @TheGrocer http://t.co/o9BCBvLdn8,651761477498589184
LeonardoBorrero,2015-10-07T15:06:00,@MDLZ exploring sale of European cheese &amp; grocery units as it focuses on snacks segment. #Consumergoods #FMCG #CPG http://t.co/9HR8l6YZaM,651775498717036545
VincetheTurtle7,2015-10-07T15:21:00,"@MDLZ congrats to your products, all break in 4 packs on 4 packs , I will never buy another #mikado #lu #biscuitlu http://t.co/vIgoFIwjcZ",651779456214896644
fassy_ole,2015-10-07T22:41:00,.@MDLZ famous brands that you're ruining... #FreeCadbury,651890113350356992
Georg_Ritter,2015-10-08T06:45:00,"@MDLZ Dears,why U didn't answer 4 my email?Don't need customers?This company isn't reputable!We'll boycott your products,bye,GR with family",652011945940381697
Andy_Truglia,2015-10-08T12:09:00,@MDLZ why is that imported US Peanut butter oreos are vegan but you've put milk in the UK ones? #DickMove,652093365203415041
CwmbranOffice,2015-10-08T13:23:00,@MDLZ We just found a yellow @mr_blobby in our bag of Jelly Babies. Do we win a prize? http://t.co/CIsceB9J1V,652112148655677440
Dayane229,2015-10-08T13:31:00,@MDLZ thank you very much. I appreciate your early reply and the fact that you are worry about your products. 😊,652114157089759236
Trancos_01,2015-10-08T16:49:00,@MDLZ It would be nice if you can tell us where they are now.,652163840335986689
EricaAshley86,2015-10-08T20:30:00,@MDLZ Today I discovered while eating a bag of minion cheese nips that two of them had hair/dust baked into them!!! http://t.co/3FVpYi3Pwf,652219544631681025
H3L3M3S3,2015-10-09T11:10:00,"@MDLZ Traditional Czech biscuit from Poland ?? wtf? Stop buying your all products,shame on you!",652440932323827712
AspectReviews,2015-10-09T14:07:00,"@MDLZ Cadbury Amaze Bites Double Chocolate &amp; Chocolate Orange Brownie Cake Bites Tasting Review
https://t.co/6nOwS4vlH0",652485647823974400
ciapatroski,2015-10-10T15:17:00,@MDLZ http://t.co/ZSpO84P09F,652865659043491841
Ms_Eve_G,2015-10-10T16:13:00,@MDLZ What have you done with traditional Czech sponge biscuits produced by Opavia?! http://t.co/I3m616Porg,652879609806082048
absolvent_pl,2015-10-10T17:06:00,"@MDLZ What a great idea! See you at the #AbsolventTalentDays in Wrocław! 
#Graduates can sign in by: http://t.co/g1lnOE0bsl
#career #youth",652893068253888512
seleenshefield,2015-10-10T17:46:00,@MDLZ ô désespoir mes boudoirs sont cramés! http://t.co/t8yZYudnpB,652902936692039680
FishNBrewis,2015-10-11T15:42:00,"@MDLZ consider perforating the product packaging on your Kraft Handi Ritz Snacks so that they are actually convenient? Very ""unhandi""!!!",653234224342953984
xBurruzx,2015-10-11T16:04:00,@MDLZ thanks for free wine gum in my berry jellys! #howdidthatgetinthere? http://t.co/tOIB7axqqD,653239807796244480
natsbc86,2015-10-11T19:47:00,@MDLZ #oreogold en España,653295982222946304
JerseyCares,2015-10-12T15:20:00,"@MDLZ kicking off a week of service for Global Volunteer Month. 8  projects, 100s of volunteers, 1000s of smiles! @HandsOnNetwork #teamMDLZ",653591162683551745
Alice_Holden,2015-10-12T15:53:00,@MDLZ @UniofNottingham @UoNSU @UoNCareers Thanks for the advice on applying for your graduate schemes! (and for the free bar of chocolate!),653599466231078912
credibleagency,2015-10-12T18:20:00,@MDLZ Where can I get the information regarding partnership for an advertising strategy firm?,653636388215091200
zemkos,2015-10-12T18:31:00,@MDLZ having hard times from czech consumers after destroying beloved traditional product https://t.co/HeGBB8rZNk,653639053418565632
TaquitosDotNet,2015-10-12T18:58:00,@MDLZ @Oreo Review: Lemon Oreo http://t.co/bcImXuTkWD,653645824119844864
JerseyCares,2015-10-12T19:00:00,@MDLZ volunteers getting dirty for a good cause.  #teamMDLZ @HandsOnNetwork http://t.co/dJh69jCZoq,653646530323218432
CStoreNews_,2015-10-13T02:43:00,@MDLZ: What country was the fastest growing market for @OREO last year? @CStoreNews_ http://t.co/F8iYCOnvVR http://t.co/kIp3onfZko,653763069756243969
juliadsmith82,2015-10-13T13:40:00,@MDLZ learns more about its target audience simply by determining which ads they liked and shared most http://t.co/tsMX9gNXDD,653928183046250496
Andy_Truglia,2015-10-13T15:18:00,@MDLZ why is that imported US Peanut butter oreos are vegan but you've put milk in the UK ones? It'd be cool if you replied this time...,653952997794390016
agentactif,2015-10-13T15:25:00,"@MDLZ this customer need attention from you, can you help her ?http://t.co/siZT4UIvY3",653954704850993152
MikkelBondeDK,2015-10-13T20:01:00,"@MDLZ Why did you change the recipe in the great #Basett's ""Winegums"" ?! That was the best candy ever, but now it tastes like a cheap copy!!",654024272365637632
mellamandificil,2015-10-14T12:41:00,@MDLZ hay falta de polvo de hornear royal en argentina ?,654275907209793538
daft_think,2015-10-14T14:59:00,@MDLZ thank you!,654310673808248833
IsraaMad,2015-10-14T18:03:00,"@MDLZ Hello, I'm from United Arab Emirates University, I would like to ask to help me in my Major project 'Supply Chain Management'",654356967239098368
SarahCerise,2015-10-14T20:34:00,@MDLZ there's a hair in my certs mint... #ew http://t.co/95ps9obFmF,654394759738466305
Infoimage1,2015-10-15T09:03:00,"@MDLZ Hi, We dont like you here in the Czech Republic. Return biscotti production to the Czech Republic!  #piskoty #biscuits",654583391560536064
CSRlive_In,2015-10-15T09:34:00,@MDLZ #MondelezIndia aims to reach 2Lac beneficiaries in 2 yrs via #CSR program #ShubhArambh http://t.co/zTa042pC3m http://t.co/70PqoG05ZA,654591216894349313
Frandoe,2015-10-15T11:11:00,@MDLZ why the hell is there a green imposter in my packet http://t.co/HO1L1CWncK,654615490296463360
johnlkennedy,2015-10-15T14:05:00,@MDLZ CMO @DanaAnderson ...CMO's can be the unexpected hero to instigate growth agendas in cos.  #ANAMasters,654659445280997377
MeisterGlanz84,2015-10-15T14:55:00,"@MDLZ It isn't only me, take a look around here http://t.co/sOdmW4qW8a and here https://t.co/x6N17ZbJN0",654671854209122304
s_dranchak,2015-10-15T15:11:00,@MDLZ @nabisco Is this multimillion dollar company so greedy and hard up that you're going to start using IMITATION CHOCOLATE ?!?!,654676049914015745
sabrinnycorreia,2015-10-15T16:20:00,@MDLZ me dá um vale pra comprar um @Lacta5Star brigada,654693377699516416
EricaAshley86,2015-10-15T16:23:00,@MDLZ I'm following now,654694107713966082
dougroberge,2015-10-15T16:27:00,"@MDLZ ""brands need to make sure they aren't over messaging and only send messages when and where it adds value"" #mobileventuressummit",654695002900004865
S4Mobile,2015-10-15T16:47:00,"@MDLZ Arthur Sevilla says that like AC, soon, mobile will only be seen as disruptive when it's turned off. Well said!#mobileventuressummit",654700162430840832
ekeiswetter,2015-10-15T17:31:00,@MDLZ http://t.co/N99wzuy6zN,654711106569564160
JerseyCares,2015-10-15T17:40:00,@MDLZ volunteers teaching students about healthy choices at a @JerseyCity school this morning.  @HandsOnNetwork http://t.co/Kxr262XTdL,654713348517289984
JerseyCares,2015-10-15T17:52:00,@mdlz volunteers making blankets for the chilly months ahead at a senior health center.  #teammdlz  @Handsonnetwork http://t.co/t4GcYQuqrU,654716375282245633
JanTuna,2015-10-15T18:17:00,"@MDLZ :""Bojkot zákazníků nemá vliv na prodej piškotů Opavia."" Foto z Billy. A pozor! ČESKÁ KVALITA...MADE IN POLAND http://t.co/bqhBezAPVw",654722709918609408
mellamandificil,2015-10-15T18:49:00,@MDLZ any date or time span?,654730875830071296
Imfrozeeh,2015-10-15T20:36:00,@MDLZ Can you follow me to talk via dm?,654757698211151873
RaylordFocker,2015-10-15T20:42:00,@MDLZ opened up a Halloween packet of Swedish fish and there were 4 fish in there you cheap bastards!!! Lost a customer today muthafuckas,654759395868344321
purifiedlived,2015-10-16T04:19:00,@MDLZ  hey guys do you have any NHL promo stuff or giving away NHL Stadium Series tickets to the Wings vs. Avs!? :),654874215737266176
RogerCarrier,2015-10-16T04:46:00,@MDLZ Christie Vegetable Thins have been a favorite for 20 years already. Weird. Eat them with Laughing Cow! #tasty #youngandold #mmm #food,654881031917539328
TrinityHomeless,2015-10-16T08:23:00,@MDLZ and @BournvilleIN have entered a team of 20 to The Big SleepOut 4th Dec to help end homelessness #itcouldbeme http://t.co/PgNBzwyboi,654935635703275520
miafrancescamd,2015-10-16T10:23:00,@MDLZ @CadburyUK this pack of wine gums is slimey and stale. Sell by date Sept next year!disappointed office😔 http://t.co/pPPsGeVMSW,654965799619268608
ILGive2015,2015-10-16T10:31:00,@MDLZ: Funders Play an Important Role in #ILGive! Join the movement: http://t.co/L2pTbme514 http://t.co/hbjmK642ST,654967890525986816
Alice_Holden,2015-10-16T11:18:00,"@MDLZ  Second time trying to apply for the graduate scheme, is there an email address I can send my application to? http://t.co/ir54YYazxV",654979781520412673
barnesemma56,2015-10-16T12:36:00,@MDLZ @OhSoMoore @Samkingftw hey,654999361827545088
mellamandificil,2015-10-16T17:38:00,@MDLZ thanks for the response,655075435173298176
JerseyCares,2015-10-16T19:20:00,@MDLZ volunteer getting serious about invasive species removal at a @UnionCountyNJ park. @HandsOnNetwork #teammdlz http://t.co/WGRXJyKiqB,655101145241653248
mellowmoose,2015-10-17T23:04:00,@MDLZ thank you for the triscuit crackers at the #NWSToronto yummy,655519714299523072
Markrobla,2015-10-18T13:24:00,@MDLZ where are football size chocolate oranges at?,655736134690066433
shermiles,2015-10-19T00:18:00,"@MDLZ Please remove the soy &amp; corn syrup from your cookies, unhealthy &amp; no longer tastes great as once did",655900866197770240
DavidRedFive,2015-10-19T11:20:00,@MDLZ I was looking forward to some of my favourite wine gums I open the packet and get this 💔 http://t.co/oh2RUtsfAT,656067277662658560
nerea23,2015-10-19T13:07:00,@MDLZ Where i can buy Yayitas Manzana in Spain? Thank you!,656094301114540032
CRLWodehouse,2015-10-19T16:33:00,@MDLZ I have a great idea for a spin-off seasonal Terry's Chocolate Orange product. Who can I get in touch with about this?,656146102970941440
VincetheTurtle7,2015-10-19T16:45:00,@MDLZ ???,656149151181336576
s_dranchak,2015-10-19T20:00:00,@MDLZ you know NOTHING about true generosity!,656198271589863424
