screen_name,created_at,text,id
MonsterEnergy,2015-10-06T16:01:00,"#UpUPAndAWAY  @PeetuPiiroinen sure knows how to send it...Check out his latest vid #INSIGHTS https://t.co/eFLaJBh3AF
https://t.co/IAwDULZFFa",651427032849518592
MonsterEnergy,2015-10-06T20:09:00,@JoeyScargill 💪🏻,651489584568602624
MonsterEnergy,2015-10-06T20:38:00,"RT @NateAdams741: Lookin forward to a lot of this this week
#DeftFam #turndowntuesday #gopro #hero4session @Deft_family @MonsterEnergy http…",651496820909076480
MonsterEnergy,2015-10-06T20:39:00,RT @XGames: Ep. 1 of Sage Kotsenburg’s #TheOtherSideProject will go live tomorrow on http://t.co/3oO2xonsCG! http://t.co/RtHrQzh56o,651496919378694144
MonsterEnergy,2015-10-06T21:31:00,"Are you ready for @TechN9ne x @Excision's #ROADKILL music video to launch??? @MonsterMusic #StayTuned
https://t.co/dQIxhhVOEh",651510208380825600
MonsterEnergy,2015-10-07T16:04:00,#ThisWayIn Get the low down on what to expect &amp; who to look out for @ the #QuikPro in France! http://t.co/Ml7UHXdgv3 http://t.co/PRPOax6atm,651790264151896065
MonsterEnergy,2015-10-07T17:21:00,RT @SupercrossLIVE: Here is a nice whip from @JosHill75 during the 2015 Monster Energy Supercross Championship! #WhipitWednesday http://t.c…,651809556087988224
MonsterEnergy,2015-10-07T22:16:00,"EP. 1 for @SageKotsenburg's #TheOtherSideProject has launched! Check it out on @XGames here: http://t.co/v06kqopEJF
https://t.co/WRFTy9SCyU",651883837891330048
MonsterEnergy,2015-10-08T00:24:00,RT @StreetLeague: Super Crown 👑 @MonsterEnergy​ Highest Scored Trick: @Nyjah Nollie Backside Flip down the SLS gap. 💥 #StreetLeague http://…,651916054998872064
MonsterEnergy,2015-10-08T16:19:00,JUST RELEASED @TechN9ne &amp; @Excision's #ROADKILL official music video! Watch it now: http://t.co/Nqy2HnayOy http://t.co/ec7jINbWjg,652156337112006656
MonsterEnergy,2015-10-08T16:42:00,.@johnjohnflorenc bringing' that 🔥to the #QuikPro! @WSL http://t.co/CWz4TFlEVB,652162064459296768
MonsterEnergy,2015-10-08T17:02:00,RT @jonathanrea: Just launched the 2016 Ninja ZX-10R in Barcelona. Follow all on #ninjagetcloser http://t.co/gslOcKXkWK,652167091261325312
MonsterEnergy,2015-10-08T19:24:00,...And this is why you don't wanna fight with @dc_mma!  https://t.co/5XZVk8zItu,652202859048513536
