screen_name,created_at,text,id
GlobalViewGRC,2015-10-06T19:55:00,@MorganStanley #compliancejobs - #AML OFAC Auditor position http://t.co/aoA0prLTj4 @acams_aml Certification a plus #compliance,651485855094317056
Jluis_porta,2015-10-06T21:44:00,@MorganStanley considera el @TeslaModelX demasiado caro y rebaja la espectativa en bolsa http://t.co/rdG5duVnRS vía @themoneygame @MovElCan,651513446127828992
KOpulskis,2015-10-06T22:10:00,@MorganStanley No?,651519991553085442
BorsadelCredito,2015-10-07T06:39:00,@MorganStanley dice che il #p2p valuta il #credito meglio delle #banche. Rivoluzione #fintech,651647992097841152
SantiSkray2001,2015-10-07T08:32:00,@MorganStanley very beautiful,651676443190013952
Manisha3005,2015-10-07T09:02:00,@MorganStanley #emergingmarkets &amp;Commodity price rise will go hand in hand. How far can be Equities?And Real Estate? https://t.co/sMDXibw5rO,651683930945421312
wherewomenwork,2015-10-07T09:23:00,@MorganStanley is seeking an Audit Partner for its market-leading equities division http://t.co/G6nG34mOqE http://t.co/5Y8Y5oGlrc,651689190036406273
SantiSkray2001,2015-10-07T09:30:00,@MorganStanley very very beautiful,651690985240424449
SantiSkray2001,2015-10-07T10:26:00,@MorganStanley very nice,651705211967311872
Emprenomic,2015-10-07T14:15:00,"@MorganStanley cree que es hora de comprar empresas de commodities, energéticas y mineras #Emprenomic #Acerinox #Arcelor #Repsol #Compras",651762695633371138
kurtosys,2015-10-07T14:16:00,"@morganstanley congrats, you're ranked #4 on this week's The Asset Managers Power 100. http://t.co/BdC3t2OQgn #AMPower100",651763064950398981
milenialinvest,2015-10-07T14:42:00,"@MorganStanley totally doesn't get the $GPRO session , or the overall story. Session first product released in summer, not by mistake",651769521368272896
milenialinvest,2015-10-07T14:43:00,"@MorganStanley summer release was at high price point for early adopters , this allows them to tweak, and cut price for holidays #GoPro",651769812503261184
milenialinvest,2015-10-07T14:44:00,@MorganStanley #GoPro #session is the perfect stocking stuffer / Chanukah gift . Q4will be big . Also ignores media aspect of $GPRO,651770152028016641
milenialinvest,2015-10-07T14:46:00,"@MorganStanley when NHL deal is replicated with NFL can you imagine how big that will be, also VR 360video . Dont bet again Nick Woodman",651770488390193152
ross_macfarlane,2015-10-07T18:17:00,@MorganStanley downgrades $BTU and #CLD as #coal woes continue.  http://t.co/g37bttJ185 @PowerPastCoal #divest,651823768151523328
BangYman,2015-10-07T18:59:00,@MorganStanley @WSJ @ABC @GoldmanSachs @globeandmail Scotiabank has selected BlackBerry-powered EnStream http://t.co/Nwaz3NEiJ8,651834231283277824
kristinmlawson,2015-10-07T21:41:00,@MorganStanley when going to http://t.co/Rc76KEtsIS am told credentials mean login is elsewhere but link doesn't go to any login page-Fix?,651874975247265792
getinsidebiz,2015-10-08T02:06:00,@MorganStanley halves price forecast for GoPro stock; my portfolio weeps. https://t.co/kEInVza9gr #news http://t.co/dfxAfXHUDP,651941594074058753
02d16b8d4c0846a,2015-10-08T02:33:00,@MorganStanley http://t.co/1PP7rr3QVa,651948575216267264
hsearch01,2015-10-08T08:34:00,"@MorganStanley #BMV #Property. Discounted 1 Bed Off Plan Apt, W10. Completing late Nov 2015. More info http://t.co/G58eztAQJX",652039374931148800
PamDevereux,2015-10-08T13:24:00,@MorganStanley Audrey Choi start talking about #sustainability on investor/analyst calls and you'll likely start getting more discussion,652112352477757441
mattkopac,2015-10-08T13:53:00,"@MorganStanley, @BlackRock &amp; @Bloomberg all talking about the importance of #Sustainability to biz performance @SustainBrands  #newmetrics",652119748881289216
FordhamCareers,2015-10-08T15:04:00,"@MorganStanley is back on campus again this week for tonight's ""Risk Management 101"" from 5-7pm in McGinley 236... Stop by!",652137391562493954
whatwealthneeds,2015-10-08T16:31:00,"@MorganStanley: Finally, Wealth Management Matters Again  via @barronsonline http://t.co/WnIXLj4kvQ",652159420646866945
ahannula,2015-10-08T16:34:00,@morganstanley: The Remainder of My Career Will Be Focused on This One Chart http://t.co/2vAR6GO6b5 #ecolane #software,652160177823576066
eurozoner,2015-10-08T19:04:00,Be employed at @MorganStanley,652197858721034240
NetWorkWriter,2015-10-08T19:09:00,"@MorganStanley  
Yea",652199221341196288
wrobelluk,2015-10-08T19:18:00,$$ The big short “@MorganStanley: What do you want to do with your life? Two words: Think big. #WhatWillYouCreate: http://t.co/ItG1ElWjZ6”,652201328647766017
jojoguerr52,2015-10-08T22:40:00,"@MorganStanley Morgan Stanley says GoPro’s newest camera is a bust, and that’s sent shares even closer to their IPO price.",652252177751273472
CoalTruths,2015-10-09T01:29:00,@MorganStanley finances #coal companies that violate human rights #StopMTR #noCoalMS http://t.co/BNPqfwRWxf,652294756589023232
Photography_NYC,2015-10-09T01:29:00,@MorganStanley finances #coal companies that violate human rights #StopMTR #noCoalMS http://t.co/JODvBi583C,652294756970700800
ConflictPalmOIL,2015-10-09T01:29:00,@MorganStanley finances #coal companies that violate human rights #StopMTR #noCoalMS http://t.co/jcAAhK6U1d,652294756622573568
Duffernutter,2015-10-09T01:29:00,@MorganStanley finances #coal companies that violate human rights #StopMTR #noCoalMS http://t.co/WwyuJbvZfz,652294757008470016
EnvironmentTV,2015-10-09T01:29:00,@MorganStanley finances #coal companies that violate human rights #StopMTR #noCoalMS http://t.co/1vy7gm2mBY,652294756404449280
tejapmr,2015-10-09T01:59:00,"@MorganStanley cuts price target for #Tesla from $465 to $450, so stock price falls from $250 to $226. Where is the logic? $tsla",652302421943697408
ciapatroski,2015-10-09T10:49:00,@MorganStanley http://t.co/l0QLAf5U5I,652435791533187072
LinaLblount1,2015-10-09T15:33:00,@MorganStanley stop cashing in on #Coal #StopMTR @RAN http://t.co/27ZiBRLgun,652507294148788224
LinaLblount1,2015-10-09T16:30:00,@MorganStanley #StopMTR #NoCoalMS @RAN and Philly say stop! http://t.co/6NVtzDtkyz,652521624969850880
LinaLblount1,2015-10-09T16:32:00,@MorganStanley #StopMTR and stop cashing in on #Coal @Ran and Philly won't go away http://t.co/b9Qn7skESN,652521943686586368
jhumenslacrosse,2015-10-09T17:10:00,@MorganStanley #MoreThanJustLacrosse #2015JHUInternshipClass http://t.co/YnFwLQ2R9c,652531690678677504
FordhamCareers,2015-10-09T18:03:00,@MorganStanley is hosting an Equity Research 101 panel next week! Check our blog for details and how to register:  http://t.co/qljTWcMRTq,652544980125396992
Dancomida,2015-10-09T20:13:00,@MorganStanley @CleFoodBank  You are valuable because you exist. Not because of what you do or what you have done - but simply because you,652577603778383872
fintechblogger,2015-10-09T22:51:00,@MorganStanley: @LendingClub 2% of loan CAC; growth via DM + M&amp;A; looking into new products http://t.co/DBP85uU9q7 http://t.co/RRZ0pppkdN,652617422780829696
orangeroughian,2015-10-10T01:36:00,@MorganStanley stop cashing in on #coal #NoCoalMS #StopMTR @RAN http://t.co/6jONRKz98z,652659015567052800
orangeroughian,2015-10-10T01:37:00,@MorganStanley stop cashing in on #coal #NoCoalMS #StopMTR @RAN http://t.co/xobyHQCnUz,652659288494596096
orangeroughian,2015-10-10T01:37:00,@MorganStanley stop cashing in on #coal #NoCoalMS #StopMTR @RAN http://t.co/1eI1MyMFxx,652659254445240320
orangeroughian,2015-10-10T01:37:00,@MorganStanley stop cashing in on #coal #NoCoalMS #StopMTR @RAN http://t.co/qjlhmRbgsn,652659224183336960
orangeroughian,2015-10-10T01:37:00,@MorganStanley stop cashing in on #coal #NoCoalMS #StopMTR @RAN http://t.co/5meuotrvKW,652659184706555904
