screen_name,created_at,text,id
Morrisons,2015-10-13T07:28:00,"@lhughes_liz Hi Liz, is it possible you could DM me with a full summary of what's happened here? -Chris",653834745806233600
Morrisons,2015-10-13T07:32:00,@GemmaToolan Aw Gemma I'm so sorry! :( Can you do me a favour and send me a DM with your full address? - Jay,653835605860859904
Morrisons,2015-10-13T08:16:00,"@PaulDoc78 Hi Paul, do you want to DM me with some more info on when/how you contacted us? - Jay",653846645415772160
Morrisons,2015-10-13T08:21:00,@Babysuzy1 2/2 see if we can get this back :) - Jay,653847976826306560
Morrisons,2015-10-13T08:36:00,@JammieBun Hiya James not at all! Enjoy Cinderella! :) - Charlotte,653851680954556417
Morrisons,2015-10-13T09:14:00,@Hannah_SmithLaw Ew gross! Which store was this from? - Charlotte,653861338129825792
Morrisons,2015-10-13T09:24:00,@helsbels82 Sorry about that Helen. I'll feed this back to the store for you. - Smaira,653863814090387456
Morrisons,2015-10-13T10:08:00,@maxdangerspeed I see what you did there :P - Charlotte,653875043953438721
Morrisons,2015-10-13T14:18:00,"@fionastoddart96 Hi Fiona, the parking charge has been cancelled and you will recieve a letter confirming this in a few days,

-Shabana",653937844587753472
Morrisons,2015-10-13T14:44:00,@gerardfukinway Yes that's correct Holly.. I am sorry you are unhappy with this! I will feed your comments back. - Natz,653944482807836672
Morrisons,2015-10-13T15:01:00,"Everyone knows chocolate, but just how well? Take our #ChocolateWeek quiz to find out! Answers at the end! http://t.co/fcJeWQTMYT",653948573902487553
Morrisons,2015-10-13T15:38:00,"@lizzielinds Oh no! Sorry about that Lizzie, please could you drop me a DM with the Barcode and store you picked this up? -Chris",653958012663660544
Morrisons,2015-10-13T17:39:00,"@maddiemax48 Hi Tracey sorry about this, could you DM me with the barcode, best before date and your Match &amp; More card number?",653988387230220289
Morrisons,2015-10-13T18:26:00,"@Smauuug Oh gross! Sorry Max! Can you please DM the barcode, batchcode and best before date so we can look into this. - Natz",654000304317464577
Morrisons,2015-10-14T08:35:00,@frankleycarn That's ace :D Thanks for letting us know! - Jay,654213907314307073
Morrisons,2015-10-14T10:49:00,@ahigham27 2/2 with the time you were in the store at? -Chris,654247623755452416
Morrisons,2015-10-14T10:58:00,"@Curtis_McGreevy I'm really sorry Curtis, I will get the Manager to get this looked into -Chris",654249966777552898
Morrisons,2015-10-14T11:10:00,"@AhAAn20 HI Ali, I am sorry to hear this. Your Mother never had an interview at Morrisons? Thanks - Harriet",654252893554368512
Morrisons,2015-10-14T11:54:00,@maldonfurniture  their own bag if they don’t wish to purchase our single use carrier bags. 2/2,654263962465386496
Morrisons,2015-10-14T11:56:00,"@portis123 Many thanks, I will get a rescue party out to collect them -Chris",654264470806622208
Morrisons,2015-10-14T12:43:00,@JuiceElectrical I'm having withdrawals at the thought :( No more Wentworth Prison either! - Jay,654276365995347968
Morrisons,2015-10-14T13:47:00,"@JuiceElectrical Well this is the thing, do you have any suggestions?! - Jay",654292537889439744
Morrisons,2015-10-14T13:48:00,@rimmerjt Whaaat :| Nuggets are much more deserving of Dip! - Jay,654292716734562304
Morrisons,2015-10-14T14:04:00,"Think someone's a white wine drinker, then they ask for red? Don't take the risk - get both! http://t.co/79N84tMDoY http://t.co/4VRbNNZXgV",654296624668106752
Morrisons,2015-10-14T14:16:00,@JuiceElectrical Really? Wednesdays have been saved! Btw the LED lights you've posted are beautiful! - Jay,654299790906388480
Morrisons,2015-10-14T14:21:00,"@Gethin76 Thanks Gethin, the Manager of the store's giving a stern word to the staff as we speak, sorry about this! - Jay",654301020252602368
Morrisons,2015-10-15T07:00:00,Happy Thursday everyone! Get in touch if you need us :) - Chris,654552318738722817
Morrisons,2015-10-15T07:59:00,"@markhannigan Awww thanks for letting us know Mark, I'll get this through to her Manager so she gets the credit she deserves -Chris",654567230433308672
Morrisons,2015-10-15T08:38:00,"@glitzglamblog Hi there could you DM me your full name, email address and the complaint you've been sending? - Jay",654577085541941248
Morrisons,2015-10-15T08:53:00,@FurbabyCrazy I'm really sorry :( -Chris,654580930124873728
