screen_name,created_at,text,id
jeanybb,2015-10-15T21:50:00,@Netflixhelps Whew! We are back!,654776482720382976
lostindelena,2015-10-15T21:50:00,"@Netflixhelps thank you, it works now 😭",654776291812478977
Rye31,2015-10-15T21:53:00,@Netflixhelps are u all.having issues?,654777179578896389
TrueBAD76,2015-10-15T21:56:00,@Netflixhelps how long do you think it'll take for Netflix service to be back up again,654777835400249344
lazyltng222,2015-10-15T22:00:00,@Netflixhelps why won't my Netflix work on my tablet? Was watching then it stopped and now it says it can't access Netflix,654779020693782528
InflatableFunAB,2015-10-15T22:08:00,@Netflixhelps is the system still down.  I server doesnt even pick up the website,654780913448910848
galvy2011,2015-10-15T22:13:00,@Netflixhelps can't stream anything???? Says Netflix is unavailable???,654782168913195008
CalugaruLesa,2015-10-15T22:15:00,@Netflixhelps @netflix when is #POI season 4 coming on NETFLIX,654782597566889985
kelsthompson22,2015-10-15T22:18:00,@Netflixhelps hi why isn't this problem fixed yet ?!?,654783476458131456
hailey_xx3,2015-10-15T22:24:00,@Netflixhelps @netflix can u fucking hurry,654784959056470016
skianmurph,2015-10-15T22:26:00,"@Netflixhelps @netflix so you up the price of your plans, even to members who have been there from day one, and now we have nothing...",654785378663043072
Hedrick,2015-10-15T22:30:00,@Netflixhelps It seems to be back up here in Orlando,654786460113965056
andrewbreedlove,2015-10-15T22:38:00,@Netflixhelps @meowmariss THANK YOU @EtsyM8,654788545710723073
KatelynnePonce,2015-10-15T22:53:00,@Netflixhelps @netflix are you done fixing it?,654792199008219137
Country311S,2015-10-15T23:13:00,@Netflixhelps Netflix instant stream down...Tv Internet working fine...can you help,654797235780104192
Paulo_KGCR,2015-10-15T23:23:00,"@Netflixhelps Agr nao mais, voces voltaram e coloriram minha vida &lt;3",654799859413741568
dirn,2015-10-15T23:28:00,@Netflixhelps I'm getting error S7363-1266-48444350. I'm using Safari 9 on El Capitan on a 2014 iMac. It's been happening on and off all day,654801015212904451
Country311S,2015-10-15T23:51:00,@Netflixhelps Netflix back,654806860407574528
clawdean,2015-10-16T00:31:00,@Netflixhelps my iPhone6,654816831757160448
donbrown78,2015-10-16T00:32:00,@Netflixhelps ...and from the bluray... http://t.co/McXAF6NBjr,654817185810923520
donbrown78,2015-10-16T00:47:00,"@Netflixhelps Just reinstalled app on phones and am getting this error now, def no network issues. http://t.co/Ske4vgnVTg",654820938354196480
LuRamirez11,2015-10-16T00:50:00,"@Netflixhelps Ahora si me anda, pero anteriormente me decía que la pagina no se encontraba disponible, gracias igual.",654821669983272960
figueiralves,2015-10-16T01:39:00,@Netflixhelps Já voltou sim muito obrigado pela atenção.,654834054722945024
n4thhH,2015-10-16T01:41:00,@Netflixhelps Obrigada!,654834619963998208
katherinebouska,2015-10-16T01:52:00,@Netflixhelps nothing will play,654837312983986176
oopsNinha,2015-10-16T01:59:00,"@Netflixhelps eu tento acessar, porém o app da erro. Não sei o motivo",654839166522511360
nickhobart,2015-10-16T03:06:00,@Netflixhelps app has been crashing on startup for a month. Galaxy s6. Latest version of lollipop. Sup?,654855904106409984
nickhobart,2015-10-16T03:11:00,@Netflixhelps this. Always. Happens. Boo. Customer 10+ years. http://t.co/FcMy43zYCd,654857254840041473
tijgah,2015-10-16T08:09:00,@Netflixhelps ik ben geswitch naar Kijk en met dokter tinus in overleg gegaan,654932074739187713
