screen_name,created_at,text,id
DrAxelGrote,2015-10-13T07:06:00,@NikeSupport Die Neuinstallation hat das Problem leider nicht gelöst.,653829163208601600
aydinmert,2015-10-13T07:18:00,@NikeSupport even worse now. See the screenshot attached please. I ran 2 times last week. http://t.co/sXaXCZjEvA,653832255287226368
jlavina7,2015-10-13T12:23:00,"@NikeSupport will u update 10/13 to 14,500. thanks!",653908917228044288
ish4749,2015-10-13T13:47:00,@NikeSupport it's being displayed in Nike+ now. Apparently the time zone applied to the upload was for a day later at the time.,653930179400589312
dkoi_7,2015-10-13T14:13:00,@NikeSupport chicago il,653936685751894017
jlavina7,2015-10-13T14:45:00,"@NikeSupport my bad, I meant 10/12 should be 14,500. today I'm currently at 1073.",653944550902378496
Gabs_24,2015-10-13T15:37:00,@NikeSupport  ya pude entrar!!!! Mil gracias!!!,653957710069657600
nikouf,2015-10-13T15:58:00,"@NikeSupport can’t even connect. Not share, not have my old stats sync, not anything",653962913754054656
JuliusvL_SPM,2015-10-13T17:27:00,@NikeSupport My avg. pace while running seems to be far off from my finishing avg. pace. Signal problem? Or is my watch broken? #help,653985473426268160
jwbelenki,2015-10-13T17:38:00,@NikeSupport I'll DM you this info.,653988249006829568
thedavebonkosky,2015-10-13T17:40:00,@NikeSupport perfect.,653988632525713408
jwbelenki,2015-10-13T17:40:00,@NikeSupport Joshua_White is my screen name.,653988650288418816
feor29,2015-10-13T17:43:00,@NikeSupport @catanablack same problem with my account : fred.feor!,653989439149096960
feor29,2015-10-13T18:21:00,@NikeSupport Nike running 4.8.3,653998888949559297
eteocles,2015-10-13T18:43:00,@NikeSupport My screen name is eteocles. Run date is Jan 1st 2010. It is actually October 11th 2015 - Chicago Marathon! That is great!!,654004518330466304
chrisneilsmith,2015-10-13T19:39:00,"@NikeSupport Thanks! That problem is cleared up. However, I'm not getting certain trophies that I should have and I have ones I shouldn't.",654018766108430336
chrisneilsmith,2015-10-13T21:51:00,"@NikeSupport Unfortunately, yes it is.",654051855962509312
steven_xu11,2015-10-13T23:12:00,@NikeSupport then there is a redirect issue.... it stays at fuelband page once I login http://t.co/hyvbe8Qq3T and I have to change the url?,654072176807546880
davidsalinasb,2015-10-14T00:01:00,@NikeSupport si.. http://t.co/Mg8PkHJpLL,654084588428378112
daneordie,2015-10-14T00:13:00,@NikeSupport Looks good. Thanks so much! 👍🏼😘,654087472066879488
borimania,2015-10-14T03:15:00,"@NikeSupport hi I bought my gps watch + sensor 2 Years ago, now the sensor is dead and can't find a retailer, where can I get it in Mexico?",654133412970651648
panasheila,2015-10-14T09:44:00,"@NikeSupport please can you help, my mileage won't update on the leader board. I have logged out and signed in again but nothing PLEASE HELP",654231373365047296
