screen_name,created_at,text,id
TeabagJohn,2015-10-06T18:32:00,@nvidia I would pay for that but I am not going to buy a nvidia shield. Make it happen on PC or my phone and I'll give you my money.,651465161711206401
ryanshrout,2015-10-06T20:52:00,@nvidia @Microsoft What GPU IS IT????,651500230911901697
bigmike34,2015-10-06T21:14:00,@nvidia @Microsoft Come on Nvidia &amp; MS! We know it's Maxwell but which GPU are we talking about? 980m?,651505757595168768
THEBIGBEN2012,2015-10-06T21:33:00,@nvidia @Microsoft the beast!!!!!,651510647545532416
joelo,2015-10-06T22:11:00,@nvidia @Microsoft so what is it?  Is it a 950M? 960M?,651520084960247808
alexesther,2015-10-06T22:46:00,"@nvidia Your ""experience"" seems to like hugging the bottom right of my screen and I can't shift it to center to finish its operation.",651529014926966785
TheMisterNoise,2015-10-06T23:33:00,@nvidia  I'm guessing clustered processing is the next big thing for graphics like the old SGI reality boards back in the day.,651540774279061504
raptorcow,2015-10-07T01:00:00,@nvidia Sweet!,651562641576497153
josephkek,2015-10-07T03:04:00,@nvidia wtf,651593969919492096
goshisanniichi,2015-10-07T04:38:00,@nvidia The game I made for my Computer Graphics Programming class REALLY pushes my 980ti... #sarcasm http://t.co/IUoTCYvB6G,651617638703984640
Krougher,2015-10-07T08:36:00,"@nvidia Nice new bundle, but not fair for us who early bought #GTX980Ti and only got crappy #batman ... makes me #sadpanda !",651677515979866112
LaffenG,2015-10-07T09:01:00,@nvidiacc change log ?,651683743682400256
Merc_Umhlanga,2015-10-07T09:04:00,@nvidia The future is here! :),651684482181935104
Merc_Umhlanga,2015-10-07T09:04:00,@nvidia Beautiful photo! &lt;3,651684597466558464
steadyeddy00,2015-10-07T10:36:00,@nvidiacc still hearing bad things about the beta.,651707630952574976
dikkombe,2015-10-07T10:57:00,@nvidia @Microsoft @Techmeme só nice,651712941998362624
RTBF_Trez,2015-10-07T11:01:00,@nvidiacc I'm trying to download the latest update for SW battlefront but it says I can't connect to NVIDIA :( Already restarted pls help,651713877328039936
ToniSBurkeCY,2015-10-07T16:07:00,@nvidia @toniehansencsr tx for your support @CityYearSanJose. Check out what one of your @americorps is doing: http://t.co/6b3VA7Tjds,651791003209236480
AiGaming1776,2015-10-07T17:03:00,"@nvidiacc Hi. I have my 2nd G-Sync monitor I’ve owned, but I don’t see “G-Sync” in the VSync drop down box for it. https://t.co/Gqd6blxGPf",651805030186508288
MnatamisNaSugar,2015-10-08T01:48:00,@nvidia do you have an office here in the philippines?,651937147620999168
RoyalCarnation2,2015-10-08T07:14:00,@nvidia http://t.co/t8sB0WP7nw,652019112114126848
GarbageDotNet,2015-10-08T12:26:00,"@nvidia hm ill just check my nvidia account *clicks Account button in experience, browser opens with URL http://t.co/vGJRtKQaPl* ugh",652097725316534272
SirSwegLord,2015-10-08T14:18:00,@nvidia any help? tried installing the newest drivers but it did not work 😭 http://t.co/ZQMBTu6Wbo,652125849643319296
platelegs,2015-10-08T14:51:00,"@nvidia @NVIDIAGeForce @NVIDIA_UK hey, any thoughts on why this might be happening? http://t.co/wYi9fhuWbm",652134287601373184
RenderosityMag,2015-10-08T16:14:00,@nvidia -- a leader in Graphics technology-- has announced the release of a new graphics card for notebooks http://t.co/y4SGmIksEC,652155024412270592
maaidbhat,2015-10-08T16:53:00,@nvidia @MIT Well Done,652164882301714432
_Swifta_,2015-10-08T16:53:00,@nvidia fix the driver issues please. It's trending on Twitter!,652164970549919746
pananoz,2015-10-08T18:35:00,@nvidiacc your latest driver update broke my csgo,652190478822154240
heretic552,2015-10-08T18:56:00,@nvidia is shit,652196007162195968
Action_Sloth,2015-10-08T18:57:00,"@nvidia I'm trying to update my drivers through geforce experience for battlefront and keep getting ""Unable to connect to NVIDIA"" plshelp D:",652196009221615616
EpictechEd,2015-10-08T19:04:00,@nvidia helps anticipate drivers' next maneuver http://t.co/G02iTCePzn #epic,652197859039838208
DaPlayer99,2015-10-08T22:27:00,"@nvidia @MIT I wanna get involved and try and create stuff like this! I might start with a Raspberry Pi, but I'll get to the JetsonTK1! :)",652249085169258499
Cavemanrulz,2015-10-09T01:00:00,@nvidia @NVIDIAGeForce ? http://t.co/MTMOWVqpVe,652287393932800000
_glennsnyder,2015-10-09T07:40:00,@nvidia I installed nvidia-346 on Ubuntu 14.04 and now I'm stuck in a #loginloop. Anyway out of this hell? Thanks!,652388042888474624
LtVic,2015-10-09T11:18:00,@nvidia 980ti For streaming on @Twitch Kreygasm http://t.co/xbFANeZURf,652442904728891392
