screen_name,created_at,text,id
nippon_en,2015-10-06T01:00:00,"RT @misssaxbys: Toyota at #6 on top global brands, Nintendo dropped for first time http://t.co/SUj02CxKvL http://t.co/bhivN2Ou6L",651200440093159424
nippon_en,2015-10-06T21:00:00,Ōmura Satoshi Wins Quarter Share of Medicine Nobel http://t.co/EQLLjpVq1B http://t.co/C8Mtku7AtG,651502234023276544
nippon_en,2015-10-06T22:00:00,Ōmura Satoshi’s Art Museum: A Nobel Winner’s Generosity http://t.co/86VfssXjCG http://t.co/F32oTB5tCC,651517316694282240
nippon_en,2015-10-07T00:20:00,In Pursuit of Good Governance: An Interview with Murakami Aya of C&amp;I Holdings http://t.co/Ol1zUwIf7d http://t.co/9a4r3es8uT,651552745078435844
nippon_en,2015-10-07T00:56:00,Some amazing diorama models by a high school student (see more at @arukaido). http://t.co/FhfKHCXmhU,651561766111997952
nippon_en,2015-10-07T01:25:00,"In 2013, there were 21,488 international marriages in Japan (1 in 30 of all marriages). http://t.co/EgpwpnafOV http://t.co/Sg3sbu9Ocb",651568889675972608
nippon_en,2015-10-07T01:59:00,Higanbana (spider lilies) by saya2926 (https://t.co/y9f9u4XDLI). http://t.co/5LAycBt7Rf,651577602415591424
nippon_en,2015-10-07T02:31:00,Ōmura Satoshi won the Medicine Nobel for his discovery of microbes that have helped to combat parasitic diseases. http://t.co/EQLLjpVq1B,651585499929317376
nippon_en,2015-10-07T04:59:00,Japan’s First Female Photojournalist is Still Shooting at the Age of 101 http://t.co/WAHqL3rhd2,651622889548963840
nippon_en,2015-10-07T05:52:00,A Russian expert on Japan shares his theory about who wrote Article 9 of the 1947 Constitution of Japan. http://t.co/ZaUD3wCr06,651636293055594497
nippon_en,2015-10-07T07:12:00,"As fall deepens, Japan's forests take on spectacular red, orange, and yellow hues. http://t.co/h5wpmtdsqv http://t.co/I5g0plc7lN",651656345788133376
nippon_en,2015-10-07T12:58:00,Kajita Takaaki Wins Physics Nobel for Work on Neutrinos: http://t.co/r8ftvnOLz4 http://t.co/toyyTlAAwj,651743289465372673
