screen_name,created_at,text,id
PatrickPARAMAN,2015-10-06T21:11:00,@nippon_en http://t.co/Qo3xB2DakI,651504971339403265
miharusshi,2015-10-07T01:30:00,"@nippon_en Excuse me, but 'Philippine' should be 'Filipino' instead.",651570231240888320
facklernyt,2015-10-07T02:06:00,In Japan 3% of marriages are int'l. Big differences in nationality of partners http://t.co/x5mb3rnBeA http://t.co/einGqkOqkE MT @nippon_en,651579227246977024
KOYAP2,2015-10-07T06:20:00,"@nippon_en 
Article 9 is just a penalty.
Japan should return to normal country.",651643210154901504
KOYAP2,2015-10-07T06:38:00,"@nippon_en 
Kades wrote Article 9. 
The Constitution of Japan was completed in 8 days.",651647799684022272
KumarSkkc,2015-10-07T06:47:00,@nippon_en  outsiders no problem but Japanese culture should be saved by them.,651649914233970688
itzelramirez25,2015-10-07T15:23:00,@nippon_en @japansociety @N_tuba_0322  Japan rocks !!!!!!,651779964241506304
1stworldmusic,2015-10-08T01:38:00,@nippon_en Hahahahaha :)) @kazouille @nemaoffice,651934676496580608
KOYAP2,2015-10-08T02:26:00,"@nippon_en 
It is still necessary to nuclear energy in Japan. The environmental disruption, 
the energy dependence on other countries.",651946709140967424
KOYAP2,2015-10-08T02:32:00,"@nippon_en 
Wind, heat, light of the sun. These have a risk in the same way, too.",651948197531680768
KOYAP2,2015-10-08T02:35:00,"@nippon_en 
Nuclear energy opponents is hysterical. We want to wish the discussion by more sober data.",651948890413907968
cherbic555,2015-10-08T03:29:00,"@nippon_en  - when I was in Tokyo last year, I went to the Sumo bouts. It was fascinating - but this is funny!
;)",651962573143867393
thaicam,2015-10-08T03:53:00,Laurel-san and Hardy-san :)  RT @nippon_en: Sumō comedy... (via @nemaoffice) http://t.co/4q9VnGpTRC,651968624836513792
Ephruz,2015-10-08T03:57:00,@nippon_en @zaogon,651969542080626688
buttercookies,2015-10-08T04:06:00,Hehehe @drybonevalley_  RT @nippon_en: Sumō comedy… (via @nemaoffice) http://t.co/41obJeojXC,651971883714220032
11jammer11,2015-10-08T05:07:00,@nippon_en @burritojustice @nemaoffice #georgialinemanpractice,651987166311096320
KOYAP2,2015-10-08T06:25:00,"@nippon_en 
There are many Korean managers in the pachinko parlor. This is a reason taboo issue not to be able to smash.",652006808727371776
KOYAP2,2015-10-08T06:26:00,"@nippon_en 
Tabi and Nikka is one of the wonderful culture of Japan.",652007209149161472
BrianDavidBerry,2015-10-08T08:52:00,@nippon_en This advertisement article for Pachinko with a link to a promotion website again? @nippon_en should be above this practice.,652043830150041600
DrMichaelAdams,2015-10-08T21:41:00,A mountain defined in art “@nippon_en: Mount Fuji's presence in Japanese art/culture. http://t.co/3xJOM6SSIH http://t.co/UFt6nKfNT3”,652237425704439808
jenniferfabrizi,2015-10-09T02:08:00,@nippon_en @dszuc @nemaoffice Surprisingly nimble,652304501114802176
tanukidigital,2015-10-09T05:45:00,@nippon_en @JapanThis I can't stop staring at her lower eyelids O_o,652359129068122112
Tothemoonralph,2015-10-09T14:10:00,@nippon_en @japansociety beautiful Fuji-San,652486211416817670
cherbic555,2015-10-09T17:05:00,@nippon_en - I have two here at my home in Oxford. ;),652530224274505728
therisingwasabi,2015-10-09T22:18:00,@nippon_en ‘Depopulation Minister’ Emphasizes Awareness: You Can’t Start A Family With A Cartoon http://t.co/kwwvNa0jXL,652609138313158656
burning_cash,2015-10-10T08:36:00,"@nippon_en talking about population, u should see the whole picture... France immigrant population is over 10%, Japan' is around 2%",652764698425733121
BySteveBrown,2015-10-10T16:13:00,@nippon_en @WvanCleef  In The Cove weer school dolfijnen afgeslacht http://t.co/nxU8m5AbuI ( Schokkende Video) Tweede Kamer weet van niets!,652879733894610944
yuima21c,2015-10-12T11:10:00,"@nippon_en @TokyoKisha 日本の人口ピラミッド：過去・現在・未来
http://t.co/TnkyFE5hPR http://t.co/QjQB3Dwdzy",653528274501398528
AlParsons2,2015-10-13T01:49:00,@nippon_en @burritojustice If that tall thing is not a hookah then its a waste,653749320534003712
Tipsycaek,2015-10-13T02:13:00,@nippon_en @minafesto,653755372352630784
TheOtakuNetwork,2015-10-13T04:03:00,@nippon_en @hikosaemon good overview.,653783048950034432
joe_dee75,2015-10-13T05:37:00,@nippon_en Yumm... sexy like a takoyaki ;) 良い一日を！,653806752979357696
TLeunis,2015-10-14T06:40:00,@nippon_en this many. http://t.co/2ELSW3upM2,654185006034776064
Ruix,2015-10-14T18:02:00,@nippon_en HOLA @Afilamazas @jeanmaudit,654356508944244736
redhero,2015-10-15T10:55:00,"@nippon_en @Durf rip Popular, still number one in my heart",654611659583938560
kinokuniyanet,2015-10-16T07:36:00,"I think the Arakawa 2nd north east of Tokyo is ”Katsushika” .
@nippon_en @kingbiscuitSIU",654923952741978113
kinokuniyanet,2015-10-16T07:58:00,@nippon_en http://t.co/Dx2AwExA5p,654929298323705856
KankiKnight,2015-10-16T08:08:00,"@nippon_en Regarding Chinese residents of Tokyo - by ""Chinese"" do you mean born in China? Or do u mean Japan-born of Chinese heritage?",654932022356406276
kinokuniyanet,2015-10-16T08:11:00,"Oh! If I was working even now in the JPese paper, I must turn off the belly. lol
@nippon_en",654932751800406016
KankiKnight,2015-10-16T08:43:00,"@nippon_en thanks. So ""Chinese"" but inc those born in Japan. (Gets confusing when neither nation nor resident want to give/take citizenship)",654940670013009920
KankiKnight,2015-10-16T09:05:00,@nippon_en yes - I'm a former resident. The one passport rule dissuades many from cutting ties with parents' homeland,654946365135458308
espresso_triple,2015-10-17T04:40:00,@nippon_en @NLinJapan 『オランダ大使館』さんが、リツイート。,655241924450762753
GuillaumeBayre,2015-10-17T17:07:00,@nippon_en and what about the total # of marriages over the years?,655430037429161984
blacktokyo,2015-10-18T04:16:00,@nippon_en @fccjapan I always enjoy the ride! http://t.co/y1k9yUegbD,655598388960845824
hikosaemon,2015-10-19T11:39:00,@nippon_en I still read this title as Japan's 72 Microaggressions...,656072048704430080
BuckTurgidson79,2015-10-20T01:27:00,@nippon_en @HirokoTabuchi she is very beautiful,656280502828072960
Hive_5,2015-10-20T01:33:00,@nippon_en I think Level 6 is my limit.. =p,656282179354234880
TokyoSpark,2015-10-20T03:31:00,"@nippon_en , really, three times posted in two days? This is not really a major concern.",656311836740968448
hikosaemon,2015-10-20T04:55:00,"@nippon_en wow, Princess Aiko looks exactly like her",656332921628925952
RapGame,2015-10-20T05:20:00,@nippon_en Rap Game BIRTHDAY 🎁,656339279195545600
keizaitengu190,2015-10-20T06:16:00,@nippon_en yet sadly I will never be able to afford a Whistler.,656353243912499200
cooperinasia,2015-10-20T11:39:00,"after 12+ years here, i'm doing double-takes seeing signs such as this everywhere now. @nippon_en #tokyo #japan https://t.co/pL1DWiICRw",656434454689218560
paulmc000,2015-10-20T20:25:00,"@nippon_en @wim_v12e is there a repetition of patterns that occurs after 3,000 characters, or is it just a case of 'deal with it'?",656566942564753408
