screen_name,created_at,text,id
gurgentimassy,2015-10-06T08:12:00,@Novartis http://t.co/UNCvjjP25J,651309083534958592
FundacionSVida,2015-10-06T14:37:00,@Novartis Ayudemos a Cesar! #FUNVIDA #stopcancer #luchacontraelcancer #venezuela http://t.co/JSV1t7b8MD RT,651405810506067972
MSNewsToday,2015-10-06T15:18:00,@Novartis So excited about #ECTRIMS2015 ! We will be covering the event! :) #MSNewsToday &gt;&gt; http://t.co/Pkt1feIpC1,651416261390376960
IowaBio,2015-10-06T16:30:00,@Novartis licenses Xoma's immuno-oncology program for $500M,651434397602738176
FundacionSVida,2015-10-06T16:58:00,@Novartis  Ayudemos a Cesar! #FUNVIDA #stopcancer #luchacontraelcancer #venezuela http://t.co/JSV1t7b8MD RT,651441501357142017
JFvanSanten,2015-10-06T18:30:00,@Novartis Rachel Pearline is a very special young woman losing her battle with gastric cancer. #helprachel https://t.co/299GF5MjKY,651464578669260800
indriagole,2015-10-06T19:56:00,@Novartis ¿Por piedad dónde -en la gran Caracas- consigo Stalevo de 150 mg. o de cualquier otra presentación?,651486238348812288
Tatogr1,2015-10-06T21:45:00,@Novartis Ok.Muchas gracias!,651513640936472576
DisasterConv,2015-10-07T06:00:00,"@Novartis Do you know about the 4 day #InternationalDisasterConvention2015 in #Dubai ??
More Details at https://t.co/r4aRauCsnS",651638317646151680
Acedotor,2015-10-07T11:54:00,"@Novartis #Oncology presenta #Madrid  proyecto “Yo, aquí y ahora: ejercicio y nutrición en #cancerdremama”: http://t.co/kOChuKsSta #salud",651727277487706113
VictorAugustoRu,2015-10-07T13:06:00,@Novartis que sucede con el medicamento Exelon 6mg y otras graduaciones que no se consigue en farmacias bs as?. Es un problema habitual,651745488786604032
CocoChanelChula,2015-10-07T14:58:00,@Novartis cual es la razón por la que dejaron se producirlo??? http://t.co/OQwcfpQ977,651773635791732736
CocoChanelChula,2015-10-07T15:04:00,@Novartis @COFEPRIS http://t.co/MNjeGRqIpJ,651775190188191744
GradyKen,2015-10-07T16:05:00,@Novartis #bigdata shoutout in keynote at #reinvent @andyhpalmer http://t.co/YJUefCnj0m,651790421215985664
Krak_Bok,2015-10-07T16:43:00,@Novartis @ThunderclapIt ten years ago i applied to work with you. hope u r fine,651800120531415040
PrinceBigSam,2015-10-07T16:54:00,"@novartis earn cash online and it's real.
register. http://t.co/CCVjHdUswy
or contact +254722359298",651802792219287552
mickeywayne21,2015-10-07T17:24:00,@Novartis @Shireplc I hope Novartis is more honest than shire they rip epilepsy advocates off,651810382185545728
ALEMANDAVID,2015-10-07T22:49:00,Why there is no existence of 150mg Stalevo Venezuela? It takes five months on the market  @Novartis #SOS,651892083939147776
INIDRESS,2015-10-08T07:37:00,@Novartis España predica la vida saludable con el ejemplo de sus empleados - http://t.co/plfOLPaayL #RSC sociosanitaria = #RSS,652025046769266688
Acedotor,2015-10-08T08:54:00,@Novartis colabora con la Federación Visión España para sensibilizar sobre la afectación de la Baja Visión: http://t.co/klOwz6DDcj #salud,652044264298389504
kiapi40KFreddie,2015-10-08T11:14:00,@Novartis this will save millions of mothers around the world,652079697745051648
CurbeloSalud,2015-10-08T12:30:00,@Novartis enseña las claves sobre ejercicio y nutrición a las mujeres con cáncer de mama http://t.co/RjMGuQrK0Y // http://t.co/aHaZz3acBz,652098818729725953
LisaEarleMcLeod,2015-10-08T12:39:00,@Novartis Looking forward to keynoting for your Nov. conference next month!,652101000749301760
selektavin,2015-10-08T17:32:00,"@Novartis @HitvilleMix 6 #The256IndependenceDayMix @madhousesounds 
@selektavin https://t.co/BMS7BSntm7",652174672512069632
SaraBarrie,2015-10-08T17:50:00,@Novartis Christi Shaw Avoid #perfection go for #excellence &amp; where you make biggest impact #resultsdrivenleadership https://t.co/ImiKGNR0Mf,652179333306556416
knockstead,2015-10-08T19:29:00,"@Novartis in the house at #NACFC thanks Marion, terry and all RAMS #TOBIPOD http://t.co/ouuauWIB2Q",652204066739613696
JuanmAguilera95,2015-10-08T20:48:00,@Novartis In Argentina medicines are 100% free for pensioners. Thanks to Peron!,652224113805795328
gorge_isaac,2015-10-08T21:03:00,@Novartis u just saved me the burden then 😂😂,652227792264953857
UmairaYus,2015-10-08T22:45:00,@Novartis,652253424411521028
PunjSoc,2015-10-09T01:01:00,@Novartis @NovartisPharma @NovartisScience Your Indian arm approached us for working together #psoriasis. Abruptly ended.,652287839674232832
