screen_name,created_at,text,id
Kevin900,2015-10-12T05:43:00,@Ocado twice u request payment 4 smart pass on old card. Insist my fault bank say u screwed up then unhelpful on phone complaint info/link?,653445872710230016
Carley18,2015-10-12T07:30:00,"@Ocado credit to him, he did let us know 👍",653472784866217985
Carley18,2015-10-12T09:16:00,"@Ocado oh wow that's so kind, thank you 😊",653499476267692032
MsFloraPoste,2015-10-12T09:35:00,@Ocado I may have to give you a go!,653504285637017601
cchloenewman,2015-10-12T11:25:00,@Ocado it was delivered last Wednesday and I just got the email to activate the Smart Pass,653531883083563008
understairbambi,2015-10-12T11:40:00,@Ocado maybe as the charge is meant to be about reducing bag use you could give your pickers some training,653535708704075776
laurajanewrites,2015-10-12T13:06:00,"@Ocado Lots of fresh fruit, topped with yoghurt, granola &amp; a swirl of maple syrup is my everyday pud. But you can't beat rhubarb crumble!",653557411366703104
Shaye_AkaSheila,2015-10-12T13:37:00,@Ocado it was last night at 9:30 ish,653565115686625280
Amy_j_easton,2015-10-12T19:46:00,@Ocado I have sent a dm. After disastrous 1st delivery last week we tried you again. this time we ended up with yoghurt spilled everywhere,653658037165641728
ElyzabethSB,2015-10-13T06:31:00,"@Ocado, Order reference: 3364739070. I am extremely upset and disappointed, with my 06:00a-07:00 delivery by Cassius in Lemon van LL15 UHE.",653820339785482240
ElyzabethSB,2015-10-13T07:27:00,"@Ocado, appalling alternative option suggested by Mark from your Hatfield contact centre: 'contact the driver to return order.'. No thanks!!",653834435729735680
ElyzabethSB,2015-10-13T07:30:00,"@Ocado, Mark from your Hatfield contact centre said, manager was busy, and it would take at least 2 hours to return my call. #unacceptable",653835277551730688
martijnderoo,2015-10-13T08:36:00,@Ocado disappointing way of trying to win repeat business,653851675355123712
Beast_Content,2015-10-13T08:48:00,"@Ocado @NicolaJSwinney Surely the whole point of the charge is to use less plastic bags, not create a stock market for them? #stopthebags",653854758151802880
jnentwich,2015-10-13T10:20:00,@Ocado we ❤️ your service BUT our favorite mozzarella got moldy b4 use by date 😢  this seems to be a recurring problem!!! What now???,653878067761442816
jnentwich,2015-10-13T12:12:00,"Excellent @Ocado 👍🏻 Super pleased with the customer service, it was fast and fair! Thank you, I will recommend #ocado to my friends. 💐",653906090074185728
Ruthee0,2015-10-13T12:40:00,@Ocado canceled my order this morning after delivery slot &amp; now I need 2 send in a council tax bill... yeah NO!! Hello @Tesco I'm Back!,653913194214334464
KitKave,2015-10-13T13:04:00,"@Ocado walking along Curtis lane, Stowting today at 13.40 I was walking. He was going so fast I didn't even hear him til he was upon me.",653919218669355008
KitKave,2015-10-13T13:05:00,@Ocado his speed kicked dust in the air and forced me to dive into a bush. Didn't catch full reg. 64 plate!!,653919530251587584
BeckylowLow,2015-10-13T15:36:00,@Ocado Requested a refund on 27/09 still waiting for this &amp; had to make 3 calls to ocado before  they claim to have now resolved! #fedup,653957568214253568
BeckylowLow,2015-10-13T15:46:00,@Ocado have sent this to you on DM - thanks,653960052215271425
kattcoom,2015-10-13T18:45:00,"@Ocado I refused a substitute item from last shop, haven't received refund + no refund on returned plastic bag, help?!",654005100856410113
