screen_name,created_at,text,id
XeuasCearo,2015-10-06T20:58:00,@Oracle html.https://t.co/WmnEfHKRgg .php...emperor doge adjanti,651501902665007105
XeuasCearo,2015-10-06T20:59:00,@Oracle 50.php.target refered Assad Kim Jong Profile sertreinoere,651502161583603712
alinikzad8,2015-10-07T04:57:00,ویروس را هم اینجوری رد وبدل می کنند@Oracle @BestFapping @ReggieBradford http://t.co/ynJlSiJwLP,651622372622135296
RimiBewtra,2015-10-07T06:14:00,@Oracle Customers - great ready for a week of insights and engagement #OOW15  https://t.co/UZyFrauI2S,651641727422435328
Morticah,2015-10-07T06:34:00,"@Oracle ""Rufen Sie den MySQL 5.7 Power Tech Tour hervor!"" soll das Deutsch sein oder welche Sprache?",651646775103782912
stungmedia,2015-10-07T23:43:00,@Oracle #MMMashup http://t.co/hxXiSf6PT9,651905706728292352
sonnyseuny,2015-10-08T07:31:00,"@Oracle @OracleArena soon the Warriors will move out, how does an Oracle ""Coliseum"" sound? #SaveTheOaklandRaiders",652023473284366336
UKCloudDrive,2015-10-08T20:38:00,"@Oracle My company is on the trial in em2 datacenter but noone at Oracle, has a clue now to provision my live account #OracleCloud",652221507406532608
UKCloudDrive,2015-10-08T20:39:00,"@Oracle is ""Oracle IaaS Public Cloud Services"" available in the UK? None of the sales reps nor my Oracle Account Manager has a clue #oracle",652221783135944704
AutoDeploy,2015-10-08T20:49:00,@Oracle extends cloud suite to cover entire order-fulfillment process http://t.co/ttfDNpSukd via @computerworld,652224431926968320
mastercaweb,2015-10-08T22:23:00,@Oracle revendique un chiffre d'affaires de 40 milliards de dollars sur l'exercice 2015 et 400.000 clients dans le monde #CawebSFO,652248075839254528
BrandisVan,2015-10-09T00:20:00,"@Oracle tried to get a micros tech to call me back, but was told it's a 3-6 week wait for service!",652277461539880960
07Sonal,2015-10-09T06:25:00,"@Oracle Hiring Network Engineers with Juniper firewall- SRX ,Exp : 2 to 6 years Job location: Noida / Bangalore . In…https://t.co/HlhCK5Duc0",652369259738214400
OGConf,2015-10-09T13:02:00,@Oracle to #invest in 20 states &amp; to work on #payment &amp; #smartcity initiatives http://t.co/VOeuMvM4cl #digitalindia #OGConf,652469249122791424
the_steve_cox,2015-10-09T13:22:00,@oracle simply talent: a western european perspective http://t.co/rFu39k0zZq,652474096010309632
ttdomin,2015-10-09T15:34:00,"@Oracle @JavaOneConf Once upon a time 68% could have come FROM the Bay Area.In 50 years the farms you praise, also paved over for immigrants",652507316894437376
Freyer_T,2015-10-09T18:30:00,@Oracle 12c OEM CC monitoring MGMTLSNR on EXA:It's not intended that this should be monitored by Cloud Control.Why is that then implemented?,652551701208137728
Chasapple,2015-10-09T22:04:00,@Oracle when Java is installed on OS X,652605615911538688
michaelnull,2015-10-10T03:04:00,@Oracle Just thought I'd let you know I still go to http://t.co/hMD54kQBvF when I need to download JRE. Not like you ruined it or anything.,652681097667477506
TheNabx,2015-10-10T08:18:00,"@Oracle Your password must contain an upper case character, an antagonist character and a moment where the main character saves a cat. #ERP",652760100789190656
storagereview,2015-10-10T15:43:00,"@Oracle ZFS Storage Appliance Has Surpassed $1 Billion In Revenue @oraclehardware 
http://t.co/V99E46C0lH http://t.co/Ca0cQJmgOq",652872083194572800
emmanuelheifa,2015-10-10T18:07:00,"VKON™ @twitter @Chevron Fraley, et al. v @facebook, Inc, et al, Case No CV-11-01726 RS; @CMLawfirm @Oracle Legal Oil:https://t.co/EHP1PgZ2Aj",652908450834444288
emmanuelheifa,2015-10-10T18:09:00,VKON™ 1st Investment Electric Power Transmission @Oracle; InterContinental Fiber Optic Cables Under the Ocean $690T:https://t.co/234IHu0cxU,652908953597255681
ClouDesigner,2015-10-10T23:27:00,"@Oracle thanks for sharing Oracle, have a great Sunday :) (insight by http://t.co/FpVBVitMoE)",652988775052767232
jawadkb,2015-10-11T11:35:00,"@Oracle soln
Oracle, VMware and Extended Distance Oracle Real Application Clusters on vSphere Metro Storage Cluster https://t.co/MwpHaw2poj",653172145787289600
BrieucCourcoux,2015-10-11T13:01:00,"@Oracle TandT @Oracle_AC_Fr @Oracle_France 
Échauffement des cordes vocales à Cardiff pour 20 partners gagnants http://t.co/4Wy9ZTpqdd",653193715658452992
EmmanuelDaniel,2015-10-11T14:54:00,"@Oracle #Oracle @Oracle everywhere @ #SIBOS 2015 banners, videos, kiosks, room keys - u can run but u cannot hide https://t.co/afXGv6ZlaI",653222192952442881
AtlantisMeeting,2015-10-11T16:18:00,@Oracle definitely knows how to host a #PresidentsClub! #amazingevents https://t.co/RZs70tdbbs,653243403824705536
