screen_name,created_at,text,id
anuragstaticx,2015-10-07T09:25:00,@PepsiCo needed sponsorship for a college festival...,651689775414513665
Anthonycooke360,2015-10-07T12:02:00,@PepsiCo were will i be able to pick up a Pepsi back to future bottle from in the UK? thanks,651729388069879808
ruhithallon,2015-10-07T12:23:00,@PepsiCo Pls help 2 put right the wrongs of #PalmOil. Money needed 4 displaced #orangutan shelters @ fire risk https://t.co/KDmK5wO91Y,651734561492193280
JeanJakz,2015-10-07T14:23:00,"@PepsiCo, @CocaColaCo, @KelloggsUS &amp; @GeneralMills to support mandatory FDA labeling of GMOs! #ConcealOrReveal http://t.co/JCwgo8ZS6k",651764792026382337
CGTMagazine,2015-10-07T15:46:00,"@PepsiCo's New Look: http://t.co/ViV9v0CkO1
#TheFutureisNow #PepsiPerfect #innovation #marketing",651785634034622464
meldecaria,2015-10-07T18:31:00,@PepsiCo a anos nos ensinando na pratica como é que se ESTOCA VENTO http://t.co/6GzlDP8dlT,651827078485147648
danbena,2015-10-07T20:23:00,@PepsiCo is fortunate to have Mauro Porcini with us! https://t.co/tMZALL6x46,651855325121806336
fernandoTLMDO,2015-10-07T22:11:00,@PepsiCo Latest Company to Write-Off #Venezuela http://t.co/gqSdYRSUWU @Sororita @sorocaima1515 @fernando_bum,651882626618388480
ReemMalcolm,2015-10-07T23:19:00,@PepsiCo hey your machine just stole $1.75. I didn't get my beverage 😡 http://t.co/QiNtbLoRqk,651899611171397632
Urbe_redaccion,2015-10-08T00:38:00,"@PepsiCo El #refresco de #VolveralFuturo… una #realidad
http://t.co/tgMiE2ntGa #pepsiperfect #backtothefuture",651919605921914880
Richard64683344,2015-10-08T02:26:00,@PepsiCo get rid of artificial sugars and preservatives and tell your it really doesn't make you fat and then your soda will really be pop.,651946822638825472
Swedbrand,2015-10-08T02:32:00,@PepsiCo's new colorful packaging. 6 different designs for 6 different moods. #LiveForNow https://t.co/QzLnKsfyGF,651948189071773696
bdc223,2015-10-08T04:26:00,"@PepsiCo just look up ""the Venus project"" they've already come up with most of the ideas, and they're quite good. #sustainability #green",651976945777799170
LauschJack,2015-10-08T05:07:00,"@PepsiCo 󾓦 Heart Assn recommended sugar intake levels for adults of 20 grams of sugar per day, adult men 9 teaspoons 36 grams #howwillwe",651987278319984640
LauschJack,2015-10-08T05:21:00,@PepsiCo one 12oz can exceeds the daily amount sugar by an adult what about the 20oz Yikes #howwillwe http://t.co/DMuR8W2jxj,651990704953102336
Chem_Corp,2015-10-08T15:48:00,@PepsiCo Pepsico's green plan saves $375m.  Read more:  http://t.co/DBMYSHuq4i http://t.co/2d2IjPFBM2,652148636877348864
DeLaCruziii,2015-10-08T16:51:00,@pepsico Foundation is a proud supporter of the @CHCI fellowship program. #HHM2015 http://t.co/0FP6qPIond,652164435365068806
LittleNews_App,2015-10-09T03:34:00,"@PepsiCo wants out of @IPL, says game in 'disrepute' http://t.co/vKOxOLrhdu",652326156201496576
impatelharsh,2015-10-09T04:04:00,@PepsiCo recedes der Sponsorship frm @IPL due 2 fixing conjectures.Wud it be #DLF again ?? I don't think so.😂Tym waqahi khrab chal raha hai,652333821531045888
eli_sting,2015-10-09T05:38:00,"@PepsiCo Please don't advertise on any future Duggar, Dillard or Seewald TV shows. I can't purchase from a company that supports them.",652357454320156673
SajidMahmudAwan,2015-10-09T09:51:00,"@PepsiCo's googly to @BCCI, decides to withdraw from @IPL title-sponsorship deal: report

#Cricket
#INDvSA
#PAKvENG
#ZIMvIRE
#IPL",652421041722130432
Midgywidgy,2015-10-09T13:56:00,"@PepsiCo, @CocaColaCo, @KelloggsUS &amp; @GeneralMills support mandatory FDA labeling of GMOs! #ConcealOrReveal http://t.co/lJ4Pzhoa9Y",652482759361998848
rodthorn,2015-10-09T14:37:00,@PepsiCo @Quaker @Tropicana I LOVE this combo! Add a Starbucks Double Shot with Protein and I'm good to go!,652493075953111040
SeptembersSong9,2015-10-09T14:52:00,@PepsiCo    Bring Back. #CRYSTALPEPSI  Please! http://t.co/9r7Cj4q086,652496801082150912
topyaps,2015-10-09T15:30:00,"@PepsiCo Wants To Withdraw From #Deal; Sends Notice To #BCCI
http://t.co/M1vrvZzxQy http://t.co/pEZcyPN4j4",652506397326741504
cityofprogress,2015-10-09T15:53:00,"@PepsiCo Come on guys, you're better than this - you wouldn't let this happen in the US

http://t.co/rx8If10uuO",652512191929786368
FireFlyDaily,2015-10-09T17:03:00,"@PepsiCo not to sponsor #IPL  anymore, says it dishonors cricket
http://t.co/20d9boSs5A http://t.co/sYG4VTqiSw",652529728398585857
HGJohn,2015-10-09T17:41:00,"@PepsiCo So does your new palm oil policy cover your operations in Indonesia, your largest source of palm oil? #doritos #savetherainforest",652539494026059776
MarissaParagano,2015-10-09T20:41:00,@PepsiCo no? I was just wondering...,652584752424292352
witteeme,2015-10-09T20:56:00,@PepsiCo Kudo's... #freshfoodfridays #pepsico50 &lt;&lt; Winners!,652588384079052800
Dividendo1,2015-10-09T22:10:00,@PepsiCo hace entrega del segundo parque biosaludable en IE San Ramón en Funza-Cundinamarca #YoAmoSerVoluntario http://t.co/5C62mEk2Hq,652607185340473345
Ricky33012,2015-10-09T22:15:00,@PepsiCo should go beyond smoke and mirrors and to include @indofood_cbp in its #palmoil policy. Petition here: http://t.co/zGZ9AQOlp6,652608246952411137
shez_shezy,2015-10-09T22:33:00,@PepsiCo well done for not giving the ipl a sponsor or your on the verge to cancel it. Really impressed with the rumours good business!☺,652612862792310784
scooo1,2015-10-09T22:49:00,PepsiCo has committed to cutting conflict palm oil from its supply chains everywhere but Indonesia.endangering orangutans/animals @PepsiCo,652616989169590272
peacockwalk,2015-10-09T23:17:00,"@PepsiCo, @CocaColaCo, @KelloggsUS &amp; @GeneralMills must support mandatory labeling of GMOs! #ConcealOrReveal http://t.co/5PGG9NQK1K",652623844839026688
yogabot,2015-10-10T03:22:00,"@PepsiCo include @indofood_cbp in your #palmoil policy http://t.co/U6PsEOqI0S
#extinction #orangutans #tigers #conflictpalmoil #SoFuckedUp",652685654128652288
arndutt,2015-10-10T06:16:00,@PepsiCo India bottler #VarunBeverages gets Rs 600 crore from #AION | Business Standard News http://t.co/ei8hkTsXGn,652729451017428992
