screen_name,created_at,text,id
HartfordHabitat,2015-10-06T15:24:00,@PrudentialBYC team #grandstreet is working away on this beautiful day! #buildathon2015 http://t.co/C4zuUz672m,651417693229326336
HartfordHabitat,2015-10-06T17:42:00,@PrudentialBYC @PruSpirit #prudentialcares and so should you! #teamenfieldstreet #buildathon2015 http://t.co/k24QNTlAjK,651452459345424384
ProducersWEB,2015-10-06T20:20:00,@PrudentialBYC inks two new de-risking deals http://t.co/6T61cRdISy http://t.co/QPKGmjxn2q,651492155320463360
amymiles1966,2015-10-06T21:38:00,@PrudentialBYC need help with sponsorship http://t.co/UF0XVl7GWc,651511822655311872
bettiegrl,2015-10-06T22:59:00,@PrudentialBYC I think I'd be better prepared if I still worked at Prudential!,651532155252834305
BfmobShakaZoo,2015-10-07T00:07:00,@PrudentialBYC Check out music from kingshaka! - https://t.co/emw5dAg1l3,651549280168054784
InsuranceSpy,2015-10-07T13:47:00,@PrudentialBYC podría abandonar Londres y cambiar su sede a #HongKong o #Singapur debido a las normas d #SolvenciaII q se aplicarán en la UE,651755775631618048
Valley_Chamber,2015-10-07T14:52:00,@PrudentialBYC has you Shelton office heard http://t.co/YsuG24ukqt now thru Oct 10th http://t.co/FgI4m1YGiz,651772109325103104
spiritofburning,2015-10-07T18:27:00,"@PrudentialBYC UNDERSTANDING IDOLATRY HELPS PREPARE FOR ETERNITY..THOSE WHO LOVE THIS WORLD,GOT BIG PROBLEMS WHEN JESUS RETURNS",651826118404648960
amymiles1966,2015-10-08T14:52:00,@PrudentialBYC we need your help with sponsorship. PLEASE read our letter or forward to appropriate person http://t.co/bsJ042OkI0,652134373274157056
K_Pitsker,2015-10-08T19:15:00,@PrudentialBYC I received an email to re-register for 4.01k race. But the link just shows postponed info. How can I re-register?,652200679394684928
PostRacialMyAss,2015-10-08T20:34:00,@PrudentialBYC 89,652220488769490944
AkaDreday,2015-10-08T20:54:00,@PrudentialBYC my new video Lil dre the same new music video check it out its hot https://t.co/jOI35tVL0p,652225473016152064
thegurns,2015-10-09T11:38:00,"@PrudentialBYC  I will be donating $1 to cancer care &amp; research for every copy of my new book ordered 
http://t.co/CHxTdMCJ2Q",652448019636482048
nahkiahenry,2015-10-09T13:40:00,@PrudentialBYC Makes @BlackEnteprises’s 2015 List of the 40 Best Companies for Diversity. http://t.co/l7a7ET6MCx,652478650877640704
COFFEEBARNYC,2015-10-10T21:24:00,@PrudentialBYC https://t.co/a4kvfxlXAV,652957927008018432
spyit_ground,2015-10-11T02:58:00,@PrudentialBYC america simulated genocide has amnesia I awakened they divined the wealth / convenient dishonesty http://t.co/RdwVZE8aHR,653042032089260033
Tideman42,2015-10-11T21:22:00,@PrudentialBYC 119,653319908873379840
michaelanane_,2015-10-11T23:02:00,@PrudentialBYC,653344993323687936
18Unda,2015-10-12T12:38:00,@PrudentialBYC Getting off the 1st tee like a boss. Golf on a Monday. Happy Columbus Day https://t.co/jeHNcozAOH,653550188934660097
urisyahuri,2015-10-13T08:16:00,@PrudentialBYC .siang saya mau tanya gimana caranya ikut anggota prudentail...???,653846734821453824
RyanRauert,2015-10-13T08:29:00,@PrudentialBYC https://t.co/q3wsJJLebv,653850064473968640
AlisonNJ1,2015-10-13T14:48:00,@PrudentialBYC http://t.co/xTiuIzJKq8,653945473586331650
myezpzsprinkles,2015-10-13T21:16:00,"@PrudentialBYC 
How do you keep your vehicle smelling great on the road? 
http://t.co/T3LTrPBxvm
#myezpsprinkles http://t.co/CVdIRbUthO",654042961810952192
RyanRauert,2015-10-13T23:54:00,@PrudentialBYC https://t.co/q3wsJJLebv,654082871980879873
Ohm2k,2015-10-14T01:12:00,.@PrudentialBYC This is America a .401k would be more appropriate. #1300Feet,654102392443641856
yourguy77333777,2015-10-14T06:03:00,"@PrudentialBYC
These banks have towers and great wealth they acquired through Rockefeller-wall street subsidiary banks

#one great big fraud",654175643077218304
Mic_Bara,2015-10-14T11:43:00,@PrudentialBYC hello from Australia. http://t.co/V8Qb5pHKlM is amazing. Well done! #loveit,654261354019225600
manydeals,2015-10-14T13:02:00,@PrudentialBYC thank you for sponsoring the #LIVERICHERChallenge ! #thankyouPRU  http://t.co/lwEf2a4wFh via @thebudgetnista,654281023577059328
jozafiend,2015-10-14T20:38:00,"@PrudentialBYC @AeroFarms please help &amp; share data with @ScienceBarge in Yonkers, growing great on a small space on the Hudson!",654395766207873025
18Unda,2015-10-15T00:44:00,"@PrudentialBYC 4 Slabs

#golftrickshots: 🎃 edition

Complete Vid:
https://t.co/xWnF9LJ6zv 

https://t.co/6EPGZGaNjP",654457905282981888
CrushTheCFR,2015-10-15T20:33:00,@PrudentialBYC @AeroFarms That's great! 70X higher!,654756933321166848
KFMoorePruPR,2015-10-15T22:35:00,@PrudentialBYC is Looking for Talent at #ghc15 celebration of women in computing. http://t.co/WOhpHwewdP,654787793026093056
thecathyshow,2015-10-15T23:38:00,@PrudentialBYC 's Kim Ostrowski at @financialclinic 's Change Machine launch.We're proud 2 partner! #myfinancialgoal http://t.co/JRcnOhlTS3,654803636661256192
Speaking4moses,2015-10-16T04:32:00,@PrudentialBYC If it was on a Sunday we would have been there.,654877518294556672
BRBAndy,2015-10-16T11:05:00,@PrudentialBYC I would tell u how absolute rubbish u r but I am sure economics will take care of that !! Frustrated and bloody annoyed !,654976501763481601
lindaparejones,2015-10-16T13:03:00,@PrudentialBYC no. Prudential in the UK,655006047434899456
AxleEverest,2015-10-16T15:23:00,@PrudentialBYC,655041506512793600
marquellousper1,2015-10-16T16:59:00,@prudentialbyc,655065595701022720
NovarisHusky,2015-10-16T19:31:00,"@PrudentialBYC No, no, no. Consuela agres. Nooooo",655103895602110464
ThisSundayNight,2015-10-16T19:33:00,@PrudentialBYC id love it too m8,655104196354658304
ashleyfriedsxo,2015-10-16T22:28:00,@PrudentialBYC #RELENTLESS devils night👹 http://t.co/fAl7bQVCWM,655148345900560384
Gemskate613,2015-10-17T13:26:00,@PrudentialBYC @PruCenter thanks!,655374366260228096
tazzwilliams16,2015-10-17T22:19:00,@PrudentialBYC,655508387061338112
AuburnElvis,2015-10-17T22:45:00,"@PrudentialBYC Nice commercial, but all of the ""bad things"" magnets should be crimson.",655514953613451264
TurbulenTakeova,2015-10-17T23:35:00,@PrudentialBYC You heard it hear first this is gonna be huge https://t.co/tgSRhdRIgK,655527655773593600
reactionarypooh,2015-10-18T13:45:00,"@PrudentialBYC With little work out here, I ain't gonna retire. Gotta chase bees adn honey until I drop dead. Retirement only for rich folk",655741468812800000
bigabba1960,2015-10-18T18:50:00,@PrudentialBYC https://t.co/566KScK28V,655818158230605824
mikeyPFargo,2015-10-18T21:26:00,@PrudentialBYC or join the @KTownStriders and run for a cause (pancreatic cancer)!,655857570528296960
resilient_ent,2015-10-18T23:08:00,@PrudentialBYC @AeroFarms #TENTHOUSANDSAINTS  film starring @asabfb @ethanhawke @HaileeSteinfeld  http://t.co/8MXUmhpkAU,655883138296643584
RyanRauert,2015-10-20T00:04:00,@PrudentialBYC https://t.co/q3wsJJLebv,656259574551453696
mhj1958,2015-10-20T11:30:00,@PrudentialBYC DESPARATE. We have to $4500 or we will be homeless. Angela broke leg badly in apr and I've been out of work since mar. Please,656432346409799681
hull0329,2015-10-20T16:29:00,@PrudentialBYC @BowersLaceyy,656507526045966336
AtheGrreat,2015-10-20T18:08:00,@PrudentialBYC thank you. An email has been sent,656532396733542400
TrillYungLo1,2015-10-21T00:59:00,@PrudentialBYC https://t.co/zNOJsIMpt9,656635882925981696
StuNeff,2015-10-21T01:40:00,"@PrudentialBYC with 401K u don't save tax, u postpone it to what, in all likelihood, will be a higher tax bracket. Very few if any benefits!",656646258107502592
PTOExchange,2015-10-21T02:22:00,"@PrudentialBYC why can't we put our expiring PTO in our 401(k) ?  #portableleave #changeconstructreceipt  time to change 409A/ERISA,",656656822779015169
bibswitchnow,2015-10-21T03:59:00,@PrudentialBYC a little #running humor for the upcoming race. #run401k https://t.co/Kr9iLxXYF3,656681161398296576
Tyron12345678,2015-10-21T20:18:00,@PrudentialBYC FAQ 5a@@@6a@@@@@@aaaaqqqaaaqqqaqqaaqaqqqqq,656927578616414208
guada_marq,2015-10-21T22:13:00,@PrudentialBYC yea,656956458714591232
DonnaMarieTayl3,2015-10-22T03:41:00,@PrudentialBYC  I'm  registered . Come join me,657039018799026176
krisisthebomb11,2015-10-22T11:16:00,@PrudentialBYC. You. Like. Me from. Tonydavis,657153438053175296
DerbyRedRaider,2015-10-22T18:53:00,@PrudentialBYC @JA_WCT #PruCares https://t.co/VH2O2tBS07,657268459840131073
silverbackvido,2015-10-22T21:58:00,@PrudentialBYC https://t.co/2yzwooJt4c,657315085044600833
JerseyCares,2015-10-23T16:58:00,"@PrudentialBYC, did you know you can sponsor your own coat drive? Check out our @YouGiveGoods page https://t.co/O00ryZEge6",657601963958403072
goldenwebwall,2015-10-23T20:13:00,"@PrudentialBYC is nominated candidate for Honor Award 2015.
https://t.co/fOv71j3V2O
@goldenwebwall",657650964023910400
guada_marq,2015-10-23T20:20:00,@PrudentialBYC pre,657652799476334592
AGARNJ,2015-10-23T22:12:00,@PrudentialBYC is helping make a #healthier NJ by picking hot and and bell peppers for @CFBNJ,657680979289612288
jimmc4568,2015-10-24T02:18:00,@PrudentialBYC yes,657742961426362368
danielwtownley7,2015-10-24T13:34:00,"@PrudentialBYC @IsraeliPM @RickSantorumUSA  @danielwtownley7  for US SENATE WISCONSIN  (I)Tea Party, 10% all donations pledged to @Israel",657912967409762304
littlmaGGie,2015-10-24T21:46:00,@PrudentialBYC I have a hard time seeing how checking Twitter would help me get more done at work.,658036766096490496
18Unda,2015-10-25T20:58:00,"@PrudentialBYC #WhyILoveThisGame
by @Md_18undapar 

https://t.co/ha4qOvmB3A

#golf",658387296102850569
jomaryvegarosa,2015-10-26T05:47:00,@PrudentialBYC,658520321113354240
cfed,2015-10-26T18:51:00,"@PrudentialBYC @1to1Fund Yes, roger that!",658717680959115264
TrillJxke__,2015-10-26T19:08:00,@PrudentialBYC why take 110 in 2 more days..I can flip 100 to 1000 in 2 days 😑😑😑😑😑,658721793050595328
USAFootyStar,2015-10-26T21:34:00,@PrudentialBYC Proud to be featured by @VICE @VICESports https://t.co/vNAF8DFuid  for @USAFootyStar 45K views share the word #GreatStory.,658758631710662656
slytheryn_girl,2015-10-26T22:04:00,"@PrudentialBYC 
100 today",658766126348763136
jhv7,2015-10-26T23:01:00,"@PrudentialBYC Please Tune-In: Tonight Live'
The Dusty Roads Radio 5-7:pm-pacific
Music-News-Teaching
RADIO click - https://t.co/GkVNiPNeZN",658780595779055616
DCdoozy,2015-10-27T02:43:00,@PrudentialBYC in today's interest rate environment I'd take the $110.,658836373315543040
CheaperInsureMe,2015-10-27T11:33:00,@PrudentialBYC UK boss departs after two years in job - https://t.co/W2AiUsk6G2 - https://t.co/au2VouxcgX #Departing #MovingOn,658969645588701184
rcrocket1,2015-10-27T12:49:00,@PrudentialBYC liars,658988923016880129
18Unda,2015-10-27T18:00:00,"@PrudentialBYC    

Watch: Lazy Sunday Three by @Md_18undapar 

https://t.co/eJpE6TpJMH  #LazySundayThree #LazySunday #FallGolf",659067203174567936
LowRosario,2015-10-27T18:50:00,@PrudentialBYC Fairfield Rotary honoring Deputy Chief of Police Manna and Pastor Allan Conover. @jdiggyx roasting! https://t.co/1EKTIfzNQ6,659079685800873984
stoffregenPruPR,2015-10-28T14:27:00,@PrudentialBYC's @kalamarides testifying today @2:30ET to #USSenate HELP subcommittee to expand #SmallBiz #retirement coverage thru #MEPs.,659375942670950400
stoffregenPruPR,2015-10-28T18:37:00,@PrudentialBYC's @kalamarides any to testify here in #DC to #USSenate HELP subcommittee to expand #SmallBiz #retirement coverage thru #MEPs.,659438792428933124
MoniqueR_PruPr,2015-10-28T18:55:00,"@PrudentialBYC @kalamarides providing opening remarks re: expansion of ""open"" #MEPs #smallbiz #retirementreadiness https://t.co/j2tICBav5m",659443347526938624
Lbeemoneytree,2015-10-28T20:46:00,@PrudentialBYC is helping me #planrealistically and think about my financial future - https://t.co/KOlqP2GGNf #ad #Wonthappentome,659471250700546050
morganbyrne4,2015-10-29T01:24:00,"@PrudentialBYC --Sweet study. Tell me, what were ur biases? Sensitivity study? #sarcasm #epi # conflictsofinterest https://t.co/Z9iU2T3mOW",659541282566610944
paulhowey,2015-10-29T16:20:00,@PrudentialBYC thank you,659766771612798977
COHIIR,2015-10-29T20:04:00,@PrudentialBYC trying to invest in building the civic infrastructure to support social &amp; economic inclusion. #Equity2015,659823230199304192
