screen_name,created_at,text,id
LousCupcakes,2015-10-06T18:43:00,"@RBS_Help I have a letter stating that I have £47 in cashback rewards, however the website won't let me add another card to my account?",651467753518460928
Anthony_Johno,2015-10-06T20:21:00,"@RBS_Help it's alright I spoke to Emily before she sorted it she sounded fit as well ask her if she does the nudes 
AJ",651492464424001536
Marky2110,2015-10-06T22:54:00,@RBS_Help any update when Apple Pay will be available?,651530981996908544
3pfagholding,2015-10-07T09:48:00,"@RBS_Help Greeting, how we can verify a document looks issued by your Swift operator UK London, see attached thanks http://t.co/cY22tew4UC",651695700573597696
kaigadesign,2015-10-07T11:20:00,@RBS_Help ..all day. Any nearby branches staffed by humans? Might have to change bank.,651718627431948289
3pfagholding,2015-10-07T13:22:00,@RBS_Help thank you very much.,651749549858521088
rachaelscorgie_,2015-10-07T15:59:00,"@RBS_Help my account is locked, I've tried phoning RBS helpline but it's not helping in the slightest- can you help??",651788897958105089
GnuScubadog,2015-10-07T17:44:00,@RBS_Help No phone unfortunately at the moment. My post code is EH6 8LX.,651815269334020096
jdwcardiff,2015-10-07T18:42:00,@RBS_Help thank you!,651829955484106754
WILL_KNOWLTON,2015-10-07T19:01:00,@RBS_Help any reason my company can't get through to business banking or are just going for some sort of record?,651834871095144448
mezzaninedoor,2015-10-07T20:29:00,@RBS_Help not if it would be on your FAQ :(    Can you DM me the number please.  In the past cancellation has required a written letter,651856859612217344
dinnatouch,2015-10-07T20:44:00,@RBS_Help This popped up 3 times tonight every time I tried to click a link on Digital Banking. Should I be worried? http://t.co/ngfS6hmjA4,651860745152524288
mezzaninedoor,2015-10-07T21:38:00,@RBS_Help thank you,651874250719121408
rachaelscorgie_,2015-10-07T21:39:00,@RBS_Help via the app or online?,651874540566544384
rachaelscorgie_,2015-10-07T22:34:00,@RBS_Help can you dm me please - it says my customer number has not been recognised,651888246742499329
superjohnnyboi,2015-10-07T23:05:00,@RBS_Help how can a cancelled stolen card still be used a week later to make money. Help me.,651896205031698432
dinnatouch,2015-10-07T23:20:00,"@RBS_Help Not on Firefox, no.",651899952512245760
superjohnnyboi,2015-10-08T06:40:00,@RBS_Help yes its 3 contactless Payments that keep being taken. Each time I contact rbs they just say it's cancelled it shouldn't happen.,652010680577564672
llandudno007,2015-10-08T08:57:00,"@RBSGroup NO CARE here!!! Nat west checking out who 2 destroy next, never trust a bank when it looks as tho its trying 2 help!!",652045148378021888
Chrissanders13,2015-10-08T10:29:00,@RBS_Help hi there. No - you are my only bank.,652068223857348608
RandVIslington,2015-10-08T12:30:00,@RBSGroup @Expedia @Place2Be @onefinestay book your Xmas party in next 24 hours to get free Prosecco reception! http://t.co/xXa3rKkigA,652098657165148161
monty3444,2015-10-08T14:13:00,@RBSGroup What about Ulster Bank customers? Are they inferior?,652124758142808064
shantarampond,2015-10-08T14:32:00,"@RBS_Help, Applied for student A/C at Harrow Town Centre HA1, process on for 7 days - seems unnatural.What is the escalation matrix ?",652129482149601280
