screen_name,created_at,text,id
Shell,2015-10-06T08:40:00,"CEO Ben van Beurden at @oilandmoney conference “The 4 signposts for short term oil prices: the economy, OPEC, US shale &amp; capital cost.”",651315967079907328
Shell,2015-10-06T08:44:00,"""Shell is planning for a longer period of low prices. But for the longer term I see no change to fundamental drivers of oil markets.""",651316970562977794
Shell,2015-10-07T14:43:00,Join @Wired in exploring how Shell are supporting bright energy ideas -Updating the traditional stove #makethefuture https://t.co/8zwdtcEJ6N,651769717208690688
Shell,2015-10-08T22:37:00,RT @thrivewire: Have an idea that could change the world? Take it to @Shell http://t.co/4w42naW0vp via @TheSurgeEnergy http://t.co/kLBWHBGA…,652251442020020224
Shell,2015-10-12T11:21:00,6 years ago we supplied the 1st #GTL jet fuel blend for a commercial passenger flight. Do you know where it flew to? http://t.co/X06m8jZhXf,653531012484435968
Shell,2015-10-13T12:35:00,Shell to build nationwide network of hydrogen vehicle refuelling stations in Germany. http://t.co/K3ejmTNuov,653911854381707264
Shell,2015-10-13T20:49:00,"RT @washingtonpost: Army Ranger School has a groundbreaking new graduate: Lisa Jaster, 37, engineer and mother http://t.co/8IrophDv8P",654036171874398208
Shell,2015-10-14T06:37:00,@Shell Thanks for your comments. The correct answer is indeed Doha.,654184324170940416
Shell,2015-10-14T16:01:00,@Erikanson To Doha.,654326132221865984
Shell,2015-10-21T15:30:00,Is personal car ownership a thing of the past? Find out on Nov. 4. https://t.co/NIXSPGdi46,656855199714177024
Shell,2015-10-22T08:13:00,Watch how we are helping small-scale farmers in Thailand meet international sustainability standards. #Biofuels https://t.co/r44uBmXmsZ,657107419378688000
Shell,2015-10-23T15:24:00,RT @ShellMotorsport: Good luck to everyone racing across the quadruple race weekend ahead! #MalaysianGP #USGP @RallyRACC @AsiaTalentCup htt…,657578332016496640
Shell,2015-10-26T18:54:00,"Wired shows how CCS can help shape the future of energy  #makethefuture
https://t.co/gYjbxexiPC",658718485124509696
Shell,2015-10-27T08:43:00,RT @BritishMonarchy: The Queen chats with Divya Reddy of @Shell at tonight's #QEPrize2015 reception at Buckingham Palace https://t.co/hw0C7…,658927079795372032
Shell,2015-10-27T21:30:00,Shell Canada to halt Carmon Creek thermal in situ project. https://t.co/V2js6JbgWT,659120023466848260
Shell,2015-10-29T07:01:00,Shell just released its 3rd quarter 2015 financial results #ShellResults,659626118153138176
Shell,2015-10-29T07:03:00,"Shell’s Q3 2015 CCS earnings, including identified items, were $-6.1bn, down from $5.3bn in Q3 2014 #ShellResults",659626474622869504
Shell,2015-10-29T07:03:00,"Shell’s Q3 2015 CCS earnings, excluding identified items, were $1.8bn, down from $5.8bn in Q3 2014 #ShellResults",659626653937745920
Shell,2015-10-29T07:08:00,Watch CFO Simon Henry comment on Shell’s Q3 2015 results: https://t.co/9dmk0iCMWt #ShellResults,659627771002507264
Shell,2015-10-29T07:14:00,Shell CEO Ben van Beurden: “Shell’s integrated business and our performance drive are helping to mitigate the impact of low oil prices.,659629460745027584
Shell,2015-10-29T07:15:00,"“We continue to improve the operational performance of our assets, and production volumes are up.",659629683697414144
Shell,2015-10-29T07:16:00,“Costs are falling across the company and Shell’s performance drive is delivering at the bottom line.,659629853944213504
Shell,2015-10-29T07:17:00,"“The BG deal, which remains on track…is a springboard to focus Shell into fewer and more profitable themes, deep water and integrated gas.”",659630030025265152
Shell,2015-10-29T07:18:00,Download Shell’s full 3rd quarter 2015 results announcement here: https://t.co/2LYSgdn7BV #ShellResults,659630308229279744
Shell,2015-10-30T11:49:00,"RT @NatGeoEnergy: ""We're moving strongly into digital technology,"" says @Shell's Alis
a Choong including use of Big Data. #CeBITINDIA #Grea…",660060836371804160
