screen_name,created_at,text,id
PlanetCapital,2015-10-06T09:05:00,"@Shell to add 50,000bpd to #Nigeria’s #oil production- @MobilePunch http://t.co/2eFgLvMcDJ",651322288428720132
vrboss34,2015-10-06T10:17:00,"@Shell @oilandmoney sir,
Once big industrial houses shown interest in doing business in INDIA,
Course of time became dull
Regain once again",651340391069782016
Abdul_chelseafc,2015-10-06T10:48:00,Please employ me @Shell,651348379079954432
micald32,2015-10-06T12:34:00,@Shell @oilandmoney this brave new world better involve phasing out fossil fuels or you are just blowing hot air,651374975203573760
anthonypkay,2015-10-06T14:16:00,@Shell chief warns of risk of oil price spike. Also discusses key uncertainties http://t.co/PJUQjykYTo,651400759200710657
anna_handschuh,2015-10-06T14:38:00,@Shell @oilandmoney - beyond #bigoil . The (near!) future is renewable. No place for oil-Shell.,651406282868555776
YohBrian,2015-10-06T15:16:00,"@Shell shellamat malam duhai kekasiiihhhhh....*nyanyik,btw oli mesin gw selama ini pake shell,kl pas tajir pake helix kalo kere pake advance",651415725605711872
minamaya13,2015-10-06T15:32:00,"@Shell pulls out, but why #BigOil's fight for the #Arctic is not over - http://t.co/8AYuXde5Ta via @TerraMarProject",651419656851451904
AgUjidoko,2015-10-06T15:36:00,@Shell @oil pricing carbon is an effective way to incentivize low- carbon growth and lower green house gas emissions. Let's support it.,651420711685390336
ComeJetSome,2015-10-06T15:47:00,@Shell @oilandmoney by drilling oil in Antartica?,651423586184380417
Enernoj,2015-10-06T15:54:00,"Really, @Shell ? 
You called it @oilandmoney ? 
How out of touch can you get?",651425340020035586
louisephua,2015-10-06T16:16:00,@Shell @oilandmoney  #GlobalGoals http://t.co/FVXCWffX7H,651430753864056832
rbojji,2015-10-06T16:34:00,@Shell @IndianOilcl @exxonmobil @GulfOil Disruptive technology Gravity power replaces 70% oil. http://t.co/577wYykBqg,651435423110029312
AnasShuuya,2015-10-06T16:38:00,@Shell @oilandmoney cc @Ashyyazmeen,651436259131297792
Hellybaybee,2015-10-06T16:56:00,@Shell @oilandmoney pretty brave to contravene EU law and place a gas refinery so close to houses owned by Belmullet natives #shelltosea,651440954122072064
NazerFX760,2015-10-06T17:14:00,"@Shell Select , Chillin http://t.co/Ftcyxm0Oft",651445480107282432
AtoZForex,2015-10-06T19:00:00,"@Shell CEO has pointed out signs of oil recovery. Yet, the recovery is bound to be slow...http://t.co/2KChzS7m2J http://t.co/ELLUUvDCZH",651472207097556994
finchie09,2015-10-06T19:25:00,@Shell gearing towards a more sustainable future...then i suddenly miss @shell_ecomar #SEMA2015 http://t.co/1znm66lQP1,651478470061461504
elvenezolanoweb,2015-10-06T19:53:00,@Shell seguirá produciendo lubricantes en #Venezuela http://t.co/zgDrVOP30d http://t.co/48EBxw4Icd,651485465481113600
sdisponibile,2015-10-06T19:59:00,"Quote of the day 
""I see the first mixed signs for recovery of oil prices""
@Shell CEO Ben van Beurden",651486870099107842
Bossy2Boots,2015-10-06T20:13:00,"@Shell @oilandmoney Only if it's a Brave New World of RENEWABLE ENERGY - Less oil, cleaner planet!",651490551968219136
iLqisiz,2015-10-06T20:57:00,@Shell Kuzey Kutbu'nda petrol aramaktan vazgeçti. #GüleGüleShell n'olur geri gelme!,651501586133422080
crystalschaufl1,2015-10-06T20:59:00,"@Shell please explain why gas jumped .16 at your station since morning on SR52 Hudson,FL while everyone else's has stayed at 1.99 or lower?",651502067274481664
RashaadsMind,2015-10-07T05:57:00,@Shell we're trying to get the contract.,651637346044018688
IRemmylez,2015-10-07T05:59:00,@shell @oilandmoney weldone sir.may god enhance ur bravery,651638030613266433
worldsgestures,2015-10-07T06:08:00,"@Shell @oilandmoney well what's up go through my videos ndo sub
5 Things You Should Do After Upgrading to Windows 10
https://t.co/ese6PmXyiF",651640110102937600
Brownbizzy1,2015-10-07T06:18:00,"@Shell @oilandmoney A joy giving song
http://t.co/EWeEj9NZ7j
http://t.co/pwQnTmjA5E
http://t.co/ByLgrIfvWV ,enjoy# sharE",651642699527946240
FurImmerVerlo,2015-10-07T06:27:00,"@Shell @oilandmoney Tesla ,solar ,hydropower , it's not oil is it !!",651644924933246976
Eedriz_Adebayor,2015-10-07T06:34:00,"@Shell @oilandmoney  BUY FROM US,CHECK OUR STUFF AND BE HAPPY ,its FREE shipping.. VISIT. http://t.co/4Qd1JA5Vbu",651646779210002432
WreckitRAP,2015-10-07T07:20:00,@Shell Hi may i know where can i send a proposal for sponsorship? Thanks,651658455623692288
nagarajakashyap,2015-10-07T07:51:00,@Shell @oilandmoney create new energy which is zero polluting,651666217984364544
Mindset2Africa,2015-10-07T07:53:00,@Shell @oilandmoney corporate responsibility is the key,651666686614089728
pitstopmag,2015-10-07T07:56:00,@Shell #Lubricants introduces @Shell_US #ADVANCE #AX5 special oils for scooters: http://t.co/oGL4kgAQ3r http://t.co/LHYyySWdPK,651667400992002048
2DogsCaged,2015-10-07T08:37:00,"@Shell @oilandmoney who would believe a post like this from an OIL COMPANY!  1000's of likes, hundred's of RTs!  Lambs to the slaughter!",651677760826400768
serafinavicius,2015-10-07T08:43:00,@Shell CEO sees first signs of oil price recovery | Offshore Energy Today http://t.co/YvRd4fMxBN,651679102844407808
EarthHourAndy,2015-10-07T18:18:00,@Shell @oilandmoney it feels wrong because it is wrong - sadly unauthentic about the challenges and its strategy,651823869150523396
neil_colin,2015-10-07T18:34:00,@Shell Club card is no longer reading. How do i transfer my points to a new card,651827907338309632
JamesNeophytou,2015-10-07T19:14:00,"@Shell: Hello Watson, should we continue or should we stop drilling in the Arctic?

@IBMWatson: .... 

To be continued...",651837975232401409
ayoungmountain,2015-10-07T19:53:00,( @WIRED ) - @Shell is one of the most evil and damaging institutions humanity has ever created. Get the fuck off my timeline. Shame on you!,651847724229226497
MEBriefing,2015-10-07T20:20:00,@Shell @oilandmoney  #Saudi-#Russian #Oil Dialogue After #Syria http://t.co/VjrYdPAVH6,651854567240519680
0ldB0y,2015-10-07T21:54:00,@Shell @oilandmoney Seriously?,651878287564767232
danielmkerr,2015-10-08T03:22:00,@Shell @WIRED where can I buy one so I can lower my footprint within my existing environment.. Where energy is vibrant!?,651960832608313344
Davidatwp,2015-10-08T08:25:00,@Shell Poland Country Head Piotr Dziwok opens the #LGBTKrakow LGBT Symposium @WorkplacePride http://t.co/vaMHC3Qih5,652037084895670272
jackson0097,2015-10-08T12:12:00,@Shell @oilandmoney I need a job. Graduate of environmental biology.,652094330769907712
