screen_name,created_at,text,id
resolvercouk,2015-10-14T04:07:00,@Ryanair Nudge reminder - your customer has an issue that needs a response: RES056209,654146374078963712
Broondog,2015-10-14T06:34:00,@Ryanair I have a return flight booked this Friday rtn Mon. I cannot use the outward leg but I can the rtn sector. Is this possible?,654183520345137153
love2holliday,2015-10-14T07:30:00,@Ryanair how many times would you like me to send it I have sent it to you numerous times on here &amp; email here it is again  890231/YP6FGN,654197461460905984
love2holliday,2015-10-14T07:32:00,@Ryanair I keep getting told it will be sent to customer service problem is they are hopeless too and nothing gets sorted 3months is a joke,654197999967563776
Coatesy_89,2015-10-14T09:29:00,@Ryanair you dos this to me last year Ryanair and I ended up paying double! Can someone please contact me,654227620863844352
JayneMurkin,2015-10-14T11:28:00,@Ryanair @hobbs_samantha happened to me flying 30th had to change airport transfer inform hotel and lift to Bristol bit of a pain,654257473357004801
revistgranhotel,2015-10-14T11:45:00,@Ryanair crecerá un 15% en pasajeros en Barcelona en el verano de 2016 - http://t.co/tnmBBPMgKp,654261669128990720
johnny_chrome,2015-10-14T13:08:00,@Ryanair FR633,654282618385661952
MrsJenMcDonald,2015-10-14T15:04:00,@Ryanair HELP PLEASE!! Flying to ACE on 25/10/15 &amp; advised of a baggage handling strike at airport on this day - how will this affect us?,654311757297647616
Isejael,2015-10-14T16:23:00,"@Ryanair hello, I have not.",654331797988352000
JayneMurkin,2015-10-14T17:13:00,@Ryanair Just read the baggage handlers are going on strike ace airport ..i fly out 30th for a wk Wil we b affected.and is this why the,654344373560320000
JayneMurkin,2015-10-14T17:22:00,@Ryanair thank you so glad 😃✈,654346447639457792
Y2Gray1895,2015-10-14T19:32:00,@Ryanair I have a flight at 6.30am Fri. I need to check a bag. What time should I arrive? It's Dublin Airport.,654379374817488896
DoakeyP,2015-10-14T21:26:00,@Ryanair any known fixes for iOS 9 passbook error? See picture http://t.co/zEtZiO7ghJ,654407840933781504
Vimoro69,2015-10-14T22:20:00,"@Ryanair No dudó ni 1segundo en decidir, sin tener en consideración q son niños q se quedan tirados en el aeropuerto http://t.co/lhu9jbKqLt",654421579363954688
simcfc32,2015-10-15T06:24:00,"@Ryanair Minutes whilst making them an hot drink, pretty sure you have to keep it closed during the flight, not leaving it wide open",654543360913469440
Vimoro69,2015-10-15T07:20:00,"@Ryanair No deja volar1equipo d Béisbol Alevín y sí permite q maletas vuelen. Norma d seguridad,al volar maletas sin dueño👎
@rafaleonortega",654557327249567744
chostkdwexford,2015-10-15T08:45:00,"@Ryanair thanks for quick reply,  just tried the website instead of app and it worked,  all done now thanks",654578932122013696
contigiusy,2015-10-15T09:13:00,@Ryanair Mi farebbe molto piacere se prendeste in considerazione la rotta Manchester- Trapani oppure Manchester -Palermo.,654585832179920897
bfsdavidt14,2015-10-15T09:14:00,@Ryanair Booking reference BGQIXL can you uncheck me in please as I need to make changes :),654586007178858496
JayneMurkin,2015-10-15T10:42:00,@Ryanair another q my flight times hav changed so have to reprint boarding passes and transfer..is it likely to change again as i have to go,654608388463198208
JayneMurkin,2015-10-15T10:43:00,@Ryanair to the library to do it fr4755 30October,654608528682971136
TomC5991,2015-10-15T11:16:00,"@Ryanair OK that's fine, but I can take more than one in my hand luggage?",654616805298802688
mandymoo60,2015-10-15T11:30:00,@Ryanair I have emailed phone them no one answers my calls  I desperate to get this back there's photos of my grandchild that's died,654620405836201984
C_Hoenderkamp,2015-10-15T12:33:00,"@Ryanair what happens at Pisa Airport? Sister delayed to GRO, me to EIN?",654636279301308416
Independent_SCO,2015-10-15T13:27:00,"@ryanair - is the truth you are starting a new route to this newly discovered destination?

http://t.co/ltJRK52XJF",654649770284183553
Cazl0707,2015-10-15T14:24:00,@Ryanair Can you confirm if you can take a small cabin sized suitcase AND a laptop bag onboard please.,654664263278002177
tonysentinella,2015-10-15T14:48:00,@Ryanair your 'support agent' Victor is just letting me know that the attached image is your cancellation policy... http://t.co/cCX8NzGFEV,654670082602237952
tonysentinella,2015-10-15T14:49:00,@Ryanair i think i'm going to go to the media about this. the way i'm being spoken to is quite preposterous...,654670412517806080
Zdenka_Val,2015-10-15T14:50:00,@Ryanair I've 15kg added bag for my flight but want to change it onto 25kg.Can I pay difference via online check in?,654670812109082625
igorriccelli,2015-10-15T15:35:00,"@Ryanair 10 minuti d'attesa sotto la pioggia prima di salire. Più che low cost, che oramai cost!, qui è low quality! http://t.co/eiaGGpmKV5",654681957683433472
mandymoo60,2015-10-15T15:55:00,@Ryanair does anyone at ryanair care,654687077393543168
Pa3py,2015-10-15T18:14:00,"@Ryanair again one week passed by and despite a request of DM , no more reaction on my claim. Super customer centric approach !!!!! #shame",654722084254298112
_Meganryan,2015-10-15T18:27:00,@Ryanair Is there any chance you can wait for @FinianGreen to arrive before your 19:40 flight to Bristol takes off? @Aircoach 's fault!,654725268578299905
Lizziesanderson,2015-10-15T19:21:00,@Ryanair do u know how long the delay on the 19:50 stansted to Pisa is?,654738979980357632
RVHTV,2015-10-16T05:36:00,@Ryanair @domifiebig next friday you have a new picture😉 Eindhoven - Heraklion✈ http://t.co/MNExsr4KhJ,654893761235914753
acarrette,2015-10-16T06:23:00,@Ryanair un racket de 4*45 euros  de frais supplement a beauvais a cause d'une information client pas claire: bad 1st experience with you,654905532206202880
SurfiSteve,2015-10-16T09:14:00,@Ryanair where do I go to get my receipts from purchases made on a flight ? Thanks,654948509011980288
jonnyfirman,2015-10-16T10:34:00,@Ryanair #ryanairphotofriday this was our amazing view over the Pyrenees last Saturday on our way to Ibiza 😊 http://t.co/iEqjw1V3oC,654968708952100865
SurfiSteve,2015-10-16T10:34:00,"@Ryanair DM sent, thanks",654968601737371648
SurfiSteve,2015-10-16T10:38:00,"@Ryanair error message says ""oh your payment has been declined. We can't save these card details. Please try another card.",654969586295685120
HVaerendonck,2015-10-16T10:46:00,@Ryanair allemaal goed en wel maar nu staan we hier bij nen drukker om ticketten uit te printen.,654971652053291008
micheconn,2015-10-16T11:04:00,@Ryanair positive vibes heading to Cardiff #RWC2015 🍀🍀🍀 http://t.co/vpbuNlJVId,654976313871212544
karbray61,2015-10-16T11:37:00,@Ryanair yes and they agreed payment on 8th september 907683 is your ref,654984425864896512
Amer_Air,2015-10-16T13:42:00,.@Ryanair Needs more photos of those whiner @SecretaryFoxx @FAANews NextGen victims! Tell parents just move kids! http://t.co/4TdTMFqkeH,655015942301327360
love2holliday,2015-10-16T18:28:00,@Ryanair I really need some help...you lost my case 3 months ago. I keep getting told customer service will get in touch...they don't,655087981922000896
visitsalou,2015-10-16T18:45:00,@Ryanair confirmó ayer su intención de aumentar el número de vuelos desde el Aeropuerto de Reus el verano de 2017 @ReusAirport #Salou,655092319490809856
Awesome_Maeve,2015-10-16T19:19:00,"@Ryanair for 20 minutes, send them to the back but then let everyone else in the wrong queue to just merge in front of you!! #beauvais #grrr",655100752248053761
resolvercouk,2015-10-17T04:50:00,@Ryanair Nudge reminder - your customer has an issue that needs a response: RES062211,655244568913408000
m__a__w,2015-10-17T12:42:00,"@Ryanair Many thanks, exactly what I was looking for :)",655363338063499264
HannsDieter,2015-10-17T12:48:00,@Ryanair yesterdai I wrote a complaint to your mail adress. Today I get unsolicited spam emails. This is illegal under EU law. Stop it!,655364744912773120
philce,2015-10-17T17:14:00,@Ryanair Just boarded at BHX to BTS. Why was I charged for priority boarding when non priority were allowed to board? 1/2,655431743529492480
philce,2015-10-17T17:16:00,"@Ryanair When the despatch staff were asked they said ""language difficulties"" not happy having paid for this. Why should we bother??",655432103786598400
Rbreplicas,2015-10-17T17:21:00,@Ryanair hi we have a flight Tim from Dublin at 21:45 to stansted is there a way to get the earlier flight??,655433589727866880
Rbreplicas,2015-10-17T17:49:00,@Ryanair ok great is there an extra cost? Who can I call? We are checked in !,655440498518269952
Rbreplicas,2015-10-17T17:59:00,@Ryanair we are flying Tom 21:55 but just want to do the earlier flight,655442957403881472
WendyEnnifer,2015-10-17T20:14:00,@Ryanair test,655477007841632256
keithbrunt,2015-10-17T20:20:00,@Ryanair fr5775,655478465953726464
Get_P_Here,2015-10-18T06:55:00,@Ryanair first person to use the facilities on our flight as stuck on stand @ stansted &amp;it's not been cleaned. Ones &amp; twos all over! #filthy,655638413908029441
lukefitz,2015-10-18T09:46:00,@Ryanair any chartered flights to Sarajevo on the cards? Don't fancy the 7-hour route via Zurich!,655681267820838912
WendyEnnifer,2015-10-18T10:46:00,@Ryanair yes bag confirmed as lost after tracking failed to locate it!,655696356040974336
