screen_name,created_at,text,id
LeonardoBorrero,2015-10-07T04:02:00,@SABMiller shares drop on fears over @ABInBevNews takeover. fact based or speculation? #beer #beverage http://t.co/7uQmoPXMiU,651608394378272768
SmartBetaUK,2015-10-07T08:51:00,@SABMiller SABMiller says it has received a takeover offer of £42.15/share from AB InBev  which it will assess. http://t.co/SXdBrjREX0,651681253452840960
Nien_Nunb,2015-10-07T10:51:00,@SABMiller DON'T SELL OUT TO THE ENEMY,651711365262893056
cozzy007,2015-10-07T11:44:00,@SABMiller don't let AB InBev ruin these #BreweryTours #UCTBAG #OomJan #ABMustFall #SayNoToCarlos http://t.co/8vmsJZ5TZW,651724741481525249
BloombergTVInd,2015-10-07T12:07:00,@SABMiller rejects Ab Inbev offer of GBP 42.15/share.,651730475191504896
RcasadoRoberto,2015-10-07T12:26:00,@SABMiller rechaza la opa de 92.000 millones de euros de @Budweiser. Intenta llegar a los 100.000 millones #beer,651735234258567169
LuMasito_,2015-10-07T12:45:00,@SABMiller shouldnt sell to AB InBev,651740045276246016
UnknownFlyBird,2015-10-07T12:48:00,@SABMiller don't sell,651740981604302848
Cartmanesque,2015-10-07T14:14:00,@SABMiller drills #HighLife in AB InBev's goddamn face. #business  #DrillBabyDrill  https://t.co/4cZyqNDj1B,651762561990414336
guycrichton,2015-10-07T14:48:00,@SABMiller Hansa Pilsner! 20+ yrs and still my undoubted choice! #kissofthesaazhops,651771179259285504
sipandnosh,2015-10-07T15:37:00,@SABMiller rejects $104B takeover offer from #ABInBev.  #BeerAcquisitions #BigBeer #beer http://t.co/sW3hahb8IS,651783412517203968
padamoto,2015-10-07T16:43:00,"@SABMiller and @ABInBevNews , a ""case"" of quality over quantity",651799959054995457
Time4Sammy,2015-10-07T21:50:00,"@SABMiller sure hasn't ""removed 'no'"" from their vocab. Nice work 
@AnheuserBusch 3rd attempt ... no means no, bro
http://t.co/GBRpfEyYIY",651877276548747264
DolphZiggler,2015-10-07T22:40:00,@SABMiller I'm raising money for Multiple Sclerosis emergency help !. Click to Donate:  https://t.co/EdLHWkKnMj via @gofundme,651889822915784704
tyshiatorres,2015-10-08T02:59:00,@SABMiller rejects 3rd offer from #ABInBev; a $103.6 bn bid. Via  @NPR http://t.co/A3iATsErXq,651955062483329024
TimoGomez,2015-10-08T04:54:00,@SABMiller rejects @ABInBevNews $104 billion takeover approach (via @Reuters) #ABInBev #SABMiller http://t.co/XCyMO1Bwvv,651983871798448128
JimMooreIndyBiz,2015-10-08T09:30:00,@SABMiller right to reject InBev's cynical takeover proposal. My first Outlook column http://t.co/DebuXAalor,652053376335781888
TheBardo75,2015-10-08T13:16:00,@SABMiller @CervezaAguila @BAVARIA_SA @BluRadioCo caso Barranquilla 2013 Beer con hongo y Moho http://t.co/Hsd7sZI861,652110394639667200
AnibalLindao,2015-10-08T14:58:00,@SABMiller Messrs SABMiller is time to make your affiliate Cerveceria Nacional in Ecuador meets statement and pay its former employees,652136022940102656
AnibalLindao,2015-10-08T15:04:00,@SABMiller Messrs. SABMiller is time that its subsidiary in Ecuador National Brewery comply with the ruling and pay its former employees,652137472541917184
C0BARREC,2015-10-08T17:41:00,@SABMiller hacer siempre lo mismo no se va a cambiar nada y se deben hacer cambios rápidos #TransformacionDigital http://t.co/FAVbxZ4asw,652177038783180800
StrategicFMCG,2015-10-08T20:34:00,@SABMiller rechaza la tercera oferta para cerrar acuerdo con #ABInBev http://t.co/YVbQHieYu4,652220466267074560
maxrafaelwaller,2015-10-09T01:34:00,@SABMiller SABMiller Rejects Increased Bid From Anheuser-Busch @AnheuserBusch @ABInBevNews @ABInBevUKI_News https://t.co/hJ1hgA8yTy,652296118168977410
awytsang,2015-10-09T06:22:00,@SABMiller won't be livin' the high life! @business  https://t.co/FKEM2TaKxJ,652368529954578432
IW_Financial,2015-10-09T14:37:00,@SABMiller hopped up on cost-cutting in light of #brewing takeover by AB InBev http://t.co/zMhDH7LrM8,652493192919695361
stlbizdrevah,2015-10-09T16:00:00,@SABMiller to meet with investors in midst of @AnheuserBusch InBev takeover attempt http://t.co/7YBk8XCeJE #beer #acquisitions,652513970268430336
NdunguWainaina,2015-10-10T16:54:00,@SABMiller The company can do great beer business in Kenya if it adapts to aggressive targeted marketing. Am your long time customer,652890080311275521
_ACRV_,2015-10-10T21:27:00,@SABMiller rechaza la tercera oferta para cerrar acuerdo con #ABInBev http://t.co/J2o0Tjnw1B,652958715902074880
meandlewis,2015-10-11T20:31:00,"@SABMiller are builders, beer lovers and the #worldslocalbrewer  http://t.co/Xgbiu0HtAM",653306893947932672
