screen_name,created_at,text,id
fishisthedish,2015-10-14T16:02:00,"@sainsburys These are reminding us of our holidays, delish!  #seafoodweek",654326329932935168
neiloboe,2015-10-14T17:23:00,@sainsburys Really not sure why it needed 16 carrier bags to deliver this online shopping order! #1bagperloaf http://t.co/lIGap2mTfj,654346743300141056
Allisonliddle,2015-10-14T18:39:00,@sainsburys @tu_clothing @therealgokwan @sunderlandnorth #n04js #fashionshow #fashion #halloween @saralouise2297 http://t.co/EcBgPNTCIC,654365874242125825
clairebeelou,2015-10-14T19:26:00,@sainsburys hi. Are there problems with online groceries as i cannot book a delivery slot.  Thanks,654377714393194496
CarlyStar23,2015-10-14T19:37:00,@sainsburys selling out of date @MARS_Chocolate @GalaxyChocolate chocolate!!?? Bought this today. Cheers guys 😐 http://t.co/1gP6XYxS4B,654380536820068353
CarlyStar23,2015-10-14T19:56:00,@sainsburys the South Ruislip store,654385259111403520
kurls1899,2015-10-14T20:11:00,@sainsburys Tamworth store is awful! Can't complain online because your website is appalling! Senior management should resign or get sacked.,654389161248616453
fierceblair,2015-10-15T07:48:00,"@sainsburys hi there I'm not able to progress from the ""confirm your location"" page on your jobs site is there a problem with the site? :)",654564437005893632
lydfp,2015-10-15T13:02:00,@sainsburys #ChildrensBookAwards,654643631538761729
StuartSmith44,2015-10-15T14:37:00,@sainsburys Portswood Southampton. #JusticeForStuart http://t.co/gtQC5wIrqN,654667501242990596
Gerbera4U,2015-10-15T14:44:00,@sainsburys Brilliant competition. Thank you very much. I am a follower and have RT this message. Good Luck everyone! #childrensbookawards,654669124233072640
fishisthedish,2015-10-15T16:04:00,A great oppor-tuna-ty for some seafood @sainsburys! #seafoodweek,654689388597669888
squeezymcgee,2015-10-15T17:07:00,@sainsburys any idea why the bread I had delivered today is dated tomorrow when online ordering says 3+ days shelf life? Not much use to me.,654705163047825408
witherstorm,2015-10-15T17:12:00,@sainsburys Hankridge are over charging on coffee http://t.co/NdZLFaGm5h £50 not £59.This is also discontinued! http://t.co/A0ndWHu44l,654706372949360640
Mummy_Diaries,2015-10-15T17:47:00,"@sainsburys I have found a creature in my porridge oats... I am not impressed, need to be sick 😖😷😱 http://t.co/Falm5Kjvrk",654715170665529344
HayleyJudge82,2015-10-15T17:59:00,"@sainsburys Hi Cheryl, it's was Attleborough store http://t.co/YpATVx179F",654718359041257475
Beekirbyhive,2015-10-15T18:22:00,@sainsburys when did chicken be a veg? It was all over my store made veg suprme pizza.  I am a veggie...thanx for making me sick #nothappy,654724038518898688
willshine81,2015-10-15T19:17:00,@sainsburys please please  can you start selling @QuornFoods gluten free sausages?,654737808263770113
TwitchingWitch,2015-10-15T19:22:00,@sainsburys I've a triple points voucher which I got after an online shop but can't seem to use the code on next online shop? Instore only?,654739199753478144
londongal50,2015-10-15T20:04:00,@sainsburys sadly not,654749788592705536
06gatesl,2015-10-15T20:38:00,@sainsburys 01695878 it's from Sainsbury's Odd Down in Bath http://t.co/72JAOQAEDz,654758298462253056
witherstorm,2015-10-15T21:29:00,@sainsburys hi - it was this morning at 7:50am.,654771134462754816
Mummy_Diaries,2015-10-16T08:24:00,@sainsburys he advised I try to make myself sick and then seek advice from my doctor ad offered me a £10 gift card...,654935834303582208
HariMountford,2015-10-16T09:04:00,@sainsburys  - 3 weeks in a row my #milk has jellified at least 4 days before BB date. Most disappointing when I go to make a morning #cuppa,654946068019453952
HariMountford,2015-10-16T09:39:00,@sainsburys I'll see if I can find it (its in its rightful place in the #bin currently),654954729122959360
Bilts84Mark,2015-10-16T10:12:00,"it's the one on Commercial Road E1, the tears rolled down my face as they are usually such a delight @sainsburys http://t.co/Hvs87HTRah",654963060747186177
Treacs99,2015-10-16T11:54:00,@sainsburys just wanted to say how helpful Hannah Cousinau was on your customer service for banking  today following an error on my account,654988686145228800
eekamouse5,2015-10-16T12:02:00,@sainsburys Surbiton local by the station. They've been looking sadder for the past week or so.,654990809637494784
SpokesmanAlerts,2015-10-16T12:08:00,"@sainsburys ""A law unto themselves, no customer service, no replies"" Reply to your customer on: https://t.co/jIMqZmjGK1",654992329061834753
Leecassingham,2015-10-16T12:37:00,@sainsburys bought in store at Monument Station,654999726807498753
beckitaylor85,2015-10-16T12:45:00,@sainsburys lordshill or Shirley Southampton x,655001696569942017
