screen_name,created_at,text,id
aaiafrica,2015-10-06T22:04:00,"@SAP to bring digital #literacy to 20,000 #youth with #Africa Code Week. http://t.co/Wfu0uR0yUH",651518307573608448
edittman1,2015-10-07T03:40:00,@SAP you mean we avoid them and use ecommerce sites with free shipping and free returns? #amazonprimeftw,651603074440540160
ITChamps_SAP,2015-10-07T07:00:00,@SAP #HANA Benefits of Real Time Analytics http://t.co/Q5iStThkNz,651653318364655616
JovieSylvia,2015-10-07T07:00:00,@SAP #HANA Benefits of Real Time Analytics http://t.co/jCoukxPwky,651653307010805760
ITChamps_SAP,2015-10-07T07:00:00,@SAP #HANA Benefits of Real Time Analytics http://t.co/RikVlrub51,651653306624950272
ITChamps_SAP,2015-10-07T07:30:00,@SAP #hana #datawarehousing #benefits - http://t.co/4nsalYkcYR,651660833156689920
ddtulsiani,2015-10-07T12:02:00,@SAP Process to educate maximum people don't need to depress,651729252535042048
fmisbell,2015-10-07T15:16:00,@SAP session Digital Economy Dinesh Sharma VP Marketing @DukeFuqua #DukeDisrupts2015 http://t.co/dqs9FzpXze,651778203363733504
fmisbell,2015-10-07T15:49:00,@SAP customer - Dubai construction realtime asset allocation &amp; control @DukeFuqua #DukeDisrupts2015 http://t.co/kfCcveVksN,651786360890753024
wesleyrhonorato,2015-10-07T17:02:00,"@SAP Startup Focus Program For ME Innovators
http://t.co/zxhUm9tpFV",651804808647712769
siddhukolappan,2015-10-07T17:42:00,@SAP @aErriade @wtvox @JasonOglesby @aspringer84 @ValaAfshar searching for ur #IoT use case? @kaartech http://t.co/62Iy9aRVk7  #GoDigital,651814989968355328
rlivney_granger,2015-10-07T19:09:00,"@SAP helped @ConAgraFoods reduce forecast cycle times from 6 wks to 2-3 wks, enabling customer &amp; product profitability #BP4CP @SAP_CP",651836884692389888
itelligence_US,2015-10-07T21:00:00,"@SAP announces Project Orca, a new native #analytics tool for the SAP HANA cloud platform coming in Q4 http://t.co/9ETyUiWgk3",651864722359386113
SAPNorthAmerica,2015-10-07T21:01:00,@SAP helps @VELUX #runsimple. Learn how and read other inspiring customer success stories: http://t.co/121e9QZfrl,651864826340331521
SAPMEblog,2015-10-07T21:58:00,@SAP The Complete @SAP #UI 5 Overview http://t.co/egT9T97zj3,651879253156438016
SAPMEblog,2015-10-07T22:04:00,@SAP The Complete @SAP #UI 5 Overview http://t.co/egT9T97zj3,651880810778337280
SAPMEblog,2015-10-07T22:10:00,@SAP @OpenStack @cloudfoundry The Complete @SAP #UI 5 Overview http://t.co/egT9T97zj3,651882342617890816
ScottSelanne,2015-10-08T00:13:00,"@SAP @WorldHealthSmt you can let him know when my company changed from @OracleJDEdwards to SAP, it ruined my blood pressure.  Worst ERP",651913357981646848
AfricanMediaAge,2015-10-08T06:51:00,@SAP provides smart and simple presents new paradigm shift for utilities  #InnovationDay #Africa #technology http://t.co/6a7woykhHt,652013356182843392
just_Marcos,2015-10-08T10:29:00,@SAP They took our jobs http://t.co/xsCT1MgUfn,652068332917669888
Adamelque,2015-10-08T12:07:00,@SAP será,652093004157726720
wallacebandeco,2015-10-08T13:34:00,@SAP people week 👏👏,652114798197538816
