screen_name,created_at,text,id
stwater,2015-10-06T19:10:00,"@EmblingHannah Sorry about this are you able to DM me your details and I will have a look into it? Thanks, Gemma",651474618029576192
stwater,2015-10-06T20:35:00,@Matt_P80 Really sorry to hear that. Can you DM me your address details and I'll get a waste team to you as soon as possible? Thanks Andy,651495952398860288
stwater,2015-10-07T07:20:00,"@ScholeyPauline Hi, yes we are aware of a problem with one of our Boosters, we have a team en route to resolve this. Jo",651658232352632832
stwater,2015-10-07T07:23:00,"@rutland_radio Good morning, yes we have an issue with one of our Boosters, we have a team en route to investigate. Thanks Jo",651659117820551168
stwater,2015-10-07T07:24:00,@ScholeyPauline No problem. Apologies for the inconvenience this has caused. Jo,651659313015033856
stwater,2015-10-07T10:30:00,"@GarnersAntiques I've spoken to the team, we're working as hard as we can &amp; hoping if all goes to plan the water will be back on by 3pm. Jo",651706064560345088
stwater,2015-10-07T11:03:00,"@RutlandNed Hi, if you take a look at the following link, it should clarify the location of the issue: http://t.co/lEjPGLSeeq Thanks Jo",651714385665245184
stwater,2015-10-07T11:28:00,"@HibbsA Lucky You! That is great, enjoy spending it. :0) Jo",651720870105350144
stwater,2015-10-07T15:37:00,That's it from us we are leaving you with the lovely Ria and Holly for the rest of the evening. :0),651783387783499776
stwater,2015-10-07T18:59:00,"@abstractLucas Just to let you know, I spoke to one of our business leaders who confirmed 1/2",651834253416787969
stwater,2015-10-07T20:14:00,"@cb2547 Hello. Our engineer attended on 24/8 - Can I DM you to discuss the feedback? Thanks, Andy",651853175234936833
stwater,2015-10-08T07:25:00,@Usman_2001 Good morning. :0),652021972914864128
stwater,2015-10-08T15:32:00,"That's it from us, we are leaving you with Ria and Holly for the rest of the evening. :0)",652144449120698368
stwater,2015-10-08T19:20:00,"@LaurasiPhone Sorry about this Laura, can you please DM your address and contact number and we can look into this - Sonia",652201912448778245
stwater,2015-10-08T20:07:00,"@jwills1884 If you could DM us your account details, name, address and contact number we'll get that sent to the team. Thanks, Gemma",652213721666846721
stwater,2015-10-08T20:39:00,"@siramiff Or if you can follow us then I can send you some more information in a DM? Thanks, Andy",652221686469783552
stwater,2015-10-09T13:59:00,RT @WaterAidUK: And we're off at the @WaterAidUK Supporters' Day with the @stwater choir. Beautiful! #WASD15 http://t.co/xkFUVNACYa,652483535618576384
stwater,2015-10-09T15:23:00,@BenjamKent Well done :),652504564726370304
stwater,2015-10-09T15:31:00,"Time for us to leave, but fear not you have Holly for the rest of the evening. :0)",652506562238545920
stwater,2015-10-09T16:21:00,RT @WaterAidUK: @stwater Big congrats to Tony Ballance and all at #severntrent for incredible @WaterAidUK fundraising! #WASD15 http://t.co/…,652519195352145920
stwater,2015-10-09T17:46:00,@1VickE1 Hi - please can you DM your full address and I'll look into this for you. Thanks,652540692665868288
stwater,2015-10-09T19:00:00,That's all from me. I'm handing over to Gemma and Sonia now. Just tweet if you need anything. #HereToHelp :),652559207175204864
stwater,2015-10-09T19:35:00,@matthewjdavey 2/2 special time was disturbed.  Sonia,652568059539005440
stwater,2015-10-10T07:36:00,"@sarah41lou Sorry about this, can you DM me your name and address with post code so I can look into this for you please? Thank you",652749539745644544
stwater,2015-10-10T09:24:00,"Customers in LE14 area, Leicester/Melton Mowbray/Asfordby experiencing poor pressure/no supply we're aware of an issue &amp; working to resolve.",652776792248426496
stwater,2015-10-10T11:43:00,"@pitthousedmu I wish I could :) Thank you for reporting it to us, we really do appreciate it!",652811714279440384
stwater,2015-10-10T12:17:00,"@JoeJoenoble Hi, I'm really sorry we've a burst water main, we're on site carrying out a repair. Sorry for the trouble this has caused. Jo",652820359331348480
stwater,2015-10-10T12:26:00,"@Jenschy Hi, I'm really sorry about this, can you please DM me your address details so I can look into this for you? Thank you.",652822398601924608
stwater,2015-10-10T13:39:00,"@ShonkiBob No problem, as soon as I have further information I will come back to you.Jo",652840786984308736
stwater,2015-10-10T14:11:00,"Customers in LE14, we have teams working hard to restore supply to those affected by the burst. please see link: http://t.co/qMbPU4fRaf",652848929910976512
stwater,2015-10-10T15:22:00,"@NathanHobill @Jenschy Really sorry about this, the teams on-site are working hard to get the water back on.",652866874317926400
stwater,2015-10-10T15:28:00,"@NathanHobill @Jenschy I am really sorry, for the inconvenience this is causing you. Jo",652868437467901952
stwater,2015-10-10T15:36:00,"@NathanHobill Hi, your water should start to come through very soon, if not already. Repair has been complete and pressure building back up.",652870281304870912
stwater,2015-10-10T15:38:00,"@NathanHobill You're welcome, really sorry for the interruption.",652870897053925376
stwater,2015-10-10T15:40:00,Supplies in #LE14 should be coming back on now. Repair complete and pressure is building back up. Really sorry for those customers affected.,652871250818240512
stwater,2015-10-11T15:38:00,"That's it for us for today, we are leaving you with Sufeena and Russell. Tweet if you need them. :0)",653233274442117120
stwater,2015-10-12T06:56:00,"Morning all! Justine &amp; Ria here today, if you need anything just drop us a tweet! :)",653464209603358720
stwater,2015-10-12T07:10:00,"@PaulWhiteside4 Hi, if there's anything we can help with, please DM us. Thanks",653467743107346433
stwater,2015-10-12T07:13:00,@LeamingtonSBC Maybe that's one for Santa Clause! :),653468637920145408
stwater,2015-10-12T07:27:00,@PaulWhiteside4 Hi - I'm sorry to hear this. Our team have attended and we'll be carrying out a repair as soon as we can.,653472096132165632
stwater,2015-10-12T12:06:00,RT @baggiegrant: Glos College 5 Acres campus in Hayden to plan their own Water Saving Project #savingwater @stwater @GC_vol_projects http:/…,653542336832622592
stwater,2015-10-12T12:36:00,@SkyBlueStacey Hi - We've attended and our team will carry out the repair as soon as we can. Thanks.,653549716454678528
stwater,2015-10-12T15:00:00,"#FourCrossesSTW From 13 Oct, access to and from Foxen Manor Estate will only be available from The Creamery direction in Four Crosses-thanks",653586033469165569
stwater,2015-10-12T17:59:00,@AdamLopez1586 Hi - please can you DM me your full address so I can look into this for you? Thank you,653630979026911232
stwater,2015-10-12T18:59:00,That's all from me. I'm handing over to Rich and Russell now. Just tweet if you need them. #HereToHelp :),653646286722347008
stwater,2015-10-12T20:23:00,"@WiteWulf Hi Sorry for the noise, if you DM me your address and post code I will try to find out what's going on?  Paul",653667313355464705
stwater,2015-10-12T21:16:00,"@WarrenGway It's busy road I am told, just glad we can fix before the weather turns colder as you say, have a good night and thanks.  Paul",653680751528013824
stwater,2015-10-13T07:08:00,"Good morning, Jo and Ria here to day, tweet if you need us. #HereToHelp",653829729271873540
stwater,2015-10-13T12:03:00,@bobbyshort Hi - please can you DM your full address? I'll check for any area issues. Thanks,653903796448440320
stwater,2015-10-13T13:03:00,RT @paulntingle: @ChaddesleySch this morning for 180 child assembly and workshop with yr6 pupils. @stwater #savingwater  #3P's http://t.co/…,653918926817107968
stwater,2015-10-13T16:57:00,@WaltiePaulnuts Sorry to hear that :( We really do try to provide the best service we can. Let me know if there's anything I can do to help?,653977775611740161
stwater,2015-10-13T16:57:00,@GOMEDZAJack That's great to hear :) Thanks for the compliment.,653977868398133248
