screen_name,created_at,text,id
NickJenko01,2015-10-14T20:10:00,@SkyHelpTeam quick question - should it take longer to download an SD programme on catch than the length of the actual programme itself?,654388834759745536
theking1534,2015-10-14T20:27:00,@SkyHelpTeam any reason why you are irgore me,654392986558726144
MichaelWCCA,2015-10-14T20:38:00,@SkyHelpTeam losing the will to live how you guys keep cocking up my multi room that I ordered back in August. Mis-led over and over again,654395791457546241
theking1534,2015-10-14T20:39:00,@SkyHelpTeam @daryil_andrew please someone answered my question,654396031765975040
theking1534,2015-10-14T20:47:00,@SkyHelpTeam I have been a sky customer for 27 years and I have never ever been irgore from sky,654398060370493440
mais_pearce,2015-10-14T20:51:00,@SkyHelpTeam @maisie_xxx,654399090202136582
AdamMeyers88,2015-10-15T04:27:00,@SkyHelpTeam Having extremely low internet speeds to the point of dropping out in the Tooting area of london....has been going on for awhile,654513915334930432
sassmikey,2015-10-15T06:37:00,"@SkyHelpTeam morning, for the past week I haven't been able to send snapchats while on your wifi",654546643874918400
grumpstrbot,2015-10-15T07:00:00,"@skyhelpteam You're #trending https://t.co/fRrYCJ2Jl8 for #poorservice and #complaints, #reply here:- https://t.co/L5yWhnFK8f",654552423860715520
ihavenomouth,2015-10-15T07:02:00,"@SkyHelpTeam am getting high ping + low speeds since wknd in S London. Any known issues? Normally 10x speed, 15ms http://t.co/i2S86zFqUo",654552999809937412
mckeeg11,2015-10-15T10:19:00,@SkyHelpTeam any chance of the online chat connections working? Been trying for an hour now,654602609970573313
hashtagcc,2015-10-15T11:51:00,@SkyHelpTeam why can I not watch arrow season 4 episode 1 via catch up on the Now TV app?,654625542243774464
charliewhite20,2015-10-15T14:13:00,@SkyHelpTeam Thanks for (not) responding to my earlier tweet!,654661426653499394
lighthouseahoy,2015-10-15T17:49:00,@Skyhelpteam is it fair that evening calls cost £4 extra/month from next month? And that offering it free for a month is a complete insult?,654715762087628801
DeanBlackk,2015-10-15T17:52:00,@SkyHelpTeam I appreciate the response but it's not just that. The whole connection has been getting worse,654716490801786880
Flanders03,2015-10-15T18:51:00,@SkyHelpTeam ok will try- thanks,654731273458487299
ajc1973,2015-10-15T19:19:00,@SkyHelpTeam kind of misses the point. I ‘downgrade’ and it’s still £1 more. To stay on ‘closest match’ is £5 more. An increase either way.,654738458867429376
Hunters_17,2015-10-16T05:33:00,@SkyHelpTeam still no plans to fix broadband after 2 engineer visits &amp; get told 'we cant book another BT Openreach visit - too expensive',654892927903232000
