screen_name,created_at,text,id
SportsDirectUK,2015-10-07T10:30:00,"Treat your feet with today's PRICE CRASH on Miso Ballet Pumps now £4!

Shop here now &gt;&gt; http://t.co/FWDUqKFmek http://t.co/JzuUF0TAkW",651706074173607936
SportsDirectUK,2015-10-07T16:32:00,Overwhelmed with pride from Louis Stanfill during the national anthem #RSAvsUSA #RWC2015 http://t.co/KldoonDylv,651797257440915457
SportsDirect_CS,2015-10-08T08:58:00,"@Ojerimee Hi, Items can be returned to store for an exchange or credit note. If used this is non-returnable. Thanks",652045319262347264
SportsDirect_CS,2015-10-08T09:30:00,"@brianhacker52 Hi, Sorry please confirm your query to social@sportsdirect.com for me to assist you further. Thanks",652053337186140160
SportsDirect_CS,2015-10-08T09:36:00,"@KnellClaire Hi, Sorry to hear this. Please provide your order ref for me to assist further. Thanks",652055059551940608
SportsDirect_CS,2015-10-08T09:36:00,"@pk0808 Hi, Please provide pics of soles of studs and a photo of the receipt to social@sportsdirect.com for me to assist further. Thanks",652054838411423745
SportsDirect_CS,2015-10-08T09:36:00,"@Kaitlin_Louisee Hi, This needs to be inputted in to the e-voucher box. Thanks",652054937174720513
SportsDirect_CS,2015-10-08T09:46:00,"@maz1981phoenix Hi, They can be phoned on 0344 2459 230. Thanks",652057425000968192
SportsDirect_CS,2015-10-08T09:46:00,"@leeweb79 Hi, This should be fine. Please check with the store direct. Thanks",652057351982333952
SportsDirect_CS,2015-10-08T09:56:00,@Davesotherhalf Hi. Please provide your order ref for me to assist further. Thanks,652060040417968128
SportsDirect_CS,2015-10-08T09:59:00,"@stevenhammerton Hi, Sorry to hear this. Please provide your CAS number for me to assist further. Thanks",652060837197258752
SportsDirect_CS,2015-10-08T10:00:00,"@BrazilianAndy Hi, Sorry to hear this. Please provide your query to social@sportsdirect.com for me to assist further. Thanks",652061063610003456
SportsDirect_CS,2015-10-08T10:01:00,"@liamafc1992 Hi, Sorry to see this. Please return to the store who will remove this for you. Sorry for any inconvenience caused",652061332318064640
SportsDirect_CS,2015-10-08T10:02:00,"@biwo6464 Hi, Items purchased in-store can be returned for an exchange or credit note. Thanks",652061534072475649
SportsDirect_CS,2015-10-08T10:03:00,"@CharingxBooks Hi, Yes its ... cs@sportsdirect.com .. Thanks",652061773139443712
SportsDirect_CS,2015-10-08T10:04:00,"@neilwhitt Hi, Unfortunately not this is a chargeable delivery service at a cost of £4.99. Thanks",652061874448650240
SportsDirect_CS,2015-10-08T10:06:00,"@SMCfit Hi, Unfortunately our stores are only able to issue an exchange or credit note. Thanks",652062461609291776
SportsDirect_CS,2015-10-08T10:11:00,"@connor_Ifc Hi, Sorry to hear this. Please provide your order ref for me to assist further. Thanks",652063867825164288
SportsDirect_CS,2015-10-08T10:12:00,"@andrewdwford Hi, Sorry to hear this. Please provide the CAS number for me to assist further.Thanks",652064096708370432
SportsDirect_CS,2015-10-08T10:17:00,"@jacob_proctor Hi, I am very sorry to hear this. Please email stores.customerservices@sportsdirect.com for further assistance. Thanks",652065167946199040
SportsDirect_CS,2015-10-08T10:18:00,"@sbowengee Hi, Sorry to hear this. Please provide your order ref to social@sportsdirect.com for me to assist you further. Thanks",652065439154065408
