screen_name,created_at,text,id
KnellClaire,2015-10-07T10:28:00,@SportsDirect_CS Just received an email saying 'Your order has been collected'. What does that mean? It should have been delivered Saturday!,651705669276561408
KnellClaire,2015-10-07T10:30:00,@SportsDirect_CS @dutchey1971 I also ordered an item for next day delivery for the rugby game Friday 2 (babygro) - not been sent...,651706079399804928
rhinobutt,2015-10-07T10:44:00,"@SportsDirect_CS Thank you, have just emailed",651709726233874434
MelissaFirrell,2015-10-07T18:42:00,@SportsDirect_CS I placed an order for next day delivery and nothing has arrived. Can this be looked in to please and can I be reimbursed,651829973377024000
AduduTrish,2015-10-07T19:39:00,@SportsDirectUK not happy spent a lot of cashin cov store  &amp; rtn  1 pair of shoes +receipt to be told no cash back +as no box no shoe return,651844237059883010
bunjiweb,2015-10-08T10:09:00,@SportsDirect_CS - I already emailed your social@ email address and got a sub-standard response. I'm just going to have to go to a local...,652063258573205504
bunjiweb,2015-10-08T10:09:00,"@SportsDirect_CS ...store and get them to remove the tag, as you expect me to post it back at my own cost to get a refund or replacement.",652063368606556161
bunjiweb,2015-10-08T10:10:00,@SportsDirect_CS I will instead just remember to use an alternative retailer in future with a better proven track record for customer care.,652063491554213888
andrewdwford,2015-10-08T10:18:00,@SportsDirect_CS SD40000019157998,652065457403506688
brianhacker52,2015-10-08T10:37:00,@SportsDirect_CS Now on an email.,652070352084930560
__Hodgson,2015-10-08T11:51:00,@SportsDirect_CS thanks,652088807391629312
morton_warner,2015-10-08T11:51:00,@SportsDirectUK can i make a return at a different store than i bought it from,652088922957312000
Omer__Bekayi,2015-10-08T15:35:00,"@SportsDirectUK I've bought one thing off you online and you email me about 20 times a day. We're not boys, leave me alone",652145178191360000
CraftyJus,2015-10-08T16:28:00,@SportsDirect_CS Thank you for your speedy response,652158554711834626
noorienoorj,2015-10-08T16:45:00,@SportsDirect_CS it was yes,652163014494285824
VampLianne,2015-10-08T17:29:00,"@SportsDirectUK hi, can I have an email address for customer service please? Or can you message me? Thanks x",652173865154707456
i_am_everything,2015-10-08T21:23:00,@SportsDirect_CS was yesterday bit late today showed up though just the communications that could do with improving I.e time slots delivery,652232753069576192
AwPhotographic,2015-10-08T22:36:00,@SportsDirect_CS @NikeUK in store from Torquay. Not very good quality!,652251334582906880
nicola_mathew,2015-10-09T09:13:00,@SportsDirect_CS complaint about a store. Thanks,652411563933048832
HeatherLaurenx,2015-10-09T10:14:00,@SportsDirect_CS SD40000019747227,652426881162190848
timkelsall,2015-10-09T10:23:00,"@SportsDirect_CS As requested, order number is: SD40000019753397",652429252831354880
Fartohot666,2015-10-09T10:29:00,@SportsDirect_CS 40000019752677 thanks for your reply It just seems to be taking longer then normal,652430654311956480
jasmin_penny,2015-10-09T14:35:00,@SportsDirectUK Hello. We have found a purse belonging to one of your members of staff and have been trying to contact her. Could you help?,652492506291150848
lucyadele42,2015-10-09T16:49:00,@SportsDirect_CS Can you tell me if a certain shop that never answers their phone does a particular range? Trying to avoid a wasted drive!,652526322619678720
adamlowes_,2015-10-09T17:03:00,"@SportsDirect_CS hi rang yodel and there's an issue with my order, please update me? What was the point of paying for next day",652529736334340096
nigel_burns,2015-10-09T17:42:00,@SportsDirect_CS @nigel_burns order no SD40000019779715 You hve internally  labelled XLB as 11-12 and LB as 13-14  I rcd10 11-12 and 2 13-14,652539696904601600
Fartohot666,2015-10-10T07:51:00,@SportsDirect_CS delivery by the 10th which is today so unless they getting a helicopter to send it south that won't happen,652753390846541824
MaanAllos,2015-10-10T09:41:00,@SportsDirectUK do you stock adidas X 15.1 in your staines branch,652780965677395968
Raees99_,2015-10-10T10:05:00,@SportsDirectUK Is this actually a bag...? #NotSuitableForCollege http://t.co/kN6jCadmSl,652787052212289536
motlieb,2015-10-10T11:29:00,@SportsDirectUK considering I paid £4.99 to have it delivered to store which is ridiculous as it is I want to know where my top is,652808241806749700
Sarah_p1972,2015-10-10T11:35:00,@SportsDirectUK ok enough flash sales your making me skint 😂😂,652809574089687040
nat83x,2015-10-10T12:56:00,@SportsDirectUK truly appalling customer service from your Stockport store. So unhelpful.,652830135838724096
tozlerr,2015-10-10T13:44:00,"@SportsDirectUK size options for shin pads... Boys, Youths, or mens.  Girls don't play the worlds greatest sport then?",652842124522725376
damiontaylor91,2015-10-10T14:17:00,@SportsDirect_CS I have just received a email confirmation on exchange and the address is wrong it's not 18 brecks road it's 25 brecks road,652850445409517568
laurey_xox,2015-10-10T14:48:00,@SportsDirectUK #AUS,652858304482443264
vikki9252,2015-10-10T15:50:00,@SportsDirectUK do you's not offer free home delivery over £50 or £100 anymore?,652873965313093632
brilliantliverp,2015-10-10T19:13:00,@SportsDirectUK I think you'd policy of closing your Liverpool Gym at 4pm at the weekend is ridiculous &amp; I wish I hadn't joined @LivEchonews,652925014979813376
geordiedavep,2015-10-10T19:39:00,@SportsDirectUK charged with criminal offence in collapse of USC.When will they b charged with a criminal offence for the collapse of @NUFC?,652931443740528640
thatadamfella_,2015-10-10T22:43:00,@SportsDirectUK why has this been amended from my order? http://t.co/vXmKd4ooXL,652977728992448513
jaqn99,2015-10-11T06:53:00,@SportsDirectUK White Cty store.Itm mrk £5 came up £8.99 @till!Mnger insists stock just in price not chnged on systm!  misledn ad.nt cool!,653101021095456768
