screen_name,created_at,text,id
saurabhpahuja30,2015-10-06T19:22:00,@StanChart  India credit cards : charged me with an unauthorised transaction on my card. And Not accepting mistake . http://t.co/zLJ7xD0e9B,651477617699229696
6253dc992d404d2,2015-10-07T01:16:00,@StanChart the goal which promote humanity among humans,651566670708805632
AnkitMangal111,2015-10-07T07:16:00,@StanChart http://t.co/1zlyUCLSFV,651657242844860416
shalinit_6,2015-10-07T07:45:00,@StanChart good..jail is the right place for her,651664540380303361
fintechstreet,2015-10-07T09:26:00,@StanChart just made a big play to be the go-to bank for fintech in Asia #fintech http://t.co/24cL1VZnTx,651690039672373248
Mac18Goa,2015-10-07T11:49:00,@StanChart @FCGoaOfficial #LetsFootball #goa Força Goa,651725997889339392
patnaiksr,2015-10-07T11:51:00,@StanChart is the worst bank ever I came across. I had to transfer my home loan as you have cheated me few lakh rupees.,651726466825097216
rkris,2015-10-07T12:25:00,@StanChart can I pitch an idea to you too reduce the global goal number 10?,651735141514117120
LottieLovelace,2015-10-07T12:59:00,"@StanChart have you got a tool to see how unhappy your customers are with your service , that the research you need to do",651743715577458688
elrafachan,2015-10-07T15:30:00,@StanChart I want to wear my @LFC shirt with pride: please don't fund Felda &amp; conflict #palmoil .  http://t.co/OHdpLW7BUo #LFC #MalaysiaLFC,651781629883588608
theflyingdodo,2015-10-07T16:35:00,@StanChart Do not bankroll Felda's purchase of Eagle High Plantations for more slave labour &amp; Orangutan habitat destruction #ynwa @LFC,651798062847930368
delilahchan,2015-10-07T17:30:00,.@StanChart I voted for Reduced Inequalities! Thanks for this initiative! Let's help spread #globalgoals! http://t.co/QensmOYTlz,651811743862140928
efuse_e,2015-10-07T18:32:00,Got a piece of sweet cake @StanChart today...#CustomerService day...hhhmmmm,651827350020169728
Premsudhakarma1,2015-10-07T20:03:00,@stanchart  Poverty eradication .and  education .Both  are interrelated .,651850386328809472
knight_of_99,2015-10-08T00:43:00,@StanChart Removing poverty.,651920771686641664
t_narendar,2015-10-08T02:01:00,@StanChart hai how are u morning,651940422265237504
fintechinfo,2015-10-08T02:20:00,@StanChart and #baidu launch Hong Kong #fintech accelerator http://t.co/L4DNg1o2De via @Finextra,651945128215482369
krishanainsan71,2015-10-08T02:41:00,@StanChart,651950551001919488
vrboss34,2015-10-08T03:35:00,"@StanChart sir,INDIA is a developing NATION in the map of globe
Undoubtedly financial institutions has to play a major role in MAKE IN INDIA",651964112935649280
saurabhsmartboy,2015-10-08T03:39:00,@StanChart wish me luck! Today is my examination.,651965148333146112
vijayd4u,2015-10-08T04:43:00,"@StanChart PAIR, ONE GIRL AND ONE BOY.",651981160893968384
Nitin5248,2015-10-08T06:52:00,@StanChart I voted for clean water and sanitation.Let's help spread #GlobalGoals,652013725831012352
thecreated,2015-10-08T07:34:00,@StanChart amazing idea.,652024195476426752
artoflivingtn,2015-10-08T08:48:00,@StanChart Climate Action,652042856039755777
870412Avinash,2015-10-08T10:22:00,@StanChart ...superb...,652066504373104641
sureshkito,2015-10-08T11:07:00,@StanChart Why not ATM for Medicine like Bank ATM ?Save Environment/Reduce Drug Addiction&amp; Price of Medicine by 50%• http://t.co/htxrBEEh1h,652077903530688512
jayprakashpawa2,2015-10-08T11:07:00,@StanChart hi,652077798014734336
rukhmangad,2015-10-08T11:12:00,@StanChart A^,652079122441764868
dominik66522307,2015-10-08T11:30:00,@StanChart gagal,652083577169969154
imdrrama,2015-10-08T11:46:00,@StanChart I have for stanrand education for the student between 10 to 18.I think without education any amount of subsidise food has no valu,652087745897041920
kartikp72830699,2015-10-08T12:55:00,@StanChart https://t.co/GHI846tnIc have a look at this,652105150526529536
jamesselective,2015-10-08T13:02:00,"@StanChart HI/ DEars friends howareyour all.? am fine 
I...WISH YOU PRISTOTHELORD TO..ALL.. http://t.co/TjJdjAIOF6",652106714095837185
skbhaskaran,2015-10-08T13:21:00,"@StanChart human behaviour, respect your clients and executive should always use the magic words",652111492720889858
BankingPractice,2015-10-08T13:28:00,"@StanChart Just Made a Big Play To Be The Go-To #Bank for #Fintech in Asia 

http://t.co/jee1IgPN34 http://t.co/4oIPNFrTRh",652113285509160960
EJTHOMAS6,2015-10-08T13:46:00,"@StanChart World wealth equally deserved by all 750 crore humans. But wise, cunning, cheating, corrupt, early comers occupied unequally. 1/n",652117790418014209
dugguworshiper,2015-10-08T13:48:00,@StanChart #HrithikUnicefAmbassador,652118306636349441
EJTHOMAS6,2015-10-08T13:49:00,"@StanChart Now in a position where there are about 15 million multi-billionaires, the richest has about $ 5 lakh crore , etc etc. 2/n",652118497510592512
EJTHOMAS6,2015-10-08T13:52:00,@StanChart Why this system prevails? Let them hold necessary for life and release balance to the world for deserving unfortunate humans. 3/n,652119401257283585
EJTHOMAS6,2015-10-08T13:57:00,@StanChart Basically what is their right? Some old wrong systems allowed. Now time to change. This is genuine way to change. !!!???  4/4,652120698144468992
sashwathagarwal,2015-10-08T14:23:00,@StanChart sir i want to settlement for credit card issue,652127226008236034
smshetty,2015-10-08T14:44:00,"@StanChart 
Neither Standard nor Chartered.....LOL",652132479092940800
RanganathDharm2,2015-10-08T14:49:00,@StanChart 1Stop rape of the biosphere.2Control Population,652133790089764864
RathorVijat,2015-10-08T15:00:00,@StanChart,652136422112018433
muneer_rr,2015-10-08T15:40:00,@StanChart but I  miss safeguarding humanity in globel goals..pic.?so add humanity in it . Thanks.,652146527763197953
Xpruthvirajsinh,2015-10-08T17:03:00,@StanChart I think we're change in almost thing,652167383998529536
Aliahamadansar5,2015-10-08T17:24:00,@StanChart,652172844663750656
jadhao_yash,2015-10-08T17:42:00,"@StanChart Puneri Akkians @SIBTheFilm Celebration Video-

Link- https://t.co/mz1OdBEJwV",652177239530868736
KeEhZJsp2THZbHL,2015-10-08T17:43:00,@StanChart,652177424843710467
MdIbrahim_Ibu,2015-10-08T17:46:00,@StanChart all of them,652178384693268480
KeEhZJsp2THZbHL,2015-10-08T17:51:00,@StanChart हमपेअेग्जीनहीअाती,652179437677621248
KeEhZJsp2THZbHL,2015-10-08T17:53:00,@StanChart xgjvfddhjicxdsfgbnbzsdfgjjk,652180074226167808
physioaround,2015-10-08T18:13:00,@StanChart superb concept. love the infography. jz perfect.,652185115418689536
DeepakK03455852,2015-10-08T18:21:00,@StanChart love,652187150889316352
carlystarrcaman,2015-10-08T23:50:00,@stanchart why are you about to bankroll a Malaysian palmoil producer responsible for horrific slave-labour conditions &amp; enviro destruction.,652269915500515328
