screen_name,created_at,text,id
thegurns,2015-10-06T11:22:00,"@Staples I will be donating $1 to cancer care &amp; research for every copy of my new book ordered through years end!
http://t.co/CHxTdMCJ2Q",651356846901620736
greenmuseum,2015-10-06T15:23:00,@Staples I buy 100% recycled paper. Why do you wrap it in plastic?,651417582038347776
bwjnpsl,2015-10-06T15:52:00,@Staples extremely slow service in ft pierce fl store,651424860741238784
jsmedmassage,2015-10-06T16:03:00,@Staples AthensAL another great experience 👍🏼thank you .. Have u quit carrying the center pull paper towels?😞,651427482487377920
bwjnpsl,2015-10-06T17:07:00,@Staples I also was told I could go online to submit rebate but that was wrong  as there is no way to submit it on the easy rebate website,651443629190475776
RadDAD88,2015-10-07T15:04:00,@Staples @AJosephStyle @barrymoltz @brianmoran @genemarks Great!Looking forward to the chat and some tips to open up a shop. #MakeMoreHappen,651775218000785409
makingmelody12,2015-10-07T15:06:00,"@Staples @makingmelody12 Pretty paper, but THIS is lined stationary for the purpose of letter-writing: http://t.co/1VqyxNrd1N",651775681345384448
limabeansx5,2015-10-07T15:55:00,@Staples at my store 391 when a tree fell on top of power lines. Make things worse gas leak on side of the store. http://t.co/Q7gC1FO1aM,651787911667519488
TeacherStacyH,2015-10-07T16:45:00,@Staples @AJosephStyle @barrymoltz @brianmoran @genemarks Huzzah! Almost time! :) #MakeMoreHappen http://t.co/nhrCNi9MDz,651800426421981184
shadow62310,2015-10-07T17:00:00,@Staples @AJosephStyle @barrymoltz @brianmoran @genemarks is there an rsvp? #MakeMoreHappen,651804220681646080
ashkeinath85,2015-10-07T17:16:00,@Staples @genemarks awesome!!! Sorry I'm late! #MakeMoreHappen,651808388163092480
Is4Drea,2015-10-07T17:19:00,@Staples #MakeMoreHappen,651809095452790784
TeacherStacyH,2015-10-07T17:26:00,@Staples @brianmoran This is the best business course! :) Love learning from the experts! #MakeMoreHappen,651810780103311360
Is4Drea,2015-10-07T17:26:00,@Staples @brianmoran me too! #MakeMoreHappen,651810790727553024
DorotheaBooks,2015-10-07T17:38:00,@Staples no more monkey business,651813883858935808
TeacherStacyH,2015-10-07T17:42:00,"@Staples :) Very sweet! :) Love your company, too! :) #MakeMoreHappen",651814864235573249
TeacherStacyH,2015-10-07T17:49:00,@Staples #MakeMoreHappen I love learning BEFORE I make choices! Mistakes avoided are awesome! :),651816555194413056
CorreyHope,2015-10-07T17:58:00,@Staples #MakeMoreHappen your a teachers Dream,651819008140931072
DonaldJTrump016,2015-10-07T19:30:00,@Staples let's bring all democrats and republicans together to start a rally on twitter for @realDonaldTrump presidency,651841976661241856
pariscourtney2,2015-10-07T20:16:00,@Staples @amelia_rustigan what is going on here 😂,651853706598547457
amelia_rustigan,2015-10-07T20:17:00,"@Staples staples are alright, but they puncture the paper. I love my paper clips because they're colorful. 😍",651853988141252608
amelia_rustigan,2015-10-07T20:36:00,"@Staples no, but those look fun!",651858560482021376
moodjenner,2015-10-07T21:42:00,@Staples LITERILLY promoting people to break pens for a charger protector..... IM IN,651875183062552576
