screen_name,created_at,text,id
DylanDotAnthony,2015-10-15T14:23:00,@Starbucks @starbucksgold my birthday reward said it expired today. And disappeared right before I used it. B day was yesterday :/,654663973501956097
LeanneScorzoni,2015-10-15T15:16:00,@Starbucks I was able to do full makeup in the time it took to order this morning including brows and eyeliner. Ask a woman how long that is,654677197328769024
JohnKoudelaIII,2015-10-15T15:17:00,"@starbucks - I'm a starbucks in Bend, OR this morning and it's colder inside then it is outside. So I'm going to McDonald's.",654677523893125120
FerSandoval0127,2015-10-15T16:25:00,"@Starbucks it's my second home, my office and also one of my motivations. Plus, they always put a smiley on my coffe http://t.co/zu4OmrNXAZ",654694572719665154
sohyue,2015-10-15T16:33:00,@Starbucks oh really?,654696528246800384
EvaMaria_Loredo,2015-10-15T16:39:00,@Starbucks coming in clutch with the coffee at #AmeriDay !!! @CityYearSAC #makebetterhappen http://t.co/6g6lIfPC0a,654698069146005505
skittles10466,2015-10-15T19:04:00,@Starbucks definitely trying  this lunch time tomorrow 😍,654734605103173632
rebee_obrien,2015-10-15T21:49:00,@Starbucks xfin en Alicante 😍🙌🏻☕️🍪🍫,654776124132626432
NumenAB,2015-10-15T23:14:00,@Starbucks riddle this. Why are there no starbucks evenings South of I-90 in the Seattle area?Only 2. Maple Valley and Lakewood #Fishy,654797456861827073
SamynElla,2015-10-15T23:55:00,@Starbucks please eliminate palm oil https://t.co/RkWWvJJY5d,654807746974355456
dangerous_lex,2015-10-16T01:01:00,@Starbucks  enjoying my sweetened black tea🍵 http://t.co/KgrZ1qr3CM,654824384222269440
michelleann0608,2015-10-16T01:50:00,@Starbucks disappointed at the rude service tonite. coworker #1 let us in and coworker #2 refused to serve us because they were closing,654836692344578049
nydileep,2015-10-16T02:21:00,@Starbucks Fuck your packaging - lower the prices,654844480269500416
nurclktnyldz,2015-10-16T04:42:00,@Starbucks iste bu starbucks coffee simdi olsa yuruyus sonrası mis kokusuyla,654880111653711872
wtfchloeeee,2015-10-16T04:48:00,@Starbucks should come out with their own line of candles,654881674761752576
CODChris777,2015-10-16T05:31:00,@Starbucks love that Café Verona! Lol,654892447726616579
