screen_name,created_at,text,id
Kenan45Gaming,2015-10-06T21:47:00,@SonySupportUSA thanks for the info.,651514243758428160
pierebel,2015-10-07T17:40:00,"@SonySupportUSA please rollback lollipop on the Z3 it's awful, absolutely awful. I've never had so many dropped calls and signal drops",651814343206502400
craftingfish,2015-10-07T19:55:00,@SonySupportUSA Why Sony wont refund my money for a clearly shoddy product is beyond me or why they dont care about treating customers right,651848389097709568
haloless1,2015-10-07T22:57:00,@SonySupportUSA and your 4KActivation site is down. I think I made an appointment but WWTS says I'm not in there system!,651894075184975872
yaoiluvr,2015-10-08T04:35:00,@SonySupportUSA hi need help getting my tv shows downloaded but I get this or somethings else http://t.co/sSpUfLQdw1,651979083195133952
jesusOvi1,2015-10-08T13:29:00,@Sony hola buenas en Asturias,652113632424271872
Broadbandit,2015-10-08T14:22:00,@sony announced the #ps4 will be $349.99 starting Friday. Great for anyone ready to jump in with the @uncharted... http://t.co/uDJRxaS7Ix,652126955949715456
RealityPranks,2015-10-08T16:07:00,@Sony oops forgot the link https://t.co/F2OMZBjBaC,652153420820774912
GodOfDepression,2015-10-08T16:18:00,@Sony u shud hire me as ur new head of marketing,652156080236048385
Fateborn,2015-10-08T16:42:00,@SonySupportUSA @AskPlayStation Thanks.,652162117982777344
LariskaPargitay,2015-10-08T19:04:00,@Sony @PlayStation so it's a military appreciation bundle but you wont ship to Military addresses/ deployment zones? http://t.co/xDu8J3lNaD,652197811660922880
_MysteryHunters,2015-10-08T20:07:00,@SonySupportUSA I have been trying to return an item that was NOT what i wanted for 6 months! There is NO info/email anywhere for returns.,652213708559552512
JaimeAlfredoJe1,2015-10-08T21:38:00,@Sony #bringcrashback,652236577477935104
TannerLehmann,2015-10-09T00:00:00,@SonySupportUSA I need help w/ my TVs NHL Game Center live app not working@,652272426710077440
Rjs117,2015-10-09T01:20:00,@SonySupportUSA Is the Xperia Z4v or Xperia Z5v going to be available on Verizon anytime soon?,652292530302754819
ashleikblue,2015-10-09T02:17:00,@Sony Blanket is gonna buy you out.,652306936088653825
_spilledpolish,2015-10-09T14:52:00,@Sony I need to go to a store and test them both out! &amp; wait for Black Friday for some deals (hopefully). ☺️,652496970876088320
ChuckGriffiths,2015-10-09T18:28:00,"@SonySupportUSA I will try, again.  They sent me to parts depot Encompass who sold me wrong glasses for 5x retail price of those units.",652551265956851713
ChuckGriffiths,2015-10-09T18:30:00,"@SonySupportUSA Oh, that IS Encompass.You did read I tried them and they failed me?Should I return this $1500 TV &amp; buy Samsung W/glasses?",652551803159101440
RonnieMiah1,2015-10-09T20:49:00,@Sony that's what itzriift sent to me http://t.co/dRUExEg66R,652586776427659264
Zizo__dark,2015-10-10T03:02:00,@Sony http://t.co/MldihHHVqH,652680651376861184
O2L,2015-10-10T07:39:00,"@SonySupportUSA WPS won't connect after""internet failed.""still isn't  fixed?! @SamsungSupport Can't load new (1/2)",652750281516707841
fezzroii,2015-10-10T10:13:00,@Sony @Naughty_Dog @XxBossKADAxX  got all the trilogy platinum http://t.co/uFjTwQ0BdP,652788937816178688
sundeeptvns,2015-10-10T16:39:00,"@SonySupportUSA :
Sony india has the worst and incapable service center support.",652886173572947969
gta5kid12,2015-10-10T21:06:00,@SonySupportUSA In black ops 2 it keeps saying I'm signed out sometimes and in bo2 it kick me out of servers,652953457830313984
riley9311,2015-10-10T21:09:00,@Sony @PlayStation #PS4FREEONLINE,652954214918787072
tianw,2015-10-10T23:55:00,@SonySupportUSA I have a SONY television that was stolen and I don't have the serial number. Can I get it from the registration?,652995931428790272
Kirlomax,2015-10-11T00:41:00,@Sony @AskPlayStation @PlayStation @CallofDuty @nytimes Hackers weekend in PS3 multiplayer; idiots at Sony allow it. http://t.co/CYEdmdidmL,653007550070157312
DannyPBrown,2015-10-11T02:05:00,@SonySupportUSA is there a way to turn on a screen saver during AirPlay on receiver model STR-DN1050? #burnin http://t.co/45E3QEWdZl,653028570596380672
roseandfeather,2015-10-11T13:53:00,@SonySupportUSA can I dm you?,653206894543306756
irwanLaw_com,2015-10-11T14:06:00,"@sony a6000 vs @NikonUSA D5500 ? @nikon HasGot 230lenses, E lenses count by hand.Remember FE lenses very high price! http://t.co/IuM4mlbir4",653210090183393280
Kirlomax,2015-10-11T15:57:00,@Sony @AskPlayStation @PlayStation @CallofDuty @nytimes Hackers weekend in PS3 multiplayer; idiots at Sony allow it. http://t.co/bnx8DIitcF,653237945994866688
ankulb,2015-10-11T18:26:00,@Sony Buys 3D Imaging #Startup #Softkinetic http://t.co/mDjtL3mqYY,653275600325595136
gamemaster8814,2015-10-11T22:29:00,"@SonySupportUSA HI there, on my ps4 when I play a game some of the game display is cut off from my screen",653336683165782016
Neon_eG,2015-10-12T02:22:00,@Sony i recommend on the ps4 consoles that if a person is livestreaming via ps4 have a setting where u can add background music,653395355564929025
sanjaykpatil68,2015-10-12T05:09:00,@SonySupportUSA,653437258062696448
tolokassa,2015-10-12T05:13:00,@Sony sem criatividade pq vc copiou o design do moto g e todos os outros da Motorola?¿¿?¿?¿¿¿?,653438232290586626
ReaperAura,2015-10-12T05:44:00,@Sony A New James bond movie is coming out. Do you think a New 007 Game can be made for ps4?,653446129497960448
garrisongregr,2015-10-12T14:54:00,@Sony What Apps are compatible with the #SmartBTrainer? Does it only work with running? Does it work on a treadmill vs. road? @ASICSamerica,653584588757839876
AwkwardlyVale,2015-10-12T15:05:00,@sony make ps4's backwards compatible,653587198789312512
CMZeller,2015-10-12T16:57:00,@SonySupportUSA the ssid code provided with my actioncam comes up as incorrect when I try to connect to my iPhone,653615539047284736
FlamurHaliti,2015-10-12T19:30:00,"@Sony Why does my PS4 delete Games,which i installed from the PSN store?Please help me,because it's really annoying to install the games.",653653955248005120
Darksparda4,2015-10-12T19:31:00,@SonySupportUSA I registered for the Amazon Instant Video bonus offer on my X850C but I never received the email with the voucher code,653654328633335808
1sobre2,2015-10-12T22:25:00,@SonySupportUSA Some people (myself included) having a game-breaking bug with Uncharted The Nathan Drake Collection: https://t.co/UWVgDR1UjB,653697983574343680
JohnnyBling_225,2015-10-13T00:55:00,@sony @sonyxperia @SonyXperiaUS let me manage the North American division. The z5 Premium could be the best selling phone of the quarter.,653735796608929792
sanjaykpatil68,2015-10-13T05:43:00,"@SonySupportUSA @mario_aron 
Having a Sony nravia BX 300  26 inches tv.",653808361478057985
d_piovesan4,2015-10-13T17:26:00,"@Sony $25 spent on these ""great"" ear buds 💸💸 http://t.co/U2RU72nAmQ",653985106177212416
Rafaelgluz,2015-10-13T23:24:00,@Sony ai esta a situação do meu sony gold. Parabéns sony por ter feito um headset com plástico pior do q plástico de garrafapet @canalriplay,654075255577800704
Rafaelgluz,2015-10-13T23:26:00,@Sony @canalriplay http://t.co/69DIil8tp9,654075766121099265
TheFREYFAXI,2015-10-14T01:46:00,@SonySupportUSA I replied with information.,654111121000022017
Miss_blue_eye,2015-10-14T18:21:00,"@Sony I hope rumors are true of a Sony Z5 Ultra, can't wait.. march is so far away #z5ultra #sony #cantwait",654361336906973184
chiomaozuzu,2015-10-14T18:51:00,@SonySupportUSA It's been more than two months and I never received my buyout check from my Sony Vaio.,654369068795998208
nunesjusione,2015-10-14T23:26:00,"@Sony Assim como os varejistas deram desconto no ps4 importado, eles irão dar desconto no ps4 nacional ?",654438116997079040
ChadRamsden,2015-10-15T01:08:00,@SonySupportUSA my Tv's picture and sound is going bad And last night I was told I would receive a call at 9pm today and off course nothing,654463835902873600
Eli_Trocco,2015-10-15T01:40:00,@Sony @SonyElectronics  Ear cup frm Sony headphones broke off while on my head. #CustomerService p much said too bad http://t.co/BxK4fwAVuX,654471883375702016
laptopmag,2015-10-15T11:02:00,"@Sony A7S II Hands-on: Tiny Body, Smooth 4K Video http://t.co/kmOuQo2c8B http://t.co/sMLmfVNmFA",654613221278486529
viper31544,2015-10-15T13:10:00,"@SonySupportUSA  My Playstation vita was stolen last night, and I wanted to know if you could track my system.",654645521760538624
NothingWired,2015-10-15T15:20:00,@Sony Palm-Sized RX1R II Camera Announced With Huge 42.4 MP Full-Frame Sensor. Check it out: http://t.co/obDyUoo4lQ http://t.co/6sQSb9BOq9,654678331468550146
mattwgn1983,2015-10-15T15:56:00,"@Sony very dissapointing sony, this is in all honestly diabolicle treatment of a camera user base. http://t.co/957noGFEDm",654687286878040064
chicabinaria,2015-10-15T17:02:00,@Sony Lanzará en PS4 un Control Remoto de $ 30 para Netflix y Blu-ray  http://t.co/JSbWs1jQj4 #Ccs,654703865955127296
Focus_Camera,2015-10-15T17:45:00,@Sony just announced the #RX1R II Camera!  And it looks pretty awesome - http://t.co/In6gQphEF8,654714737234591744
MicroSearchInc,2015-10-15T18:42:00,@sony @sonyalpha @sonya7s #a7sii just came in!! Available tomorrow! #jimmywithsony #Sony #alpha #a7s #lowlight... http://t.co/7mVisicmSy,654728950187323392
charlescv999,2015-10-15T21:00:00,"@Sony MY GOAL IS 2 HELP HUMANITY ACHIEVE PEACE BY CULTIVATING A DEEP UNDERSTANDING OF EACH OTHER'S LANGUAGES!
https://t.co/47cSYuI48B",654763768899997697
chicabinaria,2015-10-15T22:10:00,@Sony Lanzará en PS4 un Control Remoto de $ 30 para Netflix y Blu-ray  http://t.co/UxsEWqs6WD #tachira,654781453817901058
PaulKapeleris,2015-10-15T23:15:00,@Sony @AskPlayStation 24 hours and still waiting.  https://t.co/d9qbCDXsit,654797667340451840
gage_harty,2015-10-16T03:10:00,"@Sony What do I do love my headphones, would recommend them to anyone, however now they won't sync to my phones bluetooth",654856876371238912
haci_dilemek,2015-10-16T09:35:00,@Sony Can you please tell me where to buy #TXC650 #VoiceRecorder in Turkey ? I am tired of looking for.,654953892942209024
SimplyLizaInYT,2015-10-16T11:38:00,"@Sony когда монтируешь в Сони Вегас ,хочется биться об  стену",654984668119498752
kyhas,2015-10-16T13:53:00,@Sony 's Mick Hocking Just finished a great talk on his career to get where he is today! Interesting Stuff. #50YC,655018822370512897
SNUFA_Advocacy,2015-10-16T14:30:00,@Sony https://t.co/GQDyWaEaqN,655028126292938752
mandeeurope,2015-10-16T14:52:00,@Sony introduces high-end home cinema projector - http://t.co/8hSMs4JjmX,655033571195908096
chicabinaria,2015-10-16T18:10:00,@Sony Lanzará en PS4 un Control Remoto de $30 para Netflix y Blu-ray  http://t.co/iuvXLR53A9,655083460458061824
uGExcite,2015-10-16T21:36:00,@Sony My sony Xplod Amp is not powering my subs. The amp is on and everything else works fine.,655135355516006400
chicabinaria,2015-10-16T22:10:00,@Sony Lanzará en PS4 un Control Remoto de $ 30 para Netflix y Blu-ray  http://t.co/KYq0wMNPke #tachira,655143829260128256
valleylist,2015-10-16T22:16:00,"@Sony ""valleylist"" v357 r.1—top 10 dvd players
https://t.co/1TMCsbo0S3",655145429852512256
