screen_name,created_at,text,id
184219,2015-10-15T18:53:00,@Tesco thanks have DM,654731747368632320
hoppytweets,2015-10-15T20:26:00,@Tesco @madabouthops my god how many times have I heard this about different @Tesco  stores they are so out of touch it's unreal,654755370779283456
184219,2015-10-15T20:50:00,@Tesco urgent DM please respond privately.,654761392688381952
yakovleva_1,2015-10-15T21:58:00,"@Tesco thank you for reply, sent the info in DM",654778456010416128
melwilcock,2015-10-16T05:48:00,"@Tesco sure, I'll do that now. What is the SC code?",654896592386920449
Ridsybear,2015-10-16T07:51:00,@Tesco Done...thank you,654927563509383168
Satchs17thgirl,2015-10-16T08:45:00,@Tesco no because by the time I tasted it I was too far away from the store and had to get to college.,654941338136375297
ghaddpal,2015-10-16T09:03:00,@Tesco let me know when this is sorted. I may buy a box or two! I did not think @TwiningsTeaUK would charge you more than @TheCooperative,654945820568125441
jmcsurveyors,2015-10-16T09:08:00,@Tesco big shop drop: 14 #development sites sold to #property developer for £250m http://t.co/mliy2gTKrf,654947037977407488
directoryofbunk,2015-10-16T10:41:00,"@Tesco ...""thinking of the environment"" by bringing a plastic bag (presumably to circumvent the government-imposed charge) when the shop...",654970305727827968
directoryofbunk,2015-10-16T10:42:00,"@Tesco ...itself is clearly not ""thinking of the environment"" when it wraps items that come in their own packaging (bananas, cauli's, etc)..",654970588612722688
SammColess,2015-10-16T11:25:00,@Tesco I prefer Sainsbury's tea bags 🎣,654981424756465664
beckitaylor85,2015-10-16T11:29:00,@Tesco @sainsburys would one of you please sell wholemeal pasta in a 3kg bag like you do with white pasta. #canyoutellimalmost30 😂,654982556757204992
yellapiss,2015-10-16T11:30:00,@Tesco apart from ice cream.,654982770670850048
alexzamfir90,2015-10-16T11:42:00,@Tesco or Nutella,654985703399510016
grelaarts,2015-10-16T11:54:00,@Tesco god. I'm not upset! I just thought it was funny as I nearly never by frozen food. Feel free to keep sending 😉,654988696043847680
MartinGsq,2015-10-16T11:58:00,@Tesco What's the point of sending me ClubCard coupons valid in store only when you know I do nearly all my shopping online? No use to me.,654989712504025088
Jessies_Kitchen,2015-10-16T12:48:00,"@Tesco I'm going to be decorating, so I will probably watch the Rugby at the same time!",655002277057601536
MellyB90,2015-10-16T13:11:00,@Tesco I left 4 months ago.. But if you're offering 😂 #Tesco #davelewis #fail http://t.co/SnIZmcGq5a,655008168884441089
_burgerkinq,2015-10-16T13:48:00,@Tesco so apparently you ship Phan 😂,655017552767266816
LucyMerrygold96,2015-10-16T14:58:00,@Tesco I'm not too sure but I'd like to find out😂,655035037943996416
VickiSlawts,2015-10-16T15:51:00,@Tesco thank you 😊,655048469304995840
HamiltonDavies,2015-10-16T16:14:00,@Tesco thanks Dimitri that's great,655054118667558913
ella_eastham,2015-10-16T16:33:00,"@Tesco okay tesco, I love you💞",655058971577982976
DanielleLeaah,2015-10-16T16:44:00,@Tesco aw okay! Thanks anyway 😘,655061678967668736
ForthWyn,2015-10-16T17:43:00,@Tesco Have DM'd you my details :),655076574174253056
jenniferoakley,2015-10-16T18:12:00,@Tesco just told in Southborough branch that my mince didn't qualify for a free bag. I've read that uncooked meat qualifies. Please confirm.,655083977527660544
SnowdonAngel78,2015-10-16T19:05:00,"@Tesco why did the product I ordered 3 days ago not have click and collect available? It went out of stock, is now back in with  C&amp;C option",655097307189399552
gary86dufc,2015-10-16T19:35:00,"@Tesco komodo dragon chillies, hottest in britain? Dont make me laugh. Used them in chilli the other night and they werent hot at all.",655104781518786560
Thomas_Hallam,2015-10-16T19:44:00,@Tesco what are the exclusions for staff double discount?,655107188378202112
jenniferoakley,2015-10-16T19:50:00,"@Tesco Hi Ben. Thanks for this info. Just so you know, I wasn't told about these bags or offered 1 in store. Will this b passed on to store?",655108485655457792
TheStevenThomas,2015-10-16T19:57:00,@Tesco Done 😀,655110247221080065
Thomas_Hallam,2015-10-16T20:28:00,@Tesco I have DM,655118120604962816
