screen_name,created_at,text,id
KyleStealthy,2015-10-09T23:42:00,"@TWC Hey, Your internet service is shit.",652630123489951744
the_deepfreeze,2015-10-09T23:56:00,@twc Why is the NHL Network not show on the TWC app on my mobile phone?,652633777076834304
slamdunkel78,2015-10-10T01:38:00,"@TWC, now @TBSNetwork can't even be viewed at home. You guys are something special @TWC_Help - this needs fixed ASAP! #MLBPostseason is on..",652659560704925696
BenjaminGrier,2015-10-10T03:10:00,@TWC is out. At least I have my sex and the city movie ❤️🌃,652682652198305792
OG_OGHI,2015-10-10T04:21:00,@TWC how am i supposed to Netflix and Chill with no internet???? If its not fixed by the time this girl comes over im switching over to @ATT,652700345374654464
tg1783,2015-10-10T12:05:00,@TWC SoCal outage update???,652817276467449856
Rad_48,2015-10-10T12:58:00,@TWC News just did story on y my dogs smell other dogs butts when they meet.. #SlowNewsDay #SomeThingsIDontNeedToKnow,652830627574738944
jkreiner,2015-10-10T14:48:00,"@TWC you have major service outages in Los Angeles and NYC, can't give any info or ETA, and ur tweeting about college football? @TWC_Help",652858149158916096
jkreiner,2015-10-10T15:22:00,@TWC @panmovie @RealHughJackman you have outages in the 2 largest media markets in the US.  Please STFU until those are fixed.  Thanks.,652866692683558912
aprrilnicole,2015-10-10T16:11:00,@TWC @TWC_Help http://t.co/uZLWbjPj8G,652879125510664192
danny6208,2015-10-10T18:37:00,"@TWC ... TWC calls at noon to confirm a 1:00 appointment, don't show up, then claim my number disconnected... Pathetic",652915979178090496
danny6208,2015-10-10T18:43:00,@TWC Phillip from the Philippines thinks he can handle my service call... Wonder how long that will take?,652917281144573953
ESPNIanOConnor,2015-10-10T19:03:00,@TWC why can't I see the Texas-Oklahoma game?,652922421629054976
amayesingli,2015-10-10T23:03:00,@TWC is oppressing me more than this heat.,652982796177137664
CindyEveryday,2015-10-10T23:10:00,@TWC My internet is fasssssssst #happy,652984509596471296
stackach,2015-10-10T23:28:00,@TWC my cable has not worked in over a day...,652989179090092032
MalRochester,2015-10-11T00:10:00,@TWC I have never been treated so poorly by any #customerservice operators. It's been a problem for about a week now &amp; no one can help.,652999716049850368
RothwellJay,2015-10-11T01:35:00,@TWC @LastKingdomBBCA love to watch it.. But we are still waiting for our new self connect kit to get here :/,653021136821743616
myboycosmo,2015-10-11T15:30:00,"@TWC Hey Time Warner, why does it take 4 days in a row of calling to transfer service, and it is still not able to be done?!",653231276770598912
DanyelleEllett,2015-10-11T20:39:00,@twc the one effing day I need u 2 work Thks for losing cable during the start of the cowboys game #needgooglefiber http://t.co/6tnSUKhIUx,653308956056547328
dadmoffatt,2015-10-11T22:38:00,"@TWC good thing I pay for turbo internet speeds, just looking at this blazing fast dl speed! http://t.co/q2XTCkbT5F",653338866250858500
Steelcityterror,2015-10-11T22:43:00,"@TWC  after trying to get our bill straight, and no solution or answers, this.. in our driveway without permission. http://t.co/nHPlDp9WO4",653340057185746944
CocaineNinja1,2015-10-12T00:38:00,@TWC Your service is worse than Robert Marcus' mom's syphilis,653369230520246272
mrloo,2015-10-12T02:10:00,@TWC I was told 10/2 would be the date that 27560 would get TWC MAXX. Looks like it hasn't happened yet since I'm still getting 50Mbps.,653392280238313472
ptvbianca_,2015-10-12T17:00:00,@TWC @TWC_Help I just wanna watch @ABCFamily on demand but you're not a listed provider..become great pals and fix it? plz? 🙏🏼🙏🏼🙏🏼,653616230138384386
beancounter0,2015-10-12T23:20:00,@TWC you are gaining on @ATT as the worst company of all time!  Sold me extreme package that is not available and no one can tell me when 😡,653711959624257536
alexdshaver,2015-10-13T01:11:00,@TWC very frustrated with your customer service - would love to have an actual conversation with someone from your company.,653739847295889408
InHollywoodland,2015-10-13T03:07:00,@TWC your wifi is terrible 😕,653768958491930624
danellyn,2015-10-13T04:12:00,"@TWC customer service and supervisors are the worst, even worse than @Comcast Customer Service.  Sups that schedule apt when im not home.",653785335990628352
Omnicry,2015-10-13T04:50:00,"@TWC Even with changed out hardware, installing a new line and restarting over and over through service line I still have broken service.",653794886701809664
starkweatherrr,2015-10-13T07:33:00,"@TWC Hey, your internetings suck. Probably getting throttled for switching to Sling. (#betterdeal) Why do I pay more and get crap?",653835840557334528
nickgonewild_,2015-10-13T16:07:00,@TWC Can yall add yourself to ABC Family and Disney Channels LiveTV providers already? I want to watch Hocus Pocus and Halloweentown.,653965248785879040
NplusK_,2015-10-13T17:42:00,@TWC I'm tired of overpaying for 20MBps and only getting 9.5 constantly. Fix it or cut my bill in half,653989251969884160
adnan_mohsin17,2015-10-13T18:59:00,@TWC  I upgraded to extreme internet and i dont see a difference with standard.,654008642677669888
JokzR_,2015-10-13T22:47:00,"@TWC Your support hotline is constantly replying to tweets, because that's how many problems occur every second with your shitty ""service""",654066034148810752
GJ_GaylaJames,2015-10-14T06:10:00,"@TWC http://t.co/LJrtu5EWGz  CHECKOUT MY NEW SONG ""LOVE LETTER""!",654177403992977408
CLG_Smile,2015-10-14T11:40:00,@TWC I wish I had WGN on my TWC #GoCubsGo back to the future  @FlyTheW,654260471277555712
patDwatkins,2015-10-14T13:39:00,@TWC promotional rate BS is infuriating. Internet rate goes up every year. Bate and Switch Business Model. Bad Customer Service.,654290408017690628
ShaneGraber1,2015-10-14T15:07:00,@TWC Really? I can't watch the CNN AppleTV ap?,654312589468397568
clarissa_robles,2015-10-14T15:34:00,@TWC our cable box says cc71 what does that mean? It won't go away,654319341815525376
LeeSutton4,2015-10-14T18:14:00,@TWC @MollyQuinn93 @Castle_ABC   Happy Birthday Molly! Alexis!,654359595360518144
jessica_jacques,2015-10-14T21:00:00,"@twc + @epixhd cookie = ❤️💃🏼🎥📺😍 
#Oreo #oreowhitechocolate #movies #epixmovies #twcexclusives #twc… https://t.co/R6FXPc7wIl",654401539801501697
KnightisRight,2015-10-14T21:31:00,@TWC don't ever call my phone again soliciting packages or I will switch internet to windstream and then you really won't get a dime from me,654409094934196226
jessebug07,2015-10-14T23:19:00,@TWC I hate you.,654436277476020224
RicardoMateus17,2015-10-15T00:58:00,@TWC @RocioSweetC @ELTIEMPO @ElTiempo_tve @ELTIEMPOTELE @eltiempocuenca @EEopinion @elespectador @ALOdigital @CityEcologica @hola ....,654461246696214528
XicanoDeKC,2015-10-15T02:14:00,@TWC why is Fox Sports 1 not working? I'm missing my @Royals in the deciding game of the #ALDS #ForeverRoyal #TakeTheCrown,654480532596727808
realcheeser,2015-10-15T02:21:00,@TWC got the cl int 4112 error message on on demand the last few days.  Please advise,654482199077646336
kmccraight,2015-10-15T03:06:00,@TWC cheap ass. You go buy me a box connector thing and give me back food network for free,654493601548890116
aIItjmetrash,2015-10-15T03:17:00,@TWC @verizon you're not helping me at all,654496173198172160
UncleWillmott,2015-10-15T04:02:00,"@TWC @SouthPark @ComedyCentral Bernie sanders won last night's debate. Even if you did contribute to Hilary's campaign, she lost.",654507720444379136
wgroch,2015-10-15T05:10:00,@twc cable and internet out in Penfield again,654524722819006464
boblaw,2015-10-15T16:29:00,@TWC Higher prices for lower bandwidth (biz class)? Wonderful pricing strategy. Boy do I wish you had some competition! #timewarnersucks,654695517570465792
JoeyAPhee,2015-10-15T16:33:00,@TWC re-follow me! &amp; enjoy the day.,654696498442059776
joanna8791,2015-10-15T16:55:00,@TWC @TWC_Help I had an appointment scheduled between 9-10 today. Its 9:55 and your technician isn't here. I'm pretty disappointed 😪,654702181547798528
