screen_name,created_at,text,id
SophyBea_,2015-10-18T07:37:00,@TSB when will you be sorting your Apple Pay out ?!,655648862099632128
SophyBea_,2015-10-18T07:44:00,@TSB thank you,655650608796553216
theweeyin87,2015-10-18T09:35:00,"@TSB that's fantastic, thank you!",655678645495820288
DinkyLinks,2015-10-18T16:51:00,@TSB disappointing as I only got the letter this week. Would be ok if Telephone or Internet banking was set up but that's a ball ache too.,655788421844238336
StanAboutTown,2015-10-18T17:50:00,@TSB @Ned_Stevens later this year must mean within the next 8 weeks as most banks have an IT change freeze period just before Christmas.,655803114705068033
craigw87,2015-10-18T18:18:00,@TSB cool can they help me with new account information as well??,655810236998144000
sarahsq2,2015-10-19T11:12:00,@TSB Have to make a shout out to Roger in the account closure team who has gone out of his way today to sort an issue and follow-up! Thank u,656065464053997568
enterpriseteach,2015-10-19T11:47:00,"@TSB hey, looking for someone to come in and talk to students about sources of finance in a Notts school. Who do I contact?",656074216173907968
cyclemor3,2015-10-19T12:22:00,@TSB got a text from you. Fraud. Iceland card transaction. No credit to call you can you help by calling me?,656082921204391936
cyclemor3,2015-10-19T12:35:00,@TSB yes.,656086149497298944
_boltxnparker,2015-10-19T16:44:00,"@TSB phoned me while at work today, now I'm worried😩😂",656148924626026496
_boltxnparker,2015-10-19T16:50:00,"@TSB online banking on my app sorted, everyone says it's easy and it's really not😥",656150542423564288
fat_joe92,2015-10-19T19:15:00,"@TSB Many thanks indeed, same to yourself! (Lovely customer service by the way, keep up the good work!)",656186990640111616
Carr227,2015-10-19T19:58:00,@TSB thanks Tash  you too 😊,656197737344606208
UsmarniiYMCMB,2015-10-19T21:34:00,@TSB i hear you do some smashing bank cards,656221833507786753
LeeTheLad,2015-10-20T07:24:00,"@TSB Sainsburys 22-26 The Headrow LEEDS. There is also a TSB on The Headrow, but not sure where.",656370341644738560
LeeTheLad,2015-10-20T07:42:00,"@TSB Perfect, thank you Andrew!",656375000010792960
dmcconachie,2015-10-20T08:32:00,"@tsb Why have I got an ""Unplanned overdraft"" letter from you which itself quotes a positive balance?! Pretty threatening letter too.",656387445496369152
dmcconachie,2015-10-20T08:52:00,@TSB No way you can make those enquiries for me?,656392597922017280
br0wnsw0rd,2015-10-20T10:12:00,@TSB Thanks Gareth 👍,656412780552167424
B1ffa,2015-10-20T11:08:00,"@TSB all setup online, banking app working and switch completes 22nd October.",656426784938991616
B1ffa,2015-10-20T11:42:00,@TSB it sure does. Superb. Thanks.,656435200277262337
EvolutionJoe,2015-10-20T13:55:00,"@TSB Hi Andrew, no problem have a great day! 👏",656468850901426177
EvolutionJoe,2015-10-20T18:16:00,@TSB refunded an unauthorized DD within 3 hours.. top show guys :),656534396284063744
dw3107,2015-10-20T19:34:00,@TSB Contactless payments rarely work for transactions over £5. This is the second card. Must be to stop you getting too much cashback!,656553991858450434
dw3107,2015-10-20T19:43:00,@TSB Thanks Julia but I don't think the issue is with my cards. It's happened with 2 accounts now. Probably should just use other bank cards,656556439096401920
JoHill2009,2015-10-20T20:02:00,@TSB why are you calling my landline at this hour and not tell me who you are? 'Its Paul from the bank' is no help to me!,656561058795159552
mr8man,2015-10-21T06:49:00,@TSB so shutting down and changing systems when uk clocks all changing by 1hr? Is that 3am BST Or winter time? Sounds like a potential risk,656723921446658048
Liam330,2015-10-21T07:18:00,@TSB any updates on apple pay,656731376989937664
annecchiniG,2015-10-21T07:24:00,@TSB if you are so committed to embracing technology why do you not have Apple Pay yet?,656732793007902720
nessajo2010,2015-10-21T08:50:00,@TSB should so invest in these xx  https://t.co/enFwa4s2u3,656754313134526464
DuwayneBrooks,2015-10-21T09:41:00,@TSB I hope so sir.,656767298880077824
HillAC1993,2015-10-21T10:59:00,@TSB just turned around and told me that they would rather see their customers starve than treat them respectfully... Is this #acceptable?,656786999035211776
diondavis_,2015-10-21T11:21:00,@TSB Does it usually take this long to reach my funds? Kind regards. (2),656792336190566400
diondavis_,2015-10-21T11:36:00,"@TSB Ah right okay, I knew it took a few days but was just checking. Was scammed recently. I'll wait till tomorrow and see. Thanks Abi :)",656796075869786112
B1ffa,2015-10-21T12:00:00,@TSB ok thanks.,656802348862427136
B1ffa,2015-10-21T12:05:00,@TSB ok.,656803375305093120
RuthACornish,2015-10-21T12:37:00,@TSB Yikes - it's not you it's @AskLloydsBank I'm so sorry! Hearing that your customer service is spot on &amp; we may move our business banking,656811423117484033
BTRSacrossYorks,2015-10-21T13:00:00,@TSB #Bradford be part of #flatcapfriday 2016 and support #braintumour #research and support locally https://t.co/bgXGzxuiW9,656817375787008000
technicalfault,2015-10-21T13:08:00,"@TSB Hi, does the Manchester Chorlton branch have a coin deposit machine?",656819438084341760
technicalfault,2015-10-21T13:32:00,"@TSB ah, thanks. Presumably I would have to sort coins though? I would love to see coin deposit machines, like with NatWest.",656825284344291328
colgreen19thole,2015-10-21T16:34:00,@TSB will my wage be automatically be sorted to go into my new account?,656871145438842880
colgreen19thole,2015-10-21T16:49:00,@TSB thanks,656874996418125824
gregg_nice,2015-10-21T17:44:00,@TSB disgraceful #TSB,656888877265899520
21em_,2015-10-21T18:59:00,"@TSB hi TSB, I've been told that to open a joint account we need to go into branch? Do we both have to present to open the account? Thanks",656907749150846977
gregg_nice,2015-10-21T19:34:00,"@TSB thanks Chris, point taken.",656916559689043972
wullie1977,2015-10-22T05:53:00,@TSB Can't use banking app again. Useless. Transferring account this week and closing tsb one. Stick your bad service up your arse. #Tsb,657072246238879744
stubw,2015-10-22T06:20:00,@TSB by not introducing Apple Pay you have become outdated in the banking world. Not great when you only recently separated from lloyds tsb,657079043888717824
stubw,2015-10-22T06:40:00,@TSB I don't understand what can be so difficult as ever other bank has managed it?,657084131709423616
B1ffa,2015-10-22T06:48:00,@TSB switch complete. Direct debits sorted. Switch done through MSE. Big question. .. When's my £125 incentive go in?,657086154282508288
B1ffa,2015-10-22T07:06:00,@TSB Thanks.  Your twitter responses are very speedy.,657090662366605312
Jasonkenny,2015-10-22T07:17:00,"@TSB any news on Apple Pay? If you give me the same answer of later this year I am cutting up my card, there are only 70 days left.",657093351024496640
arostron,2015-10-22T08:09:00,@TSB - inepet -would not touch them with a barge pole!!,657106484262797312
MattJackson_,2015-10-22T08:19:00,@TSB Hey! Any word when Apply Pay is launching? Is this part of online maintenance shortly? Cheers :),657108996034285568
MattJackson_,2015-10-22T08:35:00,"@TSB Will do, thanks, Lesley. Would be good if we can have an update on the website as there is no mention of new Apple devices.",657112940848525312
gordonmid1,2015-10-22T08:50:00,@TSB Hi guys. Are any of your branches opening on Monday 28th Dec?,657116760395665408
traceyjr2975,2015-10-22T08:55:00,@TSB can I have 2 Classic Plus accs? If so can I change a Classic acc to a Classic Plus? I applied for a Classic acc in error. Thanks,657118046658699264
gordonmid1,2015-10-22T09:09:00,@TSB thanks Lesley. Thought so but wanted to check. Have a great day.,657121577318924288
traceyjr2975,2015-10-22T09:39:00,@TSB thank you. I need to close the Classic acc I opened this week and open a joint acc. Can I do this online as I don't have a local branch,657129178999988224
jamesw2020,2015-10-22T09:45:00,"@tsb why do I need to come into the branch to close an account?  Technology people!
#custserv",657130534011863040
traceyjr2975,2015-10-22T09:56:00,"@TSB thanks, that's a big help. I'll give them a call when my husband is with me",657133291028520960
B1ffa,2015-10-22T10:24:00,@TSB last question. Does my old account that I've switched from get closed?,657140427460616192
r1_kate,2015-10-22T12:06:00,@TSB how do I complain about a recent account switch to you please? Preferably either by email or in writing,657166154725724161
emmapoweruk,2015-10-22T12:15:00,@TSB not yet. We've been asked to come back in half an hour until one of the managers returns from lunch in another branch,657168350171308032
emmapoweruk,2015-10-22T12:16:00,@TSB the staff at Chatham are great just totally abandoned by managers!,657168536683552768
emmapoweruk,2015-10-22T13:00:00,@TSB me too. In hour two now of trying to do this chaps payment. Will miss deadline to send money on today now.,657179659063402496
Shieldsy79,2015-10-22T13:20:00,@TSB hi Julia. It was Jen who resolved my issue but her colleague also greeted me on arrival and went out his way to find someone to help me,657184784557457408
emmapoweruk,2015-10-22T13:39:00,"@TSB it's done now. 2.5 hours later. It's for a house deposit, we called ahead to confirm what we needed to bring so frustrated at delay.",657189598561439744
h0m54r,2015-10-22T14:14:00,@TSB Thanks Chris.,657198452288393216
LoveOrmskirk,2015-10-22T14:46:00,"@tsb are an amazing, customer focused bank - switch accounts today!",657206352448737280
sherryChung5,2015-10-22T15:12:00,@TSB thank you so much for the support!,657212973518184449
