screen_name,created_at,text,id
nrcoverdale12,2015-10-14T01:19:00,"@Target She's everything they dreamed she would be... And more...
https://t.co/J0jXpHwJdM

Available now!",654104295630094336
kweaver13,2015-10-14T02:23:00,"@Target needs to relax, there is way too much plaid happening. Very unattractive when it's this much and doesn't make me wanna shop there.",654120357071298561
BeautyChronicle,2015-10-14T13:50:00,@Target 's collaboration with @WhoWhatWear a collection for the everyday women. #Fashion http://t.co/vcfsfijxlQ http://t.co/bEmggPFW8a,654293137616162817
GPachtinger,2015-10-14T13:58:00,@Target Worst customer service dealing with your credit card.  Warning to others. @Visa @MasterCard @AskAmex,654295102731481088
mscherrylovee,2015-10-14T15:36:00,@Target  yesssss 😍😍😍😍😍😍😍❤❤❤❤❤❤❤❤❤❤❤,654319983682412544
JaeEleazar,2015-10-14T19:11:00,@Target  can you give me a number to talk to a person. Trying to fix my password online and I'm getting no where,654374077604335616
SarahWallFox10,2015-10-15T10:45:00,"@Target converting all store credit cards to chip, pin cards -&gt; say new cards have more security. @FOX10News http://t.co/eku48BLTgd",654609124622245888
JBPurposeTour,2015-10-15T13:17:00,@Target :),654647181161328640
heyorhiswift,2015-10-15T14:16:00,@Target thank you for supporting my obsession😏 #SoundsGoodFeelsGood,654662042926780417
Dany5sosfam,2015-10-15T16:03:00,@Target although I am chilean,654688973663506432
JudithTKK,2015-10-15T16:08:00,@Target 💜,654690343036674049
aly_blog,2015-10-15T18:00:00,@Target when will you get the @SallyHansen sinfulcolors sinfulshine 2 step manicure? I love this nail polish and I wish you guys had it!😊😍,654718589866405888
duetmalum,2015-10-15T18:16:00,@Target follow me if our love is real,654722535427149826
ChristyCCombs,2015-10-15T18:39:00,@Target Why have you cancelled my online order yet I've still been charged?,654728390243516416
calums5seconds,2015-10-15T20:46:00,"@Target yeah like 5sos loving your store, that's just meant to be ;)",654760253330886656
MaShareeAmour,2015-10-15T21:27:00,@Target isn't adequate enough to put my correct address on my package and I was asked to call bck in 30min bc the system is down. ✌🏾️-☝🏾️,654770688801157121
MissDashing,2015-10-15T22:45:00,"@Target is winning the game. Fake carvable pumpkins that won't rot in orange, black, and white 🎃 #Halloween 👻",654790142616449027
CtDiablo,2015-10-16T00:46:00,@Target store manager @ Southpark Meadows refused to honor their pricing error. Bad service. http://t.co/6QKOnosI45,654820737472028672
mikeradio1,2015-10-16T00:52:00,@Target  https://t.co/Xt0u2mt9l1,654822170418221056
taytay__gray,2015-10-16T02:44:00,@Target why did you release 5 seconds of summer's new album before October 23!,654850266366275584
irwinfinit,2015-10-16T02:44:00,@Target failed,654850496407150593
5sosww__,2015-10-16T02:45:00,@Target TURN YOUR LOCATION ON I WANNA FIGHT http://t.co/KaFdP5redI,654850636886839297
