screen_name,created_at,text,id
O2,2015-10-15T08:44:00,"@scotty6kids78 Hi Scott, the handset is very popular and we're sending out orders as quickly as we can. https://t.co/T7k4f4a37k",654578675166367744
O2,2015-10-15T09:44:00,"@philipjreynolds Sorry, we're unable to block numbers for you. You can block these in your phone settings.",654593563989266432
O2,2015-10-15T10:09:00,@gem_gem101 Hi Gemma. We're sorry to hear this :( What were you advised last time you were in contact? We want to help.,654599997812535296
O2,2015-10-15T11:07:00,"@craigk75 Hi Craig, this doesn't sound good, please follow these steps http://t.co/e1chaj3Zvu and let us know how you get on.",654614499874471936
O2,2015-10-15T11:13:00,"@oharfield Hi Ollie, that's not good :( Can you please follow these steps http://t.co/e1chaj3Zvu and let us know if they help?",654616028316585984
O2,2015-10-15T11:22:00,@stuey3d Oh that's not good Stuart. Are you still having issues in the same area?,654618420504305664
O2,2015-10-15T11:24:00,@hladwa Thanks.,654618794778841088
O2,2015-10-15T12:37:00,"@robynmarshall06 Not good. If your phone needs to be sent for repair, store may be able to offer a loan phone in the meantime.",654637260839735296
O2,2015-10-15T13:07:00,@_steve_betts Hi Steve. Are you having issues with signal in a certain part of Hertfordshire? If so please send us the full postcode by DM.,654644690625687552
O2,2015-10-15T13:09:00,@emnefydd We don't like the sound of this. Can you tell us what's happened exactly? We'd like to help.,654645168516255744
O2,2015-10-15T13:24:00,"@34_mclaren Ahh okay, we're glad to hear it's sorted now. Give us a shout if you need anything else.",654648957558108161
O2,2015-10-15T14:10:00,"@oh_gloryglory Okay, we've sent you a DM with more info.",654660717811859457
O2,2015-10-15T14:12:00,"@lailoser Not good. As the phone is out of warranty, any repairs would be chargeable, sorry.",654661092879151106
O2,2015-10-15T14:15:00,@geraghtyracing We're following if you'd prefer to DM us Andy.,654661861942493185
O2,2015-10-15T14:31:00,"@samthetallguy Oh no :( We're sorry to hear this, what error message are you getting exactly? We'd like to help.",654665782522081280
O2,2015-10-15T15:32:00,"@natmoore_ Hi Natalie, we don't like the sound of this :( Do these steps help? http://t.co/e1chajlAn2",654681322376466433
