screen_name,created_at,text,id
peterbroughan,2015-10-15T09:34:00,"@O2 Still no response. I ake it you don't have answer to a real institutional &amp; policy problem? At least get back to me, for goodness sake.",654591197357412352
berrygas,2015-10-15T10:09:00,@O2 31025404662974. If u can arrange phone to be collected from O2 in Reading tomorrow as hols from 18-28 October,654599928489078784
ThomasFoulds89,2015-10-15T10:42:00,@O2 sometimes I get voicemails 3 days later. So not exactly.,654608397711622149
tmw1000,2015-10-15T11:01:00,"@O2 this is getting difficult... problem isn't in the UK, it's while I'm abroad. That's why I contacted you in first place.",654613079871897600
richiedragon,2015-10-15T11:43:00,@O2 Improve the phone signal where i live been waiting 5yrs and promised improvements never arrive so o2 are full of PR rubbish!!!!!.,654623550876332032
jodeeelouise,2015-10-15T11:56:00,@O2 3 days ago still not spoke to them this have been going on for 8 months!,654626961524961280
CJMarkey777,2015-10-15T12:23:00,"@O2 no problem at all. I've got no idea why they would call me. I don't expect a call back either, even though it's been requested 8 times😂",654633651804766208
georgiarumblee,2015-10-15T12:46:00,"@O2 it's not for ages, so I'm gunna have to spend over £200 to get a phone... Just wish this was made clear to me",654639537436631040
DocMelRuns,2015-10-15T14:15:00,@O2 First letter i found. Haven't sent it back. Just called the o2 helpdesk today. They say It's with the debt recovery agency.,654661950014558209
DocMelRuns,2015-10-15T14:19:00,@O2 and that i have to show my ID when debt rec agency is at the door! If the're at the door i will be @work!! Take me out off this mess plz,654662886317420545
mav1twitch,2015-10-15T14:36:00,@O2 Thank you but I think I will be OK.  ☺,654667262998147072
monkeygiblets,2015-10-15T15:16:00,"@O2 now have WiFi, still no signal. Timescale would be nice, no WiFi in field.",654677193625219072
CJMarkey777,2015-10-15T15:39:00,@O2 we have a Virgin media package. So they have offered to do my phone contract. Hopefully they won't give me a faulty handset.,654683122328440833
UKTheScriptFans,2015-10-15T16:44:00,@O2 Oh Awesome!!,654699388321665024
DavidLove1987,2015-10-15T17:08:00,"@O2,
On the o2 priorities app competitions just disappear, I assume I haven't won but it's a depressing way to find out!",654705397836546048
WriterSStone,2015-10-15T18:07:00,@O2 it's happened again,654720176563195906
BoredtownBoy,2015-10-15T18:57:00,"@O2 ..and 2: it's broken on IE, Edge and Safari",654732941038215168
DuneMusic,2015-10-15T19:26:00,"@O2 no, still not sorted. Pls call us tmrw. Completely fed up with it.",654740145606823936
krieners,2015-10-15T19:52:00,"@O2 my friend has been given an early o2 upgrade and 4 months early...mines april , can i have an early o2 upgrade ? Pretty please 😇",654746790684594176
ThomasFoulds89,2015-10-15T20:44:00,@O2 Not really. Most of the time I'm either at home or at work. Which both have good signal.,654759875021373442
richiedragon,2015-10-15T20:54:00,@O2 Have rang e-mailed loads and got nowhere so why fill out another form last few years signal has got worse as soon as i can i am leaving.,654762305268264961
chris_wood_81,2015-10-16T09:51:00,@O2 really shocked that as a customer of over 15 years on a pay monthly contract you make no effort to want to keep my custom. #pathetic,654957745599336449
Lisaukuk,2015-10-16T09:52:00,@O2 done,654958165184925696
CentrePairing,2015-10-16T10:06:00,@O2 what's going on with your coverage... Northamptonshire to North Yorkshire. GPRS data most of the way.... #astoundingly bad,654961533286526976
tmw1000,2015-10-16T10:25:00,"@O2 yes, but not voice messages.",654966491352166400
DuneMusic,2015-10-16T11:04:00,"@O2  want to replace damaged phone thru o2 insure. Shouldn't be this hard! So far 4x live chat, 4x tel queue 1hr+ no ans, 2x azzurri. Why?",654976168886730753
rowanpetts,2015-10-16T11:11:00,@O2 Why did that link have to expire within three hours of it being sent to me? I'm at work. Please re-send with a bigger time window.,654977950484418560
FlagCaptured,2015-10-16T11:23:00,@O2 am I able to move my number across to another network?,654981030504472576
CentrePairing,2015-10-16T11:54:00,@O2 finally got 4G... and this is the performance result. You can't possibly be proud of this? #nodataatall http://t.co/WgXpgvJEKZ,654988909517152257
nbeeee,2015-10-16T12:52:00,"@O2 Latest? U said u'd listen 2 sales cal. Had to chase you 5d as u didnt. No real appology, no resution, basically got told tough. Apalling",655003484731736064
DuneMusic,2015-10-16T14:45:00,"@O2 claim open. Angry to hear we must wait for repair i/o swap. Hv lost 2 days + w/e b4 collection, + hv to sort interim rslvs. V poor srvc.",655031879981207554
FaaithJD,2015-10-16T15:15:00,@O2 no I brought the iPhone6plus before I was allowed student discount 😌 now I'm really struggling 😔,655039432622538752
charsparkles88,2015-10-16T15:17:00,@O2 waited for ages I'm now waiting NOT on hold can here everything which means I will have to call O2 again and wait in que,655039761778888704
Daniel12Hawkins,2015-10-16T15:47:00,@O2 can u reply to my tweet please,655047377024393216
Neogeta82,2015-10-16T17:02:00,"@O2 Hi, have tried these and showing no issues in my area, wife's signal is ok (on O2). Can't try my sim in another device as don't have 1",655066275576705024
SaraProwler,2015-10-16T17:27:00,@O2 I'm trying to cancel 1 of my contracts with you and transfer my mobile number across to my new O2 contract. Thanks :),655072593200943104
ifenn,2015-10-16T17:43:00,@O2 How about you provide a direct sales number in your upgrade emails rather than just your general number? It is 2015.,655076597096173569
kittykat_x,2015-10-16T19:35:00,@O2 Yes on the internet but Im not on there for long - I go on fb and check messages and it used 15mb!  Its ridiculous.  My Nokia didnt!,655104687767687168
beccamilburn,2015-10-16T21:41:00,"@O2 
Hi there,
I am trying to use my offer for a free iPhone case and the code is invalid at checkout? Assistance please #o2priority",655136605246791680
FlagCaptured,2015-10-17T00:45:00,@O2 just come to the end of my contract and have a better deal with another network is all. How would I get this code?,655182902133702656
kittykat_x,2015-10-17T09:23:00,@O2 app and without moving down the page or posting anything it has used 2mb of data - is that correct?  It seem unbelievably high!,655313145167245312
tomnovy,2015-10-17T11:36:00,@O2 your customer service told me that I have to wait for the investigation to finish. Between @O2 and @officialUKMail,655346607316180992
