screen_name,created_at,text,id
Total,2015-10-14T10:33:00,@sumitsingla81 Total with @SunPower produces the market's most efficient photovoltaic cells #MakeThingsBetter,654243731676209152
Total,2015-10-14T10:33:00,"@V3xton Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654243720678797312
Total,2015-10-14T10:34:00,@moon0515 Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654243886295072768
Total,2015-10-14T10:37:00,"@wsguntoro Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654244682961166336
Total,2015-10-14T10:44:00,"@miko_hamada Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654246346824794112
Total,2015-10-14T10:45:00,"@irvanazis23 Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654246591054905344
Total,2015-10-14T10:45:00,"@sravi_sam Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654246736844705792
Total,2015-10-14T10:47:00,@mysuperlego Total and @Amyris develop an innovative aviation biofuel to reduce CO2 emissions #MakeThingsBetter,654247034631925760
Total,2015-10-14T10:49:00,@Gsmjat Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654247533095612416
Total,2015-10-14T10:50:00,@Athena_Consult Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654247981475082240
Total,2015-10-14T10:51:00,"@puneetvarma Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654248212300210176
Total,2015-10-14T10:51:00,"@venuchella32 Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654248115856384000
Total,2015-10-14T10:55:00,@sushilcshukla Total with @SunPower produces the market's most efficient photovoltaic cells #MakeThingsBetter,654249076515586048
Total,2015-10-14T10:58:00,"@antonysufianto Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654249806727127040
Total,2015-10-14T11:02:00,@AdeshRaparia Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654250829583675396
Total,2015-10-14T11:04:00,"@shivAwake Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654251397223981056
Total,2015-10-14T11:05:00,@Sridhar13Vijay Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654251781036331008
Total,2015-10-14T11:10:00,@yodirizkyardi Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654252878316576768
Total,2015-10-14T11:11:00,@banglorehudaga Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654253179492806656
Total,2015-10-14T11:13:00,"@Pandit_SMishra Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654253569936347136
Total,2015-10-14T11:21:00,@apunraj Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654255822369894400
Total,2015-10-14T11:25:00,@oneothonk Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654256750120542208
Total,2015-10-14T11:26:00,@rijdz Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654257081579642880
Total,2015-10-14T11:26:00,@SharadCodes Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654256907612499968
Total,2015-10-14T11:27:00,@Nelfid Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654257278003113984
Total,2015-10-14T11:36:00,"@varSingh3 Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654259476044869633
Total,2015-10-14T11:40:00,"@Syam_Dananjaya Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654260396300345344
Total,2015-10-14T11:41:00,"@estu_bianconeri Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654260836551249920
Total,2015-10-14T11:41:00,@ndamelda Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654260852074397696
Total,2015-10-14T11:49:00,"@ravinavya_2010 Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654262690899206144
Total,2015-10-14T11:50:00,@mssamniwala Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654263044902666241
Total,2015-10-14T11:50:00,@vedvyasdelhi Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654263005983715328
Total,2015-10-14T11:52:00,"@sailendra777 Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654263569220026368
Total,2015-10-14T11:57:00,@mallanagowda1 Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654264650658390016
Total,2015-10-14T11:59:00,@Dparlemen Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654265302151204864
Total,2015-10-14T12:08:00,"@wshuvaindra Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654267566727241728
Total,2015-10-14T12:08:00,@calvin_joe Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654267435974021120
Total,2015-10-14T12:15:00,@netygen Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654269214669324288
Total,2015-10-14T12:15:00,@sanjay99000 Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654269333108080640
Total,2015-10-14T12:19:00,@Visharl Total with @SunPower produces the market's most efficient photovoltaic cells #MakeThingsBetter,654270359475200000
Total,2015-10-14T12:24:00,@taraksuperstar Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654271676012752896
Total,2015-10-14T12:24:00,@MohitVaish007 Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654271447196639232
Total,2015-10-14T12:25:00,@odong_cumi Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654271752189673472
Total,2015-10-14T12:26:00,@Musa_Almawadi Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654272144948490244
Total,2015-10-14T12:30:00,"“I believe in the importance of dialogue between business and governments about #climate issues” P. Pouyanné, CEO #ConfEcoCop21",654273010296352768
Total,2015-10-14T12:30:00,@ztiffanys Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654272955736805376
Total,2015-10-14T12:31:00,"“Total has been a sponsor of @ClimateEcoChair and is now a main sponsor of the Chair and 6 main initiatives” P. Pouyanné, CEO #ConfEcoCop21",654273240504881152
Total,2015-10-14T12:33:00,“Beginning of June @Total @BGGroup @BP_plc @eni @Shell @statoilasa signed a letter calling governments for carbon pricings” #ConfEcoCop21,654273908150018048
Total,2015-10-14T12:35:00,"@Erwin369 Between 2008 and 2014, we decreased greenhouse gas emissions at our sites by 24% #MakeThingsBetter",654274252468822016
Total,2015-10-14T12:37:00,“Business Community call for the emergence of a club of countries representing the main economies to implement carbon pricings”#ConfEcoCop21,654274715150876673
Total,2015-10-14T12:46:00,@mcrbarreto Our Excellium fuel allows your car to reduce its CO2 emissions #MakeThingsBetter,654276974819586048
