screen_name,created_at,text,id
ToyotaGB,2015-10-06T06:01:00,Good morning folks. We'll be here until 10pm to answer your Toyota questions. Have a great day ^KS,651275952643796992
ToyotaGB,2015-10-06T06:40:00,"@Safirah63 That's great news! Keep us updated, we'd love to see a picture on collection Safirah. ^KS",651285768510513153
ToyotaGB,2015-10-06T17:44:00,@Safirah63 @ToyotaAylesbury That #Aygo looks very much like a cool #Stormtrooper. Are you a big #StarWars fan Safirah? ^ST,651453056689831939
ToyotaGB,2015-10-06T17:54:00,"@rcfoster Evening Richard, sorry to hear this. Many insurance companies cover the lost keys. Have you phoned a specialist key-cutter? ^ST",651455455923957760
ToyotaGB,2015-10-06T20:11:00,"@CelineInfield Hi Celine, it doesn't have to be. Have you looked at a #Toyota #GT86 for extra fun injection? ^ST http://t.co/J3VzkQ4c0b",651490065240182784
ToyotaGB,2015-10-07T06:01:00,Morning! Hope you're having a good Wednesday so far. We're here to help until 10pm. ^KS,651638342443008000
ToyotaGB,2015-10-07T06:16:00,@GeorgestockenHQ @funforlouis Sleep tight George. ^KS,651642240822038528
ToyotaGB,2015-10-07T06:27:00,@ChrisoHeath you too Chris! ^KS,651645102465662976
ToyotaGB,2015-10-07T11:17:00,"@mrspaulaslester Stunning picture Paula, but that's one extremely well camouflaged #LandCruiser! ^MC",651717863749890054
ToyotaGB,2015-10-07T13:06:00,"@arighttweet @UKSuppReviews @battensfarm Well, we know what we'd choose Daz 😉 ^MC",651745412127268864
ToyotaGB,2015-10-07T15:19:00,@Rapsmiths Hi Nick. We've a strict policy to not sell vehicles to potential purchasers who may use or modify them for terrorist activities.,651778855934541824
ToyotaGB,2015-10-07T19:30:00,The 50th anniversary of #Toyota in the UK almost coincided exactly with #GBBOFinal. We got our bake on to celebrate! http://t.co/UJTX7mBOTW,651842017027321860
ToyotaGB,2015-10-08T06:08:00,Good morning! How's your day shaping up? We're here 'til 10pm to answer your #Toyota questions. ^KS,652002594789920768
ToyotaGB,2015-10-08T11:49:00,"@Skiddingmouse @evomagazine Benefiting from the unique advantages of a lightweight sports car, the concept offers smooth... 1/3 ^KS",652088365261717505
ToyotaGB,2015-10-08T14:23:00,@harrisonbaker60 @evomagazine It's a concept + looks are subjective! The long nose/wide stance make for an archetypal sports car profile.,652127078448525312
ToyotaGB,2015-10-08T16:23:00,@Karis5a Sorry to hear that Karissa. It doesn't sound right at all! Please contact customer relations here: http://t.co/DiiGPKQWh4,652157485550206976
ToyotaGB,2015-10-08T16:30:00,"New concept cars revealed ahead of Tokyo motor show, including this little beauty - the S-FR: http://t.co/FZERH8f1Eg http://t.co/D0diHmMVgN",652159173677838337
ToyotaGB,2015-10-08T16:38:00,@samfenwick Did you get a moment to check out that offer Sam? We'd be happy to liaise with your nearest dealer to book in a test drive.,652161043637010434
ToyotaGB,2015-10-08T17:37:00,"@Iroc1Ian It sure does. That's part of the reason we did it. Believe us, it's a lot of fun! ^MS",652176089784184832
ToyotaGB,2015-10-08T17:54:00,@aizOVO_ Decisions decisions! What kind of car are you looking for? ^MS,652180277813485568
ToyotaGB,2015-10-08T18:33:00,@TallPaul86 Thanks Paul. Guess we'll have to wait and see. Mr Toyoda did promise some more fun-to-drive cars though! ^MS,652190099262861313
ToyotaGB,2015-10-08T19:40:00,"@Masterton9 We see you're in the market for an SUV, Dougie. New RAV4 will be available as a hybrid. Interested? ^MS http://t.co/GhP0QGu2nQ",652206852638416898
ToyotaGB,2015-10-08T20:28:00,@ForzeDelft @HydrogenEnergy Wow. We commend your ambition and will be watching closely. Good luck! ^MS,652219123666157569
ToyotaGB,2015-10-09T11:00:00,Need a fresh set of wheels? The Toyota Approved Used Car Event runs between 10-18 Oct. Visit your dealer for more! https://t.co/UMgjmYSxj4,652438430861803522
ToyotaGB,2015-10-09T12:20:00,@MainuddinSujon North America is our biggest market. We hope this helps. ^KS,652458621859704832
ToyotaGB,2015-10-09T14:00:00,It takes no time at all to make sure your #Toyota's tyres are legal; let us show you how: http://t.co/MvXBzYT0jU http://t.co/DwAqw7Epr1,652483827235995648
ToyotaGB,2015-10-09T14:10:00,"@Joe_kz Did it go past you too fast to catch a picture, Joe? ^MC",652486408658120704
ToyotaGB,2015-10-09T15:22:00,@PimSterenberg We can't wait Pim! ^MC,652504359616561152
