screen_name,created_at,text,id
hansomLDNcabbie,2015-10-06T09:09:00,"@ToyotaGB @standardnews 

Another night of negative advertising #prius #ubered http://t.co/OrUbaymTfM",651323429568794624
JeffRussellMP,2015-10-06T17:36:00,@ToyotaGB The pleasure is all mine.  Good day to you as well!,651450966785458177
rcfoster,2015-10-06T17:56:00,@ToyotaGB Thank you for prompt response &amp; will call insurance co. &amp; specialist key cutter tomorrow.,651455995831582720
Fixya,2015-10-07T01:00:00,@ToyotaCustCare 29 new questions about Toyota products this week. Can you help answer? http://t.co/WlaObfq48P,651562676292820992
nxpir,2015-10-07T13:24:00,@ToyotaGB @wayl0nz,651749972396888066
UKSuppReviews,2015-10-07T13:45:00,@ToyotaGB @arighttweet @battensfarm well played Toyota,651755161455624192
arighttweet,2015-10-07T14:14:00,@ToyotaGB exactly👍,651762604315144192
WiJoDa,2015-10-07T19:07:00,"@ToyotaGB like i said its a shame, im one of not many that still have a st165. Its become very difficult to keep it on the road",651836353475383297
WiJoDa,2015-10-07T19:25:00,"@ToyotaGB thanks, i intend to. The build quality (for its time) is unbelieveable.",651840792521256960
etspeaksfrom,2015-10-07T19:30:00,@ToyotaGB wow! Amazing cake!,651842173441306624
ToyotaGB,2015-10-08T11:50:00,@Skiddingmouse @evomagazine ..one key benefit of the FR (front engine/rear drive) format. We hope that helps answer your question. 3/3 ^KS,652088614843777025
Karis5a,2015-10-08T16:27:00,@ToyotaGB thank you i will. It's not a big deal but would be helpful when using sat nav :),652158498784972800
9ChrisB3,2015-10-08T16:32:00,@ToyotaGB yes pls build it!!!!  but with a more agressive front 😜👍🏻,652159601241034752
iainreid,2015-10-08T16:38:00,@ToyotaGB With added twinkles ;-) http://t.co/6uvAhkyHIj,652161121382588419
Karis5a,2015-10-08T16:57:00,@ToyotaGB yes it's still great I still love it. I love that the dashboard is in the middle. I hope you do that again on newer yaris models,652165840616316928
Iroc1Ian,2015-10-08T17:35:00,@ToyotaGB at last. A major motor manufacturer has built a rear wheel drive car to go rallying in. Harks back to the golden era of rallying,652175456079355904
TallPaul86,2015-10-08T18:28:00,@ToyotaGB love the look but its like the Yaris Hybrid R Concept - a cruel tease :-( #ProbablyWontSeeTheLightOfDay,652188729445085185
TallPaul86,2015-10-08T18:34:00,@ToyotaGB being proved wrong would be a delightful experience!! Guess we will wait and see :-),652190309124808706
HydrogenEnergy,2015-10-08T19:00:00,You could ask @ForzeDelft to help you with a fuel cell sports car @ToyotaGB,652196954085150721
ciaraburnsidexx,2015-10-08T20:51:00,@ToyotaGB I'd rather not thanks x,652224857577533440
muhammadlilg,2015-10-09T00:10:00,@ToyotaGB THANK YOU @ToyotaGB for supporting Organisations/Youtubes to get Quality information to us! Your efforts are greatly appreciated !,652275014142722049
voodooban1973,2015-10-09T06:04:00,@ToyotaGB 7am to 10 pm ouch !,652363966086270976
ukdaytrader,2015-10-09T08:02:00,@ToyotaGB should just work logically without complexity ? Bad design check out competitors,652393710781661184
thormagnusson,2015-10-09T08:13:00,"@ToyotaGB Thanks, that's reassuring. But wouldn't #volkswagen have said this too? I find it hard to trust words. I'd like to see the code.",652396482461626369
ToyotaGB,2015-10-09T08:17:00,"@thormagnusson during regulated emissions testing or homologation cycles, nor does it use any practice 2/3",652397542341234689
ToyotaGB,2015-10-09T08:18:00,@thormagnusson that would make engine performance different during these tests. 3/3,652397596523253760
ukdaytrader,2015-10-09T08:37:00,@ToyotaGB maybe I don't want to be vehicle specific ?,652402389111193600
timleng,2015-10-09T11:13:00,"@ToyotaGB Ha ha ha, I'm on it!",652441838033485824
CrienaLDavies,2015-10-09T12:28:00,@ToyotaGB @thelexusman Thank you! Have a great day! :),652460635977031684
Joe_kz,2015-10-09T14:12:00,"@ToyotaGB I was driving and it went the other way 💔 literally my dream, so if I could of got a pic I would!",652486818714263552
ForgeRock,2015-10-09T14:45:00,@ToyotaGB confirms on-road driverless car trials: http://t.co/aSBNu9FqNB,652495053114503172
PimSterenberg,2015-10-09T15:17:00,@ToyotaGB I'm happy about it! One of my favourite Toyota! Once I customised it I'll send to you guys! :) 👍👌,652503046279331840
EasterYeoh,2015-10-09T18:04:00,@ToyotaGB #Experience an #exhilarating #adventure that no other #car can #replicate. #turbo #engine #lexus #toyota http://t.co/rJtDgXqqNs,652545223969472512
RobJD,2015-10-09T18:31:00,@ToyotaGB looking forward to it! I hope it's very close to the concept car. Feel free to give me a shout if you'd like a test driver 😉,652551967739396096
thepattanaiks,2015-10-10T00:03:00,"@ToyotaCustCare MICHAEL TOYOTA IN FRESNO CA - CHARGED FOR MAJOR MAINTENANCE BUT DID NOTHING, NOTHING, WILL NOT SHARE REPAIR REPORT - HELP!",652635578127613952
3bigbadblack,2015-10-10T08:28:00,@ToyotaGB Toyota New Models,652762545019822080
ASPhotoSy,2015-10-10T08:43:00,@ToyotaGB I love the look of the S-FR! Would love to photograph it if one comes to the UK. :),652766509429821440
alexandriabradz,2015-10-10T09:44:00,@ToyotaGB fantastic service and help today from Michael at hodgson Gateshead team! Helped me in a crisis  #customerservice #lifesaver,652781679518588928
Greedalitism365,2015-10-10T16:31:00,@ToyotaCustCare @Werehorribleppl Going N2 any Auto Dealer is going N2 a Den of Thieves. Much Repair Fraud. Overall in the Multi $$ MILLIONS,652884174274228224
Nerysxxxxxxx,2015-10-11T14:26:00,@ToyotaGB Hi Toyota! I did a new video! Thought you might like to see it.😀 https://t.co/3k6GEzZ4ej,653215130621231104
NDButterfield,2015-10-12T06:46:00,"@ToyotaCustCare I did its shameful, I asked around town and they have done it to other people to. Owner does not care.",653461684271644673
ToyotaNRG,2015-10-12T07:40:00,@ToyotaGB academy trained technician @JasonNRG changing the clutch within a 10 minute service! #bestservice #quick http://t.co/V6nHz57lIb,653475293622075392
ricohcsgouk,2015-10-12T08:02:00,@ToyotaGB 3 days to go :D,653480860470124544
farmercarlisle,2015-10-12T14:27:00,@ToyotaGB Congratulations @matthewinman. @LEGO_Group we're looking forward to seeing you build one.,653577837228752896
farmercarlisle,2015-10-12T14:30:00,@ToyotaGB @Interbrand a very proud position!,653578458149294080
didsdad,2015-10-12T14:51:00,@ToyotaGB @IpswichToyota New bonnet protector fitted. Looks great! http://t.co/4FTA7m4a3N,653583751700738049
eLEJOG,2015-10-12T15:02:00,@ToyotaGB agreed its a long journey I'd love of you would ALSO do #EV seriously as this one we can do now with home #PV to power #zerocarbon,653586478124113920
RTR_MotoGP,2015-10-13T11:21:00,@ToyotaGB @neilbrownNB12 Amazing car and great to see it at #FoS,653893263716257792
pOpUpRecOrdStOr,2015-10-13T12:54:00,@ToyotaGB @ToyotaMotorCorp u still can't justify the difference between full &amp; normal service = rip off customer can't wait 2 leave u guys,653916787445207040
Fchoudhry87,2015-10-13T14:08:00,@ToyotaGB @MayorofLondon he still gona ride that Bike 😂😂😂,653935271067668485
BfFowler,2015-10-13T17:03:00,@ToyotaGB Best Looking Prius yet in my eyes.... I'd defo buy one 4 a cab but pricey 😕,653979435083939840
BettyShmem,2015-10-13T19:03:00,"@ToyotaGB I have indeed. Cute car, not zealous enough in the rev department for me. I'll swing by when you have an #FT1 on your hands. 😉",654009466531266562
heenamodi,2015-10-13T22:04:00,@ToyotaGB can you tell me how much it costs to replace a battery in a hybrid and how long before it might need replacing?,654055048398413824
doughboyjosh707,2015-10-13T23:01:00,@ToyotaCustCare yeah seen those only the oil cap and oil filter have both of those looking  for the cool stuff,654069493438681089
Fixya,2015-10-14T01:00:00,@ToyotaCustCare 47 new questions about Toyota products this week. Can you help answer? http://t.co/8UWL40qDAE,654099390697742336
regraced,2015-10-14T09:49:00,@ToyotaGB At Surrey Uni ready for the #SurreyCareers fair http://t.co/HUVWkfQcYV,654232539465388032
Aaron_Sid_Kell,2015-10-14T12:44:00,@ToyotaGB @Avoked @P90KLP good guy Toyota 😂😂😂,654276602570870784
kenstretu,2015-10-14T17:58:00,"@ToyotaGB couldn't you step in for red bull , as you make motorsport hybrids , and Infiniti is your brand .badge Infiniti rb f1.#v6",654355614102122496
FlatOutWR_JP,2015-10-14T21:32:00,@ToyotaGB see u again;) good night,654409535155662848
din100,2015-10-14T21:58:00,@ToyotaGB when can I do a test drive?,654415909969391616
motor_mad,2015-10-15T07:13:00,@ToyotaGB looks hideous!,654555565423788032
SERA_LR14,2015-10-15T10:17:00,@ToyotaGB i'm using a Microsoft Lumia 535 with Windows 8.1,654602074517303296
BabRadebe,2015-10-15T11:02:00,@ToyotaGB @SergioSierra67 ugly shit,654613265469841408
DenbyLuke,2015-10-15T12:04:00,@ToyotaGB I understand that. Porsche mission e looks beautiful and that's a car of the future. No single pleasing line on the Toyota😔,654628983871524864
ashmurphy13,2015-10-15T13:49:00,"@ToyotaGB yes i did, she was a good ride 😉",654655405172264960
Richard2908r,2015-10-15T14:37:00,@ToyotaGB had my wheels nicked in Liverpool need help,654667375808147456
V177JP177,2015-10-15T18:04:00,@ToyotaGB Are any Mirais in the UK showrooms yet? I saw one in a Toyota showroom here not long ago. : ),654719391070728193
motor_mad,2015-10-15T18:29:00,@ToyotaGB in hindsight it doesn't look too bad from this angle :),654725823656689664
motor_mad,2015-10-15T19:07:00,@ToyotaGB lovely colour :),654735481385578496
mikerudd19,2015-10-15T19:34:00,@ToyotaGB just wondering when the new model hilux will be released in the uk.  Want one!,654742251998830592
ChichesterDave,2015-10-15T20:21:00,"@ToyotaGB Hmmm. I have to say I feel less confident about the technology when you can't even spell ""You're"" correctly on the second page",654753916215672832
FunkyBolly,2015-10-15T20:36:00,@ToyotaGB yes great but there's a 10 minuet que to pay for it at my local Morrisons,654757759292870660
theeyeofreason,2015-10-15T21:50:00,@ToyotaGB that's excellent. Thanks.,654776488223346688
pernuolli,2015-10-16T01:57:00,"@ToyotaGB @toyota_europe If I had a hydrogen car I would have range anxiety, because electricity sockets are usually much more common 😁",654838519794417664
t_slutton,2015-10-16T10:48:00,"@ToyotaGB this is funny because I was looking at 99 celica, slightly more in an 18 year olds price-range...both nice though😉",654972199397367809
Jonnaifslman,2015-10-16T12:20:00,@ToyotaGB hello,654995328748396544
ThatManIsBack,2015-10-16T12:26:00,"@ToyotaGB lol I'm struggling through to be honest! Was tempted to change the ""go fun yourself"" slogan to something inappropriate 😂😂😂",654996760495042560
ThatManIsBack,2015-10-16T13:25:00,@ToyotaGB a Citroen Picasso with 179000 miles on the clock lol #properbanger,655011798018609152
ThatManIsBack,2015-10-16T13:29:00,@ToyotaGB would be lovely to drive that but I get down to my last pennies every month so might be out my price range. Gorgeous car though,655012709763784705
ToyotaGB,2015-10-16T17:39:00,@korat102 This can be purchased through the parts department at your local Toyota dealer. 3/3 ^KS,655075723103870978
Warrensnel,2015-10-16T21:02:00,@ToyotaGB night,655126676557447168
Warrensnel,2015-10-17T13:21:00,"@ToyotaGB 
I wonder where this place is?! https://t.co/7QnpS5Wq1d",655373122590392320
V177JP177,2015-10-18T10:54:00,@ToyotaGB I have a few new models of Toyotas. Can I show you?,655698471954067456
AWOLFOXES,2015-10-18T16:06:00,@ToyotaGB Perfection.,655777008186707969
phibel69,2015-10-19T00:49:00,"@ToyotaGB  has to be said other than your GT86 your line up of cars are awful, why have you settled for mediocre, sports cars were Toyota",655908574095388673
ricohcsgouk,2015-10-19T09:56:00,@ToyotaGB i can't seem to find the dvd. i noticed a black box under drivers seat but dont know how to take off lol. i have ver 2006-2007 map,656046330968674304
branwenroberts,2015-10-19T10:15:00,@ToyotaGB you're new advert is shameful. Sorry but it's so cheesy. #terrible,656050908200071168
martindp84,2015-10-19T11:24:00,"@ToyotaGB why can the concept nvr just b the production version? cool looks, funky interiors, not just frm toyota, then it all gets binned 😢",656068508959293440
ShiftLightNeil,2015-10-19T12:55:00,"@ToyotaGB @ToyotaNRG Thank you! Yes that's my trusty Celica. Loved the 86, will have to arrange a test drive and get more photos!",656091174143401984
greenfee,2015-10-19T14:55:00,@ToyotaGB haha yeah I now know the difference she picks it up later this week I think so will tweet photo :-),656121531249139713
alice_t_05,2015-10-19T15:38:00,@ToyotaGB *has,656132434371727360
deejaygraham,2015-10-19T18:14:00,"@ToyotaGB had email saying Toyota club membership in post but after almost a month, not turned up yet. Missing?",656171537779830785
EasyNgozi,2015-10-20T07:00:00,@ToyotaGB #Toyota https://t.co/O2zpypj1pR,656364473876369408
PO_ukr,2015-10-20T07:09:00,"@ToyotaGB Yes. I mean propane, hydrogen gas system cell such like Mirai or something else.",656366695083323392
deejaygraham,2015-10-20T07:23:00,@ToyotaGB or not on your network? ok will try later. Thanks.,656370126644752385
rockyrog,2015-10-20T07:46:00,@ToyotaGB @rockyrog yes I have but I'm frustrated that the advice I receive has no resemblance to the product!,656375833569972224
rockyrog,2015-10-20T08:09:00,@ToyotaGB But the issue is essentially with MY Toyota on the website. Can I email you the exact issue?,656381592781369344
greentomatocars,2015-10-20T12:27:00,@ToyotaGB Believe us it was even better to receive those keys  https://t.co/OVc8fVMieP,656446696956776449
ImmyShephard,2015-10-20T12:42:00,"@ToyotaGB Hi, thank you for your apology. It was from Mark Walker from Jemca Bromley. Hope this can corrected on their system",656450297104089088
elproffo,2015-10-20T14:15:00,@ToyotaGB I wish I could afford an Aygo! If I Thought If I had the money I'd buy another #classic &amp; get a #FiatPanda,656473786162761729
LudorasGhost,2015-10-20T19:02:00,@ToyotaGB No thanks. Time would be better spent 'reaching out' to your substandard service centres #cowboys #greasemonkeys.,656545986093928448
drum_puppy,2015-10-20T19:24:00,@ToyotaGB @quirkjs Do you make pick up trucks for ISIS there?,656551460461813764
GmGareth,2015-10-20T19:24:00,"@ToyotaGB will do, thanks for the invite!",656551561850699776
lewiswalsh,2015-10-20T19:53:00,@ToyotaGB With pleasure!,656558967037009920
ShaneMallia,2015-10-20T20:27:00,@ToyotaGB @MrJamesMay @katehumble @AntAnstead just came back from a Toyota plant tour in Nagoya. So cool! Do you stress test every engine?,656567379737059328
NickOTwit,2015-10-20T20:41:00,@ToyotaGB I love anything like this!! Thanks for the info! Ps any chance of a hover car for Marty for tomorrow? #BackToTheFuture :p,656571045768491008
Fixya,2015-10-21T01:00:00,@ToyotaCustCare 46 new questions about Toyota products this week. Can you help answer? https://t.co/Qiew3m3nEC,656636102883831808
McCannRachel13,2015-10-21T08:22:00,@ToyotaGB Rubbish - it happens regularly.  There's a perfectly good side road next to the dealership. USE IT !! @MerseyPolice,656747294004523009
2JZ_TRD,2015-10-21T09:38:00,@ToyotaGB stop teasing us and just get this bad boy into production 😍,656766605477715968
MartynWilliams6,2015-10-21T16:14:00,"@ToyotaGB Seen one photo of the Hilux, and I have to admit, it definitely is a gr8 alternative to the Tacoma sold only in the USA.",656866266934857728
GraemeNeilReid,2015-10-21T16:33:00,@ToyotaGB I didn't like the way your marketing team thought it was great idea to link your car with a beloved film on this particular day.,656870856128335872
BurtonMailNews,2015-10-21T17:15:00,@ToyotaGB announce recall of cars made in South Derbyshire over fire fears: https://t.co/dxQMfZ573I https://t.co/iOUDDHw7Yy,656881463774814208
RuralPics,2015-10-21T17:56:00,"@ToyotaGB Will they loan me one to review against the other pick-ups on the market?
#DefactoStandard",656891760992518145
SmokingBaby81,2015-10-21T18:03:00,@ToyotaCustCare @httr73 but it does have a pre rusted frame,656893632843259904
SmokingBaby81,2015-10-21T18:05:00,@ToyotaCustCare @WadeBaldwin92 frame rot?,656894067498983424
MrsNeillans87,2015-10-21T18:27:00,@ToyotaGB a thing of beauty &amp; intelligence. Looking forward2 more hydrogen fuelling stations in the UK so this becomes a more viable option.,656899572359372800
jxrddd,2015-10-21T19:25:00,"@ToyotaGB I will take a look, thanks!",656914325202972672
The_Sarsen,2015-10-21T19:28:00,@ToyotaGB yup. Used to teach all that in lean awareness trg and to my event facilitators.,656914995096244224
CPA_DT,2015-10-21T19:57:00,@ToyotaGB thank you - this could be a useful resource for my students #designintheworkplace,656922369571856384
lyndles79,2015-10-21T20:06:00,"@ToyotaGB great, thank you for all your support, it's given him a boost :-)",656924528770199553
Urbe_redaccion,2015-10-22T00:42:00,"@ToyotaGB A revisión, 6.5 #millones de #autos @Toyota en el #mundo
https://t.co/8CXNZI5aYE",656993910145851392
MeatHead_Motors,2015-10-22T06:39:00,"@toyotagb great, why do busses come to at once please.",657083937844498432
MeatHead_Motors,2015-10-22T06:52:00,"@toyotagb fantastic , thanks, perhaps you could answer another please.

How does can-bus wiring benefit car owner when Something on 1/2",657087152136785920
MeatHead_Motors,2015-10-22T06:53:00,"@toyotagb 2/2 goes dead short and stops all Commications ??
Thanks",657087310928986112
StaceyMills2108,2015-10-22T07:05:00,@ToyotaGB he's dead set on what he wants! His first time driving my car on his own after he crashed my last one! 🙈😭,657090450386493440
AdrianPearson80,2015-10-22T07:51:00,@ToyotaGB No not had the pleasure.,657101926006444032
Mark1Access,2015-10-22T08:15:00,@ToyotaGB @Mark1Hire Full fry up and a good pot of tea :),657108097828286464
kingpence1,2015-10-22T11:11:00,@ToyotaGB came along way #Celica #tidycar https://t.co/owvgXe6FCr,657152223684743168
Business_Stream,2015-10-22T14:04:00,@ToyotaGB targets 90% emissions reduction by 2050 via @edie https://t.co/P314NyHJ4b,657195732412203009
Greedalitism365,2015-10-22T15:37:00,@ToyotaCustCare @Theresa_Bridget TOY makes a Great Car but their Franchises are Conduit for $$$ Theft in Unbelievable amounts of $$ Millions,657219235303825408
drummerrich1,2015-10-23T06:43:00,@ToyotaGB it was absolutely excellent!  Would love one. Just purchased a Yaris from W R Davies in Stafford - 2013 plate. Needed a slight adj,657447255708954624
