screen_name,created_at,text,id
BaLmAa,2015-10-15T13:35:00,"@Twitter  …………?
Meko noti nhi mil  Rahe hai……:D 
Bht Tensoin ho reli hai Bhidu  :(",654651889129095169
skeleton_miles,2015-10-15T14:02:00,@twitter NEVER LEAVE ME AGN,654658513210245120
SKIADM,2015-10-15T14:11:00,@twitter pls take ur tampons back,654660969180758016
MusaMajic,2015-10-15T15:15:00,@twitter my boy @FlexLive22 need ballons on his page pronto.,654676872832258048
Olez,2015-10-15T15:20:00,@twitter  should have an option for a Tweep to delete all their Tweets at once 😂😂😂,654678261385945091
wastedyouthpr,2015-10-15T15:31:00,@twitter why do we keep having our follow allowance blocked?! It's so annoying!,654681120341032962
barbecuedaliens,2015-10-15T15:36:00,@twitter CHANGE THE NEW UPDATE YOU MONSTERS,654682372013580290
SafonovaWalery,2015-10-15T15:41:00,"@twitter почему так мало дается символов? Мне нужно больше, чтобы описать всё, что происходит! Мне нужно мнение окружающих, пишите мнесрочно",654683512813936641
MrInaccessible,2015-10-15T15:41:00,"@twitter, I hate you! Every time I retweet a tweet, my time-line scrolls all the way up. Automatically! It's ridiculous.",654683505524248576
FollowRocket_VC,2015-10-15T15:50:00,"@Twitter Superstar Strategy #4 - Colour matters, so pick the right one!  [PDF] #SHARE #RT http://t.co/uy6ZHIx0nq http://t.co/NwzAMqviXx",654685750793908225
aldiacomec,2015-10-15T16:44:00,@twitter : esta es la carta que recibieron los empleados despedidos: http://t.co/oMLcvJrFi1 http://t.co/xOSWMbIn2D,654699497105174528
emaria025,2015-10-15T16:58:00,@twitter verificar o @rezende_evil,654702995569946624
emaria025,2015-10-15T16:59:00,@twitter ✔➡ @emaria025,654703249430175744
Tiffylady1129,2015-10-15T17:14:00,@twitter I wish we could edit #tweets!!! Highly recommend!! #JustAThought  #Twitter,654706802244759554
TheLiteBriteMs,2015-10-15T17:14:00,@twitter LMFAO what kinda notification is this 😭😭😭 http://t.co/b0DExhnvQa,654706952610582529
YamanoKJ,2015-10-15T17:32:00,@Twitter Thank you for the mute future,654711555112632321
gerpickle,2015-10-15T18:10:00,@twitter what are you doing http://t.co/oCjTimd3LA,654720998852300800
abecerrajr,2015-10-15T18:30:00,@Twitter How can I remove Retweet Quotes using your search operators?,654726047699628032
JHNANDRWADMS,2015-10-15T18:54:00,@twitter why can't my header be a GIF fam,654732183190433794
heal_deborah,2015-10-15T19:27:00,@twitter Feva,654740451715497984
jastr0naut,2015-10-15T19:52:00,@twitter @Support so when are we going to be able to edit our tweets because spelling mistakes are a problem for me sometimes,654746584991666176
rosatina_siti,2015-10-15T20:49:00,@twitter,654761009714872321
redpainter1234,2015-10-15T21:10:00,"@twitter I do not like this new ""moments"" feature. it's annoying.",654766378352676864
IsimailaO,2015-10-16T07:32:00,"@twitter  so annoying,try and improve on ur service",654922934620987392
Don_Kellum,2015-10-16T08:26:00,@twitter,654936484504600577
vip100date,2015-10-16T10:32:00,@TwitterOpen @twitter @TwitterFrance RT loud! http://t.co/AtMEQ36lKs,654968220504363009
IvoryInnovation,2015-10-16T10:56:00,@twitter your @Support team is none  existent.We need #help our #Twitter accounts have merged. How can we correct this problem? #replyplease,654974118002098177
MartijnSaly,2015-10-16T11:26:00,"@twitter @support when I post an anigif, it's served as mp4 (why?). how to get back the actual gif?",654981629308440577
Fabiaburlesque,2015-10-16T11:34:00,"@twitter Again, lots of followers today. Thank you @Support #teamfollowback",654983799873359872
rosatina_siti,2015-10-16T11:42:00,@twitter,654985846076997632
MORROPORFLY,2015-10-16T12:28:00,"@twitter and @verified! Please, Check and verified account of brazilian singer @nathanbarone. Thank you!",654997300738183168
aliveprattes,2015-10-16T12:43:00,"@twitter and @verified, please check the account of the Brazilian artist ""Nicolas Prattes"" (@nicolasprattes). thank you!",655001061531480065
fluffypoppa,2015-10-16T12:47:00,"@twitter stop trying to make 'moments' happen. It's not going to happen. Neither is 'Fetch', Heather.",655002176490729472
adil66618441,2015-10-16T12:59:00,@twitter علمتني الحياة ان احترم عقول البشر وان لا اتق بها,655005139397398528
foolsinthehalls,2015-10-16T12:59:00,@twitter @support these accounts r pretending 2 b me &amp; spamming me &amp; my followers as me @fooIsinthehalIs  @fooIsinthehaIIs  @foolsinthehalIs,655005166760947712
osbourne_andrew,2015-10-16T13:47:00,"@twitter hi guys I want to share my story with you,https://t.co/8jdWP2us0g",655017234767749124
SMALLBUMMP,2015-10-16T14:10:00,@twitter Vamo melhorar né,655023085515644928
PolitikVeracruz,2015-10-16T15:01:00,@Twitter saca el botón de compra #BuyNow http://t.co/SO7PrfGKr8,655035746466820096
tpasqueralle,2015-10-16T15:30:00,"@twitter ""moments⚡️"" was a bad move",655043239196663808
Mochillasana,2015-10-16T15:50:00,@twitter sigueme,655048256918040576
Mochillasana,2015-10-16T15:51:00,@twitter follow me!,655048369262477312
npg038,2015-10-16T15:52:00,@twitter @TwitterIndia ಇಂಡಿಯಾ ಅಂದ್ರೆ ಹಿಂದಿ ಅಲ್ರೊ ನಿಮ್ಮೊರ ಟ್ವಿಟ್ಟೆರ ಮಕ್ಳ ಇತಿಹಾಸ ತಿಳ್ಕೊರ್ರಿ😡😡😡😡😡😡😡😡,655048771856826369
jbsworthy,2015-10-17T01:04:00,@twitter why are you deleting my tweets,655187558025043968
kary_me_away,2015-10-17T01:26:00,@Twitter how come the 'moments' feature comes and goes on my app?,655193141822255104
nakedshortkilla,2015-10-17T02:05:00,@twitter #FIGHTNIGHT  https://t.co/ylFEgwNFlh,655202829683052544
trisha_boyle,2015-10-17T02:11:00,@twitter should get a edit option for tweets,655204510407626752
natsa10,2015-10-17T02:24:00,@twitter  https://t.co/nD8exZKL45,655207748725035008
McIntyreThe3rd,2015-10-17T02:55:00,@twitter why can't I tweet from my Apple Watch?,655215515678437376
365Zumba,2015-10-17T03:23:00,@twitter @ItsCANDASS #VerifyCandace #JustDoIt #ThinkOfTheChildren,655222695685169152
v_alerrria,2015-10-17T05:03:00,@twitter wuts good? http://t.co/inH6kpW3Hb,655247680680005632
zherylbelt,2015-10-17T05:17:00,"@twitter can we have that ""add account"" thing on web plsss",655251361144041473
FrancineWatson_,2015-10-17T05:29:00,"@twitter How cute is this on my Birthday ♡ Thank you, I love it #happybirthdaytome #twitter http://t.co/SAULxESD9s",655254304148889600
WittnerJosh,2015-10-17T06:16:00,"@Twitter knows who I follow, yet #TwitterMoments doesn't curate to my interests at all. It's dumber than the ads.",655266204605505536
TheBetterHarvo,2015-10-17T09:04:00,@twitter Why is it a 140 character limit WTF why 140 why not 256 that sounds allot cooler!,655308393662558208
AlexDuregger,2015-10-17T10:50:00,@twitter,655335098544488448
heartvaleriepe1,2015-10-17T11:17:00,@twitter.. IM BACK! ^_^,655341943346491392
nayeokn,2015-10-17T12:18:00,@twitter lapor dong nih gw nge agency kenapa jadi error gini dah gede gw lama lama gw pindah rp bbm nih,655357155852185600
ErickaSaves,2015-10-17T23:15:00,@twitter https://t.co/2cmQrUDlNr This user create a fake account in my name years ago. It's not active and I've been trying to get the name.,655522614257979400
Alfandii_,2015-10-17T23:41:00,@twitter,655529076996751360
tpcarman,2015-10-18T01:17:00,@twitter What happened to badges on the iOS app? It may have annoyed some but I want them back.,655553228273156096
MildredQuiles2,2015-10-18T01:57:00,@twitter Bet Award's as of 10/17/2015. I salutes to Ludacris for saying that Black Lives Matter the movement.@MildredQuiles2,655563286814019584
Ware2DaHizouse,2015-10-18T03:08:00,"@twitter I got scammed today for 25 dollars on twitter today and have more then adequate proof, any possible way yall can help a brother out",655581116443828226
ChecoMoro,2015-10-18T03:48:00,"@Twitter los felicito por la peor actualización, lenta, se traba, hay que salir de notificaciones para esperar hasta 5 minutos que actualice",655591299706318848
bieberstans,2015-10-18T05:06:00,@twitter It would really be an amazing development if you made a blacklist for twitter timeline :) thank you!,655610789886226432
ScottMorganA2,2015-10-18T05:07:00,@twitter https://t.co/08fqqrNkhM,655611201926336512
newshourbd,2015-10-18T16:43:00,"@Twitter Inc would pay @omidkordestani an annual base salary of $50,000 @Jack http://t.co/Khxzo6DK0s",655786325614825472
FollowRocket_VC,2015-10-18T17:10:00,@Twitter Superstar Strategy #43 - Say NO to garbage.  #SHARE #RT http://t.co/uy6ZHIOBM0 http://t.co/BbNJjawg8m,655793070525521920
MsshoOw,2015-10-18T19:59:00,@twitter we want animated profile pics,655835498703945728
NickStudMuffin,2015-10-18T20:31:00,@Twitter Please Update Ur App,655843658139344896
FollowRocket_VC,2015-10-18T20:50:00,@Twitter Superstar Strategy #37 - Form a partnership!  #SHARE #RT http://t.co/uy6ZHIOBM0 http://t.co/sy9BASjy43,655848440065335298
BackstreetGem,2015-10-18T21:16:00,@twitter @Support For the past few days I haven't been able to see my notifications on my Nexus 7. The tab just shows my timeline.,655854908994953218
Bastaxgabsksnsk,2015-10-18T22:50:00,@twitter,655878558045327360
JaclynGrutsch,2015-10-19T00:29:00,@twitter,655903629006761984
ShikaEG,2015-10-19T02:56:00,@twitter He is real! 👉 @rpenryj Can we please get him verified? 😊 Thanks! #TheStrain #MI5,655940565201063936
ProducedbyHNIC,2015-10-19T03:08:00,@twitter MOMENTS TAB IS GLITCHY. STAYS ON MOMENTS PAGE WHEN I SWITCH BACK TO MY TIMELINE,655943566515113986
snazzyfishy,2015-10-19T03:30:00,@twitter I was hacked or something and now am following too 474 creepy accounts......fix this for the future 😑,655949168519811072
rosatina_siti,2015-10-19T03:42:00,@twitter,655952159029116929
thomasfaridtoo,2015-10-19T04:35:00,"@Twitter, i dont follow?",655965522216013824
sudharsan2020,2015-10-19T04:53:00,"@twitter Why does twitter app scroll to top,after every retweet. Please fix this irritating bug 😠",655969997190070272
Alfandii_,2015-10-19T05:41:00,@twitter,655982072163532800
_SJholic,2015-10-19T05:59:00,@twitter DAME MIS NOTIFICACIONES,655986676234194944
articuno_gaming,2015-10-19T06:13:00,"@twitter You really need to add an 'edit tweet' function. Like, seriously. Plz. You hear me fam?",655990118449180672
