screen_name,created_at,text,id
AtoZForex,2015-10-06T13:00:00,@UBS intraday setups: Recommendation to long #USDJPY at 120.00 &amp; long #GBPUSD at… http://t.co/uIwhWCWGQX http://t.co/yBNvFPvh0T,651381544821649409
Holvi,2015-10-06T17:05:00,@UBS with @SumUp_DE is an example of a vivid cooperation! It can work and be a success story! @finmeetstech #startup #cooperations,651443104747266052
agolod13,2015-10-06T23:35:00,"@UBS investment event (@ Terrace At Peninsula Hotel - @thepeninsulachi in Chicago, IL) https://t.co/vgYNFbYCc2",651541345400659968
FundsPeople_it,2015-10-07T09:19:00,"@UBS scommette sull'approccio unconstrained
http://t.co/WNAWAXGEEa #Prodotti http://t.co/Z46mqkInuU",651688208032485376
OmondiKingBrian,2015-10-07T10:32:00,@ubs but in Africa over 50% will be living in the cities by 2050,651706622390177792
ludmilambuss,2015-10-07T10:46:00,@UBS to Redefine the Future of Finance! https://t.co/RY1rmxhm8W by @obussmann #financial #services #industry #banking #IT #innovation #tech,651710230447923200
kurtosys,2015-10-07T14:36:00,"@ubs congrats, you're ranked #6 on this week's The Asset Managers Power 100. http://t.co/BdC3t2OQgn #AMPower100",651768101030264832
AlanSKbyo,2015-10-07T16:09:00,@UBS looking for talent to expand their innovation team! #designthinking #leanstartup #bmgeneration https://t.co/1qwB3utXCv,651791424350998528
ludmilambuss,2015-10-08T07:45:00,@UBS to Redefine the Future of Finance! https://t.co/RY1rmxhm8W by @obussmann #financial #services #industry #banking #IT #innovation #tech,652027108412293121
hsearch01,2015-10-08T08:33:00,"@UBS #BMV #Property. Discounted 1 Bed Off Plan Apt, W10. Completing late Nov 2015. More info http://t.co/G58eztAQJX",652039074832908289
ClaudioGalotti,2015-10-08T08:48:00,@UBS A very good analysis here http://t.co/U5ce7POazz,652042955734319104
livesquawk,2015-10-08T09:03:00,@UBS - The recent sharp selloff in US corporate credit amplifies concerns about staying power of the credit cycle. http://t.co/syQ5SoMMGJ,652046760022552576
giorgia90f,2015-10-08T18:02:00,"@UBS art collection in #Milan 
A lot of class in this amazing location 
#Assolombarda#ubs#dontshootthepainter http://t.co/u8Z0xpGqn1",652182243381768192
Curious_Heather,2015-10-08T20:52:00,@ubs @fortune Do you have the link to the study mentioned here? http://t.co/G2AAkb2Fa8,652225161295364096
ludmilambuss,2015-10-09T04:45:00,@UBS to Redefine the Future of Finance! https://t.co/RY1rmxhm8W by @obussmann #financial #services #industry #banking #IT #innovation #tech,652344227804921856
hubbisnews,2015-10-09T10:50:00,@UBS Meeting HNW expectations with insurance in Asia #Hubbis http://t.co/wg5fDCB3es #wealthmanagement http://t.co/Xp5wEGavNg,652435992020848640
robertoah,2015-10-09T13:33:00,@UBS Retira a $CEMEX @CEMEX de su lista de 40 acciones favoritas de mercados emergentes,652476943716229120
ludmilambuss,2015-10-10T01:46:00,@UBS to Redefine the Future of Finance! https://t.co/RY1rmxhm8W by @obussmann #financial #services #industry #banking #IT #innovation #tech,652661332098027521
nangokuzz,2015-10-10T17:14:00,@UBS マイナンバー資産管理の逃げ道なのか、、残念ながら逃がすものがないw,652895065686175744
ludmilambuss,2015-10-10T22:46:00,@UBS to Redefine the Future of Finance! https://t.co/RY1rmxhm8W by @obussmann #financial #services #industry #banking #IT #innovation #tech,652978413968445441
jv121178,2015-10-11T02:54:00,@UBS,653040982250778624
CoachBuckwheat,2015-10-11T03:00:00,@UBS #IndependenceFund #TikiBarber invites all to 11/9 event #NYC to #honor &amp; #benefit injured veterans http://t.co/9UaVoQZSQe,653042362105597952
ludmilambuss,2015-10-11T19:45:00,@UBS to Redefine the Future of Finance! https://t.co/RY1rmxhm8W by @obussmann #financial #services #industry #banking #IT #innovation #tech,653295478197649410
Gewen0123,2015-10-12T01:23:00,@UBS  HI,653380365344595968
8828koutu,2015-10-12T07:50:00,"@UBS 富裕層向け金融機関がTwitterを使う時代が来るとはビックリ。
国内金融機関はほとんどインデックスファンドをラップ口座なんてもっともらしい商品を売り出しているのもビックリしたが、２度目のビックリかも！",653477770933067776
aby_shan,2015-10-12T11:24:00,@UBS hi all. everything is fine. geneva ever.,653531672097374208
azrizalz,2015-10-12T11:44:00,"@UBS has shifted a fund of hedge funds to Ireland from the Cayman Islands, delivering a blow to the reputation of the Caribbean tax haven.",653536636475584512
amitjtoliabot,2015-10-12T12:15:00,"@UBS @PWCareer @nishabrodsky Nisha if you want a corner office find Mullen, Zatorski and liz miller!! And build your bridges!!! if you did!",653544500367912960
alexbk09,2015-10-12T12:33:00,"@UBS 

え？

竹中が論客？",653548975400681472
GODKRISHT,2015-10-12T13:16:00,@UBS 79*79*79*79*79*79*79*79*79(i.e. 79 9X)=1.19 E17.1.19(=60*1+19=79).17=137.AgeofUniv=13.7BN YR.MyBirthYr&amp;Day=79=1225=SolarSystem&amp;Universe,653559935146438656
0420loveMandn,2015-10-12T14:42:00,@UBSそんな事してて、前向くかいや話あるんやったら何処でも出来るしなぁ。,653581629177200641
BitCoinSusan,2015-10-12T15:00:00,"@UBS is building virtual coin for mainstream banking. #blockchain 
http://t.co/3vJ4KCjia8",653586157343666177
howiehardcore,2015-10-12T15:34:00,@UBS Stuanovo sees oil above $70 in a year. Cites war and production cutbacks.  Not going to happen. $1 gas by xmas. http://t.co/maIRJWNNgl,653594620966883328
ChanJule,2015-10-12T15:51:00,@UBS what about mothers?,653598968060837888
Martinl95370448,2015-10-12T16:07:00,"@UBS we you. Are out,of tuch counrty,,is back on it feet unployment down inflation down as well it would go,up if labour won",653602953866166272
ludmilambuss,2015-10-12T16:46:00,@UBS to Redefine the Future of Finance! https://t.co/RY1rmxhm8W by @obussmann #financial #services #industry #banking #IT #innovation #tech,653612607912431621
0ldB0y,2015-10-12T17:32:00,@UBS Seriously?,653624296519114752
raysclafani,2015-10-12T18:19:00,@UBS Freedman: Why clients are increasingly interested in sustainable investing http://t.co/tkd0e0NOmz via @newsfromIN #ubs,653636158325436416
elternhaften,2015-10-12T19:28:00,@UBS go away bank,653653601148116992
